date,open,high,low,close,volume,change
02-Nov-2022,63.47,63.47,63.47,63.47,"1,000",0.37
01-Nov-2022,61.50,63.99,61.50,63.10,"568,000",-0.38
31-Oct-2022,63.48,63.48,63.48,63.48,500,2.38
28-Oct-2022,63.85,63.85,63.00,63.10,"1,500",0.02
27-Oct-2022,63.80,64.00,63.07,63.08,"9,000",-0.82
26-Oct-2022,63.85,64.00,63.85,63.90,"12,500",-0.05
25-Oct-2022,63.79,63.95,63.79,63.95,"1,000",-0.05
24-Oct-2022,62.51,64.00,62.00,64.00,"41,000",1.50
21-Oct-2022,63.11,63.11,62.50,62.50,"11,000",-0.60
20-Oct-2022,63.50,63.50,63.10,63.10,"117,500",-0.40
19-Oct-2022,63.50,63.50,63.40,63.50,"7,500",0.00
18-Oct-2022,63.50,63.50,63.50,63.50,"1,000",0.20
17-Oct-2022,63.70,64.00,63.22,63.30,"48,500",-0.08
14-Oct-2022,64.00,64.00,63.10,63.38,"18,500",-1.12
13-Oct-2022,63.25,64.80,63.25,64.50,"3,000",0.50
12-Oct-2022,64.00,64.00,63.50,64.00,"2,000",-0.13
11-Oct-2022,63.70,64.25,63.70,64.13,"1,500",0.42
07-Oct-2022,63.51,64.99,63.51,63.71,"10,500",0.21
06-Oct-2022,63.50,63.50,63.50,63.50,"2,000",-0.90
05-Oct-2022,64.40,64.40,63.78,64.40,"1,500",0.62
04-Oct-2022,65.00,65.00,63.50,63.78,"11,500",-0.02
03-Oct-2022,64.65,64.65,63.40,63.80,"10,500",-1.10
30-Sep-2022,64.50,64.90,64.50,64.90,"1,000",1.40
29-Sep-2022,63.50,63.50,63.50,63.50,500,-1.00
28-Sep-2022,65.00,65.00,64.49,64.50,"17,500",0.00
27-Sep-2022,64.50,64.50,64.50,64.50,"7,000",0.01
26-Sep-2022,64.49,64.50,64.49,64.49,"2,000",0.99
23-Sep-2022,64.00,64.00,63.50,63.50,"8,500",-1.00
22-Sep-2022,65.40,65.40,64.50,64.50,"1,500",-0.50
21-Sep-2022,65.90,66.00,64.99,65.00,"114,500",0.00
20-Sep-2022,64.01,66.00,63.00,65.00,"49,500",1.00
19-Sep-2022,64.62,64.62,64.00,64.00,"306,500",-0.53
16-Sep-2022,64.21,65.00,64.21,64.53,"4,500",-0.87
15-Sep-2022,66.15,66.15,65.40,65.40,"17,500",-0.85
14-Sep-2022,66.20,66.25,66.00,66.25,"28,000",-0.10
13-Sep-2022,66.00,66.35,66.00,66.35,"3,000",0.35
12-Sep-2022,65.30,66.50,65.30,66.00,"6,500",0.49
09-Sep-2022,65.15,65.60,65.10,65.51,"9,000",0.52
08-Sep-2022,65.00,65.00,64.50,64.99,"20,500",-1.01
07-Sep-2022,66.20,66.20,66.00,66.00,"1,000",0.50
06-Sep-2022,66.50,66.50,65.50,65.50,"11,000",-0.51
05-Sep-2022,66.86,66.86,66.01,66.01,"3,000",0.44
02-Sep-2022,67.00,67.00,65.52,65.57,"3,500",-2.38
01-Sep-2022,66.98,68.00,66.11,67.95,"215,000",1.84
30-Aug-2022,67.99,67.99,66.11,66.11,"11,500",-0.36
29-Aug-2022,66.00,67.00,66.00,66.47,"24,500",-0.09
26-Aug-2022,69.00,70.00,68.49,68.56,"132,500",0.56
25-Aug-2022,68.11,68.50,67.75,68.00,"6,000",-0.61
24-Aug-2022,69.00,69.00,68.60,68.61,"20,500",0.10
23-Aug-2022,69.60,69.70,67.65,68.51,"2,000",0.51
22-Aug-2022,68.01,68.50,68.00,68.00,"6,500",-1.50
19-Aug-2022,69.00,69.50,69.00,69.50,"2,000",1.12
18-Aug-2022,69.50,69.50,68.25,68.38,"7,000",-1.02
17-Aug-2022,70.00,71.85,68.76,69.40,"34,500",-0.60
16-Aug-2022,70.99,70.99,69.51,70.00,"14,000",-0.22
15-Aug-2022,70.50,70.50,69.16,70.22,"19,500",0.37
12-Aug-2022,69.00,69.99,67.50,69.85,"15,000",1.31
11-Aug-2022,69.00,69.00,68.00,68.54,"35,500",-0.34
10-Aug-2022,65.99,70.24,65.49,68.88,"191,000",3.54
05-Aug-2022,65.20,66.00,64.50,65.34,"51,000",0.19
04-Aug-2022,64.60,67.00,64.50,65.15,"93,500",0.25
03-Aug-2022,65.00,65.01,64.90,64.90,"122,000",0.90
02-Aug-2022,64.50,64.50,63.99,64.00,"215,500",-0.90
01-Aug-2022,65.40,65.40,64.89,64.90,"2,000",-0.50
29-Jul-2022,65.49,65.49,65.40,65.40,"1,000",0.40
28-Jul-2022,65.00,65.00,65.00,65.00,"4,000",0.60
27-Jul-2022,64.39,64.40,64.39,64.40,"7,000",0.79
26-Jul-2022,64.00,64.00,63.61,63.61,"5,500",-1.19
25-Jul-2022,68.30,68.30,64.80,64.80,"3,000",0.00
22-Jul-2022,65.90,65.90,64.75,64.80,"3,000",-0.20
21-Jul-2022,67.60,67.60,65.00,65.00,"20,500",-2.50
20-Jul-2022,65.00,70.00,65.00,67.50,"13,000",1.34
