date,open,high,low,close,volume,change
02-Nov-2022,584.00,584.00,584.00,584.00,50,-0.43
01-Nov-2022,570.00,594.00,570.00,584.43,"5,700",12.29
31-Oct-2022,560.01,573.00,560.01,572.14,"2,100",2.43
28-Oct-2022,560.08,575.00,551.66,569.71,"7,800",-1.23
27-Oct-2022,566.00,600.00,540.00,570.94,"8,700",0.94
26-Oct-2022,576.00,577.00,570.00,570.00,"1,050",-10.62
25-Oct-2022,575.00,582.00,572.02,580.62,"3,900",-0.45
24-Oct-2022,580.00,588.00,575.07,581.07,"1,450",1.07
21-Oct-2022,589.00,589.00,580.00,580.00,300,-5.00
20-Oct-2022,583.01,585.00,583.01,585.00,100,-8.50
19-Oct-2022,589.99,593.50,589.99,593.50,150,-0.50
18-Oct-2022,599.99,599.99,593.00,594.00,200,0.93
17-Oct-2022,585.00,600.00,580.56,593.07,"2,250",7.09
14-Oct-2022,575.10,588.80,575.10,585.98,"2,650",-1.48
11-Oct-2022,577.00,594.00,577.00,587.46,"1,900",7.46
10-Oct-2022,580.00,582.72,580.00,580.00,150,-2.72
07-Oct-2022,573.33,584.85,572.10,582.72,"4,750",2.25
06-Oct-2022,578.00,582.70,570.00,580.47,"1,900",5.02
05-Oct-2022,563.00,578.40,561.01,575.45,"4,450",6.07
04-Oct-2022,573.00,573.00,565.02,569.38,"5,200",-7.19
03-Oct-2022,575.07,580.00,567.23,576.57,"6,550",-6.35
30-Sep-2022,585.00,585.00,579.00,582.92,"3,650",-2.54
29-Sep-2022,573.63,591.00,573.62,585.46,"11,750",0.46
28-Sep-2022,585.00,585.00,585.00,585.00,50,0.01
27-Sep-2022,584.98,585.00,584.98,584.99,500,4.11
26-Sep-2022,577.99,583.73,570.00,580.88,"12,600",4.04
23-Sep-2022,572.21,580.35,561.00,576.84,"4,350",-0.08
22-Sep-2022,576.05,590.00,570.00,576.92,"8,700",-11.03
21-Sep-2022,585.20,589.00,585.20,587.95,"1,100",2.75
20-Sep-2022,577.09,585.50,577.09,585.20,550,-1.78
19-Sep-2022,582.76,590.00,575.00,586.98,"5,750",4.22
16-Sep-2022,575.01,584.00,575.00,582.76,"1,000",-3.13
15-Sep-2022,585.43,594.80,581.00,585.89,"2,050",0.46
14-Sep-2022,579.00,587.95,575.00,585.43,"1,200",-1.57
