date,open,high,low,close,volume,change
02-Nov-2022,19.18,19.40,19.00,19.30,"413,000",0.30
01-Nov-2022,19.46,19.49,18.98,19.00,"190,500",0.00
31-Oct-2022,18.62,19.00,18.50,19.00,"74,000",-0.01
28-Oct-2022,18.95,19.10,18.80,19.01,"44,500",0.21
27-Oct-2022,19.44,19.49,18.70,18.80,"17,500",0.05
26-Oct-2022,18.90,18.96,18.50,18.75,"50,500",-0.48
25-Oct-2022,19.14,19.50,19.05,19.23,"183,500",0.53
24-Oct-2022,18.51,18.81,18.50,18.70,"21,500",-0.16
21-Oct-2022,18.90,19.49,18.51,18.86,"27,000",0.06
20-Oct-2022,18.60,19.20,18.55,18.80,"78,500",0.24
19-Oct-2022,18.39,18.75,18.30,18.56,"427,000",0.31
18-Oct-2022,17.76,18.70,17.75,18.25,"212,000",0.61
17-Oct-2022,17.60,17.83,17.60,17.64,"11,000",0.10
14-Oct-2022,17.75,17.75,17.52,17.54,"14,500",0.01
13-Oct-2022,17.56,17.61,17.50,17.53,"140,000",-0.47
12-Oct-2022,17.98,18.00,17.98,18.00,"27,500",0.14
11-Oct-2022,17.58,17.86,17.51,17.86,"10,000",0.28
10-Oct-2022,17.63,17.64,17.53,17.58,"14,000",-0.22
07-Oct-2022,17.55,17.80,17.55,17.80,"24,000",0.07
06-Oct-2022,17.89,17.89,17.64,17.73,"6,000",0.12
05-Oct-2022,17.52,17.70,17.52,17.61,"6,000",0.04
04-Oct-2022,17.60,17.96,17.26,17.57,"26,500",-0.10
03-Oct-2022,17.79,17.98,17.59,17.67,"39,500",-0.40
30-Sep-2022,17.54,18.10,17.53,18.07,"22,500",0.07
29-Sep-2022,17.90,18.00,17.73,18.00,"8,500",-0.10
28-Sep-2022,18.00,18.15,17.85,18.10,"195,500",0.03
27-Sep-2022,18.00,18.21,17.95,18.07,"13,500",0.13
26-Sep-2022,18.00,18.01,17.90,17.94,"31,500",-0.06
23-Sep-2022,18.01,18.01,18.00,18.00,"5,500",-0.25
22-Sep-2022,17.75,18.50,17.60,18.25,"40,500",0.43
21-Sep-2022,17.81,17.85,17.78,17.82,"6,500",-0.01
20-Sep-2022,18.05,18.05,17.80,17.83,"19,000",-0.18
19-Sep-2022,18.29,18.32,18.00,18.01,"14,500",-0.24
16-Sep-2022,18.10,18.35,18.02,18.25,"4,500",0.19
15-Sep-2022,18.40,18.50,18.02,18.06,"73,500",-0.16
14-Sep-2022,18.41,18.41,18.17,18.22,"12,500",-0.19
13-Sep-2022,18.34,18.62,18.25,18.41,"611,000",-0.23
12-Sep-2022,18.51,18.64,18.33,18.64,"4,500",-0.06
09-Sep-2022,18.95,18.95,18.51,18.70,"250,500",-0.08
08-Sep-2022,18.94,18.99,18.50,18.78,"36,000",0.06
07-Sep-2022,18.90,18.97,18.60,18.72,"36,000",-0.07
06-Sep-2022,18.60,18.85,18.31,18.79,"34,000",0.29
05-Sep-2022,18.57,18.60,18.50,18.50,"35,500",-0.20
02-Sep-2022,18.50,18.80,18.35,18.70,"952,000",0.08
01-Sep-2022,18.68,18.99,18.31,18.62,"43,000",0.45
31-Aug-2022,18.25,18.36,18.10,18.17,"94,500",-0.01
30-Aug-2022,18.80,18.90,18.00,18.18,"175,000",-0.62
29-Aug-2022,18.01,18.98,18.01,18.80,"22,000",0.43
26-Aug-2022,19.00,19.00,18.25,18.37,"1,866,500",-0.17
25-Aug-2022,19.25,19.25,18.50,18.54,"2,979,500",-0.71
24-Aug-2022,19.25,19.25,19.00,19.25,"2,520,500",0.00
23-Aug-2022,19.25,19.35,19.05,19.25,"398,500",0.26
22-Aug-2022,18.99,19.24,18.90,18.99,"196,500",-0.02
19-Aug-2022,19.00,19.20,19.00,19.01,"128,000",0.02
18-Aug-2022,19.00,19.05,18.88,18.99,"432,000",-0.05
17-Aug-2022,18.35,19.55,18.05,19.04,"2,054,000",0.85
16-Aug-2022,18.53,18.53,18.05,18.19,"74,500",-0.33
15-Aug-2022,17.75,18.67,17.75,18.52,"760,500",0.79
12-Aug-2022,17.59,18.00,17.50,17.73,"68,000",0.24
11-Aug-2022,17.50,17.55,17.35,17.49,"10,000",-0.01
10-Aug-2022,17.43,17.50,17.36,17.50,"64,000",0.25
05-Aug-2022,17.01,17.30,16.90,17.25,"29,500",0.35
04-Aug-2022,16.85,17.00,16.75,16.90,"69,000",-0.31
03-Aug-2022,16.55,17.25,16.40,17.21,"85,500",0.67
02-Aug-2022,16.51,16.93,16.50,16.54,"23,000",-0.25
01-Aug-2022,16.61,16.79,16.61,16.79,"6,000",0.19
29-Jul-2022,16.60,16.60,16.58,16.60,"4,000",0.05
28-Jul-2022,16.55,16.80,16.50,16.55,"130,500",-0.15
27-Jul-2022,16.90,16.90,16.61,16.70,"68,000",0.00
26-Jul-2022,16.63,16.90,16.62,16.70,"120,000",-0.30
25-Jul-2022,17.00,17.00,17.00,17.00,"1,000",0.00
22-Jul-2022,16.80,17.24,16.75,17.00,"12,000",-0.08
21-Jul-2022,17.28,17.28,16.96,17.08,"1,500",-0.31
20-Jul-2022,17.40,17.40,16.86,17.39,"2,000",-0.01
19-Jul-2022,17.26,17.40,16.76,17.40,"50,500",-0.20
18-Jul-2022,17.25,17.60,17.25,17.60,"3,000",-0.10
15-Jul-2022,17.70,17.95,17.45,17.70,"10,500",0.05
14-Jul-2022,17.50,17.65,17.26,17.65,"13,000",0.18
13-Jul-2022,17.24,17.95,16.90,17.47,"12,500",0.27
07-Jul-2022,17.29,17.34,17.05,17.20,"6,000",0.20
06-Jul-2022,17.16,17.17,17.00,17.00,"10,500",0.12
05-Jul-2022,16.90,17.09,16.85,16.88,"17,500",-0.28
04-Jul-2022,16.96,17.24,16.96,17.16,"3,000",-0.09
01-Jul-2022,17.09,17.39,17.09,17.25,"8,000",-0.18
30-Jun-2022,17.17,17.50,17.05,17.43,"75,500",0.44
29-Jun-2022,17.16,17.33,16.80,16.99,"232,000",-0.34
28-Jun-2022,17.20,17.40,17.03,17.33,"57,500",-0.17
27-Jun-2022,17.21,17.50,17.21,17.50,"30,000",0.05
24-Jun-2022,17.63,17.98,17.10,17.45,"30,500",-0.53
23-Jun-2022,17.98,18.10,17.82,17.98,"157,000",0.01
22-Jun-2022,17.70,17.98,17.70,17.97,"138,500",0.33
21-Jun-2022,17.85,17.86,17.50,17.64,"343,000",-0.17
20-Jun-2022,18.00,18.00,17.55,17.81,"219,000",-0.18
17-Jun-2022,17.80,18.00,17.50,17.99,"120,500",0.07
16-Jun-2022,17.32,17.99,17.31,17.92,"68,500",0.43
15-Jun-2022,17.32,17.50,17.30,17.49,"28,500",0.11
14-Jun-2022,17.00,17.39,17.00,17.38,"86,000",0.36
13-Jun-2022,17.50,17.50,17.00,17.02,"57,000",-0.68
10-Jun-2022,17.20,17.70,17.15,17.70,"37,500",0.17
08-Jun-2022,17.43,17.52,17.13,17.50,"555,000",0.37
07-Jun-2022,17.50,17.59,17.13,17.13,"527,000",-0.31
06-Jun-2022,17.07,17.50,17.07,17.44,"10,500",0.16
03-Jun-2022,17.80,17.80,17.02,17.28,"144,000",-0.96
02-Jun-2022,18.12,18.24,18.00,18.24,"106,000",-0.18
01-Jun-2022,18.50,18.50,18.20,18.42,"15,500",0.01
31-May-2022,18.40,18.75,18.40,18.41,"23,000",-0.57
30-May-2022,18.75,19.00,18.50,18.98,"9,000",0.23
27-May-2022,18.89,19.00,18.60,18.75,"341,000",0.28
26-May-2022,18.06,18.50,18.00,18.47,"86,000",0.02
25-May-2022,18.51,18.51,18.00,18.45,"75,000",-0.06
24-May-2022,18.50,18.61,18.50,18.51,"24,000",-0.24
23-May-2022,18.23,18.79,18.23,18.75,"34,000",-0.13
20-May-2022,18.50,19.02,18.50,18.88,"59,500",0.10
19-May-2022,18.25,18.80,18.25,18.78,"25,000",0.12
18-May-2022,18.24,18.67,18.24,18.66,"38,000",0.66
17-May-2022,18.00,18.30,18.00,18.00,"19,500",0.09
16-May-2022,18.01,18.25,17.80,17.91,"42,500",-0.34
13-May-2022,18.01,18.30,18.00,18.25,"205,500",0.25
12-May-2022,18.26,18.30,17.95,18.00,"162,000",-0.30
11-May-2022,19.10,19.10,18.27,18.30,"223,500",-0.65
10-May-2022,18.70,19.00,18.70,18.95,"27,500",0.04
09-May-2022,19.51,19.51,18.90,18.91,"165,500",-0.92
06-May-2022,19.75,20.00,19.70,19.83,"39,500",-0.17
28-Apr-2022,19.75,20.00,19.75,20.00,"76,000",-0.02
27-Apr-2022,20.00,20.20,19.70,20.02,"78,000",-0.19
