date,open,high,low,close,volume,change
02-Nov-2022,292.00,305.00,290.00,302.24,"238,376",10.06
01-Nov-2022,283.00,294.99,283.00,292.18,"233,434",10.20
31-Oct-2022,282.00,282.50,280.00,281.98,"42,846",1.43
28-Oct-2022,279.50,282.70,278.01,280.55,"88,320",-1.26
27-Oct-2022,283.30,283.30,281.00,281.81,"47,033",-0.16
26-Oct-2022,286.00,286.00,281.50,281.97,"79,175",-5.51
25-Oct-2022,289.49,291.50,285.55,287.48,"149,432",0.15
24-Oct-2022,287.98,290.00,284.29,287.33,"44,756",3.04
21-Oct-2022,282.01,285.00,279.00,284.29,"48,424",0.61
20-Oct-2022,288.74,291.00,283.00,283.68,"83,528",-5.06
19-Oct-2022,278.00,292.00,278.00,288.74,"136,893",11.48
18-Oct-2022,278.00,279.45,277.00,277.26,"25,078",-0.76
17-Oct-2022,278.99,280.00,277.11,278.02,"66,711",-0.58
14-Oct-2022,280.00,280.65,277.25,278.60,"29,698",-1.20
13-Oct-2022,278.33,280.00,277.73,279.80,"91,154",2.07
12-Oct-2022,278.00,279.99,276.90,277.73,"66,855",-0.42
11-Oct-2022,281.01,281.70,277.95,278.15,"47,948",-2.93
10-Oct-2022,280.00,281.99,280.00,281.08,"21,756",1.93
07-Oct-2022,280.41,281.00,278.50,279.15,"28,209",-1.26
06-Oct-2022,278.80,281.00,278.00,280.41,"102,245",1.40
05-Oct-2022,279.71,280.90,278.05,279.01,"26,000",-1.13
04-Oct-2022,282.90,283.00,280.00,280.14,"37,625",-1.16
03-Oct-2022,281.40,283.00,280.01,281.30,"38,960",2.41
30-Sep-2022,279.93,282.65,278.50,278.89,"14,754",-1.04
29-Sep-2022,284.00,284.00,279.86,279.93,"36,263",-3.47
28-Sep-2022,282.09,284.99,282.00,283.40,"31,992",2.95
27-Sep-2022,280.43,282.49,279.50,280.45,"24,128",1.74
26-Sep-2022,276.00,280.00,276.00,278.71,"36,054",2.68
23-Sep-2022,278.00,278.50,275.50,276.03,"37,207",-1.35
22-Sep-2022,277.51,281.87,275.01,277.38,"57,950",-1.23
21-Sep-2022,281.00,284.00,278.01,278.61,"35,701",-2.24
20-Sep-2022,283.00,285.55,280.25,280.85,"100,935",-2.61
19-Sep-2022,284.00,285.56,283.02,283.46,"47,395",-0.74
16-Sep-2022,286.21,286.50,283.50,284.20,"90,325",-2.01
15-Sep-2022,287.99,290.00,286.00,286.21,"76,907",-1.78
14-Sep-2022,292.00,292.00,287.80,287.99,"94,957",-3.83
13-Sep-2022,295.00,297.00,291.50,291.82,"63,817",-1.84
12-Sep-2022,291.00,302.00,289.10,293.66,"432,761",4.92
09-Sep-2022,385.00,392.75,384.61,390.93,"718,080",4.99
08-Sep-2022,387.47,388.20,385.00,385.94,"316,757",0.03
07-Sep-2022,385.87,386.50,384.80,385.91,"117,165",1.55
06-Sep-2022,384.37,386.00,383.60,384.36,"91,816",-0.01
05-Sep-2022,385.99,387.00,383.50,384.37,"57,139",-0.60
02-Sep-2022,388.00,390.00,383.83,384.97,"256,445",-3.60
01-Sep-2022,392.49,392.90,388.00,388.57,"137,983",-2.57
31-Aug-2022,388.50,395.00,387.00,391.14,"291,504",3.55
30-Aug-2022,390.90,392.89,387.00,387.59,"71,683",-0.96
29-Aug-2022,388.70,389.49,384.00,388.55,"112,688",1.80
26-Aug-2022,387.90,388.94,385.45,386.75,"189,204",-0.87
25-Aug-2022,386.21,388.00,385.00,387.62,"118,300",1.57
24-Aug-2022,388.90,389.49,385.90,386.05,"62,346",-1.15
23-Aug-2022,388.52,390.20,386.00,387.20,"162,159",-0.83
22-Aug-2022,385.15,389.00,385.15,388.03,"222,201",0.81
19-Aug-2022,384.01,389.00,384.01,387.22,"44,053",-0.43
18-Aug-2022,389.00,391.90,387.00,387.65,"252,847",-1.66
17-Aug-2022,389.00,392.90,371.00,389.31,"777,640",2.36
16-Aug-2022,378.01,399.00,365.00,386.95,"1,670,754",10.10
15-Aug-2022,368.40,382.00,368.40,376.85,"228,120",8.45
12-Aug-2022,359.00,369.00,357.00,368.40,"206,581",13.01
11-Aug-2022,360.75,360.75,353.01,355.39,"124,584",-5.42
10-Aug-2022,365.00,370.99,358.04,360.81,"175,603",-2.62
05-Aug-2022,362.00,365.00,358.50,363.43,"80,727",1.81
04-Aug-2022,368.00,369.00,360.75,361.62,"362,900",-1.57
03-Aug-2022,360.00,368.15,358.00,363.19,"164,400",10.07
02-Aug-2022,339.25,362.00,339.00,353.12,"200,000",12.42
01-Aug-2022,346.00,346.00,340.00,340.70,"31,800",-3.62
29-Jul-2022,338.01,352.00,338.01,344.32,"215,600",-1.60
28-Jul-2022,342.00,350.00,340.01,345.92,"154,100",0.40
27-Jul-2022,344.10,347.89,343.00,345.52,"76,900",3.25
26-Jul-2022,336.00,344.49,335.00,342.27,"40,600",3.09
25-Jul-2022,331.01,340.00,330.00,339.18,"31,500",2.92
22-Jul-2022,325.10,337.09,321.99,336.26,"177,800",7.50
21-Jul-2022,331.00,333.00,324.00,328.76,"112,100",-2.22
20-Jul-2022,329.00,334.90,327.00,330.98,"169,000",0.39
19-Jul-2022,344.00,346.00,327.00,330.59,"225,300",-10.94
18-Jul-2022,338.00,351.00,336.00,341.53,"285,600",-0.63
15-Jul-2022,330.00,349.00,330.00,342.16,"503,100",10.75
14-Jul-2022,324.99,332.50,324.00,331.41,"172,300",6.97
13-Jul-2022,325.00,327.00,322.00,324.44,"157,600",0.27
07-Jul-2022,324.99,328.00,323.85,324.17,"47,400",-0.08
06-Jul-2022,322.70,325.40,321.00,324.25,"52,700",5.48
05-Jul-2022,319.00,320.00,318.31,318.77,"3,500",-0.70
04-Jul-2022,323.30,323.30,319.00,319.47,"148,800",-0.81
01-Jul-2022,320.50,322.00,319.25,320.28,"12,500",-1.03
30-Jun-2022,319.00,322.90,317.00,321.31,"20,500",1.83
29-Jun-2022,323.00,328.99,317.00,319.48,"72,700",-4.31
28-Jun-2022,326.99,328.00,322.01,323.79,"54,000",-1.54
27-Jun-2022,319.50,326.00,319.50,325.33,"113,700",7.83
24-Jun-2022,330.90,333.00,308.00,317.50,"252,300",-13.11
23-Jun-2022,320.00,333.40,320.00,330.61,"298,800",12.03
22-Jun-2022,319.50,323.00,317.95,318.58,"89,200",0.35
21-Jun-2022,311.02,319.00,311.02,318.23,"38,200",5.08
20-Jun-2022,315.50,318.50,311.25,313.15,"57,100",-3.11
17-Jun-2022,315.00,319.85,314.58,316.26,"210,500",2.00
16-Jun-2022,308.00,317.50,308.00,314.26,"219,500",7.28
15-Jun-2022,308.49,309.45,306.50,306.98,"14,100",-1.52
14-Jun-2022,302.50,308.50,301.65,308.50,"9,000",6.25
13-Jun-2022,306.01,307.00,300.26,302.25,"36,800",-6.71
10-Jun-2022,308.00,310.00,307.00,308.96,"38,500",2.36
08-Jun-2022,301.01,304.40,300.00,303.98,"44,800",2.00
07-Jun-2022,303.82,304.90,300.00,301.98,"12,000",1.52
06-Jun-2022,300.05,302.50,300.05,300.46,"37,200",-0.50
03-Jun-2022,302.48,306.50,300.00,300.96,"139,500",0.78
02-Jun-2022,307.47,307.47,295.01,300.18,"123,800",-3.24
01-Jun-2022,304.10,306.00,302.50,303.42,"29,100",-1.46
31-May-2022,307.97,310.00,304.01,304.88,"99,000",-1.06
30-May-2022,312.75,312.79,305.38,305.94,"47,000",-4.60
27-May-2022,316.00,318.00,310.00,310.54,"85,900",-1.29
26-May-2022,304.99,314.90,304.99,311.83,"66,100",8.14
25-May-2022,302.00,304.95,299.25,303.69,"50,400",0.85
24-May-2022,308.49,310.00,301.00,302.84,"14,500",-1.72
23-May-2022,306.01,308.00,304.00,304.56,"15,100",-5.98
20-May-2022,309.99,311.90,308.00,310.54,"6,500",1.29
