date,open,high,low,close,volume,change
02-Nov-2022,339.00,339.99,334.00,335.50,"2,700",-4.49
01-Nov-2022,339.99,339.99,335.00,339.99,"1,300",4.99
31-Oct-2022,0.00,335.00,335.00,335.00,600,0.00
28-Oct-2022,335.00,339.99,335.00,335.00,"1,600",-4.99
27-Oct-2022,0.00,339.99,339.99,339.99,"1,000",0.00
25-Oct-2022,340.00,340.00,339.99,339.99,"1,800",0.00
24-Oct-2022,339.50,339.99,335.01,339.99,"4,800",4.98
21-Oct-2022,340.00,340.00,335.00,335.01,"6,400",-1.99
20-Oct-2022,337.00,339.90,337.00,337.00,"2,600",-1.00
19-Oct-2022,340.00,340.00,332.00,338.00,"2,900",-2.00
18-Oct-2022,339.95,340.00,338.95,340.00,"1,300",1.05
17-Oct-2022,341.50,341.50,332.15,338.95,"5,700",-0.05
14-Oct-2022,339.00,339.00,335.00,339.00,"1,000",4.00
13-Oct-2022,335.00,335.99,335.00,335.00,"3,000",-0.99
12-Oct-2022,330.13,335.99,330.13,335.99,"1,000",4.78
11-Oct-2022,339.90,340.00,331.21,331.21,"1,000",-6.84
10-Oct-2022,340.00,340.50,330.06,338.05,"1,400",-2.75
07-Oct-2022,342.00,342.00,337.90,340.80,900,2.90
06-Oct-2022,338.99,339.00,337.48,337.90,"1,800",0.42
05-Oct-2022,342.99,342.99,330.00,337.48,"3,400",2.98
04-Oct-2022,342.00,342.00,334.50,334.50,"2,200",-0.52
03-Oct-2022,335.01,343.81,335.01,335.02,"1,500",-8.79
30-Sep-2022,339.49,345.00,337.86,343.81,"3,600",5.95
29-Sep-2022,0.00,337.86,337.86,337.86,600,0.00
28-Sep-2022,340.99,341.00,327.13,337.86,"2,700",2.85
27-Sep-2022,335.01,335.01,335.01,335.01,300,0.00
26-Sep-2022,339.99,346.00,335.01,335.01,"1,300",-10.99
16-Sep-2022,330.01,346.00,330.01,346.00,"1,100",10.90
15-Sep-2022,334.99,336.00,333.00,335.10,"5,400",2.10
14-Sep-2022,332.00,333.00,332.00,333.00,200,-3.00
13-Sep-2022,341.97,341.97,330.28,336.00,800,-4.00
12-Sep-2022,333.00,340.00,330.00,340.00,600,12.00
09-Sep-2022,325.00,330.00,325.00,328.00,"1,200",7.69
08-Sep-2022,327.00,328.00,320.10,320.31,"2,400",-12.69
07-Sep-2022,331.01,343.00,330.02,333.00,700,-5.98
06-Sep-2022,332.00,338.98,330.00,338.98,900,12.55
05-Sep-2022,333.00,333.00,322.00,326.43,"2,700",-6.27
02-Sep-2022,0.00,332.70,332.70,332.70,"1,100",0.00
01-Sep-2022,338.13,338.13,332.50,332.70,"3,200",-7.29
31-Aug-2022,340.00,340.00,338.01,339.99,"1,400",-0.01
30-Aug-2022,343.00,343.00,340.00,340.00,"2,100",-2.00
29-Aug-2022,339.00,342.00,339.00,342.00,500,0.00
26-Aug-2022,0.00,342.00,342.00,342.00,900,0.00
25-Aug-2022,345.00,345.00,342.00,342.00,200,-6.00
24-Aug-2022,349.02,349.02,347.00,348.00,"1,600",-1.00
23-Aug-2022,352.01,352.01,349.00,349.00,300,-3.00
18-Aug-2022,354.00,355.00,352.00,352.00,"2,200",-3.00
17-Aug-2022,356.00,357.00,355.00,355.00,"2,700",-6.50
16-Aug-2022,365.10,369.40,360.00,361.50,"9,800",-6.67
15-Aug-2022,371.99,373.00,368.00,368.17,"1,800",8.14
11-Aug-2022,369.00,369.00,359.01,360.03,"1,900",0.02
10-Aug-2022,367.00,377.00,360.00,360.01,"4,900",2.01
05-Aug-2022,357.99,360.00,357.99,358.00,"2,900",-0.49
03-Aug-2022,359.99,359.99,358.49,358.49,400,-1.47
02-Aug-2022,359.00,359.96,341.00,359.96,"2,000",18.96
01-Aug-2022,341.00,341.00,341.00,341.00,300,-4.01
29-Jul-2022,346.00,346.00,345.01,345.01,200,-9.99
28-Jul-2022,355.01,357.00,355.00,355.00,800,0.00
27-Jul-2022,0.00,355.00,355.00,355.00,100,0.00
25-Jul-2022,355.00,357.00,355.00,355.00,"1,500",-2.00
22-Jul-2022,357.00,357.00,357.00,357.00,100,3.96
21-Jul-2022,355.03,355.03,353.00,353.04,500,-1.98
20-Jul-2022,355.02,355.02,355.00,355.02,400,0.02
19-Jul-2022,353.81,355.00,353.81,355.00,200,-8.03
18-Jul-2022,363.03,363.03,363.03,363.03,100,0.00
15-Jul-2022,365.01,365.01,363.03,363.03,600,-0.22
14-Jul-2022,367.99,367.99,363.00,363.25,400,-4.74
13-Jul-2022,361.01,367.99,360.10,367.99,600,-1.01
07-Jul-2022,362.05,369.00,362.05,369.00,300,2.45
06-Jul-2022,366.55,366.55,366.55,366.55,200,3.84
04-Jul-2022,362.61,363.30,362.61,362.71,500,-7.35
01-Jul-2022,370.06,370.06,370.06,370.06,300,-7.54
30-Jun-2022,363.68,377.60,363.68,377.60,300,3.10
28-Jun-2022,370.03,374.94,370.03,374.50,400,4.47
27-Jun-2022,370.03,370.03,370.03,370.03,100,0.00
24-Jun-2022,370.03,370.03,370.03,370.03,200,2.29
23-Jun-2022,376.45,376.45,367.63,367.74,"1,900",-2.26
22-Jun-2022,370.02,370.02,370.00,370.00,"1,000",-9.87
21-Jun-2022,379.87,379.87,379.87,379.87,100,3.87
17-Jun-2022,376.00,376.00,376.00,376.00,200,7.50
16-Jun-2022,366.01,368.50,366.01,368.50,200,-3.48
15-Jun-2022,369.01,371.98,369.01,371.98,400,-1.02
13-Jun-2022,361.20,375.00,361.20,373.00,500,-6.33
10-Jun-2022,380.99,380.99,378.99,379.33,400,-3.16
09-Jun-2022,383.07,383.07,382.49,382.49,200,1.49
08-Jun-2022,388.99,389.00,365.00,381.00,"1,900",-4.99
07-Jun-2022,397.90,403.00,397.90,400.99,"1,600",5.99
06-Jun-2022,391.11,396.00,391.11,395.00,800,2.01
03-Jun-2022,394.98,394.98,392.99,392.99,300,6.92
02-Jun-2022,387.01,389.00,386.07,386.07,"2,000",-3.95
01-Jun-2022,381.01,390.02,381.01,390.02,500,-7.93
31-May-2022,398.50,398.50,397.60,397.95,"2,800",0.88
30-May-2022,397.00,397.07,397.00,397.07,300,-1.14
27-May-2022,404.00,404.50,398.00,398.21,"2,100",-1.78
26-May-2022,396.00,401.00,396.00,399.99,"2,800",3.01
25-May-2022,385.90,396.98,385.00,396.98,600,1.97
24-May-2022,390.00,407.99,390.00,395.01,"1,600",-0.66
23-May-2022,395.00,400.70,394.90,395.67,"2,100",-0.96
20-May-2022,389.39,399.89,381.03,396.63,"2,100",11.63
18-May-2022,380.00,384.97,376.01,384.88,"3,300",5.78
17-May-2022,370.02,381.99,370.02,379.10,400,-1.50
16-May-2022,381.00,384.80,380.00,380.60,"1,000",2.53
13-May-2022,380.00,380.00,378.07,378.07,"1,300",-1.93
