date,open,high,low,close,volume,change
02-Nov-2022,79.70,79.89,77.62,77.85,"1,630,265",-2.12
01-Nov-2022,75.43,80.38,75.20,79.97,"3,913,638",5.02
31-Oct-2022,74.27,75.65,74.24,74.95,"455,249",0.68
28-Oct-2022,76.20,76.20,74.09,74.27,"1,294,511",-2.07
27-Oct-2022,74.84,76.89,74.01,76.34,"1,364,202",1.48
26-Oct-2022,77.40,77.40,74.00,74.86,"2,106,679",-3.14
25-Oct-2022,80.51,80.51,76.12,78.00,"1,241,102",-2.65
24-Oct-2022,81.80,82.50,80.51,80.65,"1,384,036",0.16
21-Oct-2022,81.54,81.55,79.25,80.49,"1,832,992",-1.02
20-Oct-2022,82.60,82.60,81.25,81.51,"978,902",-0.62
19-Oct-2022,82.30,83.19,81.90,82.13,"3,753,079",0.33
18-Oct-2022,81.49,82.36,81.16,81.80,"1,481,428",0.99
17-Oct-2022,81.31,82.50,80.60,80.81,"1,500,822",-1.37
14-Oct-2022,83.50,83.70,81.50,82.18,"3,614,963",-0.71
13-Oct-2022,82.50,83.50,80.04,82.89,"6,268,591",0.90
12-Oct-2022,78.85,82.95,78.02,81.99,"8,604,039",3.37
11-Oct-2022,80.00,80.20,77.99,78.62,"1,115,732",-1.02
10-Oct-2022,80.00,80.70,79.48,79.64,"1,993,362",-0.20
07-Oct-2022,80.75,81.63,79.30,79.84,"2,240,004",-1.40
06-Oct-2022,80.75,83.20,80.05,81.24,"5,917,822",0.79
05-Oct-2022,77.90,80.90,77.71,80.45,"7,769,686",2.57
04-Oct-2022,78.50,79.40,77.62,77.88,"3,835,943",0.10
03-Oct-2022,74.66,78.30,74.40,77.78,"6,267,637",3.34
30-Sep-2022,75.21,76.10,74.05,74.44,"1,514,055",-1.05
29-Sep-2022,76.14,76.61,75.30,75.49,"880,388",-0.65
28-Sep-2022,76.84,77.89,75.85,76.14,"1,948,493",-0.31
27-Sep-2022,77.70,78.37,76.25,76.45,"1,602,155",-0.92
26-Sep-2022,75.90,77.80,74.45,77.37,"2,065,011",2.03
23-Sep-2022,76.00,77.04,74.80,75.34,"2,037,206",-0.33
22-Sep-2022,75.76,76.25,74.12,75.67,"1,479,295",-0.22
21-Sep-2022,76.70,76.99,75.60,75.89,"599,699",-0.35
20-Sep-2022,77.62,77.75,75.87,76.24,"930,743",-0.96
19-Sep-2022,78.50,78.65,76.90,77.20,"1,437,377",-0.43
16-Sep-2022,78.35,78.93,77.40,77.63,"2,684,428",-0.45
15-Sep-2022,78.00,79.70,77.55,78.08,"5,597,917",0.39
14-Sep-2022,76.00,78.12,75.65,77.69,"1,677,606",1.27
13-Sep-2022,77.00,77.40,76.25,76.42,"606,552",-0.04
12-Sep-2022,77.44,78.98,76.25,76.46,"2,687,524",-0.98
09-Sep-2022,76.33,78.40,76.11,77.44,"3,371,930",1.37
08-Sep-2022,76.70,76.70,75.40,76.07,"1,658,422",0.05
07-Sep-2022,77.51,78.14,75.75,76.02,"1,387,096",-1.37
06-Sep-2022,77.00,77.90,76.11,77.39,"1,365,068",0.30
05-Sep-2022,78.70,78.70,76.74,77.09,"1,365,749",-1.28
02-Sep-2022,79.71,80.12,78.00,78.37,"1,328,710",-1.31
01-Sep-2022,79.86,81.20,79.50,79.68,"2,700,363",0.56
31-Aug-2022,79.22,80.00,78.56,79.12,"2,177,121",-0.08
30-Aug-2022,83.90,84.00,78.80,79.20,"4,912,237",-2.57
29-Aug-2022,82.50,82.50,79.70,81.77,"3,329,068",-0.82
26-Aug-2022,85.65,85.95,82.19,82.59,"2,391,584",-2.98
25-Aug-2022,87.28,87.90,85.35,85.57,"3,240,959",-1.15
24-Aug-2022,84.80,87.48,84.55,86.72,"8,092,374",2.17
23-Aug-2022,83.50,85.80,83.50,84.55,"3,640,156",1.90
22-Aug-2022,84.20,84.70,82.51,82.65,"2,045,504",-2.18
19-Aug-2022,84.49,85.69,83.06,84.83,"3,313,725",1.22
18-Aug-2022,83.99,85.95,83.25,83.61,"4,100,992",-0.13
17-Aug-2022,82.75,84.52,81.01,83.74,"4,981,490",1.33
16-Aug-2022,86.21,86.74,82.00,82.41,"6,252,166",-2.94
15-Aug-2022,80.50,85.80,80.50,85.35,"10,705,556",5.53
12-Aug-2022,78.00,80.40,77.92,79.82,"2,263,815",1.74
11-Aug-2022,79.21,79.50,77.90,78.08,"1,131,804",-1.13
10-Aug-2022,78.99,80.80,78.43,79.21,"4,036,425",0.82
05-Aug-2022,78.90,79.20,77.87,78.39,"1,632,515",0.01
04-Aug-2022,78.50,79.65,77.90,78.38,"2,444,960",0.20
03-Aug-2022,77.30,79.19,77.30,78.18,"1,546,509",1.15
02-Aug-2022,74.80,78.80,74.50,77.03,"1,580,369",0.26
01-Aug-2022,78.70,79.89,76.60,76.77,"1,275,274",-2.29
29-Jul-2022,77.00,80.20,75.75,79.06,"4,773,352",2.01
28-Jul-2022,74.70,79.75,74.70,77.05,"4,389,965",2.07
27-Jul-2022,74.74,75.44,73.59,74.98,"1,111,950",0.45
26-Jul-2022,74.00,75.50,73.30,74.53,"1,251,615",0.33
25-Jul-2022,73.40,75.10,71.28,74.20,"1,118,599",1.20
22-Jul-2022,68.38,73.50,67.20,73.00,"2,219,299",4.62
21-Jul-2022,72.68,72.90,67.61,68.38,"1,662,304",-3.93
20-Jul-2022,72.50,73.20,71.25,72.31,"942,231",-0.04
19-Jul-2022,75.70,76.44,71.72,72.35,"1,897,850",-3.35
18-Jul-2022,77.12,77.62,75.50,75.70,"1,354,129",-3.66
15-Jul-2022,80.24,81.40,79.10,79.36,"2,171,045",-0.85
14-Jul-2022,81.00,81.50,79.05,80.21,"3,052,096",-0.35
13-Jul-2022,77.00,81.62,76.55,80.56,"2,201,476",3.44
07-Jul-2022,77.00,77.38,76.16,77.12,"465,924",-0.27
06-Jul-2022,77.26,78.10,76.75,77.39,"733,805",0.16
05-Jul-2022,76.59,77.65,76.35,77.23,"956,217",0.88
04-Jul-2022,77.34,77.80,76.09,76.35,"421,368",-0.99
01-Jul-2022,77.91,78.40,77.00,77.34,"807,006",-0.57
30-Jun-2022,78.01,78.50,77.40,77.91,"982,895",-0.19
29-Jun-2022,79.05,79.35,77.55,78.10,"1,506,995",-1.27
28-Jun-2022,81.23,81.34,78.80,79.37,"2,882,949",-0.81
27-Jun-2022,77.45,80.80,76.85,80.18,"4,432,832",4.28
24-Jun-2022,78.08,78.98,72.16,75.90,"3,543,736",-2.10
23-Jun-2022,77.50,79.87,76.77,78.00,"4,127,885",0.82
22-Jun-2022,79.50,80.40,75.90,77.18,"4,962,443",-0.59
21-Jun-2022,72.25,77.77,72.25,77.77,"5,774,459",5.42
20-Jun-2022,74.00,74.00,72.20,72.35,"807,104",-1.11
17-Jun-2022,73.41,74.80,73.10,73.46,"1,981,941",0.20
16-Jun-2022,72.82,74.15,72.21,73.26,"891,195",0.45
15-Jun-2022,73.40,74.00,72.51,72.81,"560,319",-0.04
14-Jun-2022,72.20,73.39,71.96,72.85,"591,655",0.48
13-Jun-2022,74.00,74.50,72.11,72.37,"1,040,088",-2.75
10-Jun-2022,74.35,75.70,73.56,75.12,"851,003",1.31
08-Jun-2022,72.40,73.60,71.06,72.13,"714,647",0.19
07-Jun-2022,72.10,73.64,71.50,71.94,"755,528",-0.73
06-Jun-2022,71.15,73.90,70.50,72.67,"1,324,690",0.70
03-Jun-2022,74.30,74.80,71.61,71.97,"1,205,185",-3.24
02-Jun-2022,78.02,78.97,74.66,75.21,"1,439,391",-3.36
01-Jun-2022,80.47,80.48,78.02,78.57,"733,242",-1.04
31-May-2022,80.28,80.89,79.40,79.61,"517,287",-0.67
30-May-2022,81.50,81.50,79.30,80.28,"1,061,020",-0.06
27-May-2022,82.99,83.99,79.60,80.34,"4,506,593",2.04
