date,open,high,low,close,volume,change
02-Nov-2022,31.16,31.27,30.60,30.87,"930,821",-0.33
01-Nov-2022,31.24,31.25,30.90,31.20,"97,007",0.12
31-Oct-2022,30.60,31.25,30.60,31.08,"15,609",0.12
28-Oct-2022,31.30,31.30,30.11,30.96,"16,775",0.16
27-Oct-2022,31.00,31.00,30.62,30.80,"19,007",0.18
26-Oct-2022,31.01,31.01,30.50,30.62,"149,697",-0.35
25-Oct-2022,31.49,31.49,30.90,30.97,"108,341",-0.23
24-Oct-2022,31.70,31.70,31.05,31.20,"27,900",0.07
21-Oct-2022,31.48,31.90,30.90,31.13,"155,770",0.01
20-Oct-2022,31.70,31.99,31.02,31.12,"352,429",-0.35
19-Oct-2022,31.66,31.66,31.25,31.47,"249,694",-0.16
18-Oct-2022,31.89,31.90,31.05,31.63,"373,438",-0.12
17-Oct-2022,31.89,31.95,31.22,31.75,"328,072",0.25
14-Oct-2022,31.40,31.55,31.00,31.50,"162,038",0.50
13-Oct-2022,31.75,31.75,30.85,31.00,"107,657",-0.22
12-Oct-2022,31.75,31.75,30.80,31.22,"16,984",-0.18
11-Oct-2022,31.59,31.80,31.15,31.40,"15,218",-0.10
10-Oct-2022,31.80,31.80,30.80,31.50,"95,353",0.25
07-Oct-2022,30.60,31.62,30.56,31.25,"108,983",0.25
06-Oct-2022,30.99,31.25,30.60,31.00,"84,884",0.26
05-Oct-2022,31.40,31.45,30.62,30.74,"41,437",-0.26
04-Oct-2022,31.37,31.37,30.60,31.00,"414,932",0.10
03-Oct-2022,31.48,31.48,30.60,30.90,"50,849",-0.24
30-Sep-2022,31.20,31.50,30.82,31.14,"43,323",0.37
29-Sep-2022,31.99,31.99,30.70,30.77,"1,654,808",-0.86
28-Sep-2022,32.00,32.00,31.60,31.63,"56,903",-0.18
27-Sep-2022,31.85,32.09,31.80,31.81,"546,576",-0.04
26-Sep-2022,31.80,31.96,31.67,31.85,"170,010",0.27
23-Sep-2022,31.94,32.24,31.53,31.58,"853,324",-0.13
22-Sep-2022,32.49,32.49,31.49,31.71,"627,927",-0.54
21-Sep-2022,32.70,32.70,32.20,32.25,"532,262",-0.05
20-Sep-2022,32.69,32.69,32.16,32.30,"195,713",0.08
19-Sep-2022,32.80,32.80,32.20,32.22,"132,650",-0.60
16-Sep-2022,33.05,33.30,31.50,32.82,"4,907,517",0.44
15-Sep-2022,32.50,32.60,32.26,32.38,"268,297",0.10
14-Sep-2022,32.88,32.88,32.23,32.28,"172,702",-0.23
13-Sep-2022,32.99,32.99,32.06,32.51,"229,486",-0.27
12-Sep-2022,33.00,33.00,32.60,32.78,"338,891",-0.10
09-Sep-2022,32.98,33.24,32.51,32.88,"1,035,044",0.20
08-Sep-2022,33.15,33.15,32.60,32.68,"85,281",-0.31
07-Sep-2022,32.85,33.10,32.75,32.99,"494,900",0.27
06-Sep-2022,32.69,32.76,32.25,32.72,"486,781",0.27
05-Sep-2022,32.85,32.85,32.25,32.45,"80,755",-0.22
02-Sep-2022,32.48,32.93,32.21,32.67,"297,510",0.37
01-Sep-2022,32.40,32.49,32.19,32.30,"452,058",0.05
31-Aug-2022,32.95,33.25,32.10,32.25,"3,626,265",-0.59
30-Aug-2022,32.88,33.00,32.50,32.84,"578,589",0.28
29-Aug-2022,32.60,32.80,32.19,32.56,"996,044",-0.05
26-Aug-2022,32.61,33.45,32.51,32.61,"2,286,486",-0.38
25-Aug-2022,32.93,33.99,32.60,32.99,"4,410,036",0.45
24-Aug-2022,32.01,33.00,31.60,32.54,"13,097,030",0.34
23-Aug-2022,31.86,33.34,31.85,32.20,"10,172,134",0.10
22-Aug-2022,32.45,32.94,31.81,32.10,"2,930,735",-0.39
19-Aug-2022,33.25,33.25,32.40,32.49,"5,664,397",-0.86
18-Aug-2022,33.47,34.00,33.15,33.35,"836,129",0.12
17-Aug-2022,32.81,33.50,32.81,33.23,"257,948",0.22
16-Aug-2022,33.35,33.45,32.80,33.01,"647,941",-0.29
15-Aug-2022,33.50,35.49,33.20,33.30,"4,350,196",0.27
12-Aug-2022,32.60,34.20,32.00,33.03,"1,619,918",0.93
11-Aug-2022,32.70,33.87,32.00,32.10,"2,556,952",-0.59
10-Aug-2022,32.50,32.90,31.50,32.69,"7,265,479",0.48
05-Aug-2022,34.49,35.50,33.60,34.71,"2,547,747",0.66
04-Aug-2022,33.60,34.25,33.60,34.05,"491,920",0.58
03-Aug-2022,33.74,34.10,33.35,33.47,"782,669",0.22
02-Aug-2022,33.25,34.30,32.92,33.25,"633,054",-0.36
01-Aug-2022,33.86,34.74,33.00,33.61,"561,542",0.04
29-Jul-2022,32.45,33.59,32.25,33.57,"1,687,027",2.32
28-Jul-2022,31.43,31.49,31.00,31.25,"662,027",0.42
27-Jul-2022,30.84,31.48,29.72,30.83,"706,303",1.02
26-Jul-2022,30.01,30.50,29.51,29.81,"302,062",-0.58
25-Jul-2022,31.26,31.26,30.25,30.39,"24,229",-0.24
22-Jul-2022,31.80,31.80,30.31,30.63,"817,089",-0.44
21-Jul-2022,31.01,31.18,30.75,31.07,"187,430",0.04
20-Jul-2022,31.10,31.48,30.98,31.03,"103,704",-0.38
19-Jul-2022,32.70,32.70,31.10,31.41,"155,592",-0.81
18-Jul-2022,32.56,32.99,32.13,32.22,"65,667",-0.98
15-Jul-2022,33.30,33.85,32.76,33.20,"83,978",-0.10
14-Jul-2022,33.84,33.84,32.86,33.30,"57,875",0.15
13-Jul-2022,32.82,33.50,31.51,33.15,"285,114",1.05
07-Jul-2022,31.89,32.11,31.02,32.10,"116,301",0.60
06-Jul-2022,31.50,31.68,31.20,31.50,"57,683",0.19
05-Jul-2022,32.59,32.59,31.05,31.31,"168,777",-1.13
04-Jul-2022,32.40,32.54,32.20,32.44,"133,317",-0.04
01-Jul-2022,31.40,32.50,31.40,32.48,"411,520",0.48
30-Jun-2022,31.50,32.11,31.25,32.00,"214,100",0.75
29-Jun-2022,31.75,32.29,30.60,31.25,"1,072,008",-0.71
28-Jun-2022,32.80,32.80,31.55,31.96,"264,086",0.10
27-Jun-2022,30.50,32.00,30.50,31.86,"182,382",0.52
24-Jun-2022,33.31,33.77,31.16,31.34,"2,482,538",-2.18
23-Jun-2022,33.85,33.95,33.40,33.52,"185,864",0.27
22-Jun-2022,33.75,34.00,33.25,33.25,"1,711,023",-0.47
21-Jun-2022,32.90,33.80,32.80,33.72,"201,008",0.64
20-Jun-2022,33.40,33.75,32.80,33.08,"336,778",0.04
17-Jun-2022,33.39,34.85,32.90,33.04,"923,901",0.05
16-Jun-2022,31.80,33.18,31.80,32.99,"332,379",0.72
15-Jun-2022,32.15,32.30,32.01,32.27,"80,480",0.48
14-Jun-2022,31.78,31.99,31.53,31.79,"33,043",0.20
13-Jun-2022,31.80,32.26,31.49,31.59,"752,590",-0.86
10-Jun-2022,32.45,32.65,31.86,32.45,"18,052",0.10
08-Jun-2022,33.05,33.45,32.00,32.51,"840,667",-0.99
07-Jun-2022,32.51,33.69,32.51,33.50,"55,376",0.44
06-Jun-2022,32.60,33.74,32.60,33.06,"137,910",0.31
03-Jun-2022,33.02,33.39,32.71,32.75,"433,123",-0.53
02-Jun-2022,34.00,34.00,33.10,33.28,"2,710,811",-0.90
01-Jun-2022,34.00,34.32,34.00,34.18,"69,416",0.17
31-May-2022,33.62,34.49,33.62,34.01,"317,196",0.14
30-May-2022,34.35,34.50,33.80,33.87,"127,241",-0.25
27-May-2022,34.60,34.95,34.00,34.12,"846,735",-0.10
26-May-2022,34.00,34.60,34.00,34.22,"183,054",0.29
25-May-2022,34.45,34.45,33.40,33.93,"1,919,138",0.03
24-May-2022,34.95,34.95,33.90,33.90,"371,361",-0.42
23-May-2022,34.99,34.99,34.25,34.32,"170,589",0.07
20-May-2022,34.01,34.98,34.01,34.25,"421,438",0.20
19-May-2022,34.00,34.35,33.96,34.05,"256,844",0.00
18-May-2022,34.28,34.85,33.75,34.05,"299,038",-0.23
17-May-2022,34.50,34.50,34.05,34.28,"129,765",-0.21
16-May-2022,34.23,34.70,33.51,34.49,"1,250,866",-0.30
13-May-2022,35.10,35.98,34.55,34.79,"1,579,114",-0.22
12-May-2022,34.90,35.25,34.21,35.01,"7,890,501",0.16
11-May-2022,35.50,35.50,33.75,34.85,"3,893,611",-0.25
10-May-2022,34.90,35.40,34.83,35.10,"3,398,808",0.12
09-May-2022,35.48,35.48,34.05,34.98,"1,588,011",0.13
06-May-2022,34.90,35.48,34.75,34.85,"32,898",-0.34
28-Apr-2022,35.50,35.50,34.51,35.19,"2,349,824",0.16
27-Apr-2022,35.30,35.50,34.71,35.03,"362,880",0.02
26-Apr-2022,34.50,35.99,33.61,35.01,"2,270,636",0.97
25-Apr-2022,34.01,34.69,34.01,34.04,"321,954",-0.12
22-Apr-2022,35.86,35.86,34.06,34.16,"234,342",-0.51
21-Apr-2022,34.31,35.10,34.31,34.67,"319,103",-0.42
20-Apr-2022,36.25,36.25,35.00,35.09,"264,615",0.07
19-Apr-2022,35.25,35.50,35.00,35.02,"473,497",-0.24
18-Apr-2022,36.20,36.20,34.99,35.26,"912,676",-1.07
15-Apr-2022,36.15,36.50,35.50,36.33,"159,305",0.74
14-Apr-2022,36.01,36.97,35.20,35.59,"1,270,286",-0.76
13-Apr-2022,36.98,36.98,36.00,36.35,"564,255",-0.23
12-Apr-2022,36.30,37.40,36.30,36.58,"1,163,169",-0.29
11-Apr-2022,35.20,37.00,35.20,36.87,"1,496,551",1.69
08-Apr-2022,35.80,35.80,34.91,35.18,"1,148,205",0.79
07-Apr-2022,34.49,34.95,34.08,34.39,"31,038",-0.27
06-Apr-2022,34.51,34.70,34.27,34.66,"37,598",0.40
05-Apr-2022,33.99,34.49,33.75,34.26,"777,787",0.26
04-Apr-2022,34.30,34.85,34.00,34.00,"241,557",-1.03
01-Apr-2022,34.40,35.49,33.72,35.03,"798,303",1.11
31-Mar-2022,33.35,34.10,33.10,33.92,"1,705,668",0.57
30-Mar-2022,32.80,33.39,32.80,33.35,"151,875",-0.04
29-Mar-2022,33.75,33.75,33.11,33.39,"651,600",0.41
28-Mar-2022,32.65,33.25,32.65,32.98,"243,551",0.29
25-Mar-2022,32.52,33.47,32.52,32.69,"571,694",-0.31
24-Mar-2022,32.99,33.42,32.61,33.00,"2,853,398",0.00
22-Mar-2022,32.72,33.42,32.72,33.00,"190,480",-0.12
21-Mar-2022,33.75,33.75,32.70,33.12,"79,749",0.13
18-Mar-2022,33.00,33.50,32.50,32.99,"998,716",-0.66
17-Mar-2022,36.19,36.19,35.60,35.65,"3,164,957",0.06
16-Mar-2022,35.80,35.80,35.40,35.59,"1,341,330",0.09
15-Mar-2022,35.30,35.85,35.30,35.50,"791,647",-0.28
14-Mar-2022,35.99,35.99,35.35,35.78,"34,941",-0.07
11-Mar-2022,35.52,36.21,35.52,35.85,"23,377",-0.05
10-Mar-2022,35.90,36.39,35.13,35.90,"439,843",0.77
09-Mar-2022,35.94,35.97,34.60,35.13,"1,038,387",-0.87
08-Mar-2022,35.50,36.00,35.00,36.00,"166,705",0.95
07-Mar-2022,34.56,36.00,34.56,35.05,"617,992",-1.12
04-Mar-2022,36.69,36.69,35.92,36.17,"76,770",-0.09
03-Mar-2022,36.25,36.75,36.00,36.26,"139,940",0.10
02-Mar-2022,36.50,37.00,36.00,36.16,"515,973",-0.64
01-Mar-2022,36.50,36.94,36.40,36.80,"240,477",0.30
28-Feb-2022,37.45,37.45,36.36,36.50,"1,192,134",-0.41
25-Feb-2022,36.75,37.20,36.30,36.91,"1,562,691",0.35
24-Feb-2022,38.00,38.00,36.48,36.56,"4,194,905",-1.39
23-Feb-2022,38.00,38.44,37.75,37.95,"350,190",-0.29
22-Feb-2022,37.26,38.48,37.05,38.24,"1,004,906",0.39
21-Feb-2022,38.25,38.25,37.55,37.85,"169,223",-0.18
18-Feb-2022,37.82,38.40,37.10,38.03,"1,173,145",0.26
17-Feb-2022,37.08,38.69,37.00,37.77,"2,338,096",0.57
16-Feb-2022,37.85,37.85,36.55,37.20,"142,992",0.18
15-Feb-2022,37.00,37.24,36.25,37.02,"402,156",0.26
14-Feb-2022,37.48,37.48,36.50,36.76,"270,105",-0.68
11-Feb-2022,37.99,37.99,37.10,37.44,"365,414",-0.14
10-Feb-2022,37.12,37.99,37.12,37.58,"2,042,179",0.35
09-Feb-2022,37.10,37.75,37.00,37.23,"498,586",-0.37
08-Feb-2022,37.98,37.98,37.35,37.60,"183,002",-0.05
07-Feb-2022,37.27,38.10,37.22,37.65,"342,666",-0.11
04-Feb-2022,37.75,37.90,37.50,37.76,"346,500",-0.08
03-Feb-2022,37.90,38.00,37.11,37.84,"1,429,000",-0.12
02-Feb-2022,38.50,39.32,37.50,37.96,"4,273,500",-0.59
01-Feb-2022,38.89,38.89,38.00,38.55,"1,667,500",0.06
31-Jan-2022,38.00,39.10,38.00,38.49,"3,278,000",0.17
28-Jan-2022,37.49,38.52,36.85,38.32,"5,483,000",1.00
27-Jan-2022,37.50,38.40,37.20,37.32,"4,878,500",-0.03
26-Jan-2022,36.90,37.65,36.51,37.35,"2,753,000",0.83
25-Jan-2022,36.00,36.88,35.67,36.52,"3,490,000",0.76
24-Jan-2022,35.50,36.00,35.50,35.76,"1,137,500",-0.01
21-Jan-2022,36.00,36.28,35.66,35.77,"447,000",0.18
20-Jan-2022,36.16,36.16,35.30,35.59,"432,500",-0.57
19-Jan-2022,35.82,36.48,35.50,36.16,"718,500",0.07
18-Jan-2022,36.10,36.35,36.00,36.09,"363,500",0.03
17-Jan-2022,36.26,36.75,36.00,36.06,"1,218,000",-0.31
14-Jan-2022,36.00,36.80,36.00,36.37,"776,105",0.53
13-Jan-2022,36.06,36.18,35.80,35.84,"118,760",-0.22
11-Jan-2022,35.49,36.44,35.48,36.07,"3,662,160",0.39
