date,open,high,low,close,volume,change
02-Nov-2022,53.16,53.75,53.00,53.48,"40,330",-0.01
01-Nov-2022,53.70,54.40,53.05,53.49,"139,151",0.43
31-Oct-2022,53.80,53.80,52.99,53.06,"70,444",-0.32
28-Oct-2022,54.55,54.55,52.75,53.38,"461,925",0.10
27-Oct-2022,53.70,53.80,53.02,53.28,"58,347",0.19
26-Oct-2022,53.47,53.50,53.00,53.09,"70,621",-0.41
25-Oct-2022,53.50,53.90,53.40,53.50,"103,858",0.14
24-Oct-2022,54.00,54.00,53.00,53.36,"99,207",-0.04
21-Oct-2022,53.53,53.54,53.40,53.40,"281,805",-0.31
20-Oct-2022,53.80,53.80,53.50,53.71,"26,591",0.10
19-Oct-2022,53.50,53.95,53.36,53.61,"21,133",0.44
18-Oct-2022,54.01,54.01,53.00,53.17,"132,800",-0.63
17-Oct-2022,54.00,54.15,53.65,53.80,"57,366",-0.38
14-Oct-2022,53.85,54.99,53.00,54.18,"143,502",-0.32
13-Oct-2022,54.01,54.50,54.00,54.50,"48,853",0.01
12-Oct-2022,54.00,54.64,54.00,54.49,"606,829",-0.02
11-Oct-2022,54.00,54.65,54.00,54.51,"49,133",0.66
10-Oct-2022,54.00,54.70,53.50,53.85,"49,175",-0.17
07-Oct-2022,54.20,54.50,54.00,54.02,"18,520",-0.04
06-Oct-2022,54.99,54.99,53.60,54.06,"379,000",-0.07
05-Oct-2022,54.00,54.48,53.80,54.13,"59,555",-0.02
04-Oct-2022,55.48,55.50,54.06,54.15,"108,802",-0.86
03-Oct-2022,54.98,55.20,54.25,55.01,"56,970",1.01
30-Sep-2022,54.89,54.89,53.93,54.00,"215,130",0.13
29-Sep-2022,55.03,55.03,53.75,53.87,"104,043",-1.16
28-Sep-2022,55.00,55.50,54.99,55.03,"72,549",0.40
27-Sep-2022,54.68,55.00,54.40,54.63,"315,482",0.18
26-Sep-2022,55.89,55.89,54.00,54.45,"187,046",-0.19
23-Sep-2022,56.10,56.10,54.50,54.64,"79,815",-1.20
22-Sep-2022,56.25,56.25,55.35,55.84,"18,999",0.23
21-Sep-2022,56.49,56.50,55.41,55.61,"76,622",-0.52
20-Sep-2022,55.45,56.45,55.25,56.13,"163,061",0.66
19-Sep-2022,55.99,56.00,55.00,55.47,"137,598",0.38
16-Sep-2022,56.01,56.44,55.00,55.09,"713,501",-0.92
15-Sep-2022,56.00,56.40,55.99,56.01,"1,364,156",-0.03
14-Sep-2022,56.65,56.69,56.01,56.04,"346,719",-0.14
13-Sep-2022,56.00,56.40,55.80,56.18,"109,736",-0.07
12-Sep-2022,56.50,56.90,56.00,56.25,"22,364",-0.11
09-Sep-2022,56.88,57.38,56.20,56.36,689,0.13
08-Sep-2022,56.99,56.99,56.03,56.23,"65,094",-0.52
07-Sep-2022,56.20,56.95,56.20,56.75,"52,308",0.25
06-Sep-2022,56.50,56.50,55.50,56.50,"21,165",0.50
05-Sep-2022,56.02,56.40,56.00,56.00,"51,162",-0.34
02-Sep-2022,56.15,56.75,56.00,56.34,"157,705",0.25
01-Sep-2022,56.49,56.65,55.93,56.09,"90,124",0.16
31-Aug-2022,57.25,57.25,55.25,55.93,"4,611,984",-1.32
30-Aug-2022,59.90,59.90,57.20,57.25,"430,701",-1.41
29-Aug-2022,58.48,58.90,57.36,58.66,"19,797",0.58
26-Aug-2022,58.26,59.99,57.52,58.08,"136,321",-0.69
25-Aug-2022,59.98,59.98,58.30,58.77,"641,147",-0.87
24-Aug-2022,60.20,60.21,58.70,59.64,"149,028",0.41
23-Aug-2022,59.00,61.44,59.00,59.23,"73,210",-0.01
22-Aug-2022,60.05,60.05,59.00,59.24,"32,593",-0.78
19-Aug-2022,61.00,61.00,59.00,60.02,"99,737",-0.05
18-Aug-2022,60.01,61.00,59.05,60.07,"979,484",-0.59
17-Aug-2022,61.50,61.50,60.00,60.66,"574,976",0.65
16-Aug-2022,59.95,60.75,59.95,60.01,"1,015,780",0.07
15-Aug-2022,58.95,61.00,57.91,59.94,"995,277",1.93
12-Aug-2022,57.50,58.90,57.50,58.01,"507,461",0.43
11-Aug-2022,58.75,58.75,57.56,57.58,"302,671",-0.66
10-Aug-2022,58.50,59.45,58.00,58.24,"230,405",-0.06
05-Aug-2022,57.80,59.00,57.20,58.30,"184,228",1.07
04-Aug-2022,57.99,58.00,57.05,57.23,"239,571",-0.11
03-Aug-2022,57.50,58.38,57.15,57.34,"499,159",0.29
02-Aug-2022,58.00,60.00,56.98,57.05,"964,566",-0.15
01-Aug-2022,58.50,58.50,57.00,57.20,"105,991",-0.32
29-Jul-2022,57.90,58.98,57.52,57.52,"7,468",-1.04
28-Jul-2022,56.59,59.00,56.59,58.56,"561,916",1.99
27-Jul-2022,56.40,56.99,56.00,56.57,"83,545",0.64
26-Jul-2022,55.03,56.89,55.03,55.93,"42,598",0.01
25-Jul-2022,58.00,58.00,54.11,55.92,"28,531",-1.93
22-Jul-2022,57.60,59.80,57.50,57.85,"239,844",-0.38
21-Jul-2022,59.99,60.00,57.25,58.23,"397,363",-0.24
20-Jul-2022,57.99,58.99,55.57,58.47,"178,203",1.39
19-Jul-2022,57.70,58.50,56.50,57.08,"179,308",-0.72
18-Jul-2022,57.50,59.00,57.45,57.80,"45,502",-1.35
15-Jul-2022,60.00,60.30,58.65,59.15,"14,088",-0.80
14-Jul-2022,59.90,60.25,58.65,59.95,"73,117",1.45
13-Jul-2022,58.00,60.50,57.31,58.50,"772,095",0.50
07-Jul-2022,58.50,58.50,57.40,58.00,"46,184",-0.06
06-Jul-2022,58.22,58.98,57.60,58.06,"144,321",-0.01
05-Jul-2022,59.90,59.90,57.99,58.07,"51,922",-0.87
04-Jul-2022,60.80,60.80,58.50,58.94,"38,706",-0.89
01-Jul-2022,59.49,60.75,58.00,59.83,"499,219",1.77
30-Jun-2022,57.46,58.84,56.80,58.06,"330,978",0.72
29-Jun-2022,60.80,60.80,56.99,57.34,"508,234",-2.33
28-Jun-2022,59.51,63.88,59.02,59.67,"74,657",-1.15
27-Jun-2022,60.50,61.00,58.61,60.82,"42,278",1.62
24-Jun-2022,63.90,63.90,57.86,59.20,"1,092,608",-3.35
23-Jun-2022,61.98,63.70,61.00,62.55,"516,100",1.60
22-Jun-2022,60.20,61.25,60.00,60.95,"645,984",1.46
21-Jun-2022,59.99,60.35,58.55,59.49,"304,835",0.34
20-Jun-2022,60.00,60.02,59.00,59.15,"168,045",-0.85
17-Jun-2022,59.00,60.50,58.50,60.00,"86,194",1.00
16-Jun-2022,58.47,59.49,58.00,59.00,"1,316,191",0.53
15-Jun-2022,59.95,59.95,57.25,58.47,"20,698",-0.49
14-Jun-2022,59.00,59.00,57.15,58.96,"65,116",0.60
13-Jun-2022,63.90,63.90,58.10,58.36,"314,985",-4.16
10-Jun-2022,64.39,64.39,62.40,62.52,"77,986",-0.93
08-Jun-2022,64.85,64.85,63.05,63.98,"92,209",-0.02
07-Jun-2022,64.99,64.99,63.00,64.00,"66,418",0.01
06-Jun-2022,63.89,64.47,63.00,63.99,"42,232",0.99
03-Jun-2022,65.99,65.99,62.56,63.00,"86,035",-1.76
02-Jun-2022,64.11,65.50,64.11,64.76,"327,617",-0.24
01-Jun-2022,65.90,65.90,65.00,65.00,"946,715",-0.31
31-May-2022,65.07,67.50,64.85,65.31,"2,171,078",-0.38
30-May-2022,66.80,66.80,65.51,65.69,"164,636",-0.34
27-May-2022,65.50,66.49,65.49,66.03,"2,883,098",0.56
26-May-2022,66.50,66.50,65.01,65.47,"82,522",-0.39
25-May-2022,66.00,66.95,64.80,65.86,"152,260",-0.14
24-May-2022,67.40,67.40,65.95,66.00,"34,563",-0.63
23-May-2022,66.01,67.00,66.01,66.63,"44,873",-0.36
20-May-2022,66.99,67.40,66.11,66.99,"199,140",0.64
19-May-2022,67.40,67.40,66.29,66.35,"42,941",-0.41
18-May-2022,66.55,68.50,66.01,66.76,"811,505",0.24
17-May-2022,66.99,67.00,65.50,66.52,"289,002",-0.34
16-May-2022,66.95,67.25,64.80,66.86,"192,251",-1.10
13-May-2022,66.99,68.25,66.12,67.96,"2,252,994",1.96
12-May-2022,66.90,66.90,64.98,66.00,"1,364,067",-0.57
11-May-2022,66.98,67.00,64.50,66.57,"2,409,897",0.32
10-May-2022,68.00,68.00,65.01,66.25,"323,632",0.19
09-May-2022,67.70,67.99,66.00,66.06,"1,033,465",-1.92
06-May-2022,68.48,68.50,67.05,67.98,"166,852",-0.26
28-Apr-2022,67.98,68.90,67.50,68.24,"653,876",0.41
27-Apr-2022,67.94,68.00,66.90,67.83,"25,735",0.54
26-Apr-2022,67.80,67.80,67.00,67.29,"130,970",-0.67
25-Apr-2022,68.00,68.05,66.60,67.96,"285,707",1.22
22-Apr-2022,67.99,68.50,66.00,66.74,"672,517",-0.42
21-Apr-2022,69.99,69.99,67.05,67.16,"506,616",-1.90
20-Apr-2022,70.90,70.90,68.90,69.06,"195,782",-0.57
19-Apr-2022,71.00,71.00,69.50,69.63,"386,663",-1.17
18-Apr-2022,70.50,71.98,70.21,70.80,"778,386",-0.69
15-Apr-2022,71.50,72.35,71.20,71.49,"82,182",-0.93
14-Apr-2022,72.00,72.45,71.51,72.42,"200,367",0.37
13-Apr-2022,72.80,72.80,71.60,72.05,"214,300",-0.81
12-Apr-2022,72.50,73.50,71.00,72.86,"904,437",0.38
11-Apr-2022,69.00,72.85,69.00,72.48,"1,122,084",3.79
08-Apr-2022,68.25,69.45,68.00,68.69,"900,316",1.69
07-Apr-2022,69.55,69.55,66.10,67.00,"150,354",-0.08
06-Apr-2022,67.05,68.05,67.00,67.08,"162,517",-0.01
05-Apr-2022,67.95,67.95,66.90,67.09,"186,855",-0.33
04-Apr-2022,67.75,67.97,65.15,67.42,"130,203",-0.55
01-Apr-2022,68.50,68.50,67.05,67.97,"71,865",0.03
31-Mar-2022,67.55,68.00,67.37,67.94,"186,432",0.37
30-Mar-2022,67.04,67.65,67.00,67.57,"241,115",0.53
29-Mar-2022,67.81,68.19,66.99,67.04,"1,294,503",-0.77
28-Mar-2022,67.99,68.00,67.70,67.81,"295,733",-0.18
25-Mar-2022,67.95,68.00,67.61,67.99,"23,684",0.05
24-Mar-2022,67.29,68.95,67.29,67.94,"309,058",0.13
22-Mar-2022,69.00,69.00,67.80,67.81,"326,622",-0.96
21-Mar-2022,69.25,69.25,68.00,68.77,"118,994",-0.59
18-Mar-2022,69.40,70.00,67.20,69.36,"1,372,034",0.57
17-Mar-2022,68.56,70.50,68.10,68.79,"838,903",-0.08
16-Mar-2022,74.20,76.39,74.20,75.87,"1,409,748",0.79
15-Mar-2022,74.01,75.89,74.01,75.08,"93,487",0.97
14-Mar-2022,74.50,75.00,74.00,74.11,"207,617",-0.45
11-Mar-2022,75.50,76.00,74.15,74.56,"345,928",-0.90
10-Mar-2022,76.15,76.15,74.62,75.46,"406,771",1.08
09-Mar-2022,75.20,75.84,74.05,74.38,"585,216",-0.65
08-Mar-2022,76.50,76.50,74.90,75.03,"166,497",-0.70
07-Mar-2022,75.80,76.64,74.01,75.73,"415,000",-0.45
04-Mar-2022,76.49,77.00,75.80,76.18,"3,044,315",0.08
03-Mar-2022,76.39,76.39,75.05,76.10,"334,533",0.23
02-Mar-2022,76.49,76.49,75.27,75.87,"56,456",-0.16
01-Mar-2022,75.51,76.49,75.51,76.03,"42,876",-0.13
28-Feb-2022,76.35,76.50,75.00,76.16,"600,985",0.14
25-Feb-2022,75.05,76.50,75.05,76.02,"210,628",0.69
24-Feb-2022,74.06,76.65,74.06,75.33,"504,705",-1.33
23-Feb-2022,76.84,76.84,75.56,76.66,"142,801",0.21
22-Feb-2022,76.00,76.89,75.50,76.45,"1,164,419",-0.16
21-Feb-2022,76.25,77.00,76.25,76.61,"476,588",0.75
18-Feb-2022,76.50,76.50,75.49,75.86,"106,485",-0.12
17-Feb-2022,75.51,76.40,75.32,75.98,"108,981",0.01
16-Feb-2022,76.85,76.85,75.55,75.97,"39,397",-0.06
15-Feb-2022,76.14,76.30,75.45,76.03,"148,088",-0.02
14-Feb-2022,75.99,76.20,75.10,76.05,"155,162",-0.09
11-Feb-2022,76.00,76.19,75.20,76.14,"242,783",0.24
10-Feb-2022,76.84,77.35,75.52,75.90,"520,337",-0.92
09-Feb-2022,74.00,78.49,72.51,76.82,"4,470,267",3.22
08-Feb-2022,74.07,74.74,73.50,73.60,"201,676",-0.90
07-Feb-2022,76.00,76.00,74.08,74.50,"138,675",-0.42
04-Feb-2022,75.50,75.50,74.26,74.92,"37,359",0.03
03-Feb-2022,74.60,75.89,74.60,74.89,"59,171",-0.56
02-Feb-2022,75.00,75.50,74.00,75.45,"153,691",0.45
01-Feb-2022,75.90,75.90,74.02,75.00,"129,011",0.02
31-Jan-2022,72.35,75.25,71.75,74.98,"1,838,610",2.98
28-Jan-2022,72.47,72.47,71.25,72.00,"10,702",0.00
27-Jan-2022,72.48,72.48,71.51,72.00,"13,213",0.00
26-Jan-2022,71.49,72.10,70.65,72.00,"131,574",0.89
25-Jan-2022,72.00,72.00,70.05,71.11,"198,734",-0.72
24-Jan-2022,71.78,72.00,70.40,71.83,"126,910",0.50
21-Jan-2022,71.00,71.55,69.50,71.33,"1,037,765",1.33
20-Jan-2022,69.02,70.24,68.61,70.00,"322,294",0.75
19-Jan-2022,69.85,70.00,69.06,69.25,"187,343",-0.01
18-Jan-2022,70.34,70.34,68.88,69.26,"472,488",-1.08
17-Jan-2022,71.28,71.28,69.90,70.34,"20,073",0.30
14-Jan-2022,70.15,71.00,70.00,70.04,"128,686",-0.09
13-Jan-2022,70.64,71.40,70.01,70.13,"1,505,238",-0.11
11-Jan-2022,70.49,70.49,69.30,69.92,"324,542",-0.17
10-Jan-2022,69.05,70.50,69.00,70.09,"258,825",1.09
07-Jan-2022,69.45,69.45,68.51,69.00,"217,570",0.50
06-Jan-2022,69.25,69.40,68.45,68.50,"177,193",-0.50
05-Jan-2022,69.95,69.95,68.99,69.00,"101,773",-0.32
04-Jan-2022,69.00,70.35,69.00,69.32,"42,498",0.30
03-Jan-2022,68.51,69.25,68.25,69.02,"91,935",0.01
31-Dec-2021,68.05,69.70,68.05,69.01,"150,688",0.18
30-Dec-2021,68.51,69.50,68.50,68.83,"168,339",-0.56
29-Dec-2021,68.40,70.74,68.40,69.39,"87,826",0.43
28-Dec-2021,69.00,69.00,68.28,68.96,"920,290",0.08
27-Dec-2021,69.02,69.05,68.75,68.88,"45,495",-0.12
24-Dec-2021,70.49,70.49,68.51,69.00,"384,890",0.05
23-Dec-2021,68.50,71.00,68.50,68.95,"236,225",-0.05
22-Dec-2021,69.01,69.40,68.70,69.00,"131,174",-0.12
21-Dec-2021,69.10,70.00,69.00,69.12,"391,975",-0.43
20-Dec-2021,69.94,71.50,69.00,69.55,"342,151",0.87
17-Dec-2021,69.97,69.97,67.71,68.68,"2,599,089",0.49
16-Dec-2021,69.35,70.00,68.00,68.19,"142,891",-1.05
15-Dec-2021,71.99,71.99,69.00,69.24,"466,989",-1.73
14-Dec-2021,71.15,71.49,70.50,70.97,"24,682",-0.18
13-Dec-2021,69.80,72.00,69.50,71.15,"280,887",1.16
10-Dec-2021,72.98,72.98,69.77,69.99,"251,877",-1.22
09-Dec-2021,72.99,72.99,71.00,71.21,"164,156",-0.48
08-Dec-2021,72.70,72.70,71.20,71.69,"10,034",0.47
07-Dec-2021,72.80,72.80,71.00,71.22,"85,210",-0.33
06-Dec-2021,72.80,73.02,71.01,71.55,"14,330",0.02
03-Dec-2021,71.50,73.00,70.02,71.53,"680,548",0.48
02-Dec-2021,73.00,73.00,71.00,71.05,"120,461",-2.14
01-Dec-2021,72.63,73.75,72.50,73.19,"226,200",0.49
30-Nov-2021,74.75,75.45,72.50,72.70,"526,695",-0.58
29-Nov-2021,72.80,73.70,72.70,73.28,"136,770",0.56
26-Nov-2021,73.00,74.15,72.50,72.72,"465,058",0.22
25-Nov-2021,72.60,72.75,72.00,72.50,"132,357",-0.57
24-Nov-2021,74.94,74.94,72.52,73.07,"232,515",-1.87
23-Nov-2021,75.49,75.49,73.50,74.94,"1,014,595",0.82
22-Nov-2021,74.50,77.00,74.00,74.12,"1,121,176",0.78
19-Nov-2021,70.80,73.50,70.80,73.34,"853,491",1.84
18-Nov-2021,72.20,72.50,70.40,71.50,"346,031",-0.48
17-Nov-2021,70.90,72.25,70.10,71.98,"144,512",1.47
16-Nov-2021,71.40,71.40,69.11,70.51,"254,895",-0.47
15-Nov-2021,69.20,71.29,69.20,70.98,"33,556",0.85
12-Nov-2021,71.45,71.45,69.71,70.13,"88,534",0.06
11-Nov-2021,70.15,70.80,70.01,70.07,"721,717",-0.91
10-Nov-2021,71.70,71.70,70.00,70.98,"281,176",0.81
09-Nov-2021,72.00,72.00,69.90,70.17,"704,652",-1.07
08-Nov-2021,71.03,71.70,71.00,71.24,"246,633",-0.52
05-Nov-2021,71.70,72.00,71.01,71.76,"252,646",0.25
04-Nov-2021,71.70,71.70,71.00,71.51,"266,466",0.07
03-Nov-2021,71.49,71.50,70.55,71.44,"23,844",0.19
02-Nov-2021,71.00,71.49,71.00,71.25,"97,115",0.30
01-Nov-2021,71.25,71.25,70.40,70.95,"209,469",0.79
29-Oct-2021,70.45,70.98,70.00,70.16,"245,345",0.13
28-Oct-2021,70.40,71.30,70.00,70.03,"975,300",-0.22
27-Oct-2021,70.00,71.35,70.00,70.25,"131,601",-0.50
26-Oct-2021,70.67,71.00,70.30,70.75,"96,990",0.08
25-Oct-2021,71.90,71.90,70.21,70.50,"92,443",-0.33
22-Oct-2021,71.90,71.99,70.40,71.00,"151,177",-0.50
21-Oct-2021,70.41,72.00,69.10,71.50,"1,607,718",1.93
20-Oct-2021,68.79,70.49,67.99,69.57,"796,490",1.50
18-Oct-2021,71.49,71.49,65.23,68.07,"1,854,491",-2.44
15-Oct-2021,70.99,71.25,69.20,70.51,"871,113",-0.18
14-Oct-2021,69.01,72.80,69.01,70.69,"2,266,926",0.98
13-Oct-2021,70.00,70.00,69.50,69.71,"769,580",0.21
12-Oct-2021,68.01,69.74,67.75,69.50,"600,294",1.06
11-Oct-2021,69.50,69.50,68.00,68.44,"194,809",-0.54
08-Oct-2021,68.75,69.00,67.52,68.98,"55,315",0.94
07-Oct-2021,68.50,69.00,67.80,68.04,"288,969",0.25
06-Oct-2021,68.99,68.99,67.75,67.79,"155,081",-0.22
05-Oct-2021,68.10,69.00,67.70,68.01,"326,037",-0.98
04-Oct-2021,68.06,69.69,68.06,68.99,"72,436",-0.30
01-Oct-2021,69.75,70.00,68.20,69.29,"105,734",0.14
30-Sep-2021,68.50,69.50,67.81,69.15,"708,407",1.36
29-Sep-2021,69.85,70.00,67.50,67.79,"290,262",-0.52
28-Sep-2021,68.78,68.90,68.00,68.31,"461,162",-0.32
27-Sep-2021,69.98,69.98,68.00,68.63,"315,123",-0.44
24-Sep-2021,69.25,69.90,68.30,69.07,"52,716",0.30
23-Sep-2021,69.99,69.99,68.55,68.77,"472,264",-0.54
22-Sep-2021,68.22,69.70,67.00,69.31,"133,275",0.41
21-Sep-2021,70.00,70.00,68.50,68.90,"51,074",-1.10
20-Sep-2021,69.50,70.00,69.00,70.00,"274,642",0.49
17-Sep-2021,68.51,69.69,68.50,69.51,"767,881",0.51
16-Sep-2021,69.25,69.25,68.80,69.00,"125,637",0.00
15-Sep-2021,68.55,69.24,68.00,69.00,"236,016",0.89
14-Sep-2021,68.55,68.79,67.91,68.11,"129,549",0.00
13-Sep-2021,68.98,68.98,68.00,68.11,"956,391",-0.83
10-Sep-2021,68.15,69.50,68.15,68.94,"112,533",0.42
09-Sep-2021,68.75,69.00,68.49,68.52,"329,763",0.07
08-Sep-2021,68.90,69.00,68.00,68.45,"80,992",-0.05
07-Sep-2021,68.50,68.85,68.00,68.50,"140,494",-0.01
06-Sep-2021,68.49,69.50,67.51,68.51,"313,285",0.70
03-Sep-2021,67.99,68.38,67.80,67.81,"8,553",-0.12
02-Sep-2021,68.00,68.50,67.80,67.93,"218,711",-0.11
01-Sep-2021,68.10,68.48,67.90,68.04,"1,164,121",0.02
31-Aug-2021,68.70,69.00,67.90,68.02,"515,271",-0.78
30-Aug-2021,69.50,69.50,68.12,68.80,"147,311",-0.22
27-Aug-2021,69.75,69.75,69.00,69.02,"753,351",-0.46
26-Aug-2021,69.70,69.70,68.80,69.48,"125,103",0.48
25-Aug-2021,69.25,69.70,68.20,69.00,"123,547",-0.65
23-Aug-2021,69.75,69.96,68.90,69.71,"134,393",0.43
20-Aug-2021,69.15,69.85,68.01,69.28,"56,863",0.15
17-Aug-2021,69.13,69.91,69.00,69.13,"102,007",-0.36
16-Aug-2021,69.35,69.80,68.50,69.49,"109,263",0.49
13-Aug-2021,69.50,69.50,68.51,69.00,"54,571",-0.22
12-Aug-2021,69.50,69.75,69.20,69.22,"113,865",0.80
11-Aug-2021,69.90,69.94,68.40,68.42,"16,028",-0.88
10-Aug-2021,69.25,69.50,69.00,69.30,"66,257",0.05
09-Aug-2021,70.98,70.98,69.25,69.25,"270,363",-0.12
06-Aug-2021,69.51,70.00,69.25,69.37,"618,828",-0.33
05-Aug-2021,70.96,70.96,69.65,69.70,"131,191",-0.60
04-Aug-2021,71.00,71.00,70.00,70.30,"433,145",-0.50
03-Aug-2021,70.70,71.00,70.60,70.80,"83,327",0.26
02-Aug-2021,69.50,70.59,69.50,70.54,"113,310",0.62
30-Jul-2021,70.69,70.70,69.60,69.92,"96,814",-0.32
29-Jul-2021,69.51,70.70,69.50,70.24,"453,705",0.23
28-Jul-2021,70.40,70.40,69.53,70.01,"286,247",-0.06
27-Jul-2021,69.90,70.60,69.56,70.07,"283,991",0.52
26-Jul-2021,69.51,69.94,69.50,69.55,"63,833",0.05
23-Jul-2021,69.50,69.98,69.30,69.50,"45,888",-0.46
19-Jul-2021,69.99,70.00,69.50,69.96,"321,406",0.09
16-Jul-2021,69.63,70.20,69.60,69.87,"181,799",-0.13
15-Jul-2021,70.00,70.00,69.61,70.00,"234,199",0.26
14-Jul-2021,69.94,70.00,69.50,69.74,"75,319",-0.12
13-Jul-2021,69.03,70.00,69.00,69.86,"1,066,972",0.93
12-Jul-2021,69.13,69.98,68.15,68.93,"260,550",-0.92
09-Jul-2021,69.17,70.00,69.17,69.85,"1,089,088",-0.13
08-Jul-2021,69.00,70.00,69.00,69.98,"204,494",0.71
07-Jul-2021,70.00,70.50,69.02,69.27,"137,133",-0.72
06-Jul-2021,70.00,70.24,69.70,69.99,"138,987",0.30
05-Jul-2021,70.00,70.21,69.50,69.69,"235,939",-0.80
02-Jul-2021,70.26,70.79,70.04,70.49,"44,797",0.23
01-Jul-2021,70.94,70.95,70.00,70.26,"156,002",0.14
30-Jun-2021,69.98,70.95,69.50,70.12,"1,103,995",0.02
29-Jun-2021,71.49,72.60,69.55,70.10,"830,420",0.11
28-Jun-2021,72.85,72.85,69.10,69.99,"261,469",-0.42
25-Jun-2021,70.01,70.99,70.01,70.41,"125,194",-0.05
24-Jun-2021,71.40,71.40,70.30,70.46,"104,302",-0.13
23-Jun-2021,71.50,71.50,70.50,70.59,"271,463",-0.61
22-Jun-2021,71.50,71.99,71.00,71.20,"109,031",-0.38
21-Jun-2021,72.32,72.32,70.85,71.58,"71,427",-0.74
18-Jun-2021,72.80,72.98,71.03,72.32,"52,013",0.12
17-Jun-2021,72.20,72.84,72.10,72.20,"127,837",-0.30
16-Jun-2021,73.00,73.00,72.20,72.50,"162,661",0.08
15-Jun-2021,72.51,72.95,72.20,72.42,"215,497",-0.30
14-Jun-2021,74.00,74.00,72.52,72.72,"282,253",-0.18
11-Jun-2021,72.15,73.25,72.15,72.90,"127,418",-0.04
10-Jun-2021,71.70,73.06,71.70,72.94,"196,826",1.11
09-Jun-2021,72.55,72.77,71.60,71.83,"120,860",-0.72
08-Jun-2021,72.90,72.90,71.13,72.55,"87,712",0.49
07-Jun-2021,72.00,73.00,71.53,72.06,"281,618",0.36
04-Jun-2021,73.99,73.99,71.05,71.70,"412,827",-1.49
03-Jun-2021,74.07,74.50,73.05,73.19,"289,548",-1.01
02-Jun-2021,74.00,75.11,73.99,74.20,"7,060,423",0.20
01-Jun-2021,73.43,74.25,72.25,74.00,"7,327,304",0.57
31-May-2021,73.05,74.80,72.50,73.43,"2,389,922",0.38
28-May-2021,70.49,73.40,70.48,73.05,"2,396,180",2.76
27-May-2021,70.00,72.10,69.00,70.29,"1,266,608",0.25
26-May-2021,69.25,70.10,68.20,70.04,"1,108,346",1.36
25-May-2021,68.00,69.15,66.70,68.68,"1,031,162",0.82
24-May-2021,67.00,68.00,66.67,67.86,"1,078,718",0.90
21-May-2021,67.00,67.45,66.23,66.96,"173,845",0.76
20-May-2021,66.99,66.99,66.00,66.20,"187,260",0.00
19-May-2021,66.01,66.50,66.01,66.20,"231,257",-0.16
18-May-2021,67.95,67.95,66.10,66.36,"588,761",-1.54
17-May-2021,68.50,69.00,67.37,67.90,"207,830",-0.16
06-May-2021,69.00,69.00,67.12,68.06,"881,713",0.72
05-May-2021,67.15,68.00,67.00,67.34,"187,552",0.77
04-May-2021,65.84,67.40,65.00,66.57,"522,898",0.37
03-May-2021,64.60,67.00,64.51,66.20,"394,614",0.03
30-Apr-2021,65.27,66.59,65.27,66.17,"390,500",1.11
29-Apr-2021,65.25,66.60,64.40,65.06,"210,714",-1.57
28-Apr-2021,66.34,67.39,66.10,66.63,"148,771",0.30
27-Apr-2021,66.01,68.74,65.05,66.33,"1,348,572",-0.16
26-Apr-2021,64.93,67.00,63.01,66.49,"746,985",2.45
23-Apr-2021,65.00,65.00,63.90,64.04,"334,555",-0.58
22-Apr-2021,64.13,65.80,64.02,64.62,"411,829",0.50
21-Apr-2021,64.25,64.95,64.00,64.12,"379,672",-0.33
20-Apr-2021,64.25,64.50,63.99,64.45,"89,883",0.90
19-Apr-2021,64.21,64.21,62.90,63.55,"96,055",-0.83
16-Apr-2021,64.07,64.97,64.07,64.38,"10,797",0.31
15-Apr-2021,64.89,64.89,64.00,64.07,"11,130",-0.85
14-Apr-2021,64.00,65.00,63.50,64.92,"291,304",0.96
13-Apr-2021,62.95,64.20,62.95,63.96,"179,796",1.04
12-Apr-2021,63.01,63.95,62.87,62.92,"295,412",-0.12
