date,open,high,low,close,volume,change
02-Nov-2022,133.75,133.75,132.50,132.50,"7,200",-0.43
01-Nov-2022,132.75,132.95,132.72,132.93,"1,000",1.84
31-Oct-2022,131.50,131.83,131.00,131.09,"10,600",-3.34
28-Oct-2022,138.00,139.00,137.50,138.43,"18,600",0.40
27-Oct-2022,135.30,138.29,135.30,138.03,"2,900",0.10
26-Oct-2022,138.00,138.00,134.00,137.93,"24,000",1.18
25-Oct-2022,137.50,138.85,136.00,136.75,"7,700",-0.11
24-Oct-2022,139.85,139.99,136.10,136.86,"22,600",0.36
21-Oct-2022,135.45,139.00,135.00,136.50,"37,700",2.00
20-Oct-2022,132.00,136.00,132.00,134.50,"20,300",2.28
19-Oct-2022,132.00,132.50,131.25,132.22,"4,700",2.22
18-Oct-2022,130.11,130.11,130.00,130.00,"4,900",-0.50
17-Oct-2022,131.50,131.50,130.05,130.50,"1,600",0.45
14-Oct-2022,130.10,130.10,130.00,130.05,"8,000",0.00
13-Oct-2022,130.90,131.12,130.00,130.05,"4,300",-0.05
12-Oct-2022,130.03,131.11,130.00,130.10,"7,000",0.07
11-Oct-2022,132.21,133.05,130.00,130.03,"10,900",-1.99
10-Oct-2022,132.10,133.75,132.02,132.02,"1,000",0.00
07-Oct-2022,134.49,134.50,132.02,132.02,"1,300",-2.08
06-Oct-2022,134.50,135.00,134.00,134.10,"1,700",-0.43
05-Oct-2022,131.99,135.00,130.00,134.53,"24,700",3.49
04-Oct-2022,131.95,131.95,130.00,131.04,"3,600",0.87
03-Oct-2022,132.50,132.50,129.00,130.17,"16,200",-0.24
30-Sep-2022,132.49,132.75,130.40,130.41,"5,000",-1.37
29-Sep-2022,131.15,131.78,126.50,131.78,"58,500",0.50
28-Sep-2022,135.00,135.79,133.17,135.28,"9,900",1.28
27-Sep-2022,133.51,138.00,133.30,134.00,"19,800",0.72
26-Sep-2022,132.00,134.22,131.10,133.28,"159,600",3.80
23-Sep-2022,130.10,131.88,127.15,129.48,"3,500",-2.52
22-Sep-2022,132.89,132.89,130.00,132.00,"4,900",-0.50
21-Sep-2022,132.95,132.99,130.00,132.50,"7,300",0.50
20-Sep-2022,132.50,132.50,130.00,132.00,"108,500",-0.66
19-Sep-2022,130.50,132.95,130.50,132.66,"2,100",1.84
16-Sep-2022,132.00,133.00,130.03,130.82,"2,200",-0.43
15-Sep-2022,133.08,133.08,131.25,131.25,"4,700",-1.83
14-Sep-2022,133.45,133.65,133.05,133.08,"12,700",0.68
13-Sep-2022,133.24,133.50,132.00,132.40,"4,100",1.15
12-Sep-2022,133.50,133.50,130.50,131.25,"2,100",-0.40
09-Sep-2022,130.45,133.65,130.00,131.65,"5,300",1.27
08-Sep-2022,132.05,134.98,130.05,130.38,"11,000",-1.67
07-Sep-2022,132.03,133.00,131.28,132.05,"10,700",0.59
06-Sep-2022,132.99,132.99,131.00,131.46,"2,900",0.46
05-Sep-2022,133.80,133.80,131.00,131.00,"2,600",-1.49
02-Sep-2022,132.75,133.00,132.00,132.49,"19,500",0.49
01-Sep-2022,130.69,132.00,126.04,132.00,"7,800",4.03
31-Aug-2022,129.28,129.28,127.50,127.97,"3,700",0.47
30-Aug-2022,127.75,127.75,127.50,127.50,"2,600",0.00
29-Aug-2022,121.00,128.95,121.00,127.50,"1,700",0.50
26-Aug-2022,127.00,127.50,127.00,127.00,"3,000",-0.03
25-Aug-2022,127.05,127.05,127.03,127.03,"1,500",0.00
24-Aug-2022,128.01,128.01,127.00,127.03,"6,500",-3.60
23-Aug-2022,130.99,130.99,129.90,130.63,300,3.63
22-Aug-2022,129.80,129.80,125.01,127.00,"4,400",-1.00
19-Aug-2022,126.00,128.01,126.00,128.00,"7,300",-0.01
18-Aug-2022,127.08,128.75,127.08,128.01,"3,500",1.42
17-Aug-2022,126.74,128.00,126.30,126.59,"1,800",-1.07
16-Aug-2022,125.00,128.00,125.00,127.66,"11,500",1.63
15-Aug-2022,125.03,128.74,125.00,126.03,"11,000",1.00
12-Aug-2022,125.99,127.00,122.22,125.03,"2,600",-0.97
11-Aug-2022,126.00,126.00,126.00,126.00,300,-1.01
10-Aug-2022,128.00,129.00,126.30,127.01,"8,500",0.01
05-Aug-2022,127.00,128.00,126.99,127.00,"16,900",1.00
04-Aug-2022,123.04,127.30,123.00,126.00,"3,300",2.45
03-Aug-2022,124.00,124.50,123.10,123.55,"2,800",2.25
02-Aug-2022,121.30,121.30,121.30,121.30,500,-0.03
01-Aug-2022,120.01,123.98,120.01,121.33,300,-1.18
29-Jul-2022,123.80,125.00,122.00,122.51,900,-1.49
28-Jul-2022,123.95,124.00,123.95,124.00,400,1.01
27-Jul-2022,120.10,122.99,120.10,122.99,"1,200",3.02
25-Jul-2022,118.10,120.00,118.10,119.97,800,-1.67
22-Jul-2022,120.10,122.01,120.00,121.64,"6,200",0.48
21-Jul-2022,123.12,123.12,120.74,121.16,"3,600",-2.88
20-Jul-2022,125.00,125.39,124.02,124.04,"3,400",-0.96
19-Jul-2022,126.00,126.89,125.00,125.00,"4,400",-0.78
18-Jul-2022,127.01,127.01,125.00,125.78,"8,400",-2.26
15-Jul-2022,128.03,129.75,128.00,128.04,"3,200",0.04
14-Jul-2022,127.01,129.00,127.00,128.00,"2,200",1.01
13-Jul-2022,125.06,127.80,125.00,126.99,"4,600",1.74
07-Jul-2022,127.01,127.01,125.11,125.25,"1,500",-1.77
06-Jul-2022,127.00,127.99,127.00,127.02,"10,100",0.51
05-Jul-2022,126.07,128.00,126.07,126.51,400,-1.49
04-Jul-2022,126.20,128.00,126.20,128.00,"8,700",0.53
01-Jul-2022,126.10,127.90,125.05,127.47,"2,900",0.49
30-Jun-2022,129.84,129.84,126.51,126.98,"8,900",-1.58
29-Jun-2022,127.70,129.49,127.00,128.56,"6,100",0.29
28-Jun-2022,126.26,130.00,126.26,128.27,"8,700",0.64
27-Jun-2022,127.50,128.99,126.75,127.63,"39,100",0.36
24-Jun-2022,131.49,131.50,120.72,127.27,"9,700",-3.19
23-Jun-2022,131.92,131.93,130.35,130.46,"3,400",0.04
22-Jun-2022,130.50,131.79,130.20,130.42,"1,300",0.41
21-Jun-2022,132.00,132.00,129.50,130.01,"2,800",0.97
20-Jun-2022,130.98,131.88,128.04,129.04,"6,700",-0.96
17-Jun-2022,130.01,133.33,129.36,130.00,"34,000",0.00
16-Jun-2022,130.99,130.99,130.00,130.00,"6,100",-0.01
15-Jun-2022,131.03,131.03,129.61,130.01,"15,600",-1.99
14-Jun-2022,133.00,133.00,131.06,132.00,"12,800",-1.00
13-Jun-2022,133.50,133.50,132.50,133.00,"27,500",-0.14
10-Jun-2022,134.50,134.50,132.03,133.14,800,-0.36
09-Jun-2022,134.00,134.00,133.50,133.50,"2,200",-0.80
07-Jun-2022,134.50,134.50,133.90,134.00,"2,100",2.48
06-Jun-2022,131.50,131.63,131.50,131.52,"1,000",0.02
03-Jun-2022,133.10,136.00,131.50,131.50,"4,700",-1.60
02-Jun-2022,133.01,134.90,133.01,133.10,"3,300",-0.95
01-Jun-2022,134.01,134.05,132.50,134.05,"13,900",-0.44
31-May-2022,136.00,136.35,134.00,134.49,"3,800",-0.71
30-May-2022,136.50,136.60,134.00,135.20,"3,900",-2.30
27-May-2022,136.75,138.00,136.00,137.50,"9,300",0.84
26-May-2022,135.00,136.75,135.00,136.66,"5,100",2.01
25-May-2022,133.00,135.00,132.00,134.65,"3,900",0.81
24-May-2022,134.51,134.51,133.50,133.84,600,0.34
23-May-2022,134.05,134.06,132.02,133.50,"2,900",-0.55
20-May-2022,134.05,134.05,134.05,134.05,100,0.00
19-May-2022,135.00,135.99,134.00,134.05,"2,500",-0.95
18-May-2022,135.00,135.00,135.00,135.00,600,0.02
17-May-2022,134.50,135.00,132.01,134.98,"6,100",0.43
16-May-2022,136.02,136.02,134.10,134.55,"4,400",-2.25
13-May-2022,137.00,137.00,136.00,136.80,"10,900",-0.08
12-May-2022,138.00,138.00,134.51,136.88,"8,200",1.88
11-May-2022,137.21,137.21,134.50,135.00,"10,700",-2.86
10-May-2022,139.90,139.90,137.00,137.86,"12,100",-0.32
09-May-2022,140.01,140.01,137.01,138.18,"9,600",-1.83
06-May-2022,142.18,144.90,140.00,140.01,"11,300",-2.15
28-Apr-2022,142.55,143.49,141.05,142.16,"6,100",-0.39
27-Apr-2022,141.00,144.90,141.00,142.55,"6,300",0.90
26-Apr-2022,145.93,147.00,145.00,145.65,"25,300",-2.15
25-Apr-2022,147.00,149.85,145.50,147.80,"16,400",4.05
22-Apr-2022,144.00,144.05,143.50,143.75,"1,600",-2.25
21-Apr-2022,144.00,147.00,140.00,146.00,"7,100",1.00
20-Apr-2022,146.10,146.10,144.00,145.00,"6,700",-1.66
19-Apr-2022,148.78,148.78,146.00,146.66,"1,100",1.40
18-Apr-2022,144.50,146.00,144.50,145.26,"32,900",-2.64
15-Apr-2022,142.50,148.00,142.00,147.90,"4,100",2.90
14-Apr-2022,142.49,145.00,142.49,145.00,"11,300",2.68
13-Apr-2022,144.99,145.00,142.00,142.32,"2,400",-2.94
12-Apr-2022,142.00,145.99,142.00,145.26,"25,900",0.96
11-Apr-2022,140.74,146.00,140.00,144.30,"10,300",3.56
08-Apr-2022,140.50,140.74,140.50,140.74,100,0.00
07-Apr-2022,139.00,141.47,139.00,140.74,"1,200",0.74
06-Apr-2022,140.00,141.00,138.75,140.00,"1,000",2.00
04-Apr-2022,140.00,140.90,138.00,138.00,"3,000",-2.12
01-Apr-2022,141.50,143.99,140.00,140.12,"4,200",-0.26
30-Mar-2022,140.00,140.38,138.00,140.38,"7,400",-1.12
29-Mar-2022,138.62,141.50,138.62,141.50,700,1.28
28-Mar-2022,140.95,140.95,138.60,140.22,"4,400",0.67
25-Mar-2022,139.90,139.96,129.88,139.55,"2,800",-0.46
24-Mar-2022,140.00,140.25,138.99,140.01,"38,500",0.71
22-Mar-2022,139.01,139.30,139.01,139.30,600,0.02
21-Mar-2022,138.99,139.28,138.99,139.28,100,0.00
18-Mar-2022,140.05,141.02,139.00,139.28,"4,000",-0.76
