date,open,high,low,close,volume,change
02-Nov-2022,124.95,128.85,123.08,128.07,"1,088,998",3.16
01-Nov-2022,124.99,125.44,122.63,124.91,"1,072,552",3.66
31-Oct-2022,122.00,122.50,119.99,121.25,"124,558",1.06
28-Oct-2022,123.41,123.41,118.50,120.19,"375,879",-3.22
27-Oct-2022,117.25,124.00,117.25,123.41,"1,199,566",4.91
26-Oct-2022,119.01,119.84,115.26,118.50,"466,337",-1.67
25-Oct-2022,123.25,123.50,119.01,120.17,"106,238",-2.31
24-Oct-2022,125.00,125.80,122.05,122.48,"125,836",-0.84
21-Oct-2022,122.90,124.00,120.20,123.32,"306,262",0.01
20-Oct-2022,126.40,126.74,122.50,123.31,"359,960",-2.63
19-Oct-2022,121.45,126.85,120.50,125.94,"1,268,229",5.85
18-Oct-2022,121.00,122.38,119.48,120.09,"417,902",0.79
17-Oct-2022,120.56,122.00,118.90,119.30,"129,101",-2.45
14-Oct-2022,123.00,124.85,121.50,121.75,"198,122",-0.59
13-Oct-2022,123.00,124.11,121.50,122.34,"316,393",-1.04
12-Oct-2022,122.01,125.50,121.99,123.38,"368,586",0.25
11-Oct-2022,125.75,125.75,122.55,123.13,"419,915",-2.78
10-Oct-2022,122.00,126.50,122.00,125.91,"859,882",3.60
07-Oct-2022,123.00,125.50,121.75,122.31,"946,775",0.13
06-Oct-2022,123.51,126.49,122.00,122.18,"1,351,960",0.74
05-Oct-2022,114.50,121.65,113.88,121.44,"1,997,021",8.27
04-Oct-2022,111.17,114.45,109.00,113.17,"633,753",2.00
03-Oct-2022,112.57,113.50,110.25,111.17,"645,208",-1.40
30-Sep-2022,114.50,117.90,113.01,115.57,"2,508,633",0.31
29-Sep-2022,116.20,116.39,113.50,115.26,"1,276,084",0.00
28-Sep-2022,116.20,117.30,114.56,115.26,"830,302",-0.84
27-Sep-2022,116.85,119.00,115.00,116.10,"1,798,102",0.38
26-Sep-2022,112.00,118.20,112.00,115.72,"1,000,306",4.88
23-Sep-2022,115.00,115.30,109.50,110.84,"242,090",-3.01
22-Sep-2022,111.00,114.50,109.15,113.85,"603,408",0.52
21-Sep-2022,114.01,115.50,112.84,113.33,"337,425",-0.11
20-Sep-2022,112.50,114.50,112.00,113.44,"291,202",0.81
19-Sep-2022,111.15,113.45,111.15,112.63,"84,499",0.13
16-Sep-2022,110.15,113.87,109.06,112.50,"738,236",0.89
15-Sep-2022,115.80,116.60,110.55,111.61,"529,516",-3.64
14-Sep-2022,116.50,117.50,114.50,115.25,"469,062",-1.97
13-Sep-2022,114.00,117.95,114.00,117.22,"907,624",3.33
12-Sep-2022,118.00,118.00,113.60,113.89,"317,086",-2.45
09-Sep-2022,115.00,121.00,114.90,116.34,"1,156,279",2.46
08-Sep-2022,107.44,113.89,107.01,113.88,"1,222,731",7.93
07-Sep-2022,106.88,106.88,104.90,105.95,"166,772",0.28
06-Sep-2022,106.45,106.69,104.12,105.67,"242,053",-0.11
05-Sep-2022,107.00,110.50,104.62,105.78,"451,542",-2.57
02-Sep-2022,108.98,111.11,107.20,108.35,"539,578",-0.64
01-Sep-2022,102.97,109.74,102.50,108.99,"1,703,441",6.90
31-Aug-2022,99.01,103.20,99.00,102.09,"512,572",2.15
30-Aug-2022,103.99,104.85,99.25,99.94,"382,616",-2.14
29-Aug-2022,103.00,103.00,98.00,102.08,"377,543",0.88
26-Aug-2022,104.66,105.50,100.50,101.20,"345,282",-3.59
25-Aug-2022,103.66,106.49,101.55,104.79,"443,574",2.32
24-Aug-2022,104.40,104.40,101.50,102.47,"223,478",-0.84
23-Aug-2022,101.51,104.47,101.50,103.31,"365,194",3.35
22-Aug-2022,106.50,106.50,99.50,99.96,"199,247",-4.01
19-Aug-2022,105.00,105.50,103.10,103.97,"89,936",-1.43
