date,open,high,low,close,volume,change
02-Nov-2022,4.78,4.93,4.71,4.88,"15,932,600",0.13
01-Nov-2022,4.69,4.80,4.66,4.75,"11,605,314",0.11
31-Oct-2022,4.72,4.74,4.61,4.64,"4,123,445",-0.02
28-Oct-2022,4.80,4.82,4.64,4.66,"10,356,517",-0.14
27-Oct-2022,4.84,4.90,4.75,4.80,"6,481,695",-0.03
26-Oct-2022,4.94,4.94,4.82,4.83,"7,836,077",-0.13
25-Oct-2022,5.03,5.04,4.95,4.96,"2,801,921",-0.06
24-Oct-2022,5.12,5.19,5.00,5.02,"6,215,808",-0.04
21-Oct-2022,5.05,5.10,4.95,5.06,"12,280,817",0.09
20-Oct-2022,5.01,5.05,4.94,4.97,"4,204,569",-0.05
19-Oct-2022,4.91,5.04,4.91,5.02,"3,513,235",0.10
18-Oct-2022,4.91,4.99,4.90,4.92,"2,583,805",0.01
17-Oct-2022,5.04,5.05,4.89,4.91,"4,444,678",-0.10
14-Oct-2022,5.08,5.09,5.00,5.01,"2,377,504",-0.07
13-Oct-2022,5.00,5.11,4.95,5.08,"5,543,725",0.08
12-Oct-2022,5.14,5.14,4.96,5.00,"9,367,000",-0.15
11-Oct-2022,5.03,5.19,5.01,5.15,"34,066,921",0.18
10-Oct-2022,4.95,5.03,4.89,4.97,"3,499,494",0.02
07-Oct-2022,5.04,5.04,4.93,4.95,"4,900,666",-0.08
06-Oct-2022,4.96,5.09,4.96,5.03,"10,759,343",0.07
05-Oct-2022,4.95,5.07,4.92,4.96,"12,516,927",0.00
04-Oct-2022,4.93,5.00,4.85,4.96,"10,468,391",0.10
03-Oct-2022,4.88,4.96,4.83,4.86,"6,049,505",-0.04
30-Sep-2022,5.00,5.00,4.87,4.90,"7,716,448",-0.04
29-Sep-2022,4.97,5.02,4.92,4.94,"3,678,558",-0.07
28-Sep-2022,5.02,5.15,4.98,5.01,"17,866,630",-0.01
27-Sep-2022,5.00,5.07,4.98,5.02,"12,511,360",0.09
26-Sep-2022,4.85,4.98,4.83,4.93,"17,365,672",0.12
23-Sep-2022,4.86,4.94,4.79,4.81,"9,500,814",-0.05
22-Sep-2022,4.97,4.97,4.78,4.86,"18,598,006",-0.06
21-Sep-2022,5.09,5.10,4.88,4.92,"9,694,877",-0.13
20-Sep-2022,5.03,5.10,5.00,5.05,"6,331,288",0.04
19-Sep-2022,5.05,5.13,5.00,5.01,"2,761,259",-0.03
16-Sep-2022,5.11,5.12,5.02,5.04,"2,588,168",-0.02
15-Sep-2022,5.09,5.20,5.05,5.06,"7,273,039",-0.01
14-Sep-2022,5.05,5.11,4.99,5.07,"10,967,669",-0.02
13-Sep-2022,5.15,5.16,5.07,5.09,"3,855,922",0.00
12-Sep-2022,5.15,5.22,5.06,5.09,"4,560,397",-0.06
09-Sep-2022,5.15,5.22,5.11,5.15,"3,301,288",0.00
08-Sep-2022,5.20,5.24,5.11,5.15,"3,075,141",-0.04
07-Sep-2022,5.19,5.23,5.11,5.19,"4,781,146",0.07
06-Sep-2022,5.07,5.23,5.07,5.12,"9,250,450",0.02
05-Sep-2022,5.19,5.26,5.08,5.10,"8,434,122",-0.08
02-Sep-2022,5.39,5.39,5.15,5.18,"8,305,356",-0.14
01-Sep-2022,5.39,5.59,5.27,5.32,"35,551,771",-0.04
31-Aug-2022,5.40,5.44,5.33,5.36,"3,625,603",-0.02
30-Aug-2022,5.60,5.64,5.33,5.38,"10,005,586",-0.05
29-Aug-2022,5.50,5.50,5.27,5.43,"12,235,283",-0.09
26-Aug-2022,5.60,5.72,5.48,5.52,"12,422,169",-0.12
25-Aug-2022,5.70,5.70,5.59,5.64,"7,042,298",-0.06
24-Aug-2022,5.72,5.80,5.61,5.70,"9,623,880",0.03
23-Aug-2022,5.75,5.79,5.62,5.67,"12,030,112",0.02
22-Aug-2022,5.70,5.75,5.64,5.65,"12,024,937",-0.19
19-Aug-2022,5.75,5.90,5.66,5.84,"18,383,631",-0.01
18-Aug-2022,5.67,5.98,5.67,5.85,"62,870,248",0.18
17-Aug-2022,5.63,5.71,5.52,5.67,"13,836,338",0.08
16-Aug-2022,5.76,5.97,5.55,5.59,"44,376,987",-0.17
15-Aug-2022,5.77,5.86,5.63,5.76,"32,474,153",0.07
12-Aug-2022,5.40,5.74,5.40,5.69,"49,455,233",0.30
11-Aug-2022,5.47,5.56,5.35,5.39,"16,954,001",-0.08
10-Aug-2022,5.59,5.62,5.31,5.47,"33,697,922",-0.04
05-Aug-2022,5.01,5.65,4.90,5.51,"64,067,305",0.51
04-Aug-2022,5.05,5.13,4.98,5.00,"9,686,186",-0.03
03-Aug-2022,4.91,5.10,4.91,5.03,"14,114,194",0.12
02-Aug-2022,4.80,4.93,4.60,4.91,"9,389,866",0.09
01-Aug-2022,4.84,4.89,4.77,4.82,"2,583,443",0.03
29-Jul-2022,4.82,4.87,4.76,4.79,"8,705,702",-0.04
28-Jul-2022,4.80,4.92,4.80,4.83,"10,226,252",0.03
27-Jul-2022,4.86,4.88,4.77,4.80,"7,134,514",-0.05
