date,open,high,low,close,volume,change
02-Nov-2022,90.01,91.00,89.00,89.88,"32,000",-1.08
01-Nov-2022,96.40,97.50,96.40,96.96,"36,000",0.65
31-Oct-2022,95.56,97.50,95.50,96.31,"19,000",0.50
28-Oct-2022,96.10,96.49,95.50,95.81,"19,000",-0.19
27-Oct-2022,96.45,97.49,95.51,96.00,"21,000",0.96
26-Oct-2022,95.60,97.50,95.00,95.04,"12,500",-1.31
25-Oct-2022,94.00,97.00,94.00,96.35,"47,500",3.35
24-Oct-2022,93.00,93.00,93.00,93.00,500,-0.48
21-Oct-2022,93.49,93.50,93.45,93.48,"3,500",-0.40
20-Oct-2022,93.88,93.88,93.88,93.88,500,0.88
19-Oct-2022,91.97,94.00,91.97,93.00,"48,000",1.11
18-Oct-2022,91.90,91.90,91.88,91.89,"3,000",1.83
17-Oct-2022,91.00,91.00,90.06,90.06,"1,000",-1.04
14-Oct-2022,91.50,91.50,91.10,91.10,"4,000",-1.40
13-Oct-2022,92.99,92.99,92.50,92.50,"5,000",0.50
12-Oct-2022,91.68,93.00,91.68,92.00,"47,000",0.26
11-Oct-2022,89.06,92.18,89.06,91.74,"6,000",0.30
10-Oct-2022,90.50,91.93,90.50,91.44,"8,000",1.44
07-Oct-2022,91.99,91.99,90.00,90.00,"36,500",-1.99
06-Oct-2022,89.61,92.50,89.50,91.99,"21,000",1.01
05-Oct-2022,90.03,91.00,90.02,90.98,"4,500",-0.08
04-Oct-2022,90.52,91.40,90.00,91.06,"11,500",0.06
03-Oct-2022,91.47,91.50,91.00,91.00,"6,000",0.41
30-Sep-2022,89.00,91.00,89.00,90.59,"11,000",2.33
29-Sep-2022,88.11,88.30,88.11,88.26,"2,500",-1.24
28-Sep-2022,89.00,91.92,89.00,89.50,"5,000",-0.50
27-Sep-2022,90.94,91.01,90.00,90.00,"9,000",-0.93
26-Sep-2022,90.94,90.95,90.90,90.93,"1,500",1.09
23-Sep-2022,89.11,90.00,89.00,89.84,"30,000",0.76
22-Sep-2022,89.53,90.00,88.75,89.08,"4,500",-1.20
21-Sep-2022,92.00,92.50,90.00,90.28,"24,000",-2.54
20-Sep-2022,90.51,94.00,90.02,92.82,"50,000",2.07
19-Sep-2022,92.74,92.74,90.75,90.75,"2,500",-0.25
16-Sep-2022,91.00,91.00,91.00,91.00,"2,000",-1.25
15-Sep-2022,92.25,92.25,92.25,92.25,500,0.85
14-Sep-2022,91.49,92.97,91.00,91.40,"9,500",-0.60
13-Sep-2022,92.30,92.30,90.50,92.00,"3,000",0.99
12-Sep-2022,90.67,92.99,90.67,91.01,"6,000",-1.44
09-Sep-2022,91.10,92.45,91.10,92.45,"4,500",0.38
08-Sep-2022,91.55,93.50,91.00,92.07,"21,000",-0.43
07-Sep-2022,92.50,92.51,92.50,92.50,"3,500",0.79
06-Sep-2022,90.02,95.99,89.52,91.71,"23,500",0.85
05-Sep-2022,90.71,91.00,89.52,90.86,"13,500",0.15
02-Sep-2022,91.80,91.80,90.71,90.71,"2,500",-1.29
01-Sep-2022,91.50,92.00,91.10,92.00,"6,000",1.11
31-Aug-2022,92.00,92.01,90.00,90.89,"32,000",-1.79
30-Aug-2022,96.99,97.50,96.16,97.18,"20,000",1.18
29-Aug-2022,96.11,96.11,95.99,96.00,"11,000",-0.99
26-Aug-2022,96.50,98.00,96.03,96.99,"15,000",-0.01
25-Aug-2022,99.77,99.77,97.00,97.00,"2,500",-0.99
24-Aug-2022,99.94,102.49,96.50,97.99,"46,500",-2.14
23-Aug-2022,97.50,101.00,97.50,100.13,"41,000",2.20
22-Aug-2022,95.00,100.00,95.00,97.93,"43,000",1.43
18-Aug-2022,96.11,96.50,95.50,96.50,"14,000",-0.50
17-Aug-2022,96.51,97.00,96.50,97.00,"13,500",0.00
16-Aug-2022,96.25,97.00,96.25,97.00,"3,000",0.00
15-Aug-2022,96.00,97.00,96.00,97.00,"9,500",1.60
12-Aug-2022,94.51,96.00,94.50,95.40,"4,500",0.97
11-Aug-2022,94.10,95.00,94.00,94.43,"11,500",-0.67
10-Aug-2022,95.10,95.20,95.10,95.10,"7,000",-0.43
05-Aug-2022,95.00,95.89,94.30,95.53,"20,500",1.00
04-Aug-2022,93.60,96.00,93.60,94.53,"6,000",-0.47
03-Aug-2022,93.50,95.50,93.50,95.00,"20,000",2.00
02-Aug-2022,93.00,93.00,93.00,93.00,"6,500",-1.00
