date,open,high,low,close,volume,change
02-Nov-2022,13.66,13.85,13.56,13.65,"227,500",0.23
01-Nov-2022,13.95,14.00,13.85,13.85,"95,500",-0.06
31-Oct-2022,13.72,13.92,13.72,13.91,"53,000",0.19
28-Oct-2022,13.80,13.90,13.69,13.72,"83,000",-0.18
27-Oct-2022,13.76,13.95,13.76,13.90,"99,000",0.06
26-Oct-2022,13.75,13.88,13.75,13.84,"88,000",0.10
25-Oct-2022,13.90,13.90,13.73,13.74,"93,500",-0.05
24-Oct-2022,13.90,13.90,13.75,13.79,"99,000",-0.01
21-Oct-2022,13.93,13.93,13.67,13.80,"109,500",0.11
20-Oct-2022,13.75,13.89,13.68,13.69,"167,000",-0.04
19-Oct-2022,13.77,13.94,13.66,13.73,"137,000",-0.17
18-Oct-2022,14.15,14.18,13.80,13.90,"80,000",-0.06
17-Oct-2022,14.00,14.05,13.50,13.96,"72,000",0.00
14-Oct-2022,13.79,14.02,13.70,13.96,"73,000",0.17
13-Oct-2022,13.96,13.96,13.75,13.79,"83,500",-0.11
12-Oct-2022,13.90,13.94,13.86,13.90,"45,000",0.06
11-Oct-2022,13.98,13.98,13.84,13.84,"13,000",0.04
10-Oct-2022,13.80,13.89,13.63,13.80,"188,500",0.17
07-Oct-2022,13.65,13.79,13.50,13.63,"237,500",-0.06
06-Oct-2022,13.82,13.82,13.57,13.69,"254,000",-0.21
05-Oct-2022,13.93,13.93,13.80,13.90,"36,500",0.03
04-Oct-2022,13.90,13.90,13.85,13.87,"43,500",0.03
03-Oct-2022,13.91,13.91,13.80,13.84,"28,000",-0.03
30-Sep-2022,13.83,13.90,13.70,13.87,"15,500",0.17
29-Sep-2022,13.93,13.93,13.60,13.70,"64,000",-0.10
28-Sep-2022,13.97,13.97,13.61,13.80,"16,000",0.21
27-Sep-2022,13.98,13.98,13.57,13.59,"139,500",-0.12
26-Sep-2022,13.90,13.92,13.70,13.71,"155,500",-0.21
23-Sep-2022,13.92,13.97,13.92,13.92,"11,500",-0.05
22-Sep-2022,13.86,13.97,13.85,13.97,"15,500",-0.02
21-Sep-2022,13.85,14.00,13.83,13.99,"23,000",0.07
20-Sep-2022,13.95,13.95,13.81,13.92,"30,000",0.06
19-Sep-2022,14.00,14.00,13.85,13.86,"101,000",-0.13
16-Sep-2022,13.95,13.99,13.85,13.99,"34,500",0.19
15-Sep-2022,14.00,14.00,13.55,13.80,"163,000",-0.20
14-Sep-2022,14.00,14.00,13.65,14.00,"48,000",0.00
13-Sep-2022,14.05,14.06,13.97,14.00,"1,004,500",-0.05
12-Sep-2022,13.99,14.17,13.99,14.05,"37,500",0.05
09-Sep-2022,14.00,14.00,13.95,14.00,"21,500",0.02
08-Sep-2022,14.10,14.10,13.93,13.98,"172,500",-0.02
07-Sep-2022,14.01,14.10,14.00,14.00,"55,500",-0.03
06-Sep-2022,14.00,14.10,14.00,14.03,"15,500",0.02
05-Sep-2022,14.00,14.05,13.98,14.01,"21,500",0.01
02-Sep-2022,14.00,14.10,14.00,14.00,"20,500",-0.06
01-Sep-2022,13.90,14.10,13.90,14.06,"15,500",0.07
31-Aug-2022,13.98,14.00,13.96,13.99,"16,000",0.16
30-Aug-2022,13.99,13.99,13.82,13.83,"39,500",-0.08
29-Aug-2022,13.98,13.98,13.85,13.91,"62,000",0.01
26-Aug-2022,14.20,14.20,13.77,13.90,"73,500",-0.05
