date,open,high,low,close,volume,change
02-Nov-2022,81.44,81.98,80.70,81.51,"395,429",0.71
01-Nov-2022,80.65,81.19,80.51,80.80,"437,638",0.07
31-Oct-2022,80.52,81.50,80.52,80.73,"222,884",-0.55
28-Oct-2022,81.94,81.95,81.01,81.28,"397,000",-0.66
27-Oct-2022,80.70,82.35,80.55,81.94,"2,097,415",1.14
26-Oct-2022,80.75,81.25,80.10,80.80,"2,808,617",-0.28
25-Oct-2022,79.87,81.75,79.87,81.08,"3,741,384",0.70
24-Oct-2022,80.00,80.74,79.75,80.38,"2,077,868",1.60
21-Oct-2022,81.10,82.10,80.51,81.78,"1,727,521",0.58
20-Oct-2022,81.11,81.88,81.00,81.20,"1,011,512",-0.28
19-Oct-2022,81.70,81.80,81.16,81.48,"771,697",0.25
18-Oct-2022,81.11,81.50,81.00,81.23,"621,538",0.03
17-Oct-2022,80.99,81.40,80.85,81.20,"372,411",0.45
14-Oct-2022,81.00,81.50,80.60,80.75,"604,314",-0.43
13-Oct-2022,81.31,81.60,81.02,81.18,"515,419",0.04
12-Oct-2022,81.60,83.00,81.01,81.14,"1,571,532",-0.40
11-Oct-2022,80.90,82.18,80.30,81.54,"1,609,337",0.95
10-Oct-2022,82.40,82.40,80.53,80.59,"826,029",-1.37
07-Oct-2022,82.78,83.60,81.50,81.96,"1,121,316",-0.84
06-Oct-2022,80.25,83.60,80.08,82.80,"2,440,236",2.84
05-Oct-2022,78.75,80.10,78.09,79.96,"1,810,379",1.93
04-Oct-2022,78.10,78.44,77.70,78.03,"980,531",-0.01
03-Oct-2022,78.02,78.60,77.67,78.04,"677,298",0.02
30-Sep-2022,78.00,78.80,77.50,78.02,"956,007",0.03
29-Sep-2022,78.20,79.20,77.81,77.99,"308,894",-0.21
28-Sep-2022,80.45,80.45,78.00,78.20,"648,334",-1.79
27-Sep-2022,77.15,80.15,76.85,79.99,"1,743,765",2.84
26-Sep-2022,78.30,78.30,77.00,77.15,"610,159",-0.79
23-Sep-2022,77.85,78.09,77.07,77.94,"636,028",0.39
22-Sep-2022,77.75,78.00,76.40,77.55,"1,125,297",-0.14
21-Sep-2022,79.26,79.75,77.50,77.69,"1,582,158",-1.55
20-Sep-2022,79.88,79.98,79.10,79.24,"423,927",-0.48
19-Sep-2022,80.43,80.99,79.02,79.72,"1,394,724",-0.71
16-Sep-2022,80.50,81.85,79.99,80.43,"1,707,796",-0.06
15-Sep-2022,81.80,82.10,80.02,80.49,"1,315,236",-1.35
14-Sep-2022,81.03,81.99,80.55,81.84,"1,515,037",0.81
13-Sep-2022,81.07,81.79,80.51,81.03,"495,223",-0.54
12-Sep-2022,81.69,81.75,80.61,81.57,"1,526,322",0.48
09-Sep-2022,80.80,81.90,80.00,81.09,"7,325,215",0.54
08-Sep-2022,81.40,81.40,79.65,80.55,"1,888,276",-0.43
07-Sep-2022,82.90,82.90,80.65,80.98,"561,902",-1.26
06-Sep-2022,83.00,83.97,82.10,82.24,"320,823",-0.90
05-Sep-2022,83.08,83.70,83.00,83.14,"584,030",-0.54
02-Sep-2022,83.50,83.95,83.10,83.68,"530,812",0.48
01-Sep-2022,84.75,84.85,83.01,83.20,"491,356",-0.89
31-Aug-2022,82.08,85.00,81.53,84.09,"1,558,997",2.01
30-Aug-2022,84.39,85.00,81.80,82.08,"653,587",-1.04
29-Aug-2022,81.00,84.15,79.50,83.12,"6,608,766",2.58
26-Aug-2022,81.15,81.95,80.47,80.54,"1,106,280",-0.60
25-Aug-2022,81.80,81.80,81.00,81.14,"867,497",-0.61
24-Aug-2022,81.95,82.44,81.50,81.75,"1,694,123",-0.14
23-Aug-2022,79.59,82.10,79.59,81.89,"2,759,494",2.39
22-Aug-2022,79.56,80.00,79.01,79.50,"399,994",-0.55
19-Aug-2022,79.70,80.45,79.60,80.05,"429,225",0.06
18-Aug-2022,79.99,80.38,79.75,79.99,"849,984",-0.16
17-Aug-2022,80.05,80.45,80.00,80.15,"1,742,575",0.01
16-Aug-2022,80.09,80.85,80.00,80.14,"2,053,633",0.05
15-Aug-2022,79.35,80.19,79.00,80.09,"1,293,799",0.62
12-Aug-2022,79.00,79.88,78.40,79.47,"959,333",0.94
11-Aug-2022,80.00,81.00,78.05,78.53,"1,735,219",-1.38
10-Aug-2022,80.15,81.00,79.50,79.91,"1,986,954",-0.20
05-Aug-2022,80.20,80.60,79.16,80.11,"1,707,895",-0.47
04-Aug-2022,80.00,81.47,80.00,80.58,"1,254,257",0.75
03-Aug-2022,80.00,80.97,79.60,79.83,"972,694",0.31
02-Aug-2022,77.00,80.90,76.50,79.52,"4,253,520",2.23
