date,open,high,low,close,volume,change
01-Nov-2022,235.50,239.89,235.50,239.15,"133,129",3.95
31-Oct-2022,235.90,236.40,234.20,235.20,"200,193",0.58
28-Oct-2022,233.60,236.36,232.00,234.62,"461,771",-0.92
27-Oct-2022,243.06,248.50,243.06,245.54,"408,007",0.37
26-Oct-2022,248.99,249.00,244.75,245.17,"521,177",-2.89
25-Oct-2022,246.20,249.74,246.00,248.06,"495,734",0.91
24-Oct-2022,248.20,248.79,246.90,247.15,"393,452",0.58
21-Oct-2022,244.90,247.00,242.20,246.57,"380,612",2.75
20-Oct-2022,243.50,244.50,241.51,243.82,"208,639",1.61
19-Oct-2022,239.00,242.99,237.60,242.21,"729,144",6.35
18-Oct-2022,235.48,237.48,235.01,235.86,"117,283",-0.22
17-Oct-2022,237.95,238.00,235.51,236.08,"170,907",-1.35
14-Oct-2022,237.95,238.00,236.80,237.43,"119,409",0.31
13-Oct-2022,237.52,238.00,236.51,237.12,"214,850",-0.39
12-Oct-2022,238.99,239.50,236.90,237.51,"145,493",-1.18
11-Oct-2022,238.01,241.10,237.60,238.69,"323,266",1.14
10-Oct-2022,240.00,242.00,236.80,237.55,"205,002",-2.05
07-Oct-2022,236.40,242.00,235.00,239.60,"680,207",3.19
06-Oct-2022,231.30,237.50,231.30,236.41,"478,802",3.98
05-Oct-2022,233.65,234.00,232.00,232.43,"108,264",-0.56
04-Oct-2022,231.00,233.50,231.00,232.99,"230,476",2.15
03-Oct-2022,230.40,233.13,230.20,230.84,"200,273",-0.68
30-Sep-2022,231.75,232.30,229.00,231.52,"251,664",0.87
29-Sep-2022,231.81,232.75,229.02,230.65,"180,839",-1.16
28-Sep-2022,231.51,248.66,231.00,231.81,"850,708",0.49
27-Sep-2022,234.40,234.40,229.20,231.32,"629,243",-2.24
26-Sep-2022,230.99,234.00,230.00,233.56,"473,682",3.65
23-Sep-2022,234.50,234.50,229.25,229.91,"250,800",-4.34
22-Sep-2022,233.00,235.00,229.10,234.25,"604,072",1.23
21-Sep-2022,233.90,234.00,230.00,233.02,"436,722",-0.15
20-Sep-2022,233.40,233.99,231.50,233.17,"462,108",-0.19
19-Sep-2022,231.00,237.70,229.49,233.36,"2,445,226",3.94
16-Sep-2022,229.95,234.49,225.30,229.42,"1,692,744",1.78
15-Sep-2022,231.00,231.90,226.01,227.64,"313,824",-2.94
14-Sep-2022,232.45,232.95,230.00,230.58,"251,269",-1.56
13-Sep-2022,231.75,233.00,230.70,232.14,"127,847",1.32
12-Sep-2022,231.90,231.90,230.50,230.82,"43,332",-0.08
09-Sep-2022,232.75,232.96,230.00,230.90,"356,877",-0.23
08-Sep-2022,232.48,232.55,230.80,231.13,"227,190",0.15
07-Sep-2022,232.10,234.49,230.82,230.98,"248,796",-1.96
06-Sep-2022,234.00,235.99,232.10,232.94,"309,769",-1.10
05-Sep-2022,238.99,238.99,232.75,234.04,"223,537",-3.95
02-Sep-2022,239.85,239.97,237.50,237.99,"114,182",-0.30
01-Sep-2022,240.00,240.15,238.00,238.29,"192,856",-0.07
31-Aug-2022,242.39,242.39,237.06,238.36,"366,731",-0.95
30-Aug-2022,243.60,246.00,238.81,239.31,"103,099",-3.46
29-Aug-2022,240.25,243.50,238.75,242.77,"132,496",-0.08
26-Aug-2022,248.39,248.39,240.00,242.85,"174,938",-2.38
25-Aug-2022,249.00,249.25,244.50,245.23,"244,812",-3.12
24-Aug-2022,256.00,260.99,254.75,259.35,"534,215",4.57
23-Aug-2022,252.00,256.00,252.00,254.78,"414,783",4.52
22-Aug-2022,252.00,253.00,250.00,250.26,"102,368",-1.45
19-Aug-2022,253.00,253.00,251.21,251.71,"207,396",-0.15
18-Aug-2022,255.79,255.79,251.00,251.86,"171,873",-1.79
17-Aug-2022,254.90,260.00,253.00,253.65,"734,861",1.52
16-Aug-2022,249.00,254.10,248.00,252.13,"447,593",4.08
15-Aug-2022,243.05,249.00,243.05,248.05,"149,052",5.04
12-Aug-2022,242.00,245.99,240.70,243.01,"115,647",2.55
11-Aug-2022,244.00,245.50,240.00,240.46,"191,999",-1.77
10-Aug-2022,239.01,246.00,239.01,242.23,"487,208",3.31
05-Aug-2022,238.99,240.00,236.13,238.92,"374,564",1.81
04-Aug-2022,239.84,241.00,236.80,237.11,"291,055",-0.92
03-Aug-2022,236.00,238.95,236.00,238.03,"378,803",2.49
02-Aug-2022,230.05,238.47,228.00,235.54,"159,463",3.43
01-Aug-2022,235.00,238.00,232.00,232.11,"151,675",-2.51
29-Jul-2022,236.90,237.00,234.00,234.62,"306,197",-2.33
28-Jul-2022,239.98,242.70,235.70,236.95,"803,718",-1.88
27-Jul-2022,242.00,243.50,235.00,238.83,"288,126",-2.71
26-Jul-2022,246.90,246.90,240.25,241.54,"30,890",-0.88
25-Jul-2022,245.00,245.00,241.50,242.42,"45,264",-2.75
22-Jul-2022,245.99,246.00,241.05,245.17,"127,238",3.60
21-Jul-2022,244.00,244.00,241.05,241.57,"94,112",-2.18
20-Jul-2022,244.90,245.99,243.01,243.75,"97,806",-0.95
19-Jul-2022,253.90,254.95,240.51,244.70,"303,470",-7.27
18-Jul-2022,255.89,256.80,251.03,251.97,"335,429",-4.76
15-Jul-2022,257.50,258.89,254.60,256.73,"137,568",-0.67
14-Jul-2022,253.50,258.25,253.50,257.40,"261,633",4.61
13-Jul-2022,253.00,253.40,250.21,252.79,"184,167",0.83
