date,open,high,low,close,volume,change
02-Nov-2022,29.70,30.00,29.50,29.95,"3,210,000",0.38
01-Nov-2022,29.99,30.01,29.35,29.57,"2,292,500",-0.26
31-Oct-2022,30.49,30.49,29.01,29.83,"1,189,000",0.07
28-Oct-2022,29.76,29.76,29.12,29.76,"6,359,500",2.07
27-Oct-2022,25.70,27.69,25.39,27.69,"4,527,000",1.93
26-Oct-2022,26.00,26.20,25.50,25.76,"216,000",-0.57
25-Oct-2022,27.25,27.99,26.00,26.33,"352,500",-0.57
24-Oct-2022,27.27,27.27,26.70,26.90,"24,000",-0.07
21-Oct-2022,27.89,27.95,26.50,26.97,"399,500",-0.30
20-Oct-2022,26.98,27.80,26.30,27.27,"759,000",0.53
19-Oct-2022,25.79,27.30,25.79,26.74,"1,015,500",0.98
18-Oct-2022,25.60,25.83,25.46,25.76,"126,500",0.30
17-Oct-2022,25.62,25.98,25.35,25.46,"571,000",-0.52
14-Oct-2022,25.92,26.15,25.80,25.98,"52,000",-0.02
13-Oct-2022,26.01,26.45,25.92,26.00,"292,000",-0.50
12-Oct-2022,26.25,26.71,25.98,26.50,"347,500",-0.13
11-Oct-2022,26.55,26.81,26.40,26.63,"174,500",-0.18
10-Oct-2022,26.37,27.24,26.35,26.81,"132,500",-0.02
07-Oct-2022,27.24,27.24,26.40,26.83,"513,500",0.08
06-Oct-2022,26.95,27.44,26.54,26.75,"192,000",0.08
05-Oct-2022,26.99,27.08,26.20,26.67,"219,500",0.36
04-Oct-2022,26.05,26.48,25.83,26.31,"246,500",0.27
03-Oct-2022,26.25,27.25,26.00,26.04,"360,500",-0.29
30-Sep-2022,26.74,26.80,26.00,26.33,"228,500",-0.17
29-Sep-2022,26.49,26.90,26.19,26.50,"277,500",-0.06
28-Sep-2022,26.80,27.25,26.50,26.56,"440,500",-0.04
27-Sep-2022,26.30,26.86,26.30,26.60,"128,500",0.39
26-Sep-2022,26.60,26.60,26.01,26.21,"328,000",0.11
23-Sep-2022,26.50,26.50,26.01,26.10,"44,000",-0.36
22-Sep-2022,26.08,26.95,25.80,26.46,"3,000,500",0.24
21-Sep-2022,27.06,27.06,26.10,26.22,"795,000",-0.84
20-Sep-2022,27.00,27.24,26.86,27.06,"68,500",-0.12
19-Sep-2022,27.04,27.35,27.04,27.18,"31,500",-0.19
16-Sep-2022,27.04,27.65,26.86,27.37,"1,671,000",-0.11
15-Sep-2022,27.00,27.94,27.00,27.48,"11,227,000",0.51
14-Sep-2022,27.23,28.00,26.76,26.97,"409,500",-0.26
13-Sep-2022,27.11,27.50,27.06,27.23,"496,500",0.21
12-Sep-2022,26.70,27.48,26.50,27.02,"915,000",0.26
09-Sep-2022,26.75,27.00,26.60,26.76,"346,500",-0.22
08-Sep-2022,28.35,28.35,26.90,26.98,"568,000",-0.13
07-Sep-2022,27.37,27.50,27.00,27.11,"132,500",-0.38
06-Sep-2022,27.83,27.83,27.25,27.49,"378,000",0.20
05-Sep-2022,28.60,29.00,27.70,27.79,"1,010,000",-0.61
02-Sep-2022,26.85,28.83,26.85,28.40,"5,779,500",1.58
01-Sep-2022,26.80,28.34,26.67,26.82,"3,033,000",0.15
31-Aug-2022,25.00,26.67,25.00,26.67,"4,579,500",1.86
30-Aug-2022,25.00,25.90,24.75,24.81,"872,500",0.04
29-Aug-2022,25.19,25.19,24.32,24.77,"194,000",-0.42
26-Aug-2022,24.97,25.25,24.51,25.19,"176,000",0.22
25-Aug-2022,25.48,25.48,24.57,24.97,"284,500",-0.18
24-Aug-2022,24.99,25.40,24.99,25.15,"413,500",0.44
23-Aug-2022,24.68,24.90,24.09,24.71,"1,603,000",0.10
22-Aug-2022,24.46,24.90,24.46,24.61,"136,000",-0.24
19-Aug-2022,24.79,24.90,24.50,24.85,"29,500",0.24
18-Aug-2022,25.27,25.35,24.50,24.61,"314,000",-0.65
17-Aug-2022,25.25,25.40,25.01,25.26,"87,000",0.01
16-Aug-2022,25.44,25.60,25.16,25.25,"171,000",-0.06
15-Aug-2022,25.59,25.95,25.20,25.31,"335,000",0.07
12-Aug-2022,25.11,25.95,25.00,25.24,"510,500",0.09
11-Aug-2022,25.80,25.89,25.06,25.15,"241,500",-0.23
10-Aug-2022,26.00,26.00,25.35,25.38,"419,500",-0.09
05-Aug-2022,25.31,25.90,25.25,25.47,"206,500",-0.03
04-Aug-2022,25.95,26.10,25.16,25.50,"184,500",-0.25
03-Aug-2022,25.94,26.48,25.52,25.75,"328,000",0.35
02-Aug-2022,25.80,26.20,25.01,25.40,"1,387,000",-0.51
01-Aug-2022,26.45,26.57,25.85,25.91,"75,000",-0.56
29-Jul-2022,25.60,26.49,25.60,26.47,"1,692,500",0.97
28-Jul-2022,24.97,25.90,24.81,25.50,"2,686,500",0.62
27-Jul-2022,24.35,24.96,24.33,24.88,"593,000",0.27
26-Jul-2022,24.45,24.99,24.30,24.61,"2,955,500",0.39
25-Jul-2022,23.80,24.40,23.80,24.22,"169,500",0.16
22-Jul-2022,23.75,25.00,23.55,24.06,"1,060,500",0.24
21-Jul-2022,23.99,23.99,23.01,23.82,"831,500",-0.08
20-Jul-2022,24.02,24.20,23.45,23.90,"174,500",-0.10
19-Jul-2022,24.43,25.25,23.25,24.00,"648,500",-0.19
18-Jul-2022,24.90,24.90,23.99,24.19,"290,000",-0.43
15-Jul-2022,24.34,24.98,24.30,24.62,"1,665,000",0.53
14-Jul-2022,24.05,24.70,23.98,24.09,"637,500",-0.07
13-Jul-2022,23.75,24.50,23.60,24.16,"762,000",0.32
07-Jul-2022,24.29,24.55,23.80,23.84,"464,500",-0.24
06-Jul-2022,24.79,25.15,24.00,24.08,"925,500",-0.23
