date,open,high,low,close,volume,change
02-Nov-2022,36.00,36.20,35.90,36.03,"14,504",0.03
01-Nov-2022,35.45,36.09,35.45,36.00,"17,664",0.55
31-Oct-2022,35.20,35.48,35.20,35.45,"30,029",0.27
28-Oct-2022,35.80,36.00,35.02,35.18,"39,927",-0.32
27-Oct-2022,36.35,36.79,35.25,35.50,"1,024,517",-1.29
26-Oct-2022,37.76,37.87,36.70,36.79,"4,546",-1.21
25-Oct-2022,37.21,38.25,36.95,38.00,"54,545",0.58
24-Oct-2022,37.04,37.50,37.04,37.42,"1,214",0.38
21-Oct-2022,37.76,37.76,36.95,37.04,"302,611",-0.99
20-Oct-2022,37.06,38.50,36.95,38.03,"54,072",0.68
19-Oct-2022,37.47,37.50,37.10,37.35,"1,968",-0.12
18-Oct-2022,37.64,37.95,37.16,37.47,"12,571",-0.13
17-Oct-2022,38.19,38.50,37.01,37.60,"16,606",-0.59
14-Oct-2022,37.76,38.50,37.00,38.19,"37,904",0.18
13-Oct-2022,36.65,38.50,36.65,38.01,"25,950",1.31
12-Oct-2022,36.70,37.00,36.50,36.70,"15,464",-0.10
11-Oct-2022,37.11,37.15,36.75,36.80,"2,785",-0.40
10-Oct-2022,37.11,37.24,37.05,37.20,978,0.22
07-Oct-2022,37.02,37.50,36.82,36.98,"14,828",-0.09
06-Oct-2022,37.44,37.44,37.00,37.07,"34,949",-0.19
05-Oct-2022,36.11,37.49,36.11,37.26,"10,724",-0.07
04-Oct-2022,37.50,37.50,37.03,37.33,"15,256",0.26
03-Oct-2022,38.00,38.50,37.01,37.07,"50,801",-1.26
30-Sep-2022,37.99,38.44,37.50,38.33,"106,368",0.29
29-Sep-2022,38.01,38.20,38.00,38.04,"16,662",-0.12
28-Sep-2022,37.00,38.40,37.00,38.16,"587,158",-0.09
27-Sep-2022,37.74,38.40,37.74,38.25,"136,639",0.74
26-Sep-2022,37.09,37.75,37.00,37.51,"381,809",0.00
23-Sep-2022,37.50,37.51,37.00,37.51,"52,943",-0.02
22-Sep-2022,37.77,37.78,37.20,37.53,"152,419",-0.44
21-Sep-2022,36.31,38.90,36.31,37.97,"2,387,192",0.66
20-Sep-2022,38.41,38.41,37.00,37.31,"80,139",-1.10
19-Sep-2022,38.09,38.50,37.20,38.41,"75,711",0.32
16-Sep-2022,38.00,38.74,37.02,38.09,"1,322,813",0.08
15-Sep-2022,38.94,39.00,37.70,38.01,"11,644",-0.86
14-Sep-2022,37.33,39.00,37.33,38.87,"27,394",0.78
13-Sep-2022,37.19,38.50,37.00,38.09,"55,894",0.93
12-Sep-2022,37.20,39.49,37.12,37.16,"57,413",0.05
09-Sep-2022,36.90,39.34,36.13,37.11,"2,837,721",0.51
08-Sep-2022,37.00,37.00,36.60,36.60,"75,210",-0.14
07-Sep-2022,36.95,36.95,36.25,36.74,"18,320",0.20
06-Sep-2022,36.10,37.00,36.10,36.54,"11,600",-0.06
05-Sep-2022,37.35,37.35,36.60,36.60,"39,934",-0.38
02-Sep-2022,37.20,37.25,36.40,36.98,"19,110",0.34
01-Sep-2022,36.80,37.47,36.60,36.64,"79,280",-0.31
31-Aug-2022,36.90,36.95,36.60,36.95,"2,613,406",-0.25
30-Aug-2022,38.20,38.43,36.60,37.20,"35,116",-0.80
29-Aug-2022,37.51,38.10,37.26,38.00,"3,430,807",0.00
26-Aug-2022,37.24,38.25,37.24,38.00,"201,426",1.00
25-Aug-2022,36.41,37.24,36.41,37.00,"133,422",0.35
24-Aug-2022,36.41,37.24,36.37,36.65,"315,609",-0.19
23-Aug-2022,36.40,36.90,36.40,36.84,"21,454",0.34
22-Aug-2022,36.25,36.98,35.81,36.50,"37,693",0.60
19-Aug-2022,35.80,36.35,35.80,35.90,"3,624",0.10
18-Aug-2022,36.35,36.96,34.10,35.80,"26,809",-0.60
17-Aug-2022,36.50,36.96,36.40,36.40,"3,977",-0.08
16-Aug-2022,36.81,36.98,36.48,36.48,"15,948",-0.34
15-Aug-2022,36.66,36.98,36.66,36.82,"16,790",-0.05
12-Aug-2022,36.89,37.00,36.58,36.87,"20,886",0.06
11-Aug-2022,37.01,37.52,36.60,36.81,"4,199",-0.71
10-Aug-2022,36.49,37.94,36.44,37.52,"32,761",1.08
05-Aug-2022,36.00,36.60,35.80,36.44,"5,865",0.41
04-Aug-2022,35.86,36.15,35.86,36.03,"12,687",0.03
03-Aug-2022,35.80,36.05,35.59,36.00,"25,241",0.41
02-Aug-2022,35.34,35.99,35.02,35.59,"89,391",0.59
01-Aug-2022,35.20,35.50,35.00,35.00,"20,894",-0.36
29-Jul-2022,36.00,36.00,35.30,35.36,"6,376",-0.61
28-Jul-2022,36.00,36.09,35.00,35.97,"48,217",0.47
27-Jul-2022,35.76,36.15,35.25,35.50,"109,479",-0.23
26-Jul-2022,36.00,36.00,35.70,35.73,"15,099",-0.25
