date,open,high,low,close,volume,change
02-Nov-2022,14.60,14.60,14.30,14.40,"1,181,500",-0.12
01-Nov-2022,14.35,14.60,14.26,14.52,"4,188,500",0.40
31-Oct-2022,14.35,14.40,14.00,14.12,"1,571,500",-0.14
28-Oct-2022,14.20,14.39,14.05,14.26,"1,786,500",-0.13
27-Oct-2022,14.33,14.47,14.10,14.39,"1,519,000",0.20
26-Oct-2022,14.55,14.55,13.80,14.19,"1,839,000",-0.37
25-Oct-2022,14.59,14.72,14.50,14.56,"1,083,000",-0.09
24-Oct-2022,14.80,14.95,14.56,14.65,"5,317,000",0.06
21-Oct-2022,14.44,14.65,14.30,14.59,"1,717,000",0.13
20-Oct-2022,14.31,14.70,14.30,14.46,"3,576,000",0.12
19-Oct-2022,14.25,14.39,14.20,14.34,"1,655,000",0.20
18-Oct-2022,14.20,14.24,14.05,14.14,"1,335,500",-0.07
17-Oct-2022,14.25,14.25,14.05,14.21,"866,000",-0.09
14-Oct-2022,14.20,14.40,14.14,14.30,"757,500",0.06
13-Oct-2022,14.28,14.37,14.10,14.24,"2,343,500",0.31
12-Oct-2022,15.90,15.95,15.60,15.67,"3,211,500",-0.20
11-Oct-2022,15.99,16.03,15.71,15.87,"2,991,500",-0.08
10-Oct-2022,15.70,15.99,15.60,15.95,"5,640,500",0.34
07-Oct-2022,15.68,16.00,15.55,15.61,"2,856,500",-0.07
06-Oct-2022,15.95,16.10,15.60,15.68,"6,480,500",-0.15
05-Oct-2022,15.21,15.88,15.21,15.83,"4,010,500",0.47
04-Oct-2022,15.05,15.51,15.05,15.36,"1,827,000",0.15
03-Oct-2022,15.10,15.24,15.00,15.21,"681,000",0.22
30-Sep-2022,15.00,15.29,14.90,14.99,"4,623,500",-0.25
29-Sep-2022,15.25,15.46,15.00,15.24,"3,952,500",-0.11
28-Sep-2022,15.30,15.48,15.22,15.35,"4,289,000",0.06
27-Sep-2022,15.35,15.66,15.21,15.29,"10,642,500",-0.02
26-Sep-2022,15.00,15.42,14.96,15.31,"7,970,000",0.31
23-Sep-2022,15.12,15.30,14.85,15.00,"1,307,500",-0.18
22-Sep-2022,14.97,15.25,14.60,15.18,"2,590,000",0.17
21-Sep-2022,15.55,15.65,14.91,15.01,"7,139,000",-0.10
20-Sep-2022,15.10,15.34,14.82,15.11,"1,728,000",0.01
19-Sep-2022,15.05,15.15,14.75,15.10,"2,125,000",0.10
16-Sep-2022,15.10,15.25,14.99,15.00,"1,272,000",-0.08
15-Sep-2022,15.34,15.45,15.04,15.08,"2,670,500",-0.09
14-Sep-2022,15.35,15.48,15.11,15.17,"2,194,000",-0.33
13-Sep-2022,15.50,15.74,15.38,15.50,"2,277,000",0.03
12-Sep-2022,15.75,15.85,15.39,15.47,"2,101,000",-0.16
09-Sep-2022,15.74,15.90,15.55,15.63,"5,274,000",-0.01
08-Sep-2022,15.19,15.70,15.19,15.64,"3,762,500",0.44
07-Sep-2022,15.24,15.33,15.07,15.20,"1,024,500",0.10
06-Sep-2022,15.60,15.60,15.01,15.10,"541,000",-0.14
05-Sep-2022,15.50,15.75,15.18,15.24,"4,328,000",-0.33
02-Sep-2022,15.50,15.92,15.40,15.57,"3,432,500",0.11
01-Sep-2022,15.09,15.95,15.08,15.46,"13,817,000",0.44
31-Aug-2022,14.50,15.18,14.40,15.02,"6,902,500",0.59
30-Aug-2022,15.00,15.00,14.40,14.43,"11,215,500",-0.16
29-Aug-2022,14.50,14.74,14.00,14.59,"3,370,000",0.06
26-Aug-2022,14.79,14.80,14.41,14.53,"3,014,500",-0.10
25-Aug-2022,14.80,14.80,14.52,14.63,"454,500",-0.03
24-Aug-2022,14.99,15.00,14.60,14.66,"1,232,500",-0.22
23-Aug-2022,14.95,15.10,14.76,14.88,"1,852,000",0.12
22-Aug-2022,14.75,14.85,14.50,14.76,"3,013,000",-0.25
19-Aug-2022,15.00,15.13,14.90,15.01,"942,500",-0.19
18-Aug-2022,15.30,15.35,15.00,15.20,"2,525,000",0.06
17-Aug-2022,14.82,15.28,14.77,15.14,"5,051,500",0.31
16-Aug-2022,15.25,15.25,14.65,14.83,"2,662,000",-0.26
15-Aug-2022,15.05,15.39,15.00,15.09,"3,275,000",0.26
12-Aug-2022,14.55,14.99,14.45,14.83,"4,003,500",0.29
11-Aug-2022,14.99,15.10,14.40,14.54,"2,010,000",-0.45
10-Aug-2022,15.25,15.48,14.80,14.99,"2,443,500",-0.23
05-Aug-2022,14.74,15.30,14.63,15.22,"5,406,500",0.68
04-Aug-2022,14.10,14.85,14.10,14.54,"2,994,500",0.31
03-Aug-2022,13.35,14.25,13.31,14.23,"6,597,500",0.98
02-Aug-2022,12.83,13.38,12.45,13.25,"1,712,500",0.42
01-Aug-2022,12.90,13.00,12.80,12.83,"381,500",-0.10
29-Jul-2022,13.02,13.13,12.80,12.93,"430,000",-0.08
28-Jul-2022,13.00,13.15,12.90,13.01,"1,341,500",0.12
27-Jul-2022,12.87,13.14,12.67,12.89,"779,000",0.02
26-Jul-2022,12.81,12.95,12.67,12.87,"423,500",0.06
25-Jul-2022,12.70,12.85,12.65,12.81,"209,000",-0.12
22-Jul-2022,12.60,13.09,12.52,12.93,"1,828,500",0.20
21-Jul-2022,12.92,12.95,12.60,12.73,"1,350,000",-0.14
20-Jul-2022,13.01,13.01,12.61,12.87,"1,362,500",-0.09
19-Jul-2022,13.62,13.62,12.80,12.96,"2,027,500",-0.57
18-Jul-2022,13.99,13.96,13.47,13.53,"522,500",-0.37
15-Jul-2022,14.03,14.32,13.75,13.90,"520,500",-0.27
14-Jul-2022,13.99,14.24,13.87,14.17,"1,404,000",0.30
13-Jul-2022,13.90,14.05,13.37,13.87,"2,189,500",0.15
07-Jul-2022,13.65,14.00,13.55,13.72,"1,960,000",0.01
06-Jul-2022,14.00,14.09,13.50,13.71,"2,144,000",0.24
05-Jul-2022,14.00,14.00,13.18,13.47,"4,425,000",-0.50
04-Jul-2022,14.38,14.38,13.90,13.97,"366,000",-0.23
