date,open,high,low,close,volume,change
02-Nov-2022,18.43,18.60,18.35,18.40,"73,000",-0.03
01-Nov-2022,18.40,18.60,18.40,18.43,"156,500",0.10
31-Oct-2022,18.41,18.48,18.26,18.33,"46,000",-0.20
28-Oct-2022,18.55,18.70,17.85,18.53,"1,315,500",0.07
27-Oct-2022,18.45,18.55,18.20,18.46,"483,500",-0.01
26-Oct-2022,18.61,18.90,18.00,18.47,"1,660,500",-0.36
25-Oct-2022,19.30,19.38,18.40,18.83,"1,778,500",-0.47
24-Oct-2022,19.60,19.65,19.25,19.30,"134,000",-0.11
21-Oct-2022,19.31,19.60,18.90,19.41,"217,000",0.09
20-Oct-2022,19.40,19.81,19.30,19.32,"374,000",0.02
19-Oct-2022,19.30,19.44,19.20,19.30,"45,000",0.01
18-Oct-2022,19.30,19.40,19.26,19.29,"189,000",-0.08
17-Oct-2022,19.69,19.70,19.31,19.37,"57,000",-0.22
14-Oct-2022,19.65,19.75,19.50,19.59,"104,000",-0.10
13-Oct-2022,19.12,19.99,19.10,19.69,"1,154,000",0.48
12-Oct-2022,19.15,19.29,19.05,19.21,"167,500",0.01
11-Oct-2022,19.22,19.33,19.15,19.20,"109,500",-0.01
10-Oct-2022,19.39,19.44,19.08,19.21,"259,500",-0.04
07-Oct-2022,19.25,19.54,19.20,19.25,"250,500",-0.02
06-Oct-2022,19.31,19.45,19.20,19.27,"388,000",0.05
05-Oct-2022,19.50,19.50,19.05,19.22,"407,500",-0.18
04-Oct-2022,19.16,19.60,19.16,19.40,"477,000",0.10
03-Oct-2022,19.35,19.42,19.15,19.30,"227,000",-0.12
30-Sep-2022,19.25,19.49,19.15,19.42,"463,000",-0.01
29-Sep-2022,19.70,19.76,19.30,19.43,"256,000",-0.33
28-Sep-2022,19.95,20.10,19.76,19.76,"143,500",-0.19
27-Sep-2022,19.89,20.10,19.61,19.95,"491,000",0.33
26-Sep-2022,19.80,19.85,19.40,19.62,"136,000",0.03
23-Sep-2022,19.90,19.90,19.20,19.59,"323,000",0.03
22-Sep-2022,19.40,19.75,19.03,19.56,"202,500",-0.02
21-Sep-2022,19.98,19.98,19.30,19.58,"239,500",-0.19
20-Sep-2022,20.15,20.24,19.60,19.77,"345,000",-0.32
19-Sep-2022,20.00,20.10,19.98,20.09,"404,000",0.03
16-Sep-2022,20.25,20.34,20.00,20.06,"642,000",-0.01
15-Sep-2022,20.40,20.45,20.00,20.07,"809,500",-0.05
14-Sep-2022,20.45,20.45,20.01,20.12,"720,500",-0.14
13-Sep-2022,20.75,20.95,20.15,20.26,"1,432,000",-0.51
12-Sep-2022,20.75,20.93,20.50,20.77,"1,159,000",0.04
09-Sep-2022,20.25,20.80,20.20,20.73,"1,152,500",0.57
08-Sep-2022,20.50,20.50,20.10,20.16,"139,500",-0.29
07-Sep-2022,20.52,20.75,20.30,20.45,"560,500",-0.24
06-Sep-2022,20.65,20.70,20.50,20.69,"352,500",0.04
05-Sep-2022,20.89,20.89,20.56,20.65,"412,500",-0.03
02-Sep-2022,20.75,20.98,20.50,20.68,"1,405,500",0.03
01-Sep-2022,20.80,20.98,20.55,20.65,"759,000",0.05
31-Aug-2022,20.67,20.73,20.40,20.60,"2,052,500",-0.05
30-Aug-2022,20.64,20.80,20.64,20.65,"323,000",0.16
29-Aug-2022,20.50,20.54,20.15,20.49,"256,500",-0.17
26-Aug-2022,20.80,21.00,20.65,20.66,"382,000",-0.18
25-Aug-2022,20.61,20.90,20.45,20.84,"1,182,500",0.18
24-Aug-2022,20.42,20.80,20.42,20.66,"384,000",0.07
23-Aug-2022,20.65,20.70,20.45,20.59,"388,000",0.15
22-Aug-2022,20.66,20.70,20.32,20.44,"195,500",-0.28
19-Aug-2022,20.80,21.00,20.53,20.72,"388,000",-0.10
18-Aug-2022,21.26,21.26,20.75,20.82,"361,000",-0.21
17-Aug-2022,20.80,21.14,20.60,21.03,"611,000",0.41
16-Aug-2022,20.90,21.30,20.56,20.62,"1,313,000",-0.32
15-Aug-2022,20.95,21.17,20.80,20.94,"1,292,000",0.10
12-Aug-2022,20.69,20.95,20.56,20.84,"880,000",0.24
11-Aug-2022,20.75,20.95,20.55,20.60,"359,000",-0.22
10-Aug-2022,20.90,21.20,20.70,20.82,"2,384,500",0.19
05-Aug-2022,20.60,20.90,20.26,20.63,"1,168,000",0.13
04-Aug-2022,20.74,21.10,20.26,20.50,"1,871,000",0.00
03-Aug-2022,20.29,20.74,20.17,20.50,"834,500",0.30
02-Aug-2022,20.00,20.40,19.90,20.20,"834,000",0.10
01-Aug-2022,20.60,20.60,20.00,20.10,"338,500",-0.39
29-Jul-2022,20.36,20.65,20.25,20.49,"251,500",-0.02
28-Jul-2022,20.20,20.94,20.20,20.51,"1,025,000",0.27
27-Jul-2022,20.01,20.49,19.90,20.24,"391,000",0.19
26-Jul-2022,20.22,20.50,20.00,20.05,"433,000",-0.52
25-Jul-2022,21.14,21.16,20.19,20.57,"599,000",-0.49
22-Jul-2022,19.75,21.24,19.75,21.06,"9,290,000",1.19
21-Jul-2022,20.11,20.26,19.75,19.87,"654,500",-0.20
20-Jul-2022,20.35,20.98,19.60,20.07,"1,496,000",-0.27
19-Jul-2022,20.79,21.10,20.25,20.34,"530,500",-0.34
18-Jul-2022,20.72,21.09,20.52,20.68,"647,500",-0.64
15-Jul-2022,21.98,22.18,21.14,21.32,"2,394,000",-0.36
14-Jul-2022,20.35,21.68,20.22,21.68,"5,531,000",1.51
13-Jul-2022,20.26,20.34,19.90,20.17,"668,500",-0.09
07-Jul-2022,20.31,20.35,20.20,20.26,"111,000",-0.11
06-Jul-2022,20.11,20.47,20.10,20.37,"348,000",0.26
05-Jul-2022,19.93,20.18,19.75,20.11,"184,500",0.18
04-Jul-2022,20.09,20.10,19.72,19.93,"119,000",-0.15
01-Jul-2022,20.42,20.45,20.00,20.08,"719,500",-0.16
30-Jun-2022,20.14,20.35,20.03,20.24,"179,500",0.21
29-Jun-2022,20.08,20.30,20.00,20.03,"127,500",-0.04
28-Jun-2022,20.51,20.51,20.00,20.07,"381,500",-0.20
27-Jun-2022,20.50,20.75,20.20,20.27,"442,000",-0.04
24-Jun-2022,21.56,21.70,20.12,20.31,"685,000",-1.41
23-Jun-2022,21.50,21.85,21.40,21.72,"1,006,000",0.20
22-Jun-2022,21.55,21.68,21.08,21.52,"801,500",0.15
21-Jun-2022,21.02,21.48,20.85,21.37,"897,000",0.30
20-Jun-2022,21.35,21.35,21.05,21.07,"244,000",-0.19
17-Jun-2022,20.70,21.30,20.70,21.26,"334,000",0.28
16-Jun-2022,20.75,21.05,20.75,20.98,"183,000",0.17
15-Jun-2022,20.60,20.90,20.60,20.81,"98,000",0.20
14-Jun-2022,20.75,20.80,20.30,20.61,"241,500",0.01
13-Jun-2022,21.34,21.35,20.32,20.60,"518,500",-0.68
10-Jun-2022,20.90,21.40,20.76,21.28,"390,500",0.43
08-Jun-2022,20.65,21.00,20.60,20.81,"100,500",0.08
07-Jun-2022,21.24,21.25,20.65,20.73,"160,000",-0.24
06-Jun-2022,20.80,21.10,20.31,20.97,"350,500",0.07
03-Jun-2022,21.60,21.85,20.50,20.90,"529,500",-0.76
02-Jun-2022,22.20,22.42,21.60,21.66,"167,000",-0.72
01-Jun-2022,22.18,22.60,22.18,22.38,"290,000",0.24
31-May-2022,21.50,22.40,21.40,22.14,"376,000",0.55
30-May-2022,21.94,22.42,21.50,21.59,"270,000",-0.34
27-May-2022,21.75,22.60,21.54,21.93,"857,500",0.40
26-May-2022,21.25,21.55,20.75,21.53,"257,000",0.41
25-May-2022,20.90,21.20,20.56,21.12,"187,000",0.14
24-May-2022,21.29,21.40,20.79,20.98,"229,000",-0.18
23-May-2022,21.30,21.44,21.00,21.16,"110,000",-0.32
20-May-2022,21.58,21.86,21.40,21.48,"157,500",0.07
19-May-2022,21.25,21.60,21.25,21.41,"166,000",-0.05
18-May-2022,21.11,21.60,20.94,21.46,"565,000",0.15
17-May-2022,21.40,21.55,21.01,21.31,"1,780,000",0.05
16-May-2022,22.11,22.11,21.20,21.26,"721,500",-0.84
13-May-2022,22.01,22.65,21.81,22.10,"301,000",0.11
12-May-2022,21.65,22.99,21.11,21.99,"687,500",0.26
11-May-2022,22.06,22.20,21.01,21.73,"1,140,000",-0.33
10-May-2022,22.25,22.63,22.00,22.06,"339,500",-0.14
09-May-2022,22.52,22.69,22.05,22.20,"1,528,000",-0.60
06-May-2022,23.01,23.10,22.60,22.80,"373,000",-0.38
28-Apr-2022,23.81,23.81,22.97,23.18,"2,436,500",-0.80
27-Apr-2022,24.01,24.15,23.76,23.98,"591,500",-0.12
26-Apr-2022,24.87,24.87,24.07,24.10,"741,500",-0.47
25-Apr-2022,25.40,25.40,24.42,24.57,"1,847,500",-0.36
22-Apr-2022,24.50,25.30,24.10,24.93,"2,682,500",0.56
21-Apr-2022,24.10,24.84,24.00,24.37,"2,195,000",0.46
20-Apr-2022,24.49,24.60,23.70,23.91,"1,746,000",-0.47
19-Apr-2022,24.55,24.75,24.30,24.38,"340,500",-0.23
18-Apr-2022,24.70,24.90,24.40,24.61,"492,500",0.03
15-Apr-2022,24.48,24.84,24.35,24.58,"851,500",0.10
14-Apr-2022,24.44,24.60,24.25,24.48,"496,500",0.09
13-Apr-2022,24.32,24.78,24.11,24.39,"1,076,500",0.13
12-Apr-2022,24.69,24.69,23.95,24.26,"478,000",-0.19
11-Apr-2022,23.90,24.65,23.55,24.45,"1,387,000",1.42
08-Apr-2022,22.90,23.18,22.75,23.03,"179,500",0.01
07-Apr-2022,23.30,23.40,22.89,23.02,"185,500",-0.31
06-Apr-2022,23.00,23.52,23.00,23.33,"177,000",0.32
05-Apr-2022,22.98,23.33,22.90,23.01,"152,000",0.31
04-Apr-2022,22.85,22.85,22.50,22.70,"194,000",-0.54
01-Apr-2022,22.60,23.99,22.55,23.24,"2,010,000",0.65
31-Mar-2022,22.16,22.90,22.16,22.59,"854,000",0.21
30-Mar-2022,22.60,22.72,22.31,22.38,"314,000",-0.41
29-Mar-2022,22.90,23.10,22.70,22.79,"601,000",0.01
28-Mar-2022,22.11,22.90,22.11,22.78,"168,500",0.31
25-Mar-2022,22.44,22.86,22.40,22.47,"924,000",-0.07
24-Mar-2022,21.54,22.68,21.30,22.54,"1,261,500",0.94
22-Mar-2022,21.70,21.80,21.50,21.60,"555,500",0.14
21-Mar-2022,21.12,21.78,21.06,21.46,"407,000",0.53
18-Mar-2022,21.00,22.10,20.70,20.93,"3,020,500",-0.13
17-Mar-2022,21.26,21.26,20.99,21.06,"931,000",-0.20
16-Mar-2022,21.21,21.68,21.02,21.26,"468,500",0.10
15-Mar-2022,21.51,21.70,20.80,21.16,"997,000",-0.27
14-Mar-2022,20.89,21.75,20.89,21.43,"489,000",0.42
11-Mar-2022,20.80,21.20,20.76,21.01,"965,000",0.15
10-Mar-2022,20.79,21.20,20.59,20.86,"1,092,500",0.27
09-Mar-2022,20.85,20.95,20.40,20.59,"298,500",-0.16
08-Mar-2022,20.87,21.14,20.61,20.75,"97,000",-0.12
07-Mar-2022,21.10,21.10,20.40,20.87,"686,500",-0.36
04-Mar-2022,21.02,21.39,20.91,21.23,"279,000",0.06
03-Mar-2022,21.99,21.99,20.93,21.17,"1,874,000",-0.64
02-Mar-2022,22.01,22.02,21.75,21.81,"711,500",-0.39
01-Mar-2022,22.70,22.89,21.85,22.20,"1,096,000",-0.34
28-Feb-2022,21.35,22.92,21.00,22.54,"940,000",1.21
25-Feb-2022,21.75,21.75,21.12,21.33,"591,000",0.50
24-Feb-2022,21.40,21.50,20.40,20.83,"2,666,000",-0.83
23-Feb-2022,22.10,22.20,21.50,21.66,"1,309,500",-0.44
22-Feb-2022,22.35,22.89,21.85,22.10,"2,016,500",-0.60
21-Feb-2022,23.00,23.00,22.25,22.70,"310,500",-0.42
18-Feb-2022,23.00,23.20,23.00,23.12,"123,000",0.12
17-Feb-2022,23.23,23.23,22.90,23.00,"460,500",-0.01
16-Feb-2022,23.62,23.62,23.00,23.01,"648,500",-0.37
15-Feb-2022,23.16,23.50,23.05,23.38,"217,500",0.06
14-Feb-2022,23.54,23.60,23.25,23.32,"331,500",-0.29
11-Feb-2022,23.98,23.98,23.55,23.61,"83,000",-0.20
10-Feb-2022,23.90,24.15,23.72,23.81,"1,145,500",0.07
09-Feb-2022,23.78,23.95,23.64,23.74,"744,000",0.05
08-Feb-2022,23.88,23.90,23.51,23.69,"355,500",-0.23
07-Feb-2022,24.25,24.25,23.90,23.92,"590,500",-0.33
04-Feb-2022,24.29,24.29,23.85,24.25,"1,119,000",0.19
03-Feb-2022,24.40,24.60,24.00,24.06,"1,323,000",-0.27
02-Feb-2022,24.05,24.43,23.85,24.33,"1,570,000",0.42
01-Feb-2022,23.70,24.10,23.50,23.91,"2,616,500",0.55
31-Jan-2022,23.25,23.53,23.20,23.36,"2,235,500",0.26
28-Jan-2022,22.86,23.40,22.86,23.10,"1,600,500",0.07
27-Jan-2022,23.29,23.60,22.62,23.03,"7,488,500",-1.20
26-Jan-2022,26.44,26.49,24.23,24.23,"4,764,500",-1.96
25-Jan-2022,26.40,26.69,26.15,26.19,"880,000",-0.02
24-Jan-2022,26.37,26.54,26.17,26.21,"835,500",-0.48
21-Jan-2022,26.40,27.10,26.40,26.69,"1,116,000",0.46
20-Jan-2022,26.30,26.30,25.88,26.23,"734,000",-0.19
19-Jan-2022,26.49,26.90,26.30,26.42,"602,000",0.00
18-Jan-2022,27.20,27.28,26.25,26.42,"492,000",-0.44
17-Jan-2022,27.30,27.39,26.60,26.86,"385,000",-0.35
14-Jan-2022,27.30,27.93,27.05,27.21,"1,014,000",0.08
13-Jan-2022,27.20,27.30,26.92,27.13,"496,500",-0.12
11-Jan-2022,27.19,27.44,26.80,27.01,"1,136,500",0.01
10-Jan-2022,26.01,27.24,25.70,27.00,"2,440,000",1.12
07-Jan-2022,25.25,26.18,25.20,25.88,"817,500",0.38
06-Jan-2022,25.51,25.60,25.15,25.50,"688,000",-0.15
05-Jan-2022,26.20,26.20,25.52,25.65,"1,080,000",-0.21
04-Jan-2022,25.30,26.28,25.15,25.86,"1,216,500",0.58
03-Jan-2022,25.00,25.36,24.95,25.28,"515,000",0.50
31-Dec-2021,25.15,25.40,24.70,24.78,"601,000",-0.28
30-Dec-2021,24.50,25.20,24.50,25.06,"1,296,500",0.45
29-Dec-2021,24.69,24.75,24.30,24.61,"232,000",0.15
28-Dec-2021,24.28,24.60,24.20,24.46,"196,500",0.14
27-Dec-2021,23.85,24.42,24.07,24.32,"260,000",0.23
24-Dec-2021,24.00,24.20,23.90,24.09,"219,500",-0.06
23-Dec-2021,24.20,24.49,24.05,24.15,"277,000",-0.01
22-Dec-2021,24.20,24.99,24.05,24.16,"1,801,500",-0.40
21-Dec-2021,25.25,25.34,24.50,24.56,"542,000",-0.52
20-Dec-2021,23.75,25.55,23.75,25.08,"2,565,000",1.14
17-Dec-2021,23.65,24.24,23.50,23.94,"984,000",0.28
16-Dec-2021,24.30,24.30,23.51,23.66,"1,588,000",-0.75
15-Dec-2021,24.19,24.99,24.01,24.41,"3,557,500",0.71
14-Dec-2021,23.24,23.80,22.75,23.70,"539,500",0.49
13-Dec-2021,23.26,23.50,22.93,23.21,"857,500",-0.34
10-Dec-2021,23.48,23.74,22.00,23.55,"776,000",0.50
09-Dec-2021,23.99,23.99,22.81,23.05,"709,000",-0.66
08-Dec-2021,24.30,24.89,23.58,23.71,"940,500",-0.37
07-Dec-2021,23.70,24.40,23.21,24.08,"574,000",0.87
06-Dec-2021,24.75,24.75,22.90,23.21,"515,500",-0.33
03-Dec-2021,24.55,24.99,22.96,23.54,"1,763,500",-1.27
02-Dec-2021,26.82,26.82,24.81,24.81,"4,948,000",-2.01
01-Dec-2021,26.30,26.94,26.30,26.82,"960,000",0.55
30-Nov-2021,26.62,26.80,26.02,26.27,"1,199,000",-0.23
29-Nov-2021,25.80,26.65,25.25,26.50,"2,221,500",0.53
26-Nov-2021,26.30,26.58,25.70,25.97,"1,171,000",-0.08
25-Nov-2021,25.85,26.20,25.80,26.05,"800,500",0.04
24-Nov-2021,26.20,27.00,25.85,26.01,"1,852,500",-0.16
23-Nov-2021,26.50,26.50,26.11,26.17,"1,115,500",-0.25
22-Nov-2021,26.90,26.98,26.25,26.42,"1,594,000",-0.69
19-Nov-2021,27.40,28.00,26.75,27.11,"4,542,500",-0.23
18-Nov-2021,27.22,27.45,26.60,27.34,"3,060,500",0.37
17-Nov-2021,26.40,27.20,26.01,26.97,"4,040,500",0.57
16-Nov-2021,25.85,26.49,25.80,26.40,"3,201,000",0.50
15-Nov-2021,25.89,26.24,25.60,25.90,"2,753,000",0.24
12-Nov-2021,25.75,26.05,25.56,25.66,"1,502,000",-0.14
11-Nov-2021,25.95,26.75,25.61,25.80,"3,076,000",-0.15
10-Nov-2021,25.15,26.50,24.80,25.95,"4,051,000",0.88
09-Nov-2021,25.60,25.60,24.70,25.07,"2,538,500",-0.52
08-Nov-2021,25.89,26.19,25.40,25.59,"1,646,000",-0.18
05-Nov-2021,25.73,26.40,25.62,25.77,"3,350,000",-0.15
04-Nov-2021,26.00,26.59,25.70,25.92,"3,598,000",0.03
03-Nov-2021,26.18,26.60,25.75,25.89,"2,027,000",-0.20
02-Nov-2021,26.70,26.75,26.00,26.09,"1,633,000",-0.39
01-Nov-2021,26.00,26.48,25.78,26.48,"9,189,500",1.84
29-Oct-2021,23.00,24.64,22.75,24.64,"5,979,000",1.72
28-Oct-2021,22.95,23.20,22.50,22.92,"1,415,500",0.00
27-Oct-2021,22.72,23.15,22.60,22.92,"715,500",0.39
26-Oct-2021,22.60,22.80,22.50,22.53,"762,500",-0.12
25-Oct-2021,22.90,23.50,22.56,22.73,"1,361,500",-0.42
22-Oct-2021,23.09,23.25,22.45,23.07,"990,000",-0.02
21-Oct-2021,23.20,23.80,23.00,23.09,"3,872,500",-0.10
20-Oct-2021,22.80,23.60,22.80,23.19,"2,243,000",0.22
18-Oct-2021,22.60,23.10,22.45,22.97,"1,460,000",-0.21
15-Oct-2021,21.75,23.20,21.70,23.18,"6,656,500",1.59
14-Oct-2021,20.85,21.70,20.85,21.59,"1,724,500",0.65
13-Oct-2021,21.10,21.39,20.75,20.94,"1,338,500",-0.11
12-Oct-2021,20.55,21.65,20.30,21.05,"4,940,000",0.83
11-Oct-2021,20.50,21.25,20.00,20.22,"3,781,000",-0.18
08-Oct-2021,21.49,21.60,20.22,20.40,"4,816,000",-1.02
07-Oct-2021,22.00,22.49,21.05,21.42,"3,759,000",-0.52
