date,open,high,low,close,volume,change
01-Nov-2022,103.44,103.75,103.05,103.30,"419,452",0.15
31-Oct-2022,102.55,103.70,102.55,103.15,"261,432",-0.12
28-Oct-2022,102.60,103.80,102.50,103.27,"526,082",0.22
27-Oct-2022,102.90,103.20,102.49,103.05,"173,975",0.85
26-Oct-2022,102.49,102.99,102.00,102.20,"434,635",-0.59
25-Oct-2022,103.00,103.65,102.56,102.79,"1,420,310",-0.26
24-Oct-2022,103.49,103.49,102.80,103.05,"325,444",0.49
21-Oct-2022,102.99,103.10,102.07,102.56,"159,612",-0.50
20-Oct-2022,102.61,103.49,102.61,103.06,"160,722",0.13
19-Oct-2022,102.10,103.70,102.10,102.93,"228,428",0.08
18-Oct-2022,102.00,103.00,102.00,102.85,"159,357",0.80
17-Oct-2022,101.99,102.19,101.50,102.05,"114,416",0.07
14-Oct-2022,102.09,102.42,101.80,101.98,"371,398",-0.10
13-Oct-2022,102.50,102.78,101.82,102.08,"407,621",-0.40
12-Oct-2022,102.00,102.51,101.55,102.48,"158,446",0.52
11-Oct-2022,101.70,102.80,101.51,101.96,"211,632",0.40
10-Oct-2022,102.00,102.40,101.01,101.56,"673,887",-0.11
07-Oct-2022,102.00,103.53,101.50,101.67,"616,991",-0.83
06-Oct-2022,100.81,102.99,100.53,102.50,"880,436",1.93
05-Oct-2022,100.55,101.10,100.50,100.57,"449,596",0.07
04-Oct-2022,100.50,101.50,100.00,100.50,"528,900",-0.02
03-Oct-2022,101.75,101.89,100.25,100.52,"542,953",-0.79
30-Sep-2022,100.02,101.75,100.02,101.31,"191,352",0.81
29-Sep-2022,100.50,100.70,100.31,100.50,"532,607",-0.01
28-Sep-2022,100.80,101.00,100.50,100.51,"148,218",-0.19
27-Sep-2022,100.80,101.60,100.51,100.70,"221,768",0.20
26-Sep-2022,100.75,101.15,100.40,100.50,"492,340",-0.03
23-Sep-2022,100.90,100.94,100.50,100.53,"172,873",-0.05
22-Sep-2022,101.25,101.50,100.01,100.58,"186,073",-0.78
21-Sep-2022,100.08,101.75,99.85,101.36,"155,750",1.27
20-Sep-2022,100.50,100.77,100.00,100.09,"213,426",0.03
19-Sep-2022,101.00,101.50,100.00,100.06,"473,823",-0.11
16-Sep-2022,101.00,101.25,100.02,100.17,"1,118,689",-0.64
15-Sep-2022,101.25,101.90,100.75,100.81,"197,589",-0.41
14-Sep-2022,101.10,102.00,101.00,101.22,"168,436",0.17
13-Sep-2022,102.47,102.50,100.81,101.05,"336,574",-0.86
12-Sep-2022,103.00,103.00,101.50,101.91,"407,416",-1.29
09-Sep-2022,102.74,103.55,102.00,103.20,"532,351",1.15
08-Sep-2022,102.00,102.74,101.50,102.05,"149,275",0.21
07-Sep-2022,102.00,102.49,101.45,101.84,"394,151",0.20
06-Sep-2022,102.30,103.00,101.55,101.64,"449,533",-1.19
