date,open,high,low,close,volume,change
31-Oct-2022,76.80,76.80,68.00,68.00,"1,500",-3.45
28-Oct-2022,71.45,71.45,71.45,71.45,500,1.95
27-Oct-2022,65.10,70.00,65.10,69.50,"21,000",-0.50
18-Oct-2022,69.68,70.00,69.68,70.00,"2,000",1.49
17-Oct-2022,68.95,74.00,68.00,71.42,"8,000",1.92
12-Oct-2022,63.01,69.50,63.01,69.50,"1,000",4.50
11-Oct-2022,64.00,65.00,64.00,65.00,"2,000",0.17
10-Oct-2022,64.65,65.01,64.65,64.83,"1,000",-4.57
06-Oct-2022,69.40,69.40,69.40,69.40,500,-0.60
05-Oct-2022,70.00,70.35,70.00,70.00,"550,500",-0.35
04-Oct-2022,70.35,70.35,70.35,70.35,500,2.36
03-Oct-2022,0.00,67.99,67.99,67.99,500,0.00
30-Sep-2022,68.75,68.80,67.99,67.99,"8,000",3.99
28-Sep-2022,64.00,64.00,64.00,64.00,"2,000",0.00
27-Sep-2022,64.00,64.00,64.00,64.00,500,0.84
23-Sep-2022,65.00,65.00,63.16,63.16,"3,500",-5.08
22-Sep-2022,64.01,68.24,64.01,68.24,"1,000",4.24
21-Sep-2022,64.00,64.00,64.00,64.00,500,-2.60
14-Sep-2022,68.00,68.00,66.11,66.60,"2,000",-3.35
13-Sep-2022,70.95,72.99,69.90,69.95,"6,500",1.70
09-Sep-2022,68.25,68.25,68.25,68.25,500,1.75
08-Sep-2022,67.50,67.50,66.00,66.50,"3,500",1.49
07-Sep-2022,65.00,65.05,65.00,65.01,"4,000",0.30
02-Sep-2022,65.00,65.00,64.50,64.71,"2,000",-0.29
01-Sep-2022,67.25,67.25,65.00,65.00,"6,000",-2.00
31-Aug-2022,65.05,67.00,64.29,67.00,"10,000",-0.50
30-Aug-2022,69.80,73.20,67.50,67.50,"7,000",-0.60
29-Aug-2022,67.80,69.00,67.80,68.10,"1,500",1.10
26-Aug-2022,69.00,69.00,67.00,67.00,"6,000",0.00
25-Aug-2022,65.00,67.00,65.00,67.00,"5,500",-0.48
23-Aug-2022,64.51,67.48,64.51,67.48,"1,500",1.83
22-Aug-2022,65.25,66.00,65.25,65.65,"2,000",1.02
19-Aug-2022,65.50,69.50,64.05,64.63,"5,000",-0.37
18-Aug-2022,64.50,65.11,64.50,65.00,"5,500",-1.18
17-Aug-2022,66.25,69.00,66.05,66.18,"2,500",-2.82
15-Aug-2022,70.00,70.00,69.00,69.00,"2,500",1.00
12-Aug-2022,67.99,68.00,67.99,68.00,"10,000",0.91
11-Aug-2022,71.00,71.50,67.09,67.09,"3,500",-2.86
10-Aug-2022,69.00,71.35,68.35,69.95,"3,000",0.70
05-Aug-2022,67.01,70.00,67.00,69.25,"39,500",-0.75
04-Aug-2022,73.24,74.24,70.00,70.00,"4,000",-3.00
03-Aug-2022,73.00,73.00,71.00,73.00,"2,000",2.05
02-Aug-2022,68.00,70.95,68.00,70.95,"2,031,000",4.95
01-Aug-2022,65.00,67.84,65.00,66.00,"2,500",-1.84
29-Jul-2022,67.79,67.84,67.79,67.84,"1,014,500",4.73
28-Jul-2022,63.11,63.11,63.11,63.11,500,-4.88
27-Jul-2022,67.99,67.99,67.99,67.99,500,3.99
21-Jul-2022,64.52,64.52,64.00,64.00,"2,500",-2.05
20-Jul-2022,69.55,69.95,66.05,66.05,"1,500",-1.90
19-Jul-2022,66.29,68.15,66.29,67.95,"4,000",-2.04
15-Jul-2022,69.97,70.00,69.97,69.99,"4,500",-0.01
14-Jul-2022,70.00,70.00,70.00,70.00,"1,000",0.00
07-Jul-2022,71.05,72.25,70.00,70.00,"20,500",-2.70
06-Jul-2022,75.14,75.14,71.20,72.70,"11,000",-1.94
05-Jul-2022,74.63,74.64,73.97,74.64,"382,000",5.20
04-Jul-2022,65.49,69.44,65.49,69.44,"18,000",4.84
01-Jul-2022,61.20,65.00,62.43,64.60,"8,000",2.17
30-Jun-2022,62.50,63.49,62.00,62.43,"103,000",-0.57
29-Jun-2022,65.00,65.00,63.00,63.00,"30,000",-5.00
28-Jun-2022,69.90,70.97,68.00,68.00,"8,000",1.98
