date,open,high,low,close,volume,change
02-Nov-2022,39.31,39.39,39.02,39.11,"60,000",-0.39
01-Nov-2022,39.61,39.61,39.40,39.50,"69,000",-0.22
31-Oct-2022,39.20,40.00,39.20,39.72,"110,000",0.17
28-Oct-2022,39.16,39.70,39.16,39.55,"7,500",-0.22
27-Oct-2022,39.80,40.10,39.00,39.77,"54,500",-0.04
26-Oct-2022,40.00,40.80,38.10,39.81,"101,000",-0.67
25-Oct-2022,40.26,40.50,40.00,40.48,"58,000",0.21
24-Oct-2022,40.38,40.38,39.61,40.27,"54,500",0.68
21-Oct-2022,40.08,40.08,39.00,39.59,"109,500",-0.71
20-Oct-2022,40.24,40.30,40.24,40.30,"17,500",0.20
19-Oct-2022,40.50,40.50,40.00,40.10,"37,500",-0.16
18-Oct-2022,40.60,40.60,40.00,40.26,"42,000",0.10
17-Oct-2022,40.30,40.49,40.00,40.16,"71,500",-0.33
14-Oct-2022,40.15,40.50,40.13,40.49,"86,000",0.22
13-Oct-2022,40.63,40.63,40.22,40.27,"25,000",-0.12
12-Oct-2022,41.20,41.20,40.10,40.39,"36,500",-0.10
11-Oct-2022,41.00,41.00,40.46,40.49,"86,000",-0.12
10-Oct-2022,39.60,41.00,39.60,40.61,"124,500",0.26
07-Oct-2022,40.00,40.50,40.00,40.35,"132,500",0.40
06-Oct-2022,40.00,40.01,39.75,39.95,"45,000",-0.04
05-Oct-2022,39.60,40.19,39.60,39.99,"78,500",-0.20
04-Oct-2022,40.94,41.25,39.10,40.19,"466,500",-0.38
03-Oct-2022,40.20,40.79,40.15,40.57,"52,000",0.36
30-Sep-2022,39.70,40.79,39.55,40.21,"83,500",0.31
29-Sep-2022,39.61,40.20,39.61,39.90,"19,500",-0.88
28-Sep-2022,40.00,40.78,40.00,40.78,"76,500",0.51
27-Sep-2022,40.50,40.50,39.65,40.27,"21,500",0.06
26-Sep-2022,40.20,40.30,39.55,40.21,"32,500",0.12
23-Sep-2022,39.11,40.25,39.00,40.09,"66,500",0.22
22-Sep-2022,39.51,40.00,39.31,39.87,"44,500",-0.50
21-Sep-2022,39.80,40.89,39.52,40.37,"24,000",0.46
20-Sep-2022,40.08,40.25,39.51,39.91,"56,500",-0.17
19-Sep-2022,40.01,40.70,40.00,40.08,"72,000",-0.17
16-Sep-2022,40.11,41.25,40.02,40.25,"26,000",-0.27
15-Sep-2022,40.90,40.90,40.50,40.52,"19,000",-0.28
14-Sep-2022,41.00,41.10,40.50,40.80,"41,500",-0.21
13-Sep-2022,40.89,41.05,40.82,41.01,"58,000",0.21
12-Sep-2022,41.20,41.20,40.65,40.80,"35,500",-0.46
09-Sep-2022,40.88,41.40,40.65,41.26,"24,500",0.38
08-Sep-2022,40.55,40.90,40.55,40.88,"18,000",-0.01
07-Sep-2022,40.56,40.89,40.52,40.89,"8,500",0.36
06-Sep-2022,40.51,40.99,40.50,40.53,"10,500",0.02
05-Sep-2022,40.85,41.45,40.50,40.51,"51,000",0.00
02-Sep-2022,40.99,41.15,40.45,40.51,"141,000",-0.92
01-Sep-2022,41.47,41.50,41.15,41.43,"16,000",0.34
31-Aug-2022,41.48,41.49,41.00,41.09,"30,000",-0.05
30-Aug-2022,40.95,41.82,40.66,41.14,"77,000",0.84
29-Aug-2022,40.12,40.50,40.10,40.30,"56,500",-0.52
26-Aug-2022,41.24,41.30,40.71,40.82,"30,500",-0.42
25-Aug-2022,41.50,41.50,41.10,41.24,"41,500",-0.76
24-Aug-2022,41.51,42.50,41.50,42.00,"103,500",0.79
23-Aug-2022,41.45,41.50,40.90,41.21,"27,000",0.51
22-Aug-2022,40.56,41.00,40.56,40.70,"16,500",-0.31
19-Aug-2022,41.60,41.60,41.00,41.01,"46,000",-0.51
18-Aug-2022,41.50,41.80,41.36,41.52,"127,500",-0.08
17-Aug-2022,42.50,42.70,41.50,41.60,"86,000",-0.41
16-Aug-2022,41.94,43.50,41.06,42.01,"88,000",0.54
15-Aug-2022,41.40,41.77,41.07,41.47,"44,500",0.65
12-Aug-2022,40.62,41.28,40.62,40.82,"29,500",0.17
11-Aug-2022,41.10,41.10,40.65,40.65,"21,000",-0.45
10-Aug-2022,40.50,41.40,40.50,41.10,"60,000",0.46
05-Aug-2022,39.99,42.00,39.90,40.64,"118,000",0.70
04-Aug-2022,40.01,40.48,39.91,39.94,"92,000",-0.21
03-Aug-2022,39.89,40.30,39.89,40.15,"53,000",0.35
02-Aug-2022,39.81,39.89,39.02,39.80,"16,500",-0.01
01-Aug-2022,40.00,40.00,39.77,39.81,"29,500",-0.42
29-Jul-2022,39.61,40.80,39.61,40.23,"18,000",0.18
28-Jul-2022,40.00,40.39,39.55,40.05,"96,500",-0.31
27-Jul-2022,40.87,40.87,40.00,40.36,"17,500",0.05
26-Jul-2022,40.80,40.80,39.15,40.31,"52,500",0.33
25-Jul-2022,39.62,40.01,39.62,39.98,"12,000",-0.32
22-Jul-2022,40.00,40.88,39.05,40.30,"34,500",0.21
21-Jul-2022,41.90,41.90,39.02,40.09,"66,500",-0.17
20-Jul-2022,40.01,40.85,40.00,40.26,"13,000",0.01
19-Jul-2022,41.00,41.00,40.02,40.25,"36,500",-0.75
18-Jul-2022,41.00,41.10,40.71,41.00,"12,000",-0.10
15-Jul-2022,41.50,41.50,41.02,41.10,"7,000",-0.20
14-Jul-2022,41.70,41.70,41.10,41.30,"14,500",-0.10
13-Jul-2022,40.61,41.40,40.26,41.40,"19,500",0.42
07-Jul-2022,40.60,41.00,40.42,40.98,"15,500",0.31
06-Jul-2022,40.52,40.70,40.52,40.67,"8,500",0.15
05-Jul-2022,41.19,41.19,40.50,40.52,"13,500",-0.09
04-Jul-2022,41.00,41.00,40.57,40.61,"24,000",-0.56
01-Jul-2022,41.90,41.95,41.00,41.17,"71,500",0.34
30-Jun-2022,40.75,41.05,40.70,40.83,"21,500",-0.27
29-Jun-2022,40.60,41.20,40.52,41.10,"39,000",0.10
28-Jun-2022,41.00,41.00,40.75,41.00,"53,000",0.15
27-Jun-2022,40.80,41.15,40.70,40.85,"35,000",0.27
24-Jun-2022,41.90,41.90,40.04,40.58,"76,000",-1.41
23-Jun-2022,41.45,42.00,41.30,41.99,"69,500",0.82
22-Jun-2022,41.49,41.50,41.01,41.17,"79,500",0.11
21-Jun-2022,40.62,41.34,40.62,41.06,"36,000",0.28
20-Jun-2022,41.00,41.44,40.75,40.78,"20,000",-0.05
17-Jun-2022,40.63,41.23,40.50,40.83,"171,500",0.08
16-Jun-2022,40.60,41.00,40.50,40.75,"82,000",0.25
15-Jun-2022,40.80,40.81,40.50,40.50,"52,500",-0.28
14-Jun-2022,40.10,40.78,40.10,40.78,"7,000",0.03
13-Jun-2022,41.00,41.00,39.85,40.75,"24,000",-0.25
10-Jun-2022,41.00,41.84,40.85,41.00,"24,500",0.02
08-Jun-2022,40.55,40.88,40.20,40.47,"18,000",-0.03
07-Jun-2022,40.50,40.55,40.50,40.50,"26,000",0.12
06-Jun-2022,40.40,40.55,40.30,40.38,"23,500",0.24
03-Jun-2022,41.78,41.78,39.14,40.14,"20,500",-0.98
02-Jun-2022,41.06,41.99,38.49,41.12,"57,500",-0.49
01-Jun-2022,42.58,42.59,41.01,41.61,"31,000",-0.45
31-May-2022,43.00,43.00,42.00,42.06,"63,500",-0.64
30-May-2022,42.55,42.95,42.50,42.70,"22,000",-0.31
27-May-2022,43.05,43.89,42.80,43.01,"56,500",0.26
26-May-2022,42.11,42.80,42.11,42.75,"46,000",0.17
25-May-2022,42.25,42.70,42.00,42.58,"153,000",0.07
24-May-2022,43.00,43.00,42.35,42.51,"126,000",-0.38
23-May-2022,43.49,43.49,42.57,42.89,"28,500",-0.64
20-May-2022,43.55,43.90,43.50,43.53,"27,000",0.01
19-May-2022,43.55,43.73,43.35,43.52,"32,000",-0.02
18-May-2022,43.30,43.80,43.00,43.54,"55,500",0.42
17-May-2022,42.23,43.35,42.23,43.12,"44,500",0.31
16-May-2022,43.20,43.20,42.45,42.81,"104,000",-0.23
13-May-2022,43.21,43.25,43.00,43.04,"56,000",0.12
12-May-2022,42.35,43.00,42.35,42.92,"52,500",0.57
11-May-2022,43.00,43.00,42.05,42.35,"54,500",-0.66
10-May-2022,43.02,43.10,43.00,43.01,"44,500",-0.24
09-May-2022,42.75,44.00,42.27,43.25,"179,500",0.25
06-May-2022,43.01,43.01,42.26,43.00,"50,000",-0.11
28-Apr-2022,43.10,43.50,42.50,43.11,"149,500",-0.50
27-Apr-2022,43.26,43.96,43.25,43.61,"4,000",0.33
26-Apr-2022,44.50,44.50,43.01,43.28,"151,000",-0.79
25-Apr-2022,43.70,44.09,43.50,44.07,"74,500",0.29
22-Apr-2022,43.03,43.90,43.03,43.78,"27,500",-0.19
21-Apr-2022,43.10,44.40,43.01,43.97,"100,000",0.73
20-Apr-2022,43.00,43.70,43.00,43.24,"85,500",0.24
