date,open,high,low,close,volume,change
02-Nov-2022,110.10,111.74,110.10,111.52,"47,400",-0.58
01-Nov-2022,110.89,113.00,110.30,112.10,"32,500",1.21
31-Oct-2022,111.50,111.50,110.58,110.89,400,-0.76
28-Oct-2022,112.78,112.80,110.01,111.65,"24,700",0.04
27-Oct-2022,112.70,113.25,110.65,111.61,"22,200",-0.22
26-Oct-2022,110.50,115.49,109.00,111.83,"26,200",0.66
25-Oct-2022,110.30,111.74,109.15,111.17,"15,400",0.14
24-Oct-2022,110.30,111.79,110.00,111.03,"15,000",-0.26
21-Oct-2022,110.15,112.00,109.05,111.29,"45,900",-0.01
20-Oct-2022,110.75,111.98,110.15,111.30,"13,300",-0.09
19-Oct-2022,112.00,112.00,110.75,111.39,"37,700",-0.08
18-Oct-2022,112.25,112.25,109.50,111.47,"35,400",-0.13
17-Oct-2022,112.00,112.00,110.00,111.60,"21,900",-0.35
14-Oct-2022,112.00,112.00,110.11,111.95,"11,800",-0.21
13-Oct-2022,112.15,112.60,111.50,112.16,"29,800",0.43
12-Oct-2022,111.25,111.99,110.41,111.73,"22,500",-0.17
11-Oct-2022,112.80,112.80,111.36,111.90,"8,200",-0.06
10-Oct-2022,111.76,112.35,111.10,111.96,"24,600",-0.39
07-Oct-2022,112.00,112.50,111.00,112.35,"15,300",-0.15
06-Oct-2022,112.94,112.94,111.51,112.50,"4,000",-0.01
05-Oct-2022,112.00,112.99,111.56,112.51,"9,700",-0.21
04-Oct-2022,111.55,112.89,111.52,112.72,"11,600",0.14
03-Oct-2022,113.00,113.00,111.61,112.58,"3,300",-0.13
30-Sep-2022,112.00,113.00,111.00,112.71,"31,300",-0.28
29-Sep-2022,112.00,117.49,111.02,112.99,"36,000",0.57
28-Sep-2022,112.00,113.00,111.90,112.42,"16,700",-0.26
27-Sep-2022,112.99,113.00,112.00,112.68,"4,200",0.21
26-Sep-2022,112.70,112.85,111.00,112.47,"67,300",-0.17
23-Sep-2022,111.25,113.00,110.00,112.64,"48,800",-0.39
22-Sep-2022,112.99,113.25,111.27,113.03,"10,600",-0.23
21-Sep-2022,112.10,113.89,111.80,113.26,"20,600",0.17
20-Sep-2022,113.02,114.00,111.00,113.09,"81,700",-0.89
19-Sep-2022,113.30,114.87,113.06,113.98,"9,100",-0.50
16-Sep-2022,114.00,114.51,113.00,114.48,"13,100",-0.06
15-Sep-2022,114.00,114.90,114.00,114.54,"16,100",0.10
14-Sep-2022,113.50,114.50,113.50,114.44,"9,800",-0.19
13-Sep-2022,114.13,115.00,114.00,114.63,"20,500",-0.28
12-Sep-2022,114.20,115.00,113.26,114.91,"10,300",0.04
09-Sep-2022,114.07,117.00,112.66,114.87,"70,900",0.14
08-Sep-2022,115.02,115.02,113.80,114.73,"87,300",-0.78
07-Sep-2022,115.50,116.00,114.95,115.51,"49,500",-0.42
06-Sep-2022,116.99,116.99,115.80,115.93,"11,900",-0.85
05-Sep-2022,115.80,117.48,115.05,116.78,"7,600",-0.69
02-Sep-2022,116.75,117.50,116.02,117.47,"7,700",0.18
01-Sep-2022,117.52,117.55,117.00,117.29,"16,600",-1.83
31-Aug-2022,118.50,119.80,117.00,119.12,"5,300",1.16
30-Aug-2022,118.50,119.49,114.99,117.96,"35,900",-0.01
29-Aug-2022,115.20,119.80,115.20,117.97,"14,000",0.76
26-Aug-2022,117.50,117.50,116.00,117.21,"57,500",-0.41
25-Aug-2022,118.00,119.00,116.50,117.62,"72,100",-0.15
24-Aug-2022,119.00,120.20,117.02,117.77,"51,500",-0.97
23-Aug-2022,120.78,124.89,118.51,118.74,"79,300",-2.73
22-Aug-2022,120.52,121.90,120.52,121.47,"3,500",-0.18
19-Aug-2022,121.50,122.50,121.12,121.65,"7,400",-1.34
18-Aug-2022,121.00,125.80,120.00,122.99,"86,300",1.22
17-Aug-2022,122.90,122.90,121.35,121.77,"10,400",-0.31
16-Aug-2022,124.90,125.00,121.20,122.08,"67,400",-1.69
15-Aug-2022,124.00,128.50,122.00,123.77,"250,500",0.23
12-Aug-2022,121.25,125.90,121.25,123.54,"40,900",0.20
11-Aug-2022,122.50,123.95,122.25,123.34,"10,600",-1.29
10-Aug-2022,122.00,126.70,122.00,124.63,"64,400",-0.55
05-Aug-2022,118.75,127.99,118.75,125.18,"23,800",4.69
04-Aug-2022,120.00,120.49,119.50,120.49,"6,000",0.50
03-Aug-2022,117.10,122.00,117.00,119.99,"25,600",2.43
02-Aug-2022,116.66,118.50,116.05,117.56,"6,500",-0.94
01-Aug-2022,118.00,119.00,118.00,118.50,"2,800",-0.10
29-Jul-2022,118.75,120.50,118.00,118.60,"9,300",-0.34
28-Jul-2022,118.73,119.00,118.73,118.94,"1,800",0.21
27-Jul-2022,119.57,119.57,115.00,118.73,"16,500",-0.84
26-Jul-2022,119.99,119.99,117.75,119.57,"2,300",0.25
25-Jul-2022,119.80,119.80,118.30,119.32,"1,300",0.00
22-Jul-2022,116.60,120.00,116.00,119.32,"16,500",1.20
21-Jul-2022,119.90,120.00,115.25,118.12,"30,300",-0.82
20-Jul-2022,120.80,121.75,118.00,118.94,"10,700",-0.46
19-Jul-2022,119.50,122.25,117.91,119.40,"16,700",-0.10
18-Jul-2022,121.84,121.84,119.10,119.50,"5,300",-1.36
15-Jul-2022,121.50,121.84,115.00,120.86,"11,100",-0.54
14-Jul-2022,120.50,122.01,120.15,121.40,"7,600",-0.39
13-Jul-2022,119.65,121.80,119.65,121.79,"2,400",0.56
07-Jul-2022,120.79,121.45,120.03,121.23,"2,800",0.44
06-Jul-2022,119.95,121.00,119.15,120.79,"6,400",0.84
05-Jul-2022,121.00,121.00,119.50,119.95,"16,500",-0.88
04-Jul-2022,120.60,121.25,120.60,120.83,"3,100",-1.02
01-Jul-2022,123.60,123.60,120.83,121.85,"3,500",-3.08
30-Jun-2022,118.25,127.80,118.00,124.93,"143,300",5.51
29-Jun-2022,119.61,119.61,118.00,119.42,"6,200",-0.19
28-Jun-2022,119.99,121.80,119.01,119.61,"5,900",0.61
27-Jun-2022,119.75,119.93,118.75,119.00,"2,400",0.09
24-Jun-2022,119.10,121.38,117.90,118.91,"28,300",-0.74
23-Jun-2022,121.25,123.90,119.00,119.65,"50,800",-1.05
22-Jun-2022,121.00,121.01,119.50,120.70,"15,000",-0.30
21-Jun-2022,119.20,121.00,119.10,121.00,"10,100",1.97
20-Jun-2022,120.00,120.50,119.00,119.03,"9,800",-0.92
17-Jun-2022,119.60,120.00,119.60,119.95,"21,000",0.05
16-Jun-2022,120.00,120.00,119.00,119.90,"5,300",-0.10
15-Jun-2022,119.07,120.66,119.07,120.00,"8,100",0.11
14-Jun-2022,120.90,120.90,119.00,119.89,"16,800",-1.36
13-Jun-2022,124.85,125.70,121.01,121.25,"12,300",-0.65
10-Jun-2022,122.90,123.75,121.00,121.90,"22,100",0.73
08-Jun-2022,119.00,121.00,117.00,119.22,"92,000",-0.70
07-Jun-2022,120.00,120.00,119.80,119.92,"3,900",0.12
06-Jun-2022,119.70,120.00,118.15,119.80,"35,400",-0.68
03-Jun-2022,120.10,121.00,118.50,120.48,"18,700",-0.26
02-Jun-2022,120.75,121.90,119.94,120.74,"50,500",-0.10
01-Jun-2022,123.00,124.40,120.00,120.84,"119,100",-2.94
31-May-2022,124.40,125.00,122.51,123.78,"19,500",-0.22
30-May-2022,124.40,124.40,123.20,124.00,"5,600",-0.45
27-May-2022,123.01,125.95,123.01,124.45,"22,800",1.55
26-May-2022,125.00,125.00,122.00,122.90,"33,400",-1.71
25-May-2022,124.95,124.95,122.60,124.61,"6,900",-0.35
24-May-2022,123.00,125.50,123.00,124.96,"8,400",0.90
23-May-2022,122.75,126.49,120.00,124.06,"18,600",-0.13
20-May-2022,124.00,124.95,124.00,124.19,"1,900",-0.23
19-May-2022,123.00,125.90,122.70,124.42,"12,000",0.91
18-May-2022,124.00,125.00,123.00,123.51,"35,500",-1.29
17-May-2022,124.00,125.00,123.00,124.80,"14,100",-0.70
16-May-2022,122.01,127.50,122.00,125.50,"7,400",-0.44
13-May-2022,124.99,126.48,124.00,125.94,"7,500",1.24
12-May-2022,125.99,125.99,123.10,124.70,"14,700",-0.95
11-May-2022,125.45,128.50,122.00,125.65,"46,200",-0.19
10-May-2022,123.00,128.00,122.00,125.84,"26,500",0.59
09-May-2022,124.00,127.99,123.00,125.25,"59,100",-1.46
06-May-2022,128.90,128.90,124.10,126.71,"11,000",-0.66
28-Apr-2022,125.01,129.40,124.27,127.37,"24,500",-0.08
27-Apr-2022,124.50,130.00,124.00,127.45,"19,200",2.30
26-Apr-2022,127.92,127.92,125.00,125.15,"26,100",-3.06
25-Apr-2022,128.70,128.70,128.00,128.21,"6,700",-0.56
22-Apr-2022,128.76,129.45,128.05,128.77,"17,000",-1.17
21-Apr-2022,128.51,134.00,128.00,129.94,"19,700",0.33
20-Apr-2022,130.00,130.00,128.01,129.61,"28,900",-0.39
19-Apr-2022,131.00,131.00,129.88,130.00,"50,200",-1.13
18-Apr-2022,133.11,133.25,131.00,131.13,"22,800",-2.41
15-Apr-2022,132.90,134.50,132.80,133.54,"46,000",-0.15
14-Apr-2022,140.00,144.40,140.00,140.69,"125,200",-1.96
13-Apr-2022,141.20,144.70,140.50,142.65,"52,100",1.53
12-Apr-2022,138.00,141.60,138.00,141.12,"24,300",0.93
11-Apr-2022,137.50,140.60,135.10,140.19,"52,800",4.24
08-Apr-2022,141.38,141.38,135.00,135.95,"39,200",0.10
07-Apr-2022,137.50,140.00,135.00,135.85,"22,800",-1.96
06-Apr-2022,137.50,138.15,136.60,137.81,"26,800",1.77
05-Apr-2022,136.00,137.83,135.50,136.04,"37,200",0.94
04-Apr-2022,133.50,137.90,133.50,135.10,"22,900",-2.80
01-Apr-2022,136.99,140.01,133.25,137.90,"81,800",1.22
31-Mar-2022,134.99,137.50,134.99,136.68,"41,600",0.73
30-Mar-2022,133.55,138.00,133.00,135.95,"32,200",0.69
29-Mar-2022,133.85,135.98,133.50,135.26,"40,000",2.75
28-Mar-2022,131.51,133.10,131.51,132.51,"25,300",1.10
25-Mar-2022,132.00,132.00,131.00,131.41,"15,500",-0.06
24-Mar-2022,131.25,134.50,130.02,131.47,"45,500",-0.34
22-Mar-2022,132.41,132.95,131.52,131.81,"19,500",0.23
21-Mar-2022,133.00,133.40,131.00,131.58,"12,200",-1.15
18-Mar-2022,132.00,137.50,130.00,132.73,"35,500",-1.03
17-Mar-2022,135.50,135.60,133.51,133.76,"14,100",-0.60
16-Mar-2022,132.01,135.45,132.01,134.36,"17,600",1.76
15-Mar-2022,132.01,133.05,132.01,132.60,"13,900",-0.43
14-Mar-2022,132.80,133.90,132.00,133.03,"9,800",0.23
11-Mar-2022,131.30,133.38,131.10,132.80,"1,500",-0.58
10-Mar-2022,132.01,134.00,132.01,133.38,"36,800",1.86
09-Mar-2022,131.00,132.00,130.00,131.52,"25,400",0.63
08-Mar-2022,130.50,132.99,129.50,130.89,"43,100",-0.04
07-Mar-2022,133.50,136.00,130.10,130.93,"83,200",-4.92
04-Mar-2022,136.90,137.50,135.25,135.85,"7,300",-0.41
03-Mar-2022,137.99,138.00,135.51,136.26,"14,100",-0.24
02-Mar-2022,136.00,139.00,135.05,136.50,"92,700",-0.52
01-Mar-2022,137.50,137.50,136.80,137.02,"16,600",0.25
28-Feb-2022,137.00,140.00,135.61,136.77,"65,400",1.06
25-Feb-2022,128.00,136.93,127.75,135.71,"271,800",8.33
24-Feb-2022,128.05,132.00,125.00,127.38,"147,500",-3.79
23-Feb-2022,132.50,132.50,131.00,131.17,"5,900",-0.23
22-Feb-2022,134.94,134.94,131.00,131.40,"10,200",-2.28
21-Feb-2022,132.25,133.99,131.05,133.68,"23,300",0.00
18-Feb-2022,132.50,133.85,131.20,133.68,"19,600",0.29
17-Feb-2022,133.80,134.00,132.50,133.39,"13,600",0.39
16-Feb-2022,133.50,134.05,133.00,133.00,"25,800",-0.05
15-Feb-2022,133.49,133.49,132.07,133.05,"3,100",-0.44
14-Feb-2022,132.00,135.90,130.25,133.49,"23,500",1.42
11-Feb-2022,133.20,134.00,131.50,132.07,"16,600",-1.16
10-Feb-2022,137.49,137.49,133.00,133.23,"96,100",-2.81
09-Feb-2022,137.00,137.99,135.22,136.04,"41,400",0.16
08-Feb-2022,133.56,136.90,133.56,135.88,"44,300",0.48
07-Feb-2022,136.98,136.99,135.30,135.40,"1,700",-1.12
04-Feb-2022,133.25,137.00,133.25,136.52,"23,000",0.56
03-Feb-2022,135.90,136.50,135.00,135.96,"18,400",0.06
02-Feb-2022,135.00,136.98,135.00,135.90,"5,300",0.90
01-Feb-2022,133.00,137.00,132.99,135.00,"11,300",1.10
31-Jan-2022,131.60,137.80,131.50,133.90,"21,500",2.00
28-Jan-2022,130.11,133.00,130.11,131.90,"3,800",-0.94
27-Jan-2022,133.00,133.90,131.56,132.84,"5,800",0.34
26-Jan-2022,131.80,132.75,131.50,132.50,"12,400",1.02
25-Jan-2022,132.95,132.95,131.00,131.48,"21,100",-0.18
24-Jan-2022,131.24,132.00,131.24,131.66,"2,600",0.42
21-Jan-2022,132.70,134.00,131.00,131.24,"28,500",-1.47
20-Jan-2022,129.11,133.00,129.11,132.71,"22,000",1.08
19-Jan-2022,136.89,136.89,130.51,131.63,"50,800",-5.26
18-Jan-2022,140.98,141.00,136.06,136.89,"112,200",-3.72
17-Jan-2022,136.00,142.50,136.00,140.61,"268,900",4.64
14-Jan-2022,135.51,137.00,133.33,135.97,"13,500",-1.03
13-Jan-2022,136.50,137.00,136.00,137.00,"4,900",0.01
11-Jan-2022,136.00,137.00,135.00,136.61,"23,000",-0.01
10-Jan-2022,136.75,137.00,134.50,136.62,"8,400",1.10
07-Jan-2022,137.30,137.30,135.00,135.52,"10,600",-0.99
06-Jan-2022,136.50,137.90,136.50,136.51,"3,600",-0.94
05-Jan-2022,135.50,138.01,135.00,137.45,"10,000",-0.89
04-Jan-2022,139.30,139.40,137.14,138.34,"10,700",1.20
03-Jan-2022,134.00,137.96,134.00,137.14,"19,500",0.63
31-Dec-2021,134.00,138.00,133.50,136.51,"52,400",2.70
30-Dec-2021,131.65,134.00,131.65,133.81,"18,800",1.29
29-Dec-2021,130.06,132.98,130.00,132.52,"47,400",1.14
28-Dec-2021,131.49,131.98,130.00,131.38,"14,400",0.44
27-Dec-2021,131.49,131.49,130.00,130.94,"30,800",0.44
24-Dec-2021,131.50,131.99,130.15,130.50,"2,200",-0.50
23-Dec-2021,131.00,132.00,130.80,131.00,"19,800",0.48
22-Dec-2021,130.99,133.00,127.71,130.52,"95,800",0.13
21-Dec-2021,131.65,134.00,130.00,130.39,"63,500",-1.26
20-Dec-2021,131.00,133.50,131.00,131.65,"6,700",0.15
17-Dec-2021,131.49,131.90,130.50,131.50,"20,300",0.47
16-Dec-2021,134.00,134.00,130.62,131.03,"22,100",-2.07
15-Dec-2021,133.00,136.80,130.25,133.10,"117,800",2.06
14-Dec-2021,131.00,133.20,128.00,131.04,"34,300",0.02
13-Dec-2021,131.05,132.50,129.50,131.02,"13,800",-3.55
10-Dec-2021,132.50,138.20,130.00,134.57,"232,600",-0.60
09-Dec-2021,134.00,136.99,132.00,135.17,"11,700",-0.36
08-Dec-2021,138.50,138.50,134.10,135.53,"2,800",-1.40
07-Dec-2021,135.00,137.10,135.00,136.93,"2,900",2.30
06-Dec-2021,130.11,136.50,130.11,134.63,"4,600",-1.06
03-Dec-2021,133.00,142.36,127.50,135.69,"93,700",3.26
02-Dec-2021,140.00,140.00,129.38,132.43,"51,700",-7.43
01-Dec-2021,140.00,140.05,139.01,139.86,"9,800",-0.23
30-Nov-2021,142.00,142.00,139.80,140.09,"5,900",-1.85
29-Nov-2021,139.00,142.90,139.00,141.94,"27,000",3.27
26-Nov-2021,137.05,139.00,137.05,138.67,600,-1.55
25-Nov-2021,140.10,145.00,136.71,140.22,"18,400",-0.48
24-Nov-2021,143.00,143.00,139.05,140.70,"3,700",-2.37
23-Nov-2021,147.00,147.00,142.10,143.07,"5,600",-2.92
22-Nov-2021,147.97,149.00,143.10,145.99,"2,600",0.94
19-Nov-2021,145.00,145.40,144.50,145.05,"56,900",0.85
18-Nov-2021,144.31,144.99,144.00,144.20,"5,700",0.13
17-Nov-2021,143.05,145.90,143.05,144.07,"1,000",-1.53
16-Nov-2021,146.26,146.26,145.30,145.60,800,1.09
15-Nov-2021,145.00,147.50,144.00,144.51,"3,700",-0.78
12-Nov-2021,146.00,146.85,143.50,145.29,"6,400",-0.17
11-Nov-2021,149.90,149.90,145.00,145.46,"8,500",0.01
10-Nov-2021,146.79,147.79,145.04,145.45,"6,500",-0.76
09-Nov-2021,146.30,148.00,146.20,146.21,"3,700",-1.37
08-Nov-2021,150.95,150.95,147.53,147.58,"7,000",-0.52
05-Nov-2021,148.88,149.00,148.06,148.10,"9,200",-0.14
04-Nov-2021,146.17,148.43,146.15,148.24,"6,300",1.21
03-Nov-2021,148.95,148.95,147.01,147.03,"4,200",-0.97
02-Nov-2021,148.90,149.80,147.35,148.00,"31,200",-0.29
01-Nov-2021,147.01,150.00,147.00,148.29,"30,500",0.33
29-Oct-2021,149.00,150.00,147.30,147.96,"8,900",-0.07
28-Oct-2021,148.00,149.35,148.00,148.03,"5,000",-0.49
27-Oct-2021,151.99,151.99,148.52,148.52,900,-0.38
26-Oct-2021,147.57,148.90,147.00,148.90,"5,600",1.89
25-Oct-2021,148.80,148.80,147.01,147.01,"1,500",-1.00
22-Oct-2021,147.60,148.01,147.60,148.01,"1,100",-2.05
21-Oct-2021,148.65,150.44,148.00,150.06,"29,700",0.73
20-Oct-2021,148.00,150.00,148.00,149.33,"15,600",-0.60
18-Oct-2021,151.00,151.00,147.50,149.93,"40,400",-1.07
15-Oct-2021,146.05,151.30,146.05,151.00,"48,800",0.96
14-Oct-2021,141.50,152.90,141.10,150.04,"34,700",5.61
13-Oct-2021,146.85,146.85,144.00,144.43,"1,500",0.29
12-Oct-2021,148.47,148.47,141.01,144.14,"14,700",2.10
11-Oct-2021,144.50,144.50,141.10,142.04,"7,100",-2.46
08-Oct-2021,147.40,147.40,142.00,144.50,"16,100",-3.50
07-Oct-2021,147.00,148.90,147.00,148.00,"3,800",0.06
06-Oct-2021,148.00,148.01,147.01,147.94,"64,400",-1.06
05-Oct-2021,149.00,149.75,148.00,149.00,"16,300",-0.08
04-Oct-2021,149.51,151.01,148.50,149.08,"270,900",-0.43
01-Oct-2021,147.55,150.00,145.15,149.51,"8,200",1.69
30-Sep-2021,148.00,149.00,143.10,147.82,"3,900",-1.58
29-Sep-2021,148.25,149.85,148.00,149.40,"4,300",0.79
28-Sep-2021,148.02,149.90,148.02,148.61,"4,800",0.61
27-Sep-2021,147.00,148.00,146.71,148.00,"6,000",-1.39
24-Sep-2021,151.99,151.99,149.00,149.39,"14,800",-3.51
23-Sep-2021,149.38,154.99,146.00,152.90,"52,100",3.52
22-Sep-2021,144.01,153.00,143.00,149.38,"48,400",2.03
21-Sep-2021,150.00,150.00,147.00,147.35,"12,000",-1.82
20-Sep-2021,149.26,150.25,149.16,149.17,"5,600",-1.59
17-Sep-2021,151.73,151.73,150.52,150.76,"10,800",-0.97
16-Sep-2021,151.00,152.95,146.25,151.73,"6,000",-1.07
15-Sep-2021,154.55,154.55,151.00,152.80,"3,800",0.01
14-Sep-2021,154.88,154.88,152.00,152.79,"7,100",-0.73
13-Sep-2021,154.00,154.02,153.11,153.52,"25,500",-0.11
10-Sep-2021,154.00,155.49,153.50,153.63,"28,400",-0.09
09-Sep-2021,154.01,155.15,153.60,153.72,"85,800",-0.30
08-Sep-2021,155.14,155.30,153.01,154.02,"53,300",-0.98
07-Sep-2021,155.00,155.50,154.61,155.00,"40,100",-0.71
06-Sep-2021,155.00,156.99,155.00,155.71,"7,500",0.67
03-Sep-2021,156.81,160.00,155.00,155.04,"106,300",-1.98
02-Sep-2021,158.28,158.50,157.00,157.02,"105,000",-1.26
01-Sep-2021,159.99,161.39,158.00,158.28,"115,400",-4.26
31-Aug-2021,156.00,163.50,156.00,162.54,"72,000",2.87
30-Aug-2021,157.89,161.00,156.00,159.67,"38,500",1.78
