date,open,high,low,close,volume,change
01-Nov-2022,203.19,205.00,203.19,205.00,"12,100",5.00
31-Oct-2022,200.01,200.01,200.00,200.00,300,-0.09
28-Oct-2022,204.60,205.50,200.00,200.09,"13,000",-4.05
27-Oct-2022,205.30,207.00,203.50,204.14,"19,100",2.78
26-Oct-2022,202.20,202.20,199.00,201.36,"6,400",2.18
25-Oct-2022,203.89,203.90,199.01,199.18,"7,800",-0.92
24-Oct-2022,203.98,203.99,200.00,200.10,"8,400",-1.51
21-Oct-2022,205.00,207.00,199.30,201.61,"37,100",-5.39
20-Oct-2022,206.00,208.80,204.00,207.00,"6,600",3.00
19-Oct-2022,204.99,205.90,201.41,204.00,"3,800",2.59
18-Oct-2022,204.00,204.00,201.00,201.41,"4,700",-1.60
17-Oct-2022,204.26,205.99,203.00,203.01,"5,300",-2.54
14-Oct-2022,206.20,207.00,205.55,205.55,"3,900",-0.40
13-Oct-2022,208.00,208.00,205.90,205.95,"7,000",0.95
12-Oct-2022,205.00,205.00,205.00,205.00,900,0.00
11-Oct-2022,204.05,207.85,204.05,205.00,700,0.85
10-Oct-2022,205.01,207.05,203.45,204.15,"6,100",-2.90
07-Oct-2022,208.00,209.99,203.67,207.05,"14,300",-1.68
06-Oct-2022,210.90,211.00,208.00,208.73,"11,300",0.20
05-Oct-2022,211.48,211.48,208.00,208.53,"5,200",-1.47
04-Oct-2022,214.00,215.00,210.00,210.00,"10,400",-2.13
03-Oct-2022,213.55,215.00,211.08,212.13,"7,000",-5.97
30-Sep-2022,218.00,218.10,218.00,218.10,100,0.00
29-Sep-2022,215.00,220.00,215.00,218.10,"2,700",1.14
28-Sep-2022,212.50,217.00,212.50,216.96,600,2.35
27-Sep-2022,212.00,218.00,211.10,214.61,800,-0.49
26-Sep-2022,215.00,215.10,215.00,215.10,100,0.00
23-Sep-2022,215.10,215.10,215.00,215.10,600,0.10
22-Sep-2022,0.00,215.00,215.00,215.00,100,0.00
21-Sep-2022,212.00,215.00,212.00,215.00,"23,000",-2.00
20-Sep-2022,217.00,217.00,216.00,217.00,800,0.02
19-Sep-2022,219.85,219.85,216.95,216.98,"1,500",4.48
16-Sep-2022,213.51,214.00,212.50,212.50,"5,000",-3.52
15-Sep-2022,220.01,220.01,215.00,216.02,"2,700",-5.98
14-Sep-2022,218.00,223.50,218.00,222.00,"29,900",1.74
13-Sep-2022,217.49,221.25,217.49,220.26,"35,500",4.26
12-Sep-2022,214.00,216.00,214.00,216.00,"5,800",1.00
09-Sep-2022,217.50,217.50,215.00,215.00,100,0.00
08-Sep-2022,215.00,215.00,215.00,215.00,100,0.00
07-Sep-2022,214.90,216.00,214.60,215.00,500,2.85
06-Sep-2022,218.00,218.00,211.00,212.15,"6,000",-4.85
05-Sep-2022,215.86,217.00,215.86,217.00,400,1.14
02-Sep-2022,212.00,217.00,212.00,215.86,"28,100",3.77
01-Sep-2022,212.00,213.89,210.00,212.09,"7,300",0.32
30-Aug-2022,215.00,215.00,210.55,211.77,"9,500",-5.16
29-Aug-2022,213.50,219.90,213.49,216.93,"6,700",4.19
26-Aug-2022,215.00,215.00,210.00,212.74,"17,600",0.14
25-Aug-2022,217.99,217.99,212.00,212.60,"8,900",-1.85
24-Aug-2022,218.00,219.99,214.00,214.45,"43,200",-3.87
23-Aug-2022,227.00,233.55,217.60,218.32,"68,200",-8.65
22-Aug-2022,232.15,232.15,223.55,226.97,"3,800",-5.18
19-Aug-2022,232.15,232.15,232.15,232.15,500,-0.40
18-Aug-2022,230.10,235.01,230.02,232.55,"12,900",-1.87
17-Aug-2022,238.35,242.00,233.60,234.42,"3,000",0.22
16-Aug-2022,235.50,243.00,232.35,234.20,"11,900",-1.48
15-Aug-2022,233.27,241.00,233.27,235.68,"12,100",2.41
12-Aug-2022,228.00,235.00,225.03,233.27,"9,300",8.24
11-Aug-2022,225.80,225.80,223.51,225.03,400,-0.70
05-Aug-2022,226.01,228.65,222.55,225.73,"5,300",-2.77
04-Aug-2022,225.00,229.00,224.99,228.50,"2,400",7.23
03-Aug-2022,223.55,225.00,220.85,221.27,"2,900",1.27
02-Aug-2022,219.00,221.00,219.00,220.00,"13,500",2.08
01-Aug-2022,0.00,217.92,217.92,217.92,500,0.00
29-Jul-2022,219.00,220.00,217.01,217.92,"7,200",1.39
28-Jul-2022,226.10,227.00,210.10,216.53,"3,800",-3.47
27-Jul-2022,227.80,227.80,220.00,220.00,100,0.00
25-Jul-2022,220.00,220.00,220.00,220.00,"1,600",0.00
22-Jul-2022,219.99,220.00,219.99,220.00,"3,500",-0.17
21-Jul-2022,225.10,225.10,217.00,220.17,"7,400",-4.83
20-Jul-2022,225.20,225.20,225.00,225.00,"3,000",-0.77
19-Jul-2022,230.00,234.00,225.20,225.77,"23,000",-12.23
18-Jul-2022,238.00,238.00,238.00,238.00,400,-0.45
15-Jul-2022,237.00,239.90,237.00,238.45,200,1.26
13-Jul-2022,230.00,237.99,230.00,237.19,600,7.87
06-Jul-2022,232.00,232.00,228.00,229.32,"5,500",-0.16
05-Jul-2022,229.00,230.00,228.00,229.48,"9,100",0.48
04-Jul-2022,229.00,229.00,229.00,229.00,600,-1.00
01-Jul-2022,230.00,230.00,230.00,230.00,"19,800",-8.33
30-Jun-2022,232.00,239.88,232.00,238.33,"36,900",7.61
29-Jun-2022,223.60,235.00,223.50,230.72,"6,400",5.76
28-Jun-2022,229.85,230.00,223.60,224.96,"4,900",4.01
27-Jun-2022,222.00,222.00,220.95,220.95,100,0.00
24-Jun-2022,227.00,230.00,220.00,220.95,"42,200",-7.06
23-Jun-2022,226.00,229.00,226.00,228.01,"4,700",3.01
22-Jun-2022,227.05,227.05,225.00,225.00,"2,800",-5.93
21-Jun-2022,224.00,232.00,222.00,230.93,"10,400",8.63
20-Jun-2022,226.80,227.00,222.30,222.30,"2,500",-5.70
17-Jun-2022,237.90,237.90,222.05,228.00,"20,900",4.60
16-Jun-2022,221.10,223.50,221.00,223.40,"2,600",2.31
15-Jun-2022,222.05,222.05,221.00,221.09,"7,300",-1.03
14-Jun-2022,222.00,223.92,222.00,222.12,"1,600",-1.29
13-Jun-2022,230.20,232.00,221.08,223.41,"5,000",-12.09
10-Jun-2022,239.00,239.00,230.00,235.50,"2,100",1.43
09-Jun-2022,227.85,238.00,227.85,234.07,"14,500",11.64
08-Jun-2022,0.00,222.43,222.43,222.43,"3,500",0.00
07-Jun-2022,222.00,224.55,222.00,222.43,"14,400",0.03
06-Jun-2022,216.00,224.80,216.00,222.40,400,-1.71
02-Jun-2022,224.25,224.25,224.01,224.11,500,-3.56
01-Jun-2022,229.89,230.90,227.00,227.67,"7,000",-1.33
30-May-2022,232.00,232.00,224.30,229.90,"8,500",-2.20
27-May-2022,228.24,236.00,228.23,232.10,"43,200",3.90
26-May-2022,220.00,230.00,220.00,228.20,"11,200",7.36
25-May-2022,219.95,229.88,215.43,220.84,"6,200",5.41
24-May-2022,222.00,222.00,215.00,215.43,"14,600",-6.99
23-May-2022,230.00,230.10,222.00,222.42,"111,200",-10.58
20-May-2022,232.00,235.00,230.00,233.00,"4,800",-1.26
19-May-2022,232.99,235.00,230.00,234.26,"4,600",2.26
18-May-2022,222.70,233.49,222.70,232.00,"2,500",-1.85
17-May-2022,226.01,234.89,226.01,233.85,"8,700",-0.15
16-May-2022,215.51,234.00,215.51,234.00,"2,000",3.80
13-May-2022,229.00,233.00,225.90,230.20,"8,600",4.30
12-May-2022,230.00,230.00,220.15,225.90,"21,100",-7.70
11-May-2022,235.00,235.00,224.00,233.60,"70,900",-1.40
10-May-2022,238.00,238.00,235.00,235.00,"1,300",-3.97
09-May-2022,239.00,239.00,238.94,238.97,200,-1.03
06-May-2022,239.00,240.00,239.00,240.00,400,-5.16
28-Apr-2022,242.00,248.80,237.50,245.16,"87,000",-0.16
27-Apr-2022,245.00,249.00,245.00,245.32,"10,600",-4.51
26-Apr-2022,249.00,249.83,249.00,249.83,100,0.00
25-Apr-2022,243.00,250.60,243.00,249.83,"117,300",2.34
22-Apr-2022,247.00,248.00,246.90,247.49,"9,200",-0.41
21-Apr-2022,250.00,250.00,247.80,247.90,"1,900",-1.03
20-Apr-2022,244.00,249.50,244.00,248.93,"1,200",-0.76
18-Apr-2022,249.51,252.49,245.00,249.69,"1,500",-3.25
15-Apr-2022,251.50,253.00,251.50,252.94,"1,600",0.96
14-Apr-2022,250.00,253.45,249.00,251.98,"2,700",1.34
13-Apr-2022,258.00,261.80,250.00,250.64,"8,800",-5.36
12-Apr-2022,250.10,257.99,250.00,256.00,"1,500",-2.07
11-Apr-2022,254.00,260.00,249.00,258.07,"19,300",13.57
08-Apr-2022,244.00,245.00,244.00,244.50,600,0.44
07-Apr-2022,244.99,245.00,244.00,244.06,"1,700",-0.93
06-Apr-2022,243.50,246.99,242.80,244.99,"3,700",2.30
05-Apr-2022,255.45,255.45,235.10,242.69,"3,100",-5.31
04-Apr-2022,244.00,248.00,244.00,248.00,400,0.20
01-Apr-2022,251.00,251.00,247.00,247.80,"2,800",-5.64
31-Mar-2022,241.13,254.50,235.50,253.44,"3,000",6.34
30-Mar-2022,250.50,250.50,243.06,247.10,"15,900",-3.15
29-Mar-2022,252.00,255.00,246.53,250.25,"6,000",-1.47
28-Mar-2022,245.00,255.00,245.00,251.72,"4,200",1.72
25-Mar-2022,245.00,250.00,245.00,250.00,700,4.72
24-Mar-2022,241.50,245.90,240.00,245.28,"11,400",1.07
22-Mar-2022,245.20,246.85,242.08,244.21,"26,200",-5.79
21-Mar-2022,250.02,250.02,250.00,250.00,700,0.20
18-Mar-2022,249.80,249.80,249.80,249.80,100,0.00
17-Mar-2022,245.00,249.80,245.00,249.80,"2,600",0.80
16-Mar-2022,247.00,249.00,247.00,249.00,"1,000",1.00
14-Mar-2022,247.99,248.00,245.75,248.00,"2,700",2.25
11-Mar-2022,246.00,246.99,244.50,245.75,900,-2.25
10-Mar-2022,245.00,249.00,245.00,248.00,400,5.50
09-Mar-2022,243.10,245.99,240.40,242.50,"1,400",-4.48
08-Mar-2022,240.00,248.00,240.00,246.98,"1,700",-0.02
07-Mar-2022,248.00,248.00,241.00,247.00,"2,800",-4.67
04-Mar-2022,259.00,259.00,251.00,251.67,"1,600",-1.31
03-Mar-2022,251.20,253.95,250.01,252.98,"1,400",-0.20
02-Mar-2022,252.98,254.00,249.50,253.18,"40,800",-0.06
01-Mar-2022,254.00,255.00,250.60,253.24,"11,100",-0.75
28-Feb-2022,251.00,255.00,250.00,253.99,"30,700",3.15
25-Feb-2022,250.00,257.95,245.10,250.84,"2,600",6.72
24-Feb-2022,250.01,254.94,244.05,244.12,"2,900",-11.54
23-Feb-2022,261.00,262.90,255.15,255.66,"1,200",-7.24
22-Feb-2022,250.20,268.00,250.20,262.90,"9,900",6.25
21-Feb-2022,259.50,260.00,255.25,256.65,"1,100",-2.26
18-Feb-2022,255.50,260.00,255.00,258.91,"27,600",3.66
17-Feb-2022,260.00,260.00,255.00,255.25,"1,500",-3.13
16-Feb-2022,268.00,268.00,257.00,258.38,"10,900",-3.86
15-Feb-2022,260.00,264.80,258.00,262.24,"2,400",2.09
14-Feb-2022,255.11,265.10,255.11,260.15,"75,200",-2.13
11-Feb-2022,265.00,265.00,261.17,262.28,"6,300",-2.22
10-Feb-2022,265.00,272.01,263.50,264.50,"40,600",-0.39
09-Feb-2022,270.00,273.00,256.00,264.89,"113,800",-3.04
08-Feb-2022,267.89,268.00,266.00,267.93,"8,600",3.14
07-Feb-2022,263.01,266.00,260.00,264.79,"7,200",-3.21
04-Feb-2022,269.00,269.00,265.00,268.00,"13,200",0.00
03-Feb-2022,267.00,268.50,264.00,268.00,"23,400",1.60
02-Feb-2022,269.99,269.99,263.41,266.40,"20,000",0.42
01-Feb-2022,264.00,270.01,264.00,265.98,"41,900",0.55
31-Jan-2022,266.00,267.95,264.00,265.43,"7,400",-0.25
28-Jan-2022,260.00,269.00,260.00,265.68,"22,000",6.15
27-Jan-2022,268.00,268.00,257.12,259.53,"5,100",-2.21
26-Jan-2022,250.00,267.00,250.00,261.74,"57,000",11.70
25-Jan-2022,248.10,253.05,248.00,250.04,"47,300",0.23
24-Jan-2022,249.99,252.99,248.00,249.81,"16,600",-0.69
21-Jan-2022,251.00,255.00,247.00,250.50,"9,700",-2.25
20-Jan-2022,248.00,253.45,246.00,252.75,"8,600",3.31
19-Jan-2022,254.00,258.23,247.00,249.44,"26,600",-8.79
18-Jan-2022,273.00,274.99,255.21,258.23,"161,700",-3.53
17-Jan-2022,244.00,261.76,244.00,261.76,"99,600",18.26
14-Jan-2022,243.00,243.50,240.25,243.50,"4,400",0.50
13-Jan-2022,243.50,243.50,243.00,243.00,"5,100",-0.57
12-Jan-2022,244.00,245.00,243.00,243.57,"18,600",-0.06
11-Jan-2022,236.11,245.00,236.00,243.63,"23,200",1.96
10-Jan-2022,238.05,243.00,236.55,241.67,"56,500",3.62
07-Jan-2022,240.00,240.00,237.50,238.05,"4,000",-2.51
06-Jan-2022,240.00,242.00,239.50,240.56,"9,900",-1.46
05-Jan-2022,248.00,248.00,242.02,242.02,"3,100",-2.37
04-Jan-2022,240.15,246.00,240.15,244.39,"11,400",4.32
03-Jan-2022,236.00,242.95,236.00,240.07,"36,400",-0.99
31-Dec-2021,242.50,245.00,239.00,241.06,"13,000",-1.18
29-Dec-2021,243.99,245.00,238.08,240.46,"6,800",-0.20
28-Dec-2021,240.00,243.00,240.00,240.66,"22,000",0.66
27-Dec-2021,236.51,240.00,236.51,240.00,700,-1.64
24-Dec-2021,240.50,244.00,237.00,241.64,"15,600",1.05
23-Dec-2021,235.00,244.98,233.00,240.59,"31,500",2.19
22-Dec-2021,242.00,242.00,232.00,238.40,"16,900",-2.73
21-Dec-2021,232.00,249.49,232.00,241.13,"139,200",9.04
20-Dec-2021,234.00,235.00,231.25,232.09,"1,400",-2.62
17-Dec-2021,225.00,235.00,224.99,234.71,"19,900",9.55
16-Dec-2021,228.00,228.00,225.00,225.16,"5,900",-5.34
15-Dec-2021,220.00,232.00,220.00,230.50,"21,900",10.55
14-Dec-2021,210.10,219.99,210.10,219.95,"14,000",2.95
13-Dec-2021,220.00,220.00,212.80,217.00,"15,800",1.00
10-Dec-2021,215.00,220.00,215.00,216.00,"9,100",0.92
09-Dec-2021,219.00,219.96,215.00,215.08,"46,900",-4.87
08-Dec-2021,225.00,225.00,217.00,219.95,"14,800",-6.27
07-Dec-2021,228.00,228.00,220.00,226.22,"42,100",6.44
06-Dec-2021,217.00,220.00,215.00,219.78,"12,000",3.44
03-Dec-2021,222.00,228.00,215.00,216.34,"62,100",-6.44
02-Dec-2021,236.10,236.10,222.47,222.78,"60,800",-17.72
01-Dec-2021,238.00,242.39,238.00,240.50,"44,700",1.49
30-Nov-2021,239.00,240.49,238.00,239.01,"3,300",-0.74
29-Nov-2021,240.00,243.00,238.00,239.75,"46,200",1.21
26-Nov-2021,243.00,243.00,235.00,238.54,"20,700",2.87
25-Nov-2021,236.00,243.00,235.00,235.67,"2,600",-2.24
24-Nov-2021,245.00,245.90,235.00,237.91,"11,000",-6.98
23-Nov-2021,251.50,251.50,243.50,244.89,"14,700",-6.61
22-Nov-2021,251.00,252.50,247.00,251.50,"69,000",-3.50
19-Nov-2021,250.02,257.99,250.01,255.00,"5,100",-0.04
18-Nov-2021,258.00,258.00,254.00,255.04,"4,000",-2.46
17-Nov-2021,256.50,258.50,256.50,257.50,200,1.50
16-Nov-2021,256.25,256.25,255.00,256.00,"11,400",0.26
15-Nov-2021,252.50,257.00,252.50,255.74,"6,000",-1.53
12-Nov-2021,259.00,260.00,253.00,257.27,"14,600",-2.73
11-Nov-2021,258.00,261.99,258.00,260.00,"2,000",2.81
10-Nov-2021,259.10,263.00,255.00,257.19,"3,400",-0.81
09-Nov-2021,262.00,262.00,257.50,258.00,"1,900",0.50
08-Nov-2021,263.00,263.00,257.25,257.50,"1,600",-6.13
05-Nov-2021,257.99,265.00,257.99,263.63,"10,900",8.32
