date,open,high,low,close,volume,change
01-Nov-2022,70.49,70.50,69.70,69.97,"990,503",0.24
31-Oct-2022,69.50,70.48,69.35,69.73,"491,769",0.18
28-Oct-2022,70.88,70.88,69.13,69.55,"356,998",-0.23
27-Oct-2022,70.99,70.99,69.46,69.78,"397,702",-0.07
26-Oct-2022,71.00,71.10,69.52,69.85,"646,270",-1.24
25-Oct-2022,71.51,71.68,70.80,71.09,"524,964",-0.41
24-Oct-2022,71.85,71.85,70.80,71.50,"1,516,345",0.01
21-Oct-2022,71.49,71.89,70.50,71.49,"3,101,946",0.00
20-Oct-2022,71.74,71.74,71.37,71.49,"3,777,764",-0.04
19-Oct-2022,71.50,71.80,71.40,71.53,"1,289,881",-0.02
18-Oct-2022,71.94,71.94,71.30,71.55,"1,366,844",0.04
17-Oct-2022,71.90,71.90,71.40,71.51,"1,287,344",-0.04
14-Oct-2022,72.00,72.50,70.61,71.55,"2,259,053",0.02
13-Oct-2022,71.99,71.99,71.35,71.53,"1,179,978",-0.11
12-Oct-2022,71.50,72.00,70.01,71.64,"883,409",0.12
11-Oct-2022,71.75,72.90,71.40,71.52,"1,303,660",0.00
10-Oct-2022,72.49,72.49,70.70,71.52,"1,457,947",-0.06
07-Oct-2022,71.00,72.00,70.10,71.58,"2,131,520",0.45
06-Oct-2022,69.98,71.39,69.50,71.13,"2,486,068",1.52
05-Oct-2022,69.03,70.59,69.03,69.61,"938,769",0.24
04-Oct-2022,68.50,70.60,68.39,69.37,"3,411,030",1.18
03-Oct-2022,67.26,70.95,67.05,68.19,"13,164,852",-1.52
30-Sep-2022,69.71,69.71,69.71,69.71,"697,317",-5.65
29-Sep-2022,80.01,80.01,75.36,75.36,"1,743,146",-6.11
28-Sep-2022,81.70,84.10,81.15,81.47,"1,037,529",0.41
27-Sep-2022,81.79,81.79,80.62,81.06,"932,500",0.01
26-Sep-2022,80.61,82.49,80.61,81.05,"522,496",0.11
23-Sep-2022,82.70,82.70,80.50,80.94,"4,937,798",-0.87
22-Sep-2022,82.70,82.70,80.11,81.81,"604,518",-0.10
21-Sep-2022,82.04,83.00,81.38,81.91,"257,611",-0.13
20-Sep-2022,82.40,83.30,81.51,82.04,"619,915",0.15
19-Sep-2022,83.40,84.78,81.50,81.89,"715,849",-1.26
16-Sep-2022,84.00,86.00,82.70,83.15,"1,605,725",-1.41
15-Sep-2022,87.49,87.60,83.30,84.56,"422,866",-2.20
14-Sep-2022,88.49,88.49,86.52,86.76,"193,026",-1.23
13-Sep-2022,87.53,88.75,86.81,87.99,"409,207",0.85
12-Sep-2022,87.50,89.00,87.02,87.14,"312,556",-0.39
09-Sep-2022,88.18,88.18,87.10,87.53,"76,812",-0.02
08-Sep-2022,88.74,88.74,87.15,87.55,"142,679",-0.43
07-Sep-2022,89.00,89.00,87.10,87.98,"298,848",-0.47
06-Sep-2022,89.35,89.35,87.80,88.45,"118,847",-0.05
05-Sep-2022,91.00,91.00,88.00,88.50,"274,040",-1.37
02-Sep-2022,90.95,90.95,88.06,89.87,"170,854",-0.38
01-Sep-2022,91.18,91.18,89.75,90.25,"258,339",-0.41
31-Aug-2022,91.99,91.99,89.27,90.66,"679,614",-0.24
30-Aug-2022,93.11,94.87,90.41,90.90,"652,558",-1.54
29-Aug-2022,94.50,94.50,90.03,92.44,"411,039",-1.34
26-Aug-2022,95.06,96.20,93.39,93.78,"504,502",-1.51
25-Aug-2022,94.25,95.68,94.25,95.29,"725,249",1.28
24-Aug-2022,95.45,96.00,93.66,94.01,"1,771,932",-0.56
23-Aug-2022,93.01,98.00,93.01,94.57,"1,244,800",-0.16
22-Aug-2022,97.49,98.50,94.45,94.73,"811,059",-1.64
19-Aug-2022,97.99,97.99,94.10,96.37,"506,768",-0.24
18-Aug-2022,97.89,98.49,96.50,96.61,"292,307",0.20
17-Aug-2022,96.00,101.40,95.80,96.41,"1,220,443",-0.54
16-Aug-2022,95.50,99.80,94.00,96.95,"1,572,294",1.60
15-Aug-2022,91.00,97.74,91.00,95.35,"1,772,501",4.42
12-Aug-2022,88.98,91.17,86.40,90.93,"580,206",2.84
11-Aug-2022,92.88,92.88,87.80,88.09,"505,366",-3.20
10-Aug-2022,89.00,92.89,89.00,91.29,"1,378,718",2.61
05-Aug-2022,88.39,89.95,86.00,88.68,"1,548,732",2.17
04-Aug-2022,86.90,87.49,85.60,86.51,"438,995",1.50
03-Aug-2022,85.60,87.95,84.21,86.51,"1,646,551",1.46
02-Aug-2022,86.00,86.00,84.90,85.05,"710,610",-0.92
01-Aug-2022,88.95,88.95,83.36,85.97,"734,281",-0.28
29-Jul-2022,86.90,86.90,85.00,86.25,"628,902",-0.20
28-Jul-2022,84.62,86.90,84.05,86.45,"2,530,330",2.01
27-Jul-2022,86.99,86.99,82.99,84.44,"1,303,388",0.52
26-Jul-2022,83.60,84.48,81.10,83.92,"311,482",0.35
25-Jul-2022,85.45,85.45,83.50,83.57,"94,226",-1.07
22-Jul-2022,88.95,88.95,83.90,84.64,"353,168",-1.89
21-Jul-2022,89.80,89.80,86.00,86.53,"477,433",-1.80
20-Jul-2022,89.25,90.00,87.48,88.33,"147,724",-0.25
