date,open,high,low,close,volume,change
02-Nov-2022,163.00,170.00,163.00,168.42,"131,159",3.98
01-Nov-2022,163.88,167.00,160.33,164.44,"175,544",-0.42
31-Oct-2022,163.00,169.72,159.00,164.86,"155,519",2.47
28-Oct-2022,159.00,168.80,151.52,162.39,"184,256",4.13
27-Oct-2022,171.70,171.70,156.95,158.26,"224,262",-11.41
26-Oct-2022,171.95,173.75,168.51,169.67,"27,968",-2.57
25-Oct-2022,170.43,174.00,169.10,172.24,"29,124",1.81
24-Oct-2022,172.90,172.90,168.10,170.43,"37,641",-0.11
21-Oct-2022,176.26,176.26,169.99,170.54,"87,027",-3.73
20-Oct-2022,179.98,180.80,173.27,174.27,"117,790",-4.83
19-Oct-2022,180.00,181.80,177.00,179.10,"90,260",0.59
18-Oct-2022,179.99,184.48,174.00,178.51,"84,403",1.48
17-Oct-2022,180.00,180.00,176.11,177.03,"16,839",-1.55
14-Oct-2022,180.01,181.99,178.00,178.58,"16,044",-2.01
13-Oct-2022,184.00,184.00,180.00,180.59,"6,724",-0.37
12-Oct-2022,180.11,182.50,180.00,180.96,"15,219",-0.25
11-Oct-2022,182.52,183.71,181.00,181.21,"14,848",-2.50
10-Oct-2022,185.13,185.13,182.01,183.71,"15,285",-0.86
07-Oct-2022,187.00,188.20,184.00,184.57,"27,873",-3.40
06-Oct-2022,185.50,190.00,185.00,187.97,"86,606",3.70
05-Oct-2022,185.10,188.00,184.00,184.27,"23,516",-3.18
04-Oct-2022,189.49,192.64,185.00,187.45,"76,036",0.41
03-Oct-2022,183.81,193.00,181.16,187.04,"383,434",1.89
30-Sep-2022,183.99,187.00,181.00,185.15,"205,258",0.92
29-Sep-2022,179.60,187.00,178.00,184.23,"153,315",1.57
28-Sep-2022,184.50,188.77,174.15,182.66,"499,120",-1.76
27-Sep-2022,175.90,188.77,175.00,184.42,"180,193",8.82
26-Sep-2022,170.25,177.88,170.25,175.60,"128,420",0.38
23-Sep-2022,177.64,177.64,171.02,175.22,"31,094",-1.13
22-Sep-2022,175.99,177.00,171.51,176.35,"30,738",1.56
21-Sep-2022,177.49,177.49,173.00,174.79,"58,732",-2.12
20-Sep-2022,177.99,178.25,173.50,176.91,"31,553",-0.11
19-Sep-2022,176.89,179.98,171.00,177.02,"69,314",2.51
16-Sep-2022,177.65,177.65,174.02,174.51,"19,495",-2.63
15-Sep-2022,178.98,178.98,175.03,177.14,"23,114",0.52
14-Sep-2022,175.01,179.49,174.10,176.62,"37,864",-1.62
13-Sep-2022,178.49,180.00,175.00,178.24,"21,650",0.01
12-Sep-2022,177.69,179.98,173.50,178.23,"103,072",0.67
09-Sep-2022,170.75,180.56,167.01,177.56,"112,327",9.59
08-Sep-2022,169.70,169.70,167.20,167.97,"6,251",0.34
07-Sep-2022,169.30,169.96,167.50,167.63,"6,482",-0.74
06-Sep-2022,170.99,170.99,167.01,168.37,"10,212",0.35
05-Sep-2022,170.00,170.19,167.80,168.02,"22,014",-1.70
02-Sep-2022,178.40,178.40,168.82,169.72,"133,952",-6.59
01-Sep-2022,180.77,180.77,175.00,176.31,"27,467",-1.07
31-Aug-2022,175.98,179.40,172.68,177.38,"103,107",0.99
30-Aug-2022,178.88,180.88,175.13,176.39,"22,849",-0.28
29-Aug-2022,177.69,180.00,170.00,176.67,"69,234",0.98
26-Aug-2022,179.00,179.00,174.00,175.69,"79,260",-0.01
25-Aug-2022,180.39,180.39,175.01,175.70,"33,069",-3.24
24-Aug-2022,178.01,182.00,178.01,178.94,"51,580",-1.95
23-Aug-2022,180.99,182.10,180.00,180.89,"29,098",3.62
22-Aug-2022,182.00,182.00,176.20,177.27,"15,701",-3.39
19-Aug-2022,184.25,184.25,180.02,180.66,"14,126",-1.20
18-Aug-2022,181.88,184.50,180.00,181.86,"64,958",2.79
17-Aug-2022,182.75,182.75,177.00,179.07,"39,895",-3.61
16-Aug-2022,193.00,193.00,180.00,182.68,"76,808",-8.10
15-Aug-2022,193.00,198.00,190.00,190.78,"87,635",-3.20
12-Aug-2022,184.48,198.00,182.11,193.98,"454,711",9.55
11-Aug-2022,189.28,191.00,182.99,184.43,"160,704",-4.85
10-Aug-2022,181.50,190.99,181.50,189.28,"545,258",8.51
05-Aug-2022,172.00,181.58,171.51,180.77,"234,838",9.26
04-Aug-2022,164.00,172.50,163.07,171.51,"288,941",9.62
03-Aug-2022,155.45,163.61,153.22,161.89,"357,622",8.65
02-Aug-2022,153.94,155.60,150.13,153.24,"48,315",0.17
01-Aug-2022,153.66,154.90,150.00,153.07,"40,594",1.60
29-Jul-2022,156.00,156.00,149.15,151.47,"95,904",-3.85
