date,open,high,low,close,volume,change
01-Nov-2022,35.00,35.45,35.00,35.45,"6,000",0.65
31-Oct-2022,34.30,34.80,34.30,34.80,"12,500",0.79
28-Oct-2022,34.00,34.45,33.97,34.01,"54,500",-0.05
27-Oct-2022,35.00,35.00,34.00,34.06,"35,000",-0.94
25-Oct-2022,35.45,35.50,34.98,35.00,"324,500",0.00
24-Oct-2022,36.50,36.50,34.99,35.00,"1,239,500",-1.00
20-Oct-2022,36.50,36.50,35.20,36.00,"1,412,500",-0.35
19-Oct-2022,36.45,36.45,36.35,36.35,"10,500",0.44
18-Oct-2022,35.50,35.99,35.50,35.91,"18,500",0.41
17-Oct-2022,35.36,35.75,35.36,35.50,"81,500",0.49
14-Oct-2022,34.50,36.03,34.50,35.01,"2,100,500",-0.98
13-Oct-2022,35.50,36.00,35.00,35.99,"66,000",0.19
12-Oct-2022,35.10,36.49,35.10,35.80,"17,500",-0.69
11-Oct-2022,36.49,36.49,36.49,36.49,"1,000",0.99
10-Oct-2022,35.97,35.97,35.50,35.50,"3,500",-0.47
07-Oct-2022,35.75,35.99,35.75,35.97,"11,500",0.62
06-Oct-2022,35.25,35.49,35.25,35.35,"9,500",0.35
04-Oct-2022,34.60,35.00,34.60,35.00,"39,500",0.40
03-Oct-2022,34.50,35.00,34.50,34.60,"49,000",0.53
30-Sep-2022,33.30,34.35,33.25,34.07,"26,000",-0.08
29-Sep-2022,33.76,34.25,33.50,34.15,"28,500",0.11
28-Sep-2022,34.16,34.97,34.00,34.04,"87,000",0.03
27-Sep-2022,34.05,34.50,34.00,34.01,"74,000",0.01
26-Sep-2022,34.00,34.00,34.00,34.00,"10,500",0.00
23-Sep-2022,34.44,34.50,34.00,34.00,"24,500",-0.10
22-Sep-2022,34.50,35.35,34.10,34.10,"356,500",-0.90
21-Sep-2022,35.80,35.80,35.00,35.00,"7,500",0.00
20-Sep-2022,35.00,35.00,34.60,35.00,"180,000",0.00
19-Sep-2022,35.65,35.65,35.00,35.00,"37,500",-0.03
16-Sep-2022,35.00,35.50,35.00,35.03,"27,000",-0.32
15-Sep-2022,36.00,36.50,35.00,35.35,"74,000",-1.15
14-Sep-2022,35.31,36.50,35.30,36.50,"11,000",0.00
13-Sep-2022,37.00,37.00,36.50,36.50,"5,500",-0.50
09-Sep-2022,36.50,37.00,36.50,37.00,"6,000",0.50
08-Sep-2022,36.50,36.50,36.00,36.50,"23,000",0.47
07-Sep-2022,36.20,36.20,36.00,36.03,"24,000",-1.22
06-Sep-2022,36.02,37.25,36.02,37.25,"4,000",0.25
05-Sep-2022,37.99,38.00,36.61,37.00,"49,000",-1.00
02-Sep-2022,38.45,38.45,38.00,38.00,"31,000",-0.49
01-Sep-2022,37.50,38.49,37.10,38.49,"5,500",0.93
31-Aug-2022,37.60,37.60,37.55,37.56,"2,500",-0.28
30-Aug-2022,37.51,37.84,37.51,37.84,"13,500",0.34
29-Aug-2022,38.55,38.55,37.50,37.50,"8,500",0.20
26-Aug-2022,39.50,39.50,39.10,39.30,"40,000",-0.19
25-Aug-2022,39.90,40.00,39.10,39.49,"174,000",-0.22
24-Aug-2022,39.69,39.71,39.00,39.71,"14,500",0.65
23-Aug-2022,39.00,39.34,38.86,39.06,"80,000",0.30
22-Aug-2022,39.52,39.74,38.75,38.76,"136,500",-0.21
19-Aug-2022,39.20,39.89,38.85,38.97,"557,000",-2.28
18-Aug-2022,40.95,41.25,40.95,41.25,"6,500",0.36
17-Aug-2022,40.00,41.40,40.00,40.89,"17,000",0.87
16-Aug-2022,39.28,40.40,39.28,40.02,"70,500",0.73
15-Aug-2022,38.36,39.70,38.36,39.29,"34,500",1.21
12-Aug-2022,37.85,38.50,37.55,38.08,"52,500",0.58
11-Aug-2022,37.20,37.53,37.20,37.50,"19,500",-0.30
10-Aug-2022,38.00,38.00,37.55,37.80,"6,500",0.03
05-Aug-2022,37.00,38.00,36.80,37.77,"26,500",0.97
04-Aug-2022,36.00,37.25,35.47,36.80,"121,000",1.33
03-Aug-2022,36.00,36.00,35.25,35.47,"244,000",0.45
02-Aug-2022,35.50,35.75,34.75,35.02,"264,000",-0.16
01-Aug-2022,36.01,36.90,35.00,35.18,"94,000",-0.82
29-Jul-2022,36.00,36.15,35.90,36.00,"61,500",0.06
28-Jul-2022,36.20,36.50,35.80,35.94,"130,500",-0.04
27-Jul-2022,36.00,36.00,35.25,35.98,"216,000",0.12
26-Jul-2022,35.90,36.55,35.85,35.86,"344,000",-0.02
25-Jul-2022,36.05,36.05,35.75,35.88,"110,000",-0.16
22-Jul-2022,37.05,37.05,36.00,36.04,"91,500",-0.98
21-Jul-2022,37.50,37.50,36.99,37.02,"199,000",-0.73
20-Jul-2022,37.50,37.75,37.50,37.75,"298,000",0.05
19-Jul-2022,38.10,38.10,37.70,37.70,"1,500",-1.74
18-Jul-2022,39.44,39.44,39.44,39.44,"1,000",-0.06
15-Jul-2022,39.50,39.50,39.50,39.50,"1,000",0.50
14-Jul-2022,39.50,39.75,39.00,39.00,"651,500",0.02
13-Jul-2022,38.50,39.00,38.50,38.98,"40,500",0.98
07-Jul-2022,38.10,38.10,38.00,38.00,"26,500",0.00
06-Jul-2022,38.00,38.00,38.00,38.00,"3,000",0.01
05-Jul-2022,37.11,38.00,37.10,37.99,"60,500",-0.01
04-Jul-2022,38.01,38.01,38.00,38.00,"15,500",-0.68
01-Jul-2022,38.75,38.75,38.50,38.68,"30,000",-0.37
30-Jun-2022,38.25,39.25,38.15,39.05,"522,500",0.87
29-Jun-2022,38.50,38.50,37.00,38.18,"54,500",-0.32
28-Jun-2022,39.00,39.00,38.50,38.50,"71,500",-0.46
27-Jun-2022,38.60,39.00,38.50,38.96,"45,000",0.46
24-Jun-2022,39.23,39.23,38.50,38.50,"373,000",-0.65
23-Jun-2022,39.28,40.00,39.05,39.15,"56,000",-0.11
22-Jun-2022,40.00,40.45,39.20,39.26,"121,500",-0.73
21-Jun-2022,39.31,39.99,39.31,39.99,"1,000",0.72
20-Jun-2022,40.00,40.44,39.27,39.27,"202,500",-0.73
17-Jun-2022,40.00,40.00,40.00,40.00,"30,000",0.75
16-Jun-2022,38.99,39.25,38.99,39.25,"11,000",0.25
15-Jun-2022,39.65,39.65,39.00,39.00,"6,500",0.01
14-Jun-2022,38.50,38.99,38.49,38.99,"14,000",0.49
13-Jun-2022,40.00,40.00,38.50,38.50,"231,000",-1.50
10-Jun-2022,39.99,40.90,39.99,40.00,"31,500",0.16
09-Jun-2022,40.25,40.50,39.11,39.84,"40,000",-0.16
08-Jun-2022,40.50,40.50,40.00,40.00,"67,500",-0.43
07-Jun-2022,40.55,40.99,40.01,40.43,"47,000",0.25
06-Jun-2022,40.21,40.98,40.00,40.18,"61,500",-0.38
03-Jun-2022,40.25,41.75,40.20,40.56,"194,000",-1.44
01-Jun-2022,41.50,42.40,41.50,42.00,"77,500",-0.04
31-May-2022,42.16,42.25,41.57,42.04,"56,500",-0.81
30-May-2022,42.90,44.95,42.35,42.85,"33,500",-0.15
27-May-2022,43.50,43.50,42.95,43.00,"112,000",0.76
26-May-2022,41.00,42.50,41.00,42.24,"169,500",1.23
25-May-2022,41.60,42.00,40.99,41.01,"222,000",-0.59
24-May-2022,42.02,42.12,41.40,41.60,"24,500",-1.30
23-May-2022,42.10,42.90,42.10,42.90,"107,500",0.13
20-May-2022,42.75,42.80,42.75,42.77,"619,000",0.20
19-May-2022,43.00,43.00,42.57,42.57,"12,500",-0.56
18-May-2022,42.70,43.14,42.70,43.13,"207,000",0.19
17-May-2022,44.99,44.99,42.51,42.94,"4,500",0.02
16-May-2022,43.01,43.75,42.65,42.92,"407,500",-0.93
13-May-2022,44.00,44.00,43.85,43.85,"24,000",0.19
12-May-2022,43.99,44.25,43.66,43.66,"48,500",-0.59
11-May-2022,45.60,45.61,44.00,44.25,"456,500",-1.36
10-May-2022,47.00,47.00,45.50,45.61,"37,500",-0.40
09-May-2022,46.31,46.50,45.70,46.01,"2,082,000",-1.42
06-May-2022,46.10,49.77,46.00,47.43,"165,500",0.63
28-Apr-2022,46.20,46.80,46.20,46.80,"6,000",-1.00
27-Apr-2022,46.99,48.00,46.99,47.80,"25,000",1.61
26-Apr-2022,46.40,47.99,46.10,46.19,"22,000",0.17
25-Apr-2022,46.51,47.44,46.00,46.02,"150,500",-0.03
22-Apr-2022,46.60,47.00,46.00,46.05,"142,000",-0.74
21-Apr-2022,47.00,47.01,46.60,46.79,"2,666,500",-0.22
20-Apr-2022,46.40,47.90,46.05,47.01,"2,077,000",0.50
19-Apr-2022,47.50,47.74,46.50,46.51,"96,500",-0.86
18-Apr-2022,49.00,49.00,47.00,47.37,"621,500",-1.63
15-Apr-2022,48.00,49.00,48.00,49.00,"5,500",1.50
14-Apr-2022,47.50,47.51,47.49,47.50,"60,000",-0.50
13-Apr-2022,48.00,48.00,47.75,48.00,"545,000",-0.16
12-Apr-2022,48.00,49.00,46.55,48.16,"1,945,000",0.66
11-Apr-2022,48.85,48.90,47.00,47.50,"238,500",1.00
08-Apr-2022,45.90,46.50,45.90,46.50,"7,000",0.57
