date,open,high,low,close,volume,change
02-Nov-2022,67.01,69.00,67.00,68.79,"1,830,258",1.82
01-Nov-2022,66.25,67.00,66.11,66.97,"1,295,769",0.97
31-Oct-2022,64.60,66.17,64.60,66.00,"683,345",1.25
28-Oct-2022,65.50,65.80,64.56,64.75,"1,028,784",-1.09
27-Oct-2022,66.50,67.05,64.50,65.84,"2,515,013",-0.85
26-Oct-2022,68.45,68.45,66.50,66.69,"2,408,560",-2.07
25-Oct-2022,67.91,69.50,67.51,68.76,"3,074,411",1.25
24-Oct-2022,68.40,68.68,67.25,67.51,"1,657,600",0.78
21-Oct-2022,65.70,67.00,65.71,66.73,"3,002,960",0.93
20-Oct-2022,64.90,66.29,64.65,65.80,"2,036,454",1.23
19-Oct-2022,63.90,65.00,63.65,64.57,"2,184,209",0.81
18-Oct-2022,63.84,63.95,63.60,63.76,"716,886",0.09
17-Oct-2022,63.85,63.87,63.40,63.67,"923,358",0.09
14-Oct-2022,63.80,63.85,63.05,63.58,"1,425,086",0.23
13-Oct-2022,63.65,64.00,63.12,63.35,"1,372,758",-0.35
12-Oct-2022,64.20,64.20,63.33,63.70,"2,889,639",-0.48
11-Oct-2022,65.00,65.90,64.02,64.18,"5,200,249",0.65
10-Oct-2022,79.80,80.35,78.80,79.03,"10,149,832",0.00
07-Oct-2022,78.31,80.05,78.23,79.03,"7,502,506",0.31
06-Oct-2022,77.65,79.71,77.50,78.72,"7,427,411",1.20
05-Oct-2022,77.59,78.30,77.06,77.52,"4,263,926",0.17
04-Oct-2022,77.50,78.74,77.10,77.35,"14,557,519",2.20
03-Oct-2022,69.61,75.15,69.60,75.15,"30,832,429",5.24
30-Sep-2022,68.50,70.30,68.50,69.91,"3,418,162",0.80
29-Sep-2022,69.13,69.49,68.50,69.11,"2,397,495",-0.02
28-Sep-2022,68.68,70.15,68.35,69.13,"4,451,054",0.57
27-Sep-2022,68.05,69.10,67.82,68.56,"3,614,967",0.60
26-Sep-2022,64.35,68.50,64.25,67.96,"6,367,959",3.58
23-Sep-2022,65.49,65.51,64.01,64.38,"1,313,078",-0.90
22-Sep-2022,66.00,66.00,64.45,65.28,"1,772,282",-0.65
21-Sep-2022,64.85,66.10,64.85,65.93,"767,625",0.36
20-Sep-2022,65.95,65.99,65.11,65.57,"1,103,134",-0.43
19-Sep-2022,66.00,66.47,65.50,66.00,"2,369,656",0.30
16-Sep-2022,65.50,66.24,64.50,65.70,"879,693",0.36
15-Sep-2022,66.90,67.10,65.15,65.34,"2,178,097",-1.09
14-Sep-2022,64.34,67.00,64.25,66.43,"11,153,125",1.94
13-Sep-2022,64.00,64.80,63.98,64.49,"1,159,879",0.72
12-Sep-2022,64.00,64.00,63.47,63.77,"502,869",0.13
09-Sep-2022,64.45,64.45,63.51,63.64,"947,438",-0.42
08-Sep-2022,63.95,64.62,63.95,64.06,"611,468",-0.10
07-Sep-2022,64.80,64.80,64.06,64.16,"841,668",-0.05
06-Sep-2022,64.70,64.85,63.71,64.21,"714,829",-0.37
05-Sep-2022,65.85,65.85,64.50,64.58,"444,384",-1.11
02-Sep-2022,66.44,66.44,65.25,65.69,"1,115,888",-0.32
01-Sep-2022,66.50,66.85,65.90,66.01,"978,477",-0.21
31-Aug-2022,65.15,66.63,64.25,66.22,"4,553,403",1.26
30-Aug-2022,65.99,66.00,64.65,64.96,"1,069,639",0.00
29-Aug-2022,64.20,65.35,64.20,64.96,"2,263,061",0.06
26-Aug-2022,63.01,65.60,63.01,64.90,"6,502,375",-1.25
25-Aug-2022,71.64,72.49,66.15,66.15,"7,574,539",-5.36
24-Aug-2022,70.25,72.70,70.00,71.51,"3,296,273",1.25
23-Aug-2022,69.00,70.60,69.00,70.26,"1,443,670",1.41
22-Aug-2022,68.80,69.20,68.30,68.85,"638,296",-0.23
19-Aug-2022,70.00,70.01,68.91,69.08,"1,865,156",-1.21
