date,open,high,low,close,volume,change
02-Nov-2022,200.00,200.00,200.00,200.00,"3,300",0.00
01-Nov-2022,200.00,200.00,200.00,200.00,100,0.00
28-Oct-2022,200.00,200.00,200.00,200.00,100,0.00
27-Oct-2022,200.00,200.00,200.00,200.00,"1,100",0.00
26-Oct-2022,200.00,200.00,200.00,200.00,"1,000",0.00
24-Oct-2022,200.00,200.00,200.00,200.00,"2,100",-1.50
17-Oct-2022,202.00,202.00,196.99,201.50,300,4.51
12-Oct-2022,185.02,197.00,185.02,196.99,300,-3.01
11-Oct-2022,200.00,200.00,200.00,200.00,100,0.00
07-Oct-2022,200.00,200.00,200.00,200.00,"2,000",0.00
06-Oct-2022,200.00,200.00,200.00,200.00,"1,300",0.00
05-Oct-2022,200.00,200.00,200.00,200.00,"1,000",0.00
04-Oct-2022,205.00,209.98,200.00,200.00,"1,700",0.00
03-Oct-2022,200.00,200.00,200.00,200.00,"3,200",0.00
30-Sep-2022,200.00,201.00,200.00,200.00,"1,700",-5.60
28-Sep-2022,230.00,230.00,205.54,205.60,"6,300",-16.60
27-Sep-2022,232.40,232.40,212.00,222.20,200,5.21
26-Sep-2022,208.00,217.00,208.00,216.99,700,5.99
23-Sep-2022,222.22,222.22,211.00,211.00,100,0.00
22-Sep-2022,200.01,211.00,200.01,211.00,"2,300",11.00
21-Sep-2022,200.00,200.00,200.00,200.00,400,0.00
19-Sep-2022,200.00,200.00,200.00,200.00,700,-0.11
16-Sep-2022,200.11,200.11,200.10,200.11,200,-8.84
12-Sep-2022,200.01,208.99,200.00,208.95,"1,700",0.45
09-Sep-2022,200.00,208.99,200.00,208.50,400,8.50
08-Sep-2022,200.00,200.00,200.00,200.00,100,0.00
07-Sep-2022,200.00,200.00,200.00,200.00,"3,100",0.00
05-Sep-2022,200.00,200.00,200.00,200.00,100,0.00
02-Sep-2022,200.00,200.00,200.00,200.00,100,0.00
01-Sep-2022,200.00,200.00,200.00,200.00,600,-3.00
31-Aug-2022,203.00,203.00,203.00,203.00,300,-5.95
30-Aug-2022,200.35,209.00,200.30,208.95,500,-3.54
24-Aug-2022,202.00,214.98,202.00,212.49,800,0.05
23-Aug-2022,212.44,212.44,212.44,212.44,200,0.00
22-Aug-2022,201.07,212.90,200.00,212.44,"6,200",-1.53
19-Aug-2022,217.00,217.00,213.97,213.97,100,0.00
17-Aug-2022,237.24,237.24,209.00,213.97,"5,700",-6.72
16-Aug-2022,201.00,225.70,201.00,220.69,"4,400",10.69
15-Aug-2022,210.00,210.00,207.89,210.00,"1,600",2.07
12-Aug-2022,210.00,211.18,207.86,207.93,"2,100",11.48
11-Aug-2022,194.99,196.45,194.99,196.45,"2,000",13.70
10-Aug-2022,174.50,182.75,174.50,182.75,"3,100",12.75
03-Aug-2022,170.00,170.00,170.00,170.00,"6,200",0.00
02-Aug-2022,170.00,170.00,170.00,170.00,300,0.00
01-Aug-2022,170.00,170.00,170.00,170.00,100,0.00
28-Jul-2022,170.00,170.00,170.00,170.00,300,0.00
21-Jul-2022,170.30,170.30,170.00,170.00,"13,100",0.00
20-Jul-2022,170.00,170.00,170.00,170.00,"10,000",0.00
24-Jun-2022,170.00,170.00,170.00,170.00,200,0.00
23-Jun-2022,170.00,170.00,170.00,170.00,"2,000",-0.03
22-Jun-2022,170.05,170.05,170.00,170.03,200,0.03
21-Jun-2022,170.00,170.00,170.00,170.00,"10,000",0.00
17-Jun-2022,0.00,170.00,170.00,170.00,900,0.00
15-Jun-2022,170.05,170.05,170.00,170.00,"5,300",-0.03
13-Jun-2022,170.05,170.05,170.00,170.03,200,0.03
03-Jun-2022,170.00,170.00,170.00,170.00,500,0.00
02-Jun-2022,170.05,170.05,170.00,170.00,100,0.00
01-Jun-2022,170.00,170.00,170.00,170.00,"1,000",-0.25
30-May-2022,170.25,170.25,170.25,170.25,200,0.00
26-May-2022,170.25,170.25,170.25,170.25,500,0.25
19-May-2022,0.00,170.00,170.00,170.00,500,0.00
11-May-2022,170.01,170.01,170.00,170.00,100,0.00
10-May-2022,170.01,170.01,170.00,170.00,100,0.00
09-May-2022,170.01,170.01,170.00,170.00,"1,100",-0.08
27-Apr-2022,170.10,170.10,170.01,170.08,400,0.04
26-Apr-2022,170.10,170.10,170.00,170.04,500,-3.86
12-Apr-2022,173.90,173.90,173.90,173.90,200,3.90
11-Apr-2022,170.00,170.00,170.00,170.00,300,0.00
04-Apr-2022,170.01,170.01,170.00,170.00,100,0.00
31-Mar-2022,170.00,170.00,170.00,170.00,"1,000",0.00
30-Mar-2022,170.00,170.00,170.00,170.00,200,0.00
28-Mar-2022,170.00,170.00,170.00,170.00,800,0.00
24-Mar-2022,170.10,170.10,170.00,170.00,"1,300",0.00
21-Mar-2022,170.00,170.00,170.00,170.00,500,0.00
18-Mar-2022,170.00,170.00,170.00,170.00,200,0.00
