date,open,high,low,close,volume,change
02-Nov-2022,709.00,710.00,709.00,709.00,300,7.11
01-Nov-2022,685.00,710.00,680.00,701.89,"3,150",13.69
31-Oct-2022,670.00,693.00,670.00,688.20,"2,600",13.20
28-Oct-2022,675.00,675.00,675.00,675.00,"1,500",-0.51
27-Oct-2022,675.00,676.01,675.00,675.51,"1,400",1.51
26-Oct-2022,675.00,675.00,670.00,674.00,300,-8.90
25-Oct-2022,682.90,682.90,682.90,682.90,100,14.15
24-Oct-2022,680.00,688.00,665.50,668.75,"1,250",-10.29
21-Oct-2022,661.01,688.00,661.01,679.04,"3,200",4.94
20-Oct-2022,685.00,685.00,670.00,674.10,"2,400",-14.05
19-Oct-2022,674.99,699.24,674.90,688.15,"119,750",17.65
18-Oct-2022,669.00,672.00,661.51,670.50,"3,700",5.70
17-Oct-2022,661.00,664.80,660.00,664.80,"1,900",0.01
14-Oct-2022,663.01,669.48,662.10,664.79,950,1.78
13-Oct-2022,669.70,670.00,663.01,663.01,"1,400",-1.99
12-Oct-2022,660.00,665.11,660.00,665.00,600,-2.25
10-Oct-2022,663.00,669.74,661.00,667.25,"2,150",5.80
07-Oct-2022,660.00,662.90,655.00,661.45,"3,000",-1.44
06-Oct-2022,664.00,670.00,660.00,662.89,"10,700",-1.44
05-Oct-2022,651.00,667.95,651.00,664.33,"1,700",10.89
04-Oct-2022,661.83,665.00,652.10,653.44,"3,700",-8.39
03-Oct-2022,667.85,669.95,651.20,661.83,"3,900",-4.09
30-Sep-2022,670.00,678.50,650.10,665.92,"3,250",-4.31
29-Sep-2022,679.99,679.99,665.00,670.23,"28,050",-9.48
28-Sep-2022,680.00,684.00,670.00,679.71,"3,600",-0.29
27-Sep-2022,690.00,690.00,677.99,680.00,950,0.00
26-Sep-2022,670.10,683.99,670.00,680.00,"2,100",10.00
23-Sep-2022,670.00,671.00,670.00,670.00,650,0.00
22-Sep-2022,665.00,670.00,655.00,670.00,"2,500",0.88
21-Sep-2022,670.00,670.00,668.00,669.12,"1,800",-0.88
20-Sep-2022,675.00,675.00,669.00,670.00,"1,750",-3.06
19-Sep-2022,684.00,684.00,671.05,673.06,600,4.63
16-Sep-2022,699.99,699.99,680.00,683.43,"2,550",-7.57
15-Sep-2022,697.00,700.00,688.00,691.00,"7,000",-5.21
14-Sep-2022,701.76,701.76,696.15,696.21,"51,050",-3.89
13-Sep-2022,702.00,703.00,698.00,700.10,"12,550",-1.66
12-Sep-2022,729.00,730.00,698.55,701.76,"1,118,200",-33.24
09-Sep-2022,735.00,735.00,735.00,735.00,200,-6.05
08-Sep-2022,744.00,755.00,741.05,741.05,"1,800",-2.95
07-Sep-2022,741.00,745.00,741.00,744.00,600,-5.21
06-Sep-2022,730.03,754.00,730.03,749.21,"5,200",4.37
05-Sep-2022,732.00,744.84,727.33,744.84,"1,300",7.34
02-Sep-2022,736.00,739.99,730.16,737.50,700,1.24
01-Sep-2022,733.00,740.00,732.00,736.26,550,-0.93
31-Aug-2022,735.00,746.99,735.00,737.19,"1,150",-2.82
30-Aug-2022,738.00,746.49,726.00,740.01,"8,100",8.58
29-Aug-2022,728.00,739.80,720.00,731.43,"11,350",-8.55
26-Aug-2022,735.01,739.98,728.00,739.98,600,-4.71
25-Aug-2022,760.00,764.85,741.00,744.69,"87,800",-17.41
24-Aug-2022,789.00,789.00,757.00,762.10,"14,100",-0.34
23-Aug-2022,752.00,784.00,752.00,762.44,"11,700",12.44
22-Aug-2022,750.00,750.00,750.00,750.00,450,-7.43
19-Aug-2022,765.00,765.00,751.60,757.43,850,-9.72
18-Aug-2022,760.00,772.00,750.15,767.15,"3,200",5.93
17-Aug-2022,752.00,765.00,750.01,761.22,"2,350",1.22
16-Aug-2022,765.00,765.00,755.00,760.00,"1,000",0.04
15-Aug-2022,750.00,775.00,749.99,759.96,"16,300",14.58
12-Aug-2022,754.00,755.99,742.16,745.38,"9,300",-9.31
11-Aug-2022,741.00,764.00,735.10,754.69,"3,650",13.53
10-Aug-2022,751.67,777.00,733.16,741.16,"7,700",-10.51
05-Aug-2022,768.00,768.00,740.00,751.67,"9,300",-8.22
04-Aug-2022,750.00,760.00,750.00,759.89,"1,350",6.59
03-Aug-2022,752.00,778.00,740.00,753.30,"32,650",7.22
02-Aug-2022,743.10,759.55,743.10,746.08,"3,250",-13.47
01-Aug-2022,741.50,760.00,741.50,759.55,"2,950",-0.45
29-Jul-2022,755.00,760.00,755.00,760.00,100,-3.80
28-Jul-2022,750.00,765.00,750.00,763.80,"2,250",-2.54
27-Jul-2022,751.25,770.00,742.00,766.34,"3,000",1.40
26-Jul-2022,768.00,768.13,760.00,764.94,"5,950",-3.19
25-Jul-2022,768.50,768.50,751.05,768.13,"2,250",-0.92
22-Jul-2022,705.10,788.37,705.10,769.05,"5,700",27.34
20-Jul-2022,738.00,746.00,737.00,741.71,"6,300",5.39
19-Jul-2022,737.00,744.40,724.00,736.32,"7,100",-0.91
18-Jul-2022,762.00,790.00,722.00,737.23,"18,100",-30.38
15-Jul-2022,771.71,771.71,753.25,767.61,"3,900",3.16
14-Jul-2022,750.00,770.00,745.00,764.45,"10,500",16.20
13-Jul-2022,730.00,760.00,730.00,748.25,"2,200",1.91
06-Jul-2022,744.00,749.80,738.99,746.34,900,1.54
05-Jul-2022,744.00,745.00,730.99,744.80,300,13.81
04-Jul-2022,720.00,748.44,715.00,730.99,"6,300",5.99
01-Jul-2022,745.00,745.00,725.00,725.00,400,0.45
30-Jun-2022,730.00,734.99,711.10,724.55,"19,350",-11.07
29-Jun-2022,730.00,744.99,727.05,735.62,"3,150",-6.80
28-Jun-2022,740.00,755.00,738.00,742.42,"9,300",-0.14
27-Jun-2022,729.00,753.00,726.29,742.56,"19,800",16.27
24-Jun-2022,726.21,730.00,700.00,726.29,"29,050",0.09
23-Jun-2022,735.00,746.90,722.00,726.20,"5,050",-12.46
22-Jun-2022,738.00,742.90,727.00,738.66,"8,550",-0.97
21-Jun-2022,732.00,747.00,720.10,739.63,"11,600",7.77
20-Jun-2022,723.00,739.00,723.00,731.86,"2,500",6.80
17-Jun-2022,729.99,730.00,725.00,725.06,"3,550",0.81
16-Jun-2022,725.00,725.00,720.00,724.25,"2,650",1.52
15-Jun-2022,710.00,725.00,705.99,722.73,"3,750",16.74
14-Jun-2022,695.50,713.00,689.88,705.99,"7,900",10.07
13-Jun-2022,721.00,721.00,687.01,695.92,"66,150",-44.49
10-Jun-2022,725.00,747.99,721.00,740.41,"18,600",4.73
09-Jun-2022,713.50,745.00,713.50,735.68,"3,000",22.27
08-Jun-2022,698.00,720.00,690.00,713.41,"7,350",21.66
07-Jun-2022,685.00,692.00,685.00,691.75,"1,750",0.70
03-Jun-2022,670.50,686.00,670.50,679.00,"150,500",-6.00
02-Jun-2022,697.00,698.99,685.00,685.00,700,-16.03
01-Jun-2022,710.00,710.00,700.00,701.03,"21,300",-11.32
31-May-2022,739.73,739.73,705.00,712.35,"252,300",-19.56
30-May-2022,700.00,734.44,700.00,731.91,"1,500",6.91
27-May-2022,730.00,734.99,725.00,725.00,300,5.98
26-May-2022,716.00,724.99,710.10,719.02,"12,050",2.62
25-May-2022,707.00,744.00,695.10,716.40,"14,550",4.26
24-May-2022,705.13,715.00,705.10,712.14,"8,350",-7.61
