date,open,high,low,close,volume,change
02-Nov-2022,61.00,61.30,59.02,60.62,"38,140",0.75
01-Nov-2022,61.89,61.89,58.51,59.87,"17,182",0.05
31-Oct-2022,61.25,61.25,59.06,59.82,"7,730",-0.19
28-Oct-2022,61.50,61.90,59.10,60.01,"67,239",-1.00
27-Oct-2022,62.00,62.00,60.48,61.01,"681,124",-0.10
26-Oct-2022,60.50,62.00,60.50,61.11,"391,760",-0.90
25-Oct-2022,62.89,62.89,61.01,62.01,"11,964",-0.29
24-Oct-2022,63.55,63.55,61.76,62.30,"117,670",0.30
21-Oct-2022,61.50,63.89,61.00,62.00,"83,739",-0.43
20-Oct-2022,62.30,62.50,61.50,62.43,"68,891",0.41
19-Oct-2022,61.50,62.44,61.00,62.02,"674,655",0.54
18-Oct-2022,60.00,63.00,59.05,61.48,"923,384",2.39
17-Oct-2022,59.98,59.99,58.10,59.09,"22,072",-0.08
14-Oct-2022,59.00,59.95,58.11,59.17,"41,039",0.17
13-Oct-2022,58.52,59.24,58.00,59.00,"29,444",0.50
12-Oct-2022,56.76,60.00,56.50,58.50,"78,809",1.19
11-Oct-2022,58.57,59.39,56.70,57.31,"326,748",-1.44
10-Oct-2022,59.00,60.83,58.50,58.75,"109,538",-1.17
07-Oct-2022,62.00,62.00,59.50,59.92,"298,927",1.20
06-Oct-2022,62.10,63.89,61.90,63.07,"326,976",0.54
05-Oct-2022,62.80,62.90,62.06,62.53,"60,342",-0.18
04-Oct-2022,62.90,63.00,62.31,62.71,"749,656",0.37
03-Oct-2022,62.29,63.70,62.01,62.34,"36,652",-0.61
30-Sep-2022,62.26,63.50,62.26,62.95,"99,892",0.43
29-Sep-2022,62.50,62.99,62.25,62.52,"73,947",-0.05
28-Sep-2022,62.99,62.99,62.50,62.57,"305,051",0.03
27-Sep-2022,62.75,63.50,62.10,62.54,"307,483",-0.43
26-Sep-2022,62.05,63.49,62.00,62.97,"203,216",-0.08
23-Sep-2022,63.50,63.50,62.05,63.05,"118,735",0.00
22-Sep-2022,61.50,63.25,61.50,63.05,"94,635",0.18
21-Sep-2022,63.97,63.97,62.00,62.87,"77,351",-0.13
20-Sep-2022,63.50,64.20,62.50,63.00,"375,730",-0.50
19-Sep-2022,63.92,64.10,63.04,63.50,"268,101",-0.40
16-Sep-2022,63.60,64.50,63.00,63.90,"451,150",0.30
15-Sep-2022,65.90,66.90,62.00,63.60,"3,604,008",-1.78
14-Sep-2022,63.85,65.99,62.25,65.38,"1,537,447",2.37
13-Sep-2022,64.00,64.00,61.25,63.01,"287,319",-0.60
12-Sep-2022,63.69,64.80,62.99,63.61,"370,238",0.12
09-Sep-2022,62.02,64.25,62.02,63.49,"833,251",0.30
08-Sep-2022,63.00,63.55,62.25,63.19,"32,799",0.18
07-Sep-2022,62.80,63.10,62.25,63.01,"603,080",0.77
06-Sep-2022,61.62,62.80,61.62,62.24,"302,938",-0.47
05-Sep-2022,63.01,63.85,61.52,62.71,"263,393",-0.27
02-Sep-2022,64.00,64.00,62.30,62.98,"395,953",-0.03
01-Sep-2022,63.90,64.99,62.25,63.01,"273,802",-0.43
31-Aug-2022,61.00,64.00,61.00,63.44,"1,677,919",1.10
30-Aug-2022,63.33,65.90,62.00,62.34,"216,325",-0.23
29-Aug-2022,64.00,64.04,60.50,62.57,"293,860",-1.47
26-Aug-2022,65.50,65.50,63.50,64.04,"393,901",-0.63
25-Aug-2022,65.89,66.00,64.50,64.67,"371,580",-0.34
24-Aug-2022,66.97,66.97,65.00,65.01,"150,891",-0.99
23-Aug-2022,66.90,66.90,64.50,66.00,"1,057,815",-0.08
22-Aug-2022,66.50,66.50,64.00,66.08,"92,867",0.07
19-Aug-2022,66.75,67.00,66.00,66.01,"101,768",-0.08
18-Aug-2022,66.10,66.99,66.00,66.09,"114,333",-0.23
17-Aug-2022,67.98,67.99,66.00,66.32,"161,342",-1.11
16-Aug-2022,66.80,68.48,66.80,67.43,"1,692,079",-0.28
15-Aug-2022,64.49,68.72,64.49,67.71,"3,498,024",3.78
12-Aug-2022,62.50,64.90,62.00,63.93,"354,225",1.77
11-Aug-2022,62.74,63.00,61.00,62.16,"213,227",-0.38
10-Aug-2022,61.30,63.00,61.00,62.54,"120,691",1.52
05-Aug-2022,60.67,61.90,60.13,61.02,"384,868",0.35
04-Aug-2022,59.45,61.00,59.45,60.67,"210,187",1.47
03-Aug-2022,60.69,61.05,58.50,59.20,"513,288",0.13
02-Aug-2022,59.50,61.50,58.03,59.07,"313,648",-2.44
01-Aug-2022,63.40,63.40,61.05,61.51,"63,521",-0.72
29-Jul-2022,61.40,63.40,61.00,62.23,"75,187",-0.07
28-Jul-2022,61.65,62.50,61.10,62.30,"69,248",0.65
27-Jul-2022,60.10,62.19,60.10,61.65,"180,264",0.58
26-Jul-2022,59.34,63.68,58.60,61.07,"2,005,166",1.83
25-Jul-2022,58.13,59.40,58.13,59.24,"190,879",-0.43
22-Jul-2022,59.50,60.00,58.00,59.67,"824,584",-1.19
21-Jul-2022,60.29,61.70,58.50,60.86,"799,100",0.03
20-Jul-2022,60.80,62.70,57.75,60.83,"1,258,243",1.29
19-Jul-2022,61.50,61.50,58.01,59.54,"504,574",-1.10
