date,open,high,low,close,volume,change
02-Nov-2022,920.00,920.00,910.10,915.00,573,4.80
01-Nov-2022,914.99,914.99,909.99,910.20,"6,127",0.87
31-Oct-2022,901.06,914.00,901.05,909.33,383,7.59
28-Oct-2022,934.43,934.43,895.00,901.74,"3,824",-21.57
27-Oct-2022,940.00,940.08,920.00,923.31,"3,605",-12.56
26-Oct-2022,949.62,949.99,935.00,935.87,"1,236",-8.24
25-Oct-2022,959.99,959.99,940.00,944.11,"20,137",-11.25
24-Oct-2022,965.00,966.00,955.00,955.36,450,-0.03
21-Oct-2022,964.99,965.00,955.03,955.39,432,-5.67
20-Oct-2022,961.00,965.45,961.00,961.06,754,-2.94
19-Oct-2022,965.00,969.90,962.00,964.00,690,-2.00
18-Oct-2022,968.00,974.99,960.00,966.00,"1,382",7.00
17-Oct-2022,970.00,970.00,955.00,959.00,448,-1.84
14-Oct-2022,980.95,980.95,951.00,960.84,"1,099",-0.46
13-Oct-2022,959.90,965.00,958.00,961.30,"1,447",1.30
12-Oct-2022,946.05,965.00,946.05,960.00,"2,389",3.03
11-Oct-2022,951.03,965.00,951.03,956.97,794,-3.03
10-Oct-2022,985.00,985.00,958.00,960.00,"6,472",8.52
07-Oct-2022,960.00,969.99,950.00,951.48,473,-8.57
06-Oct-2022,958.99,979.98,950.20,960.05,"9,658",12.55
05-Oct-2022,946.01,947.50,940.01,947.50,541,2.27
04-Oct-2022,959.99,960.00,943.83,945.23,889,-5.92
03-Oct-2022,960.00,960.00,930.01,951.15,305,8.14
30-Sep-2022,950.00,955.00,943.00,943.01,535,-6.88
29-Sep-2022,967.96,967.96,944.93,949.89,221,4.96
28-Sep-2022,965.00,965.00,941.22,944.93,"29,165",-10.31
27-Sep-2022,953.00,965.00,953.00,955.24,"1,471",-4.52
26-Sep-2022,959.00,970.00,959.00,959.76,"1,424",8.16
23-Sep-2022,966.00,966.00,950.00,951.60,566,-0.98
22-Sep-2022,956.00,968.00,950.00,952.58,"2,597",-9.71
21-Sep-2022,965.08,975.00,965.00,965.54,598,1.43
