date,open,high,low,close,volume,change
24-Oct-2022,490.00,490.00,490.00,490.00,100,-2.73
24-Jun-2022,496.73,496.73,496.73,496.73,"5,700",-40.27
22-Jun-2022,0.00,0.00,0.00,537.00,0,-0.50
20-Jun-2022,537.50,537.50,537.50,537.50,100,37.50
16-Jun-2022,440.10,500.00,440.10,500.00,700,25.00
15-Jun-2022,475.00,475.00,475.00,475.00,100,-20.00
07-Jun-2022,455.00,495.00,455.00,495.00,400,3.51
06-Jun-2022,544.99,544.99,475.51,491.49,"1,800",-18.51
02-Jun-2022,440.01,510.00,440.01,510.00,200,34.89
01-Jun-2022,475.11,475.11,475.11,475.11,100,-33.74
31-May-2022,440.25,508.85,440.25,508.85,200,35.04
30-May-2022,415.01,473.81,415.01,473.81,400,33.05
27-May-2022,0.00,0.00,0.00,440.76,0,30.75
26-May-2022,410.01,410.01,410.01,410.01,100,-15.50
25-May-2022,425.51,425.51,425.51,425.51,100,-14.49
23-May-2022,441.50,441.50,440.00,440.00,200,-6.20
18-May-2022,0.00,0.00,0.00,446.20,0,22.72
17-May-2022,0.00,0.00,0.00,423.49,0,22.48
16-May-2022,401.00,401.00,401.00,401.00,100,-25.05
13-May-2022,426.05,426.05,426.05,426.05,100,-31.70
12-May-2022,457.75,457.75,457.75,457.75,100,-37.07
11-May-2022,444.00,495.00,444.00,494.82,600,16.82
10-May-2022,413.50,478.00,413.50,478.00,500,32.00
09-May-2022,446.00,446.00,446.00,446.00,100,-36.12
06-May-2022,482.12,482.12,482.12,482.12,100,2.12
28-Apr-2022,480.00,480.00,480.00,480.00,100,-6.00
27-Apr-2022,486.00,486.00,486.00,486.00,500,15.90
22-Apr-2022,470.10,470.10,470.10,470.10,100,-29.90
17-Mar-2022,457.01,510.00,457.01,500.00,800,11.73
16-Mar-2022,488.27,488.27,488.27,488.27,100,-39.58
15-Mar-2022,0.00,0.00,0.00,527.85,0,-22.14
14-Mar-2022,549.99,549.99,549.99,549.99,100,20.43
10-Mar-2022,0.00,0.00,0.00,529.56,0,-8.34
09-Mar-2022,0.00,0.00,0.00,537.89,0,-12.10
08-Mar-2022,549.99,549.99,549.99,549.99,100,20.00
07-Mar-2022,529.99,529.99,529.99,529.99,100,23.09
04-Mar-2022,453.00,506.90,453.00,506.90,200,32.89
03-Mar-2022,524.90,524.90,474.01,474.01,200,-30.99
02-Mar-2022,456.01,505.00,456.01,505.00,200,32.90
01-Mar-2022,472.10,472.10,472.10,472.10,100,-37.90
24-Feb-2022,452.10,510.00,452.10,510.00,200,24.87
23-Feb-2022,485.13,485.13,485.13,485.13,100,-32.87
22-Feb-2022,471.00,518.00,471.00,518.00,400,18.00
21-Feb-2022,480.02,525.00,480.02,500.00,"1,500",-17.50
18-Feb-2022,0.00,0.00,0.00,517.50,0,-8.88
17-Feb-2022,0.00,0.00,0.00,526.38,0,-7.61
16-Feb-2022,533.99,533.99,533.99,533.99,100,36.62
14-Feb-2022,578.01,578.01,497.37,497.37,200,-40.32
11-Feb-2022,0.00,0.00,0.00,537.69,0,-43.59
10-Feb-2022,0.00,0.00,0.00,581.28,0,-7.72
09-Feb-2022,589.00,589.00,589.00,589.00,100,39.01
08-Feb-2022,549.99,549.99,549.99,549.99,100,30.81
07-Feb-2022,524.00,524.00,519.18,519.18,200,24.19
04-Feb-2022,430.01,494.99,430.01,494.99,700,34.43
03-Feb-2022,445.01,501.49,445.01,460.56,300,-9.51
02-Feb-2022,470.07,470.07,430.00,470.07,600,32.79
01-Feb-2022,0.00,0.00,0.00,437.28,0,26.27
27-Jan-2022,411.01,411.01,411.01,411.01,100,-21.99
26-Jan-2022,433.00,433.00,433.00,433.00,100,-34.48
25-Jan-2022,493.95,493.95,441.01,467.48,200,7.48
24-Jan-2022,460.00,460.00,460.00,460.00,100,-21.10
20-Jan-2022,481.10,481.10,481.10,481.10,100,-38.90
19-Jan-2022,522.00,522.00,451.00,520.00,300,34.00
18-Jan-2022,563.99,563.99,486.00,486.00,200,-39.00
17-Jan-2022,460.10,525.00,460.10,525.00,200,33.50
14-Jan-2022,435.04,494.50,435.04,491.50,600,31.40
13-Jan-2022,460.10,460.10,460.10,460.10,200,32.10
12-Jan-2022,0.00,0.00,0.00,428.00,0,7.00
11-Jan-2022,0.00,0.00,0.00,421.00,0,4.70
07-Jan-2022,416.30,416.30,416.30,416.30,100,-33.70
06-Jan-2022,400.10,450.00,400.10,450.00,300,24.20
05-Jan-2022,425.80,425.80,425.80,425.80,100,-34.20
04-Jan-2022,460.00,460.00,460.00,460.00,300,-20.00
27-Dec-2021,480.00,480.00,480.00,480.00,100,20.00
08-Dec-2021,457.00,460.00,457.00,460.00,300,5.00
07-Dec-2021,450.00,455.00,450.00,455.00,300,-1.00
30-Nov-2021,456.00,456.00,456.00,456.00,200,6.00
29-Nov-2021,460.00,460.00,450.00,450.00,400,0.00
26-Nov-2021,450.00,450.00,450.00,450.00,200,0.00
16-Nov-2021,450.00,450.00,450.00,450.00,100,17.88
15-Nov-2021,432.12,433.00,432.12,432.12,700,-35.03
12-Nov-2021,467.25,467.25,467.15,467.15,200,-37.85
11-Nov-2021,500.00,505.00,500.00,505.00,700,-15.00
28-Oct-2021,548.25,548.25,515.00,520.00,600,10.00
27-Oct-2021,510.00,510.00,510.00,510.00,100,32.70
26-Oct-2021,477.00,477.30,477.00,477.30,200,0.00
25-Oct-2021,477.30,477.30,477.30,477.30,100,33.30
22-Oct-2021,444.00,444.00,444.00,444.00,"1,000",24.10
21-Oct-2021,400.00,419.90,400.00,419.90,800,-10.10
29-Sep-2021,445.00,445.00,445.00,445.00,100,-0.07
27-Sep-2021,0.00,0.00,0.00,445.07,0,-3.46
22-Sep-2021,0.00,0.00,0.00,448.53,0,-0.47
17-Sep-2021,419.98,449.00,419.98,449.00,200,29.01
16-Sep-2021,0.00,0.00,0.00,419.99,0,-0.01
10-Sep-2021,420.00,420.00,420.00,420.00,100,27.97
17-Aug-2021,392.03,392.03,392.03,392.03,100,-31.27
06-Aug-2021,398.02,425.00,398.02,423.30,"1,100",-6.65
05-Aug-2021,370.02,429.95,370.02,429.95,"1,100",29.95
02-Aug-2021,400.00,400.00,400.00,400.00,300,0.00
23-Jul-2021,400.00,400.00,400.00,400.00,100,0.00
19-Jul-2021,400.00,400.00,400.00,400.00,700,-7.00
05-Jul-2021,460.00,460.00,407.00,407.00,300,-33.00
02-Jul-2021,380.05,440.00,380.05,440.00,"10,100",30.00
29-Jun-2021,410.00,410.00,410.00,410.00,100,-6.79
28-Jun-2021,410.00,419.99,410.00,416.79,"1,900",16.81
25-Jun-2021,382.02,399.98,382.02,399.98,400,-10.02
23-Jun-2021,410.00,410.00,410.00,410.00,300,20.00
22-Jun-2021,390.00,390.00,390.00,390.00,300,-10.00
22-Apr-2021,400.00,400.00,400.00,400.00,500,0.00
21-Apr-2021,400.00,400.00,400.00,400.00,100,-10.00
20-Apr-2021,380.00,410.00,380.00,410.00,900,11.00
19-Apr-2021,361.02,399.00,361.02,399.00,400,14.00
15-Apr-2021,380.00,403.12,380.00,385.00,800,10.00
14-Apr-2021,356.00,375.00,352.50,375.00,800,24.99
13-Apr-2021,350.01,350.01,350.01,350.01,100,-27.99
12-Apr-2021,378.00,378.00,378.00,378.00,100,-30.00
08-Apr-2021,361.00,408.00,361.00,408.00,300,23.00
06-Apr-2021,350.01,385.00,350.01,385.00,500,14.99
05-Apr-2021,390.00,390.00,370.01,370.01,200,-29.99
29-Mar-2021,400.00,400.00,400.00,400.00,100,-10.00
22-Mar-2021,410.00,410.00,410.00,410.00,500,-6.00
19-Mar-2021,416.00,416.00,416.00,416.00,300,29.00
18-Mar-2021,387.00,387.00,387.00,387.00,400,27.00
17-Mar-2021,360.00,360.00,360.00,360.00,100,25.00
10-Mar-2021,335.00,335.00,335.00,335.00,100,-26.25
01-Mar-2021,361.25,361.25,361.25,361.25,200,-29.25
17-Feb-2021,400.00,400.00,390.50,390.50,500,-24.50
16-Feb-2021,415.00,415.00,415.00,415.00,100,-10.00
01-Feb-2021,420.00,425.00,420.00,425.00,200,5.00
25-Jan-2021,420.00,420.00,420.00,420.00,100,0.00
12-Jan-2021,415.00,420.00,415.00,420.00,500,0.00
01-Jan-2021,420.00,420.00,420.00,420.00,400,0.00
31-Dec-2020,420.00,420.00,410.00,420.00,200,10.00
