date,open,high,low,close,volume,change
02-Nov-2022,409.00,424.62,409.00,421.90,"15,500",26.90
31-Oct-2022,399.95,399.95,395.00,395.00,200,15.00
27-Oct-2022,389.99,389.99,380.00,380.00,"1,200",10.00
26-Oct-2022,345.00,370.50,342.25,370.00,"4,000",0.00
24-Oct-2022,369.00,377.32,369.00,370.00,"3,000",19.00
21-Oct-2022,328.00,380.79,328.00,351.00,"12,000",-3.23
20-Oct-2022,354.23,354.23,354.23,354.23,200,-28.72
19-Oct-2022,382.95,382.95,382.95,382.95,"1,400",-31.05
18-Oct-2022,481.09,481.09,414.00,414.00,"9,400",-33.53
17-Oct-2022,447.53,447.53,447.53,447.53,"3,000",31.22
14-Oct-2022,416.31,416.31,416.31,416.31,"7,600",29.04
13-Oct-2022,387.27,387.27,387.27,387.27,"2,800",27.01
12-Oct-2022,360.26,360.26,360.26,360.26,"6,600",25.13
11-Oct-2022,335.13,335.13,335.13,335.13,400,23.38
10-Oct-2022,300.00,311.75,300.00,311.75,"2,200",21.75
07-Oct-2022,290.00,300.45,290.00,290.00,"2,800",10.50
06-Oct-2022,271.00,279.50,271.00,279.50,"4,100",19.50
04-Oct-2022,260.00,260.00,260.00,260.00,100,0.00
30-Sep-2022,260.00,260.00,260.00,260.00,100,0.00
29-Sep-2022,257.48,260.00,257.48,260.00,900,5.77
26-Sep-2022,252.48,255.00,252.48,254.23,"2,700",4.23
23-Sep-2022,250.00,250.00,250.00,250.00,100,0.00
21-Sep-2022,249.98,250.00,249.98,250.00,400,5.00
20-Sep-2022,247.51,247.51,245.00,245.00,600,-8.00
15-Sep-2022,253.00,253.00,253.00,253.00,300,0.51
14-Sep-2022,252.49,252.49,252.49,252.49,100,2.49
13-Sep-2022,245.02,250.00,245.02,250.00,100,0.00
12-Sep-2022,245.02,250.00,245.02,250.00,100,0.00
07-Sep-2022,247.00,250.00,247.00,250.00,"2,200",5.00
06-Sep-2022,245.00,245.00,245.00,245.00,100,0.00
