date,open,high,low,close,volume,change
02-Nov-2022,26.80,27.54,26.80,27.33,"1,609,858",0.48
01-Nov-2022,26.26,26.95,26.15,26.85,"1,307,409",0.74
31-Oct-2022,26.05,26.46,26.00,26.11,"585,027",0.10
28-Oct-2022,26.58,26.58,25.95,26.01,"1,458,904",-0.57
27-Oct-2022,26.75,26.83,26.50,26.58,"841,332",-0.03
26-Oct-2022,27.39,27.39,26.50,26.61,"2,915,540",-1.37
25-Oct-2022,27.84,28.27,27.80,27.98,"2,555,786",0.21
24-Oct-2022,27.90,27.96,27.60,27.77,"1,637,110",0.16
21-Oct-2022,27.70,27.73,27.27,27.61,"967,967",0.01
20-Oct-2022,27.75,27.89,27.50,27.60,"1,201,414",-0.04
19-Oct-2022,27.65,27.90,27.50,27.64,"2,555,575",0.38
18-Oct-2022,31.65,31.95,31.22,31.26,"3,183,433",-0.39
17-Oct-2022,31.63,31.96,31.50,31.65,"2,184,811",0.01
14-Oct-2022,31.45,31.69,31.30,31.64,"1,786,068",0.34
13-Oct-2022,31.50,31.50,31.20,31.30,"1,113,232",0.05
12-Oct-2022,31.68,31.68,31.13,31.25,"873,605",-0.20
11-Oct-2022,31.40,31.74,31.29,31.45,"1,637,294",0.16
10-Oct-2022,31.50,31.70,31.20,31.29,"1,050,487",-0.09
07-Oct-2022,30.34,31.48,30.33,31.38,"8,475,604",0.92
06-Oct-2022,30.34,30.55,30.21,30.46,"1,313,914",0.22
05-Oct-2022,30.14,30.60,30.14,30.24,"1,550,946",0.10
04-Oct-2022,30.44,30.51,30.05,30.14,"2,070,407",-0.30
03-Oct-2022,29.88,30.85,29.65,30.44,"2,730,852",0.90
30-Sep-2022,30.30,30.30,29.40,29.54,"4,417,865",-0.62
29-Sep-2022,30.38,30.50,30.09,30.16,"1,199,477",-0.19
28-Sep-2022,30.52,30.70,30.30,30.35,"1,911,439",-0.15
27-Sep-2022,30.75,31.20,30.01,30.50,"2,133,429",-0.20
26-Sep-2022,30.26,30.76,30.20,30.70,"1,254,898",0.63
23-Sep-2022,30.50,30.80,29.95,30.07,"2,278,961",-0.35
22-Sep-2022,30.49,30.50,30.09,30.42,"1,791,607",-0.05
21-Sep-2022,30.60,30.78,30.31,30.47,"1,129,000",-0.11
20-Sep-2022,31.19,31.19,30.50,30.58,"2,535,293",-0.61
19-Sep-2022,31.74,31.74,31.10,31.19,"1,971,080",-0.26
16-Sep-2022,32.10,32.50,29.90,31.45,"16,923,446",-0.73
15-Sep-2022,33.10,33.48,32.05,32.18,"6,103,706",-0.63
14-Sep-2022,32.25,33.04,32.05,32.81,"6,179,125",0.81
13-Sep-2022,31.80,32.20,31.70,32.00,"2,450,892",0.40
12-Sep-2022,31.50,31.70,31.38,31.60,"983,507",0.21
09-Sep-2022,30.90,32.50,30.84,31.39,"12,791,621",0.43
08-Sep-2022,30.95,31.19,30.75,30.96,"1,233,673",0.22
07-Sep-2022,30.45,31.19,30.40,30.74,"3,614,795",0.13
06-Sep-2022,30.50,30.70,30.21,30.61,"1,013,732",0.21
05-Sep-2022,30.68,30.93,30.33,30.40,"952,191",-0.37
02-Sep-2022,30.38,31.20,30.20,30.77,"6,134,301",0.44
01-Sep-2022,30.34,30.74,30.25,30.33,"11,654,441",0.02
31-Aug-2022,30.36,30.92,30.07,30.31,"1,718,928",-0.24
30-Aug-2022,31.14,31.45,30.50,30.55,"3,819,399",-0.14
29-Aug-2022,31.04,31.04,29.75,30.69,"1,218,518",-0.35
26-Aug-2022,31.21,31.50,30.99,31.04,"1,274,000",-0.20
25-Aug-2022,31.60,32.23,30.75,31.24,"4,078,435",-0.46
