date,open,high,low,close,volume,change
02-Nov-2022,2.84,2.86,2.77,2.77,"1,623,500",-0.06
01-Nov-2022,2.73,2.86,2.73,2.83,"3,528,000",0.11
31-Oct-2022,2.78,2.78,2.70,2.72,"4,244,500",-0.01
28-Oct-2022,2.82,2.82,2.68,2.73,"13,204,000",-0.07
27-Oct-2022,2.80,2.87,2.76,2.80,"10,231,500",0.01
26-Oct-2022,2.92,2.92,2.76,2.79,"12,329,500",-0.11
25-Oct-2022,3.00,3.00,2.90,2.90,"2,905,500",-0.05
24-Oct-2022,3.00,3.04,2.93,2.95,"4,222,500",0.01
21-Oct-2022,3.01,3.03,2.92,2.94,"4,009,000",-0.05
20-Oct-2022,2.94,3.08,2.94,2.99,"22,794,500",0.08
19-Oct-2022,2.90,2.94,2.88,2.91,"1,690,000",0.01
18-Oct-2022,2.90,2.96,2.89,2.90,"1,860,000",-0.01
17-Oct-2022,2.93,2.96,2.89,2.91,"3,389,500",-0.01
14-Oct-2022,2.98,3.00,2.91,2.92,"8,991,000",-0.07
13-Oct-2022,3.08,3.09,2.98,2.99,"4,712,000",-0.07
12-Oct-2022,3.08,3.18,3.04,3.06,"34,446,000",0.10
11-Oct-2022,2.98,3.01,2.94,2.96,"4,329,000",-0.01
10-Oct-2022,3.03,3.07,2.96,2.97,"4,317,000",-0.04
07-Oct-2022,3.07,3.10,3.00,3.01,"4,788,500",-0.05
06-Oct-2022,3.01,3.10,3.01,3.06,"14,331,000",0.07
05-Oct-2022,2.94,3.05,2.94,2.99,"11,643,000",0.05
04-Oct-2022,2.90,3.05,2.90,2.94,"19,373,500",0.03
03-Oct-2022,2.96,2.98,2.89,2.91,"4,224,500",-0.07
30-Sep-2022,2.96,3.04,2.95,2.98,"15,579,000",-0.02
29-Sep-2022,3.04,3.04,2.93,3.00,"11,169,500",-0.05
28-Sep-2022,3.05,3.10,3.02,3.05,"9,727,500",0.01
27-Sep-2022,2.95,3.05,2.95,3.04,"12,822,500",0.09
26-Sep-2022,2.86,3.00,2.84,2.95,"15,204,500",0.10
23-Sep-2022,3.00,3.01,2.82,2.85,"11,852,000",-0.13
22-Sep-2022,2.87,3.03,2.86,2.98,"12,527,500",0.08
21-Sep-2022,3.03,3.10,2.88,2.90,"40,313,000",-0.10
20-Sep-2022,3.10,3.10,2.96,3.00,"18,418,000",-0.08
19-Sep-2022,3.24,3.24,3.05,3.08,"5,557,500",-0.11
16-Sep-2022,3.15,3.24,3.08,3.19,"19,563,000",0.07
15-Sep-2022,3.19,3.23,3.11,3.12,"11,120,500",-0.04
14-Sep-2022,3.20,3.23,3.13,3.16,"14,835,500",-0.05
13-Sep-2022,3.20,3.30,3.20,3.21,"6,926,500",-0.01
12-Sep-2022,3.15,3.27,3.15,3.22,"5,004,000",0.07
09-Sep-2022,3.17,3.18,3.13,3.15,"1,127,000",0.00
08-Sep-2022,3.17,3.19,3.12,3.15,"2,348,500",0.00
07-Sep-2022,3.21,3.24,3.15,3.15,"2,449,500",-0.06
06-Sep-2022,3.20,3.26,3.17,3.21,"3,415,500",0.00
05-Sep-2022,3.25,3.27,3.18,3.21,"6,098,500",-0.09
02-Sep-2022,3.30,3.32,3.22,3.30,"4,927,500",0.03
01-Sep-2022,3.29,3.33,3.24,3.27,"6,430,500",0.01
31-Aug-2022,3.33,3.39,3.22,3.26,"15,081,500",-0.08
30-Aug-2022,3.65,3.68,3.29,3.34,"38,180,000",-0.19
29-Aug-2022,3.50,3.57,3.42,3.53,"15,834,000",0.02
26-Aug-2022,3.43,3.62,3.35,3.51,"49,617,500",0.12
25-Aug-2022,3.46,3.48,3.37,3.39,"6,521,000",-0.06
24-Aug-2022,3.41,3.57,3.40,3.45,"20,811,000",0.05
23-Aug-2022,3.35,3.48,3.35,3.40,"25,229,500",0.05
22-Aug-2022,3.43,3.45,3.32,3.35,"14,689,000",-0.08
