date,open,high,low,close,volume,change
02-Nov-2022,161.00,163.00,161.00,162.50,"168,046",0.33
01-Nov-2022,159.60,163.00,159.00,162.17,"218,885",3.50
31-Oct-2022,160.06,160.06,155.61,158.67,"20,793",2.11
28-Oct-2022,163.99,164.89,154.99,156.56,"69,382",-2.48
27-Oct-2022,154.02,162.00,154.02,159.04,"69,772",2.48
26-Oct-2022,160.01,162.00,155.00,156.56,"52,629",-5.44
25-Oct-2022,164.00,164.00,162.00,162.00,350,-2.70
24-Oct-2022,168.49,169.80,162.02,164.70,"7,902",0.28
21-Oct-2022,166.00,169.70,159.50,164.42,"17,789",3.05
20-Oct-2022,167.21,169.95,160.20,161.37,"16,746",-5.81
19-Oct-2022,158.10,168.00,158.10,167.18,"74,496",6.18
18-Oct-2022,159.00,164.00,159.00,161.00,"16,265",1.03
17-Oct-2022,158.50,161.00,158.50,159.97,"46,286",0.89
14-Oct-2022,159.99,162.50,159.00,159.08,"27,492",-0.14
13-Oct-2022,160.00,160.50,158.00,159.22,"57,760",-2.56
12-Oct-2022,161.50,164.79,159.10,161.78,"77,650",-2.11
11-Oct-2022,165.00,166.00,161.00,163.89,"144,311",-0.82
10-Oct-2022,168.00,168.00,161.30,164.71,"53,546",-2.16
07-Oct-2022,168.98,170.00,165.99,166.87,"43,867",-0.31
06-Oct-2022,166.10,172.00,166.10,167.18,"167,600",1.40
05-Oct-2022,160.00,166.90,160.00,165.78,"108,500",7.03
04-Oct-2022,162.85,166.00,155.10,158.75,"50,900",-1.77
03-Oct-2022,164.90,164.90,157.00,160.52,"11,700",0.52
30-Sep-2022,163.23,167.49,159.50,160.00,"91,400",-1.89
29-Sep-2022,162.00,162.00,158.50,161.89,"13,300",0.09
28-Sep-2022,164.49,164.49,161.10,161.80,"15,500",-1.34
27-Sep-2022,157.00,164.00,156.00,163.14,"218,200",7.96
26-Sep-2022,152.40,160.00,152.40,155.18,"190,900",3.52
23-Sep-2022,156.00,156.50,151.00,151.66,"10,300",-5.83
22-Sep-2022,156.96,158.00,152.56,157.49,"48,700",0.52
21-Sep-2022,154.99,158.48,152.52,156.97,"102,900",4.45
20-Sep-2022,157.97,159.50,147.16,152.52,"95,800",-0.38
19-Sep-2022,155.00,157.43,152.00,152.90,"74,500",-4.53
16-Sep-2022,156.84,159.68,155.12,157.43,"27,300",0.69
15-Sep-2022,166.00,166.00,155.27,156.74,"360,100",-8.40
14-Sep-2022,167.45,167.45,164.00,165.14,"98,200",-1.31
13-Sep-2022,167.00,168.00,166.00,166.45,"102,500",1.15
12-Sep-2022,167.00,169.90,161.15,165.30,"38,400",-1.45
