date,open,high,low,close,volume,change
02-Nov-2022,29.15,29.15,28.25,28.80,"1,805,107",-0.08
01-Nov-2022,28.49,29.35,28.21,28.88,"3,155,434",0.69
31-Oct-2022,28.18,28.54,28.10,28.19,"544,784",0.03
28-Oct-2022,28.90,29.00,27.95,28.16,"1,507,761",-0.68
27-Oct-2022,27.65,29.40,27.65,28.84,"6,420,425",1.19
26-Oct-2022,29.50,29.50,27.53,27.65,"5,529,548",-2.01
25-Oct-2022,30.50,30.68,29.41,29.66,"2,406,076",-0.76
24-Oct-2022,31.74,31.75,30.25,30.42,"2,393,031",-0.76
21-Oct-2022,31.67,31.88,30.50,31.18,"1,780,114",-0.58
20-Oct-2022,32.15,32.48,31.70,31.76,"1,144,837",-0.32
19-Oct-2022,32.09,32.65,32.00,32.08,"1,440,834",-0.03
18-Oct-2022,32.10,32.48,31.80,32.11,"2,168,692",0.19
17-Oct-2022,32.00,33.30,31.59,31.92,"5,754,255",-0.17
14-Oct-2022,31.51,32.87,31.21,32.09,"6,504,453",0.53
13-Oct-2022,32.10,32.25,31.15,31.56,"3,082,793",-0.62
12-Oct-2022,34.16,34.19,31.72,32.18,"5,598,250",-1.90
11-Oct-2022,33.00,34.80,32.77,34.08,"12,577,751",1.53
10-Oct-2022,31.20,32.61,31.10,32.55,"11,569,526",2.21
07-Oct-2022,30.09,30.95,29.31,30.34,"8,706,603",0.39
06-Oct-2022,29.00,30.25,29.00,29.95,"3,926,079",1.06
05-Oct-2022,29.05,29.35,28.73,28.89,"1,019,865",0.00
04-Oct-2022,29.15,29.51,28.75,28.89,"1,971,377",-0.24
03-Oct-2022,28.36,29.35,28.30,29.13,"1,354,197",0.58
30-Sep-2022,28.62,28.84,28.50,28.55,"486,374",-0.23
29-Sep-2022,29.02,29.19,28.70,28.78,"1,219,066",-0.26
28-Sep-2022,29.38,29.84,29.00,29.04,"2,149,967",-0.05
27-Sep-2022,28.39,29.25,28.10,29.09,"3,028,714",0.76
26-Sep-2022,27.74,28.64,27.55,28.33,"1,841,105",0.60
23-Sep-2022,28.48,28.48,27.60,27.73,"906,408",-0.59
22-Sep-2022,28.89,28.89,27.93,28.32,"1,517,703",-0.23
21-Sep-2022,29.20,29.35,28.25,28.55,"2,197,774",-0.37
20-Sep-2022,28.99,29.29,28.80,28.92,"1,510,354",-0.06
19-Sep-2022,29.43,29.69,28.90,28.98,"1,618,594",-0.45
16-Sep-2022,28.65,29.60,27.94,29.43,"3,971,229",0.89
15-Sep-2022,29.58,29.80,28.35,28.54,"3,744,728",-0.83
14-Sep-2022,29.62,29.85,29.18,29.37,"1,426,539",-0.41
13-Sep-2022,29.89,30.30,29.70,29.78,"1,203,065",-0.11
12-Sep-2022,29.90,30.35,29.61,29.89,"3,489,703",0.14
09-Sep-2022,30.25,30.40,29.70,29.75,"2,400,813",-0.36
08-Sep-2022,28.99,30.40,28.65,30.11,"6,734,169",1.32
07-Sep-2022,29.30,29.55,28.75,28.79,"2,591,440",-0.20
06-Sep-2022,28.40,29.18,28.31,28.99,"2,673,012",0.48
05-Sep-2022,28.79,28.79,28.28,28.51,"646,592",0.02
02-Sep-2022,28.80,29.12,28.40,28.49,"652,508",-0.37
01-Sep-2022,29.39,29.50,28.80,28.86,"1,443,114",-0.20
31-Aug-2022,28.74,29.44,28.65,29.06,"1,707,582",0.32
30-Aug-2022,28.99,29.40,28.43,28.74,"2,283,381",0.31
29-Aug-2022,28.70,28.70,27.85,28.43,"1,201,015",-0.34
26-Aug-2022,29.40,29.70,28.51,28.77,"2,115,235",-0.74
25-Aug-2022,29.95,29.95,28.90,29.51,"2,631,241",-0.22
24-Aug-2022,30.39,30.55,29.60,29.73,"2,770,865",-0.52
23-Aug-2022,30.50,31.00,30.03,30.25,"3,698,603",-0.05
22-Aug-2022,30.13,30.65,29.55,30.30,"3,456,527",-0.03
19-Aug-2022,30.50,31.00,30.17,30.33,"2,178,628",-0.64
18-Aug-2022,32.30,32.50,30.75,30.97,"5,501,844",-1.16
17-Aug-2022,30.44,32.48,30.15,32.13,"6,627,856",1.58
16-Aug-2022,31.53,31.60,30.43,30.55,"3,333,514",-0.99
15-Aug-2022,32.00,32.60,31.25,31.54,"5,474,424",0.41
12-Aug-2022,32.90,35.24,32.90,35.13,"20,659,632",2.34
11-Aug-2022,32.60,33.10,32.25,32.79,"6,133,881",0.25
10-Aug-2022,33.07,33.07,32.11,32.54,"17,887,680",1.77
05-Aug-2022,28.52,30.77,28.35,30.77,"1,980,222",2.14
04-Aug-2022,29.00,29.37,28.37,28.63,"3,551,165",-0.24
03-Aug-2022,29.07,29.70,28.50,28.87,"3,836,176",-0.02
02-Aug-2022,28.50,29.80,28.21,28.89,"4,285,368",-0.05
01-Aug-2022,29.30,29.63,28.75,28.94,"2,726,982",-0.53
29-Jul-2022,30.31,31.15,29.25,29.47,"9,899,371",-0.76
28-Jul-2022,28.75,30.63,28.05,30.23,"16,911,654",1.73
27-Jul-2022,27.20,28.83,26.41,28.50,"10,166,543",1.50
26-Jul-2022,26.18,27.69,26.10,27.00,"11,106,576",1.21
25-Jul-2022,24.00,25.92,23.80,25.79,"7,995,902",1.67
22-Jul-2022,23.50,24.40,23.40,24.12,"1,917,652",0.45
21-Jul-2022,24.07,24.20,23.55,23.67,"1,034,426",-0.38
20-Jul-2022,24.30,24.40,23.90,24.05,"1,021,134",-0.14
19-Jul-2022,25.00,25.60,23.87,24.19,"3,952,612",-0.76
18-Jul-2022,24.69,25.10,24.26,24.95,"1,102,875",-0.09
15-Jul-2022,25.20,25.51,24.90,25.04,"1,641,866",-0.33
14-Jul-2022,24.99,25.62,24.60,25.37,"3,853,583",0.49
13-Jul-2022,25.37,25.37,24.51,24.88,"2,233,263",-0.14
07-Jul-2022,25.25,26.23,24.90,25.02,"7,310,260",-0.21
06-Jul-2022,25.01,25.80,25.01,25.23,"3,212,579",0.07
05-Jul-2022,24.62,25.40,24.31,25.16,"3,229,245",0.54
04-Jul-2022,24.10,25.05,24.00,24.62,"1,663,889",0.42
01-Jul-2022,23.90,24.49,23.49,24.20,"571,206",0.58
30-Jun-2022,23.42,23.99,23.25,23.62,"622,985",-0.12
29-Jun-2022,24.05,24.22,23.50,23.74,"400,942",-0.29
28-Jun-2022,24.50,24.50,23.95,24.03,"530,300",-0.25
27-Jun-2022,24.10,24.60,23.90,24.28,"1,265,362",0.19
24-Jun-2022,26.20,26.20,24.09,24.09,"3,095,136",-1.95
23-Jun-2022,26.08,26.49,25.85,26.04,"2,855,796",0.23
22-Jun-2022,25.15,26.25,24.50,25.81,"6,769,528",1.09
21-Jun-2022,23.15,24.72,22.97,24.72,"5,284,544",1.72
20-Jun-2022,23.56,23.56,22.90,23.00,"855,892",-0.29
17-Jun-2022,23.20,23.68,23.04,23.29,"983,396",0.23
16-Jun-2022,23.32,23.70,22.90,23.06,"1,245,438",-0.45
15-Jun-2022,23.70,24.00,23.50,23.51,"706,372",-0.09
14-Jun-2022,23.88,23.95,23.30,23.60,"909,791",-0.18
13-Jun-2022,24.40,24.40,23.50,23.78,"2,188,078",-0.52
10-Jun-2022,23.00,24.70,22.75,24.30,"7,317,204",1.24
08-Jun-2022,24.70,25.00,23.30,23.67,"3,314,522",-0.96
07-Jun-2022,24.41,25.94,24.41,24.63,"2,269,701",0.37
06-Jun-2022,23.90,24.70,23.60,24.26,"960,736",-0.12
03-Jun-2022,26.49,26.49,24.20,24.38,"1,869,848",-1.48
02-Jun-2022,26.42,26.80,25.50,25.86,"555,392",-0.84
01-Jun-2022,27.33,27.33,26.63,26.70,"409,529",-0.42
31-May-2022,27.51,27.71,26.81,27.12,"1,057,571",-0.68
30-May-2022,27.50,28.80,27.35,27.80,"3,551,021",0.70
27-May-2022,26.30,27.72,26.15,27.10,"5,249,615",1.31
26-May-2022,24.94,25.92,24.94,25.79,"1,945,730",0.86
25-May-2022,24.50,25.18,24.13,24.93,"1,968,645",0.45
24-May-2022,24.51,24.94,24.30,24.48,"2,029,779",-0.21
23-May-2022,24.55,24.97,24.33,24.69,"2,124,707",-0.49
20-May-2022,25.50,26.00,25.05,25.18,"1,706,229",-0.65
19-May-2022,25.51,26.44,25.31,25.83,"3,713,862",0.08
18-May-2022,26.40,27.01,25.41,25.75,"4,027,138",-0.65
17-May-2022,27.24,27.80,26.02,26.40,"11,484,952",-0.60
16-May-2022,25.25,27.77,24.62,27.00,"18,143,611",1.16
13-May-2022,24.85,26.62,24.51,25.84,"11,668,178",1.07
12-May-2022,24.15,25.18,23.70,24.77,"3,746,113",0.42
11-May-2022,24.75,25.00,23.83,24.35,"11,273,000",-0.62
10-May-2022,25.69,25.69,24.20,24.97,"12,410,500",-0.23
09-May-2022,25.50,26.50,23.05,25.20,"27,005,500",0.54
06-May-2022,23.44,24.66,23.25,24.66,"6,668,500",1.72
