date,open,high,low,close,volume,change
01-Nov-2022,"1,680.00","1,695.00","1,675.10","1,680.12","92,491",-2.72
31-Oct-2022,"1,675.00","1,690.00","1,674.05","1,682.84","12,302",7.72
28-Oct-2022,"1,679.76","1,680.00","1,675.00","1,675.12","29,325",-4.64
27-Oct-2022,"1,681.00","1,699.00","1,675.00","1,679.76","33,565",-0.24
26-Oct-2022,"1,703.00","1,703.00","1,677.00","1,680.00","45,174",-28.84
25-Oct-2022,"1,705.01","1,715.00","1,700.00","1,708.84","26,644",-1.39
24-Oct-2022,"1,699.00","1,728.00","1,695.00","1,710.23","78,100",26.74
21-Oct-2022,"1,666.00","1,699.00","1,662.99","1,683.49","53,117",23.63
20-Oct-2022,"1,680.00","1,680.00","1,659.00","1,659.86","9,218",-9.66
19-Oct-2022,"1,625.00","1,677.00","1,625.00","1,669.52","64,524",45.47
18-Oct-2022,"1,617.00","1,629.00","1,610.50","1,624.05","33,699",12.96
17-Oct-2022,"1,606.00","1,617.00","1,600.00","1,611.09","23,040",-0.17
14-Oct-2022,"1,616.00","1,622.00","1,605.00","1,611.26","12,635",8.83
13-Oct-2022,"1,605.00","1,609.00","1,600.01","1,602.43","2,687",-1.83
12-Oct-2022,"1,587.00","1,618.00","1,587.00","1,604.26","33,925",17.95
11-Oct-2022,"1,610.99","1,617.50","1,580.00","1,586.31","15,458",-22.37
10-Oct-2022,"1,603.00","1,615.00","1,603.00","1,608.68","4,706",4.25
07-Oct-2022,"1,615.00","1,621.00","1,602.11","1,604.43","4,283",-10.67
06-Oct-2022,"1,600.00","1,629.99","1,590.00","1,615.10","42,003",15.82
05-Oct-2022,"1,554.00","1,615.00","1,554.00","1,599.28","37,317",47.38
04-Oct-2022,"1,569.99","1,575.00","1,550.00","1,551.90","36,986",-17.01
03-Oct-2022,"1,560.01","1,578.99","1,557.01","1,568.91","12,164",4.10
30-Sep-2022,"1,540.00","1,610.00","1,535.00","1,564.81","68,747",24.01
29-Sep-2022,"1,560.27","1,565.00","1,539.06","1,540.80","74,330",-19.47
28-Sep-2022,"1,600.00","1,601.00","1,550.00","1,560.27","17,817",-35.09
27-Sep-2022,"1,605.00","1,615.00","1,595.00","1,595.36","46,195",-12.53
26-Sep-2022,"1,609.99","1,620.00","1,595.00","1,607.89","7,781",-3.56
23-Sep-2022,"1,620.00","1,624.00","1,592.00","1,611.45","8,759",-4.12
22-Sep-2022,"1,624.99","1,625.00","1,604.00","1,615.57","6,791",-7.11
21-Sep-2022,"1,625.00","1,640.00","1,595.00","1,622.68","8,585",1.01
20-Sep-2022,"1,625.01","1,645.00","1,615.00","1,621.67","15,394",6.31
19-Sep-2022,"1,671.00","1,680.00","1,665.00","1,677.36","15,284",6.76
