date,open,high,low,close,volume,change
01-Nov-2022,105.33,106.50,105.11,105.69,"480,242",0.37
31-Oct-2022,107.89,107.89,104.80,105.32,"738,398",-1.78
28-Oct-2022,107.07,107.99,106.60,107.10,"170,362",-0.31
27-Oct-2022,109.00,109.00,107.01,107.41,"497,092",-1.19
26-Oct-2022,108.97,111.00,108.25,110.60,"3,637,500",1.63
25-Oct-2022,109.08,109.85,108.50,108.97,"304,001",-0.10
24-Oct-2022,111.00,111.00,108.52,109.07,"193,758",-0.22
21-Oct-2022,110.01,110.01,108.45,109.29,"912,963",-0.21
20-Oct-2022,110.50,110.50,109.30,109.50,"491,350",-0.08
19-Oct-2022,109.00,111.30,108.61,109.58,"1,638,100",0.88
18-Oct-2022,109.49,109.49,108.20,108.70,"585,212",-0.19
17-Oct-2022,109.55,109.55,107.90,108.89,"227,810",0.11
14-Oct-2022,109.01,109.55,108.00,108.78,"628,758",-0.18
13-Oct-2022,110.13,110.50,108.51,108.96,"519,375",-1.17
12-Oct-2022,109.10,111.99,109.00,110.13,"1,030,328",0.81
11-Oct-2022,108.51,110.40,108.41,109.32,"1,279,128",1.10
10-Oct-2022,111.00,111.94,108.01,108.22,"1,093,099",-2.65
07-Oct-2022,111.02,117.97,110.10,110.87,"917,816",-1.10
06-Oct-2022,110.75,112.25,109.50,111.97,"1,163,514",2.29
05-Oct-2022,110.01,110.89,109.26,109.68,"545,537",-0.30
04-Oct-2022,109.48,111.50,109.00,109.98,"697,031",0.58
03-Oct-2022,110.50,111.88,108.90,109.40,"530,114",-0.35
30-Sep-2022,109.60,112.90,109.00,109.75,"1,199,334",0.21
29-Sep-2022,111.80,111.80,108.90,109.54,"1,453,959",-2.26
28-Sep-2022,112.99,114.00,111.51,111.80,"1,547,750",-0.75
27-Sep-2022,115.00,115.49,112.00,112.55,"765,149",-1.08
26-Sep-2022,113.00,114.50,112.75,113.63,"1,027,277",0.91
23-Sep-2022,115.02,116.75,112.00,112.72,"1,275,765",-3.80
22-Sep-2022,117.80,118.00,114.75,116.52,"1,729,713",-0.44
21-Sep-2022,116.57,117.98,116.40,116.96,"404,929",0.39
20-Sep-2022,118.97,118.97,115.55,116.57,"278,177",-0.41
19-Sep-2022,118.70,119.00,116.50,116.98,"160,901",-1.43
16-Sep-2022,121.99,121.99,118.00,118.41,"682,383",-2.58
15-Sep-2022,122.15,123.44,120.90,120.99,"528,677",-1.68
14-Sep-2022,123.50,124.50,122.31,122.67,"1,538,029",-1.27
13-Sep-2022,122.08,125.00,120.80,123.94,"1,920,074",1.86
12-Sep-2022,121.39,122.50,121.39,122.08,"683,408",0.57
09-Sep-2022,120.95,122.50,120.40,121.51,"520,264",1.52
08-Sep-2022,121.50,121.99,119.60,119.99,"319,735",-0.63
07-Sep-2022,119.00,121.00,119.00,120.62,"414,372",1.11
06-Sep-2022,120.05,121.00,118.90,119.51,"219,156",-0.58
05-Sep-2022,122.84,122.84,119.80,120.09,"287,637",-0.53
02-Sep-2022,122.48,122.48,120.30,120.62,"348,894",-0.55
01-Sep-2022,122.00,123.50,120.40,121.17,"475,344",-0.23
31-Aug-2022,122.47,122.89,121.00,121.40,"311,332",0.10
30-Aug-2022,122.88,123.47,120.80,121.30,"506,890",-0.07
29-Aug-2022,121.00,125.70,120.00,121.37,"2,136,752",-0.44
26-Aug-2022,125.40,128.00,121.35,121.81,"2,843,216",-2.31
25-Aug-2022,126.00,126.70,123.75,124.12,"831,299",-1.59
24-Aug-2022,125.50,128.00,125.10,125.71,"4,243,321",0.45
23-Aug-2022,124.51,128.10,124.51,125.26,"3,166,810",0.83
22-Aug-2022,125.97,126.25,123.52,124.43,"1,656,511",0.98
19-Aug-2022,137.00,138.90,136.10,137.54,"2,370,505",0.55
18-Aug-2022,136.00,138.00,134.61,136.99,"1,721,660",1.45
17-Aug-2022,133.75,136.00,133.00,135.54,"1,265,145",1.79
16-Aug-2022,135.00,135.50,132.60,133.75,"1,218,557",-0.51
15-Aug-2022,133.50,135.99,132.51,134.26,"1,978,885",3.01
12-Aug-2022,128.79,132.00,128.15,131.25,"2,532,412",3.19
11-Aug-2022,128.49,130.97,126.26,128.06,"3,128,491",0.63
10-Aug-2022,126.00,128.50,125.85,127.43,"546,116",2.65
05-Aug-2022,124.00,126.50,124.00,124.78,"784,207",-0.21
04-Aug-2022,123.50,126.75,122.81,124.99,"689,209",2.21
03-Aug-2022,120.00,123.00,118.70,122.78,"396,451",3.73
02-Aug-2022,116.00,120.40,116.00,119.05,"327,761",0.17
01-Aug-2022,116.10,119.99,116.10,118.88,"402,539",0.39
29-Jul-2022,119.00,119.90,118.10,118.49,"49,988",-0.63
28-Jul-2022,119.50,121.99,118.02,119.12,"532,343",0.22
