date,open,high,low,close,volume,change
02-Nov-2022,27.38,27.85,27.12,27.53,"1,394,974",0.03
01-Nov-2022,27.17,27.65,27.03,27.50,"2,282,487",1.09
31-Oct-2022,26.72,26.72,26.06,26.41,"423,853",0.13
28-Oct-2022,27.00,27.00,26.10,26.28,"1,787,796",-0.92
27-Oct-2022,27.02,27.43,26.70,27.20,"1,358,778",0.20
26-Oct-2022,27.75,27.75,26.20,27.00,"3,424,681",-0.95
25-Oct-2022,28.32,28.51,27.76,27.95,"1,224,650",-0.56
24-Oct-2022,28.88,29.06,28.39,28.51,"1,680,809",-0.11
21-Oct-2022,28.40,28.83,28.00,28.62,"2,576,946",0.15
20-Oct-2022,28.52,29.19,28.32,28.47,"3,762,117",-0.22
19-Oct-2022,28.30,28.88,28.29,28.69,"3,585,956",0.55
18-Oct-2022,28.25,28.40,27.82,28.14,"2,026,159",0.47
17-Oct-2022,28.22,28.39,27.61,27.67,"1,513,751",-0.60
14-Oct-2022,28.51,28.70,28.10,28.27,"1,222,827",-0.03
13-Oct-2022,28.50,28.70,28.20,28.30,"1,446,240",0.01
12-Oct-2022,28.54,28.89,28.21,28.29,"2,461,170",-0.25
11-Oct-2022,29.24,29.24,28.50,28.54,"2,886,931",-0.58
10-Oct-2022,29.10,29.20,28.61,29.12,"5,249,725",0.29
07-Oct-2022,28.50,29.49,28.45,28.83,"7,977,419",0.01
06-Oct-2022,28.95,29.25,28.62,28.82,"10,232,013",0.21
05-Oct-2022,28.19,28.70,28.00,28.61,"10,040,162",0.71
04-Oct-2022,27.65,28.20,27.45,27.90,"4,142,266",0.28
03-Oct-2022,28.01,28.20,27.27,27.62,"855,167",-0.24
30-Sep-2022,28.06,28.56,27.75,27.86,"1,483,634",-0.34
29-Sep-2022,28.27,28.65,28.00,28.20,"1,962,083",-0.07
28-Sep-2022,28.40,28.65,28.23,28.27,"2,303,180",-0.14
27-Sep-2022,28.15,28.75,28.15,28.41,"3,666,464",0.38
26-Sep-2022,27.12,28.39,27.12,28.03,"8,333,838",0.84
23-Sep-2022,27.70,27.70,27.00,27.19,"1,574,063",-0.22
