date,open,high,low,close,volume,change
02-Nov-2022,660.00,668.50,656.00,664.75,"43,500",3.44
01-Nov-2022,669.51,669.51,658.00,661.31,"61,828",-8.20
31-Oct-2022,661.00,681.00,661.00,669.51,"17,042",4.94
28-Oct-2022,680.43,683.50,660.00,664.57,"113,745",-15.86
27-Oct-2022,681.50,692.00,679.00,680.43,"57,227",-8.74
26-Oct-2022,696.50,706.00,683.00,689.17,"68,140",-19.91
25-Oct-2022,716.80,716.90,706.00,709.08,"32,472",-6.69
24-Oct-2022,729.75,729.75,714.50,715.77,"24,205",0.57
21-Oct-2022,727.00,727.00,706.00,715.20,"33,089",-5.82
20-Oct-2022,728.00,729.99,720.00,721.02,"44,355",8.17
19-Oct-2022,690.00,736.00,689.03,712.85,"253,647",28.18
18-Oct-2022,850.00,855.00,837.00,841.60,"88,107",-3.67
17-Oct-2022,838.05,848.90,835.10,845.27,"60,586",7.56
14-Oct-2022,832.01,839.00,832.01,837.71,"50,735",6.15
13-Oct-2022,828.35,833.00,828.00,831.56,"57,843",4.19
12-Oct-2022,825.10,835.00,825.10,827.37,"41,093",1.32
11-Oct-2022,827.00,836.00,822.00,826.05,"46,244",0.04
10-Oct-2022,830.00,833.00,825.15,826.01,"70,026",-1.45
07-Oct-2022,830.01,832.99,824.00,827.46,"48,918",-2.27
06-Oct-2022,833.00,833.00,825.00,829.73,"16,447",-0.75
05-Oct-2022,830.01,833.99,829.00,830.48,"23,783",2.37
04-Oct-2022,830.00,831.63,827.50,828.11,"36,687",1.53
03-Oct-2022,827.00,832.00,826.00,826.58,"32,137",2.54
30-Sep-2022,830.00,830.00,823.20,824.04,"30,221",-3.14
29-Sep-2022,839.00,839.00,826.00,827.18,"40,047",-9.72
28-Sep-2022,841.01,841.01,836.00,836.90,"27,225",-3.80
27-Sep-2022,848.00,849.80,837.50,840.70,"32,320",-2.83
26-Sep-2022,835.02,848.25,835.02,843.53,"69,456",10.84
23-Sep-2022,821.00,849.00,821.00,832.69,"159,909",14.88
22-Sep-2022,830.00,830.00,817.00,817.81,"27,975",-11.16
21-Sep-2022,825.10,831.00,825.00,828.97,"15,749",3.25
20-Sep-2022,818.00,829.90,811.00,825.72,"29,305",7.86
19-Sep-2022,832.00,840.00,809.00,817.86,"46,487",-13.94
16-Sep-2022,830.00,835.99,824.00,831.80,"51,511",2.47
15-Sep-2022,833.00,839.00,828.01,829.33,"19,924",-2.08
14-Sep-2022,839.00,845.00,830.00,831.41,"21,661",-7.03
