date,open,high,low,close,volume,change
02-Nov-2022,119.99,121.70,119.99,121.46,"236,200",1.33
01-Nov-2022,120.00,120.50,119.50,120.13,"53,100",1.02
31-Oct-2022,120.00,120.98,118.31,119.11,"12,500",-0.43
28-Oct-2022,122.00,122.50,119.10,119.54,"7,300",-2.47
27-Oct-2022,122.79,122.79,119.05,122.01,"174,800",2.26
26-Oct-2022,120.00,126.00,117.67,119.75,"30,200",-1.77
25-Oct-2022,123.09,123.09,121.00,121.52,"24,500",-1.57
24-Oct-2022,124.00,124.00,122.50,123.09,"14,900",0.11
21-Oct-2022,126.18,126.18,122.53,122.98,"27,300",-2.14
20-Oct-2022,127.50,129.00,125.00,125.12,"44,900",-2.98
19-Oct-2022,126.55,128.79,126.55,128.10,"8,500",0.96
18-Oct-2022,126.10,128.00,126.10,127.14,"19,200",0.84
17-Oct-2022,126.50,126.90,118.10,126.30,"17,800",-1.37
14-Oct-2022,127.60,128.80,126.50,127.67,"23,000",0.00
13-Oct-2022,125.60,129.00,125.60,127.67,"28,900",-0.10
12-Oct-2022,128.90,128.90,125.00,127.77,"50,100",-0.32
11-Oct-2022,135.00,135.00,132.80,133.09,"74,400",-1.39
10-Oct-2022,137.00,137.00,134.06,134.48,"23,700",-0.52
07-Oct-2022,135.98,135.98,134.10,135.00,"15,400",-0.33
06-Oct-2022,135.51,136.89,135.05,135.33,"26,000",-0.18
05-Oct-2022,136.00,137.99,135.00,135.51,"17,500",-1.42
04-Oct-2022,138.00,138.00,136.09,136.93,"30,700",0.57
03-Oct-2022,136.50,137.90,135.80,136.36,"24,300",0.01
30-Sep-2022,136.39,138.35,136.00,136.35,"60,400",0.05
29-Sep-2022,135.00,136.30,134.00,136.30,"15,000",1.28
28-Sep-2022,135.79,138.00,134.50,135.02,"47,000",-0.77
27-Sep-2022,132.21,136.75,131.50,135.79,"47,400",4.16
26-Sep-2022,128.00,132.50,127.99,131.63,"30,500",5.45
23-Sep-2022,127.00,128.97,123.00,126.18,"23,100",-0.34
22-Sep-2022,129.00,129.00,125.00,126.52,"28,600",-4.20
21-Sep-2022,134.00,134.00,129.33,130.72,"26,900",-1.98
20-Sep-2022,135.00,135.10,132.00,132.70,"36,300",-3.00
19-Sep-2022,137.00,137.50,135.61,135.70,"34,000",-0.99
16-Sep-2022,139.36,140.00,136.50,136.69,"113,600",-2.67
15-Sep-2022,140.99,141.00,139.01,139.36,"33,500",0.48
14-Sep-2022,143.01,143.44,138.50,138.88,"95,500",-4.14
13-Sep-2022,141.55,144.00,141.00,143.02,"85,200",1.46
12-Sep-2022,141.50,143.00,139.57,141.56,"208,800",-6.51
09-Sep-2022,148.07,148.07,148.07,148.07,"54,200",-12.00
08-Sep-2022,160.00,161.00,158.51,160.07,"128,500",0.11
07-Sep-2022,159.46,161.00,158.51,159.96,"39,000",0.51
06-Sep-2022,160.00,160.01,158.00,159.45,"54,200",-0.85
05-Sep-2022,162.10,163.93,159.26,160.30,"111,600",-1.08
02-Sep-2022,159.75,163.41,159.25,161.38,"256,100",2.15
01-Sep-2022,158.98,160.50,157.00,159.23,"157,300",3.29
31-Aug-2022,155.90,158.00,153.95,155.94,"191,300",3.08
30-Aug-2022,155.99,158.01,152.62,152.86,"61,900",-1.81
29-Aug-2022,155.30,156.95,153.52,154.67,"37,500",-1.23
26-Aug-2022,158.50,158.50,155.20,155.90,"19,400",-1.80
25-Aug-2022,158.41,158.41,157.20,157.70,"12,500",-0.44
24-Aug-2022,158.00,159.20,157.70,158.14,"9,200",0.01
23-Aug-2022,159.00,160.50,157.56,158.13,"17,500",-0.33
22-Aug-2022,159.00,159.30,157.99,158.46,"8,400",-1.19
19-Aug-2022,162.35,162.35,159.50,159.65,"14,200",-0.26
18-Aug-2022,161.50,161.50,159.00,159.91,"13,300",-1.05
17-Aug-2022,160.15,161.50,160.00,160.96,"18,900",-0.68
16-Aug-2022,163.50,164.80,159.50,161.64,"58,900",-0.18
15-Aug-2022,159.90,162.85,158.00,161.82,"43,900",4.68
12-Aug-2022,155.50,158.00,155.00,157.14,"29,000",1.67
11-Aug-2022,158.00,159.79,154.61,155.47,"28,500",-2.88
10-Aug-2022,150.00,160.82,149.81,158.35,"142,500",8.75
05-Aug-2022,147.15,150.00,147.15,149.60,"21,500",2.28
04-Aug-2022,145.10,147.99,145.10,147.32,"20,300",1.81
03-Aug-2022,143.43,150.75,143.03,145.51,"35,100",1.98
02-Aug-2022,142.51,143.97,142.51,143.53,"5,700",-0.43
01-Aug-2022,142.00,144.02,142.00,143.96,"11,400",1.11
29-Jul-2022,143.98,143.98,141.50,142.85,"12,600",1.06
28-Jul-2022,141.01,142.75,141.00,141.79,"14,100",0.79
27-Jul-2022,141.01,142.50,140.55,141.00,"8,900",0.01
26-Jul-2022,140.15,141.50,140.15,140.99,"8,900",-0.01
25-Jul-2022,141.01,141.25,140.80,141.00,"8,200",-1.49
22-Jul-2022,141.05,143.50,138.40,142.49,"5,800",1.45
21-Jul-2022,143.50,143.50,140.33,141.04,"12,000",-1.59
20-Jul-2022,142.15,143.00,142.00,142.63,"5,200",-0.47
19-Jul-2022,145.25,145.25,143.00,143.10,"5,400",-1.76
18-Jul-2022,144.11,145.90,144.10,144.86,"10,000",-1.58
15-Jul-2022,146.75,147.00,146.02,146.44,"21,800",-0.30
14-Jul-2022,146.60,147.00,145.30,146.74,"20,200",0.79
13-Jul-2022,146.77,146.77,143.50,145.95,"40,200",1.59
07-Jul-2022,143.61,144.49,143.06,144.36,"4,400",-0.17
06-Jul-2022,145.00,145.00,142.10,144.53,"6,000",1.09
05-Jul-2022,144.77,144.77,143.01,143.44,"10,900",-0.38
04-Jul-2022,143.50,144.35,141.13,143.82,"14,700",-0.26
01-Jul-2022,145.00,145.00,143.60,144.08,"9,300",-0.70
30-Jun-2022,143.70,145.08,143.70,144.78,"14,600",0.90
29-Jun-2022,146.00,146.00,143.52,143.88,"8,400",-0.53
