date,open,high,low,close,volume,change
02-Nov-2022,25.85,25.98,25.50,25.87,"57,500",0.01
01-Nov-2022,25.80,26.00,25.57,25.86,"42,000",0.01
31-Oct-2022,25.40,26.00,25.40,25.85,"62,000",0.44
28-Oct-2022,25.50,25.68,25.00,25.41,"72,500",-0.22
27-Oct-2022,25.80,25.89,25.00,25.63,"119,000",0.30
26-Oct-2022,25.26,25.84,24.80,25.33,"152,000",-0.17
25-Oct-2022,25.62,25.70,25.48,25.50,"72,000",0.02
24-Oct-2022,26.00,26.00,25.30,25.48,"70,500",-0.44
21-Oct-2022,25.80,26.43,25.42,25.92,"92,000",0.23
20-Oct-2022,25.71,25.79,25.60,25.69,"22,000",-0.15
19-Oct-2022,25.79,26.00,25.65,25.84,"109,500",0.34
18-Oct-2022,25.67,25.67,25.47,25.50,"26,000",-0.02
17-Oct-2022,25.84,25.84,25.50,25.52,"69,500",0.01
14-Oct-2022,25.90,25.93,25.50,25.51,"36,500",-0.10
13-Oct-2022,25.80,25.80,25.50,25.61,"76,500",-0.19
12-Oct-2022,25.94,25.95,25.75,25.80,"44,500",-0.14
11-Oct-2022,25.98,26.00,25.80,25.94,"135,500",0.16
10-Oct-2022,26.00,26.00,25.70,25.78,"143,000",0.07
07-Oct-2022,25.63,25.82,25.61,25.71,"23,000",0.10
06-Oct-2022,25.88,25.88,25.56,25.61,"654,500",-0.07
05-Oct-2022,25.81,26.00,25.62,25.68,"1,626,500",-0.28
04-Oct-2022,26.12,26.46,25.95,25.96,"93,500",-0.31
03-Oct-2022,25.80,26.70,25.80,26.27,"72,000",0.20
30-Sep-2022,26.40,26.47,26.00,26.07,"107,500",-0.08
29-Sep-2022,26.70,26.70,26.15,26.15,"36,500",-0.66
28-Sep-2022,26.99,27.14,26.70,26.81,"27,500",-0.41
27-Sep-2022,26.43,27.39,26.40,27.22,"132,500",0.69
26-Sep-2022,26.14,26.74,26.12,26.53,"36,500",0.39
23-Sep-2022,26.06,26.40,25.96,26.14,"36,500",-0.28
22-Sep-2022,26.00,26.70,25.55,26.42,"74,000",0.29
21-Sep-2022,25.90,26.29,25.70,26.13,"124,000",0.23
20-Sep-2022,26.97,26.97,25.55,25.90,"536,500",-1.00
19-Sep-2022,27.18,27.20,26.57,26.90,"31,000",-0.11
16-Sep-2022,26.73,27.59,25.90,27.01,"3,099,500",0.30
15-Sep-2022,27.05,27.25,26.60,26.71,"283,000",-0.31
14-Sep-2022,27.50,27.50,26.90,27.02,"303,000",-0.45
13-Sep-2022,27.48,27.60,27.40,27.47,"34,000",-0.07
12-Sep-2022,27.74,27.75,27.50,27.54,"27,500",-0.08
09-Sep-2022,28.03,28.20,27.55,27.62,"356,500",-0.61
08-Sep-2022,28.25,28.45,28.02,28.23,"44,500",-0.01
07-Sep-2022,29.05,29.05,27.95,28.24,"302,500",-0.63
06-Sep-2022,28.06,29.49,28.00,28.87,"99,000",0.58
05-Sep-2022,28.55,28.55,28.20,28.29,"81,500",-0.10
02-Sep-2022,28.50,28.80,28.30,28.39,"722,500",-0.21
01-Sep-2022,29.85,29.85,28.13,28.60,"93,000",-0.15
31-Aug-2022,28.48,29.04,28.38,28.75,"3,904,000",0.17
30-Aug-2022,28.98,29.00,28.50,28.58,"58,500",-0.30
29-Aug-2022,28.51,28.89,28.11,28.88,"47,500",0.17
26-Aug-2022,29.10,29.36,28.55,28.71,"76,000",-0.37
25-Aug-2022,29.50,29.70,29.00,29.08,"257,500",-0.36
24-Aug-2022,29.35,29.90,29.30,29.44,"3,353,500",0.26
23-Aug-2022,29.50,29.79,29.10,29.18,"547,000",-0.11
22-Aug-2022,30.00,30.10,29.02,29.29,"283,000",-1.09
19-Aug-2022,29.71,30.85,29.52,30.38,"7,837,500",-0.03
18-Aug-2022,30.84,31.03,29.84,30.41,"568,000",-0.55
17-Aug-2022,33.40,33.40,30.94,30.96,"3,531,500",-2.48
16-Aug-2022,33.60,34.20,33.15,33.44,"1,248,000",0.51
15-Aug-2022,32.40,34.20,32.26,32.93,"1,626,500",0.85
12-Aug-2022,31.48,33.60,30.51,32.08,"4,798,000",0.70
11-Aug-2022,30.90,32.30,30.90,31.38,"298,000",1.33
10-Aug-2022,27.67,30.51,27.67,30.05,"2,741,000",1.66
05-Aug-2022,26.88,28.62,26.77,28.39,"479,500",1.76
04-Aug-2022,26.60,27.00,26.60,26.63,"61,500",0.02
03-Aug-2022,26.39,26.99,26.30,26.61,"307,500",0.48
02-Aug-2022,26.40,26.78,25.84,26.13,"623,000",-0.47
01-Aug-2022,26.70,26.95,26.60,26.60,"10,000",-0.12
29-Jul-2022,26.62,27.33,26.52,26.72,"34,000",0.08
28-Jul-2022,27.00,27.15,26.50,26.64,"265,500",-0.21
27-Jul-2022,26.85,27.15,26.40,26.85,"210,500",0.03
26-Jul-2022,26.22,27.10,26.16,26.82,"123,500",0.20
25-Jul-2022,26.69,26.89,26.50,26.62,"40,000",-0.10
22-Jul-2022,26.70,27.40,26.50,26.72,"127,500",-0.20
21-Jul-2022,27.25,27.25,26.40,26.92,"48,500",-0.08
20-Jul-2022,27.01,27.07,26.62,27.00,"841,000",-0.17
19-Jul-2022,27.05,27.72,26.79,27.17,"190,000",-0.27
18-Jul-2022,27.05,27.89,27.00,27.44,"201,500",-0.31
15-Jul-2022,27.76,28.00,27.61,27.75,"133,000",-0.12
14-Jul-2022,27.89,28.19,27.81,27.87,"1,034,500",0.17
13-Jul-2022,27.80,27.98,27.55,27.70,"1,158,000",0.23
07-Jul-2022,27.25,27.80,27.00,27.47,"74,500",0.22
06-Jul-2022,27.27,27.39,27.02,27.25,"449,000",0.32
05-Jul-2022,27.40,27.45,26.73,26.93,"321,500",-0.53
04-Jul-2022,27.94,27.94,27.46,27.46,"33,500",-0.33
01-Jul-2022,27.67,27.90,27.66,27.79,"55,500",-0.16
30-Jun-2022,27.97,28.38,27.62,27.95,"638,000",0.19
29-Jun-2022,27.90,28.39,27.22,27.76,"402,000",-0.17
28-Jun-2022,27.88,28.48,27.41,27.93,"2,547,500",0.52
27-Jun-2022,26.85,27.50,26.83,27.41,"76,000",0.84
24-Jun-2022,27.62,27.75,26.00,26.57,"886,000",-1.05
23-Jun-2022,27.99,28.30,27.50,27.62,"278,000",-0.18
22-Jun-2022,27.95,28.00,27.74,27.80,"264,500",0.00
21-Jun-2022,27.81,28.00,27.60,27.80,"203,500",-0.01
