date,open,high,low,close,volume,change
01-Nov-2022,70.35,70.99,70.00,70.93,"1,535,020",0.87
31-Oct-2022,70.90,71.10,69.90,70.06,"1,528,607",-0.38
28-Oct-2022,71.33,71.48,70.25,70.44,"890,068",-0.89
27-Oct-2022,71.90,71.90,70.85,71.33,"1,308,835",-0.29
26-Oct-2022,72.76,72.80,71.40,71.62,"1,759,687",-1.60
25-Oct-2022,73.12,74.89,73.10,73.22,"4,386,704",0.01
24-Oct-2022,73.95,74.25,72.96,73.21,"1,265,241",0.25
21-Oct-2022,72.59,73.80,71.83,72.96,"4,552,154",0.67
20-Oct-2022,73.25,73.60,72.20,72.29,"1,060,125",-0.62
19-Oct-2022,71.82,73.10,71.82,72.91,"1,189,977",0.90
18-Oct-2022,72.45,73.40,71.80,72.01,"1,207,805",-0.37
17-Oct-2022,73.90,74.00,72.20,72.38,"798,255",-1.53
14-Oct-2022,74.60,74.70,73.50,73.91,"2,147,210",-0.12
13-Oct-2022,77.00,77.35,76.35,76.53,"3,920,656",-0.14
12-Oct-2022,76.75,77.20,76.50,76.67,"1,061,372",-0.26
11-Oct-2022,76.51,77.90,76.51,76.93,"2,725,854",0.57
10-Oct-2022,75.50,77.45,75.50,76.36,"2,201,264",0.89
07-Oct-2022,75.61,76.79,75.30,75.47,"789,060",-0.76
06-Oct-2022,74.50,76.70,74.50,76.23,"1,766,624",1.64
05-Oct-2022,75.00,75.24,74.48,74.59,"509,520",-0.15
04-Oct-2022,75.06,75.49,74.50,74.74,"596,455",-0.40
03-Oct-2022,75.69,75.99,75.00,75.14,"751,385",-0.58
30-Sep-2022,75.79,76.48,75.04,75.72,"1,463,812",-0.08
29-Sep-2022,76.00,76.50,75.01,75.80,"1,071,431",-0.62
28-Sep-2022,76.69,77.80,75.80,76.42,"2,048,636",-0.16
27-Sep-2022,74.40,79.00,73.90,76.58,"2,794,394",2.90
26-Sep-2022,73.50,74.50,73.50,73.68,"1,288,365",0.35
23-Sep-2022,75.00,75.55,73.00,73.33,"4,141,561",-0.43
22-Sep-2022,71.45,74.38,71.05,73.76,"2,980,591",1.26
21-Sep-2022,75.91,76.50,71.12,72.50,"3,454,417",-3.37
20-Sep-2022,78.00,78.30,75.51,75.87,"1,578,577",-2.11
19-Sep-2022,78.50,78.80,77.88,77.98,"736,086",-0.42
16-Sep-2022,78.80,78.80,76.75,78.40,"2,442,551",0.20
15-Sep-2022,80.00,80.00,78.05,78.20,"1,743,534",-1.16
14-Sep-2022,78.45,80.00,78.15,79.36,"1,116,047",0.74
13-Sep-2022,79.50,79.50,78.52,78.62,"654,071",-0.42
12-Sep-2022,79.80,80.09,78.98,79.04,"570,760",-0.60
09-Sep-2022,80.55,80.55,79.50,79.64,"1,146,992",-0.53
08-Sep-2022,79.90,80.50,79.80,80.17,"1,449,140",0.33
07-Sep-2022,80.80,80.80,79.50,79.84,"712,301",-0.48
06-Sep-2022,80.12,80.60,79.93,80.32,"998,775",0.23
05-Sep-2022,81.24,81.35,80.01,80.09,"1,429,692",-1.14
02-Sep-2022,82.25,82.25,81.00,81.23,"614,900",-0.58
01-Sep-2022,83.00,83.00,81.75,81.81,"1,153,468",-0.39
