date,open,high,low,close,volume,change
24-Oct-2022,874.10,874.10,874.10,874.10,"25,000",0.00
21-Oct-2022,938.90,938.90,851.10,874.10,"115,300",0.00
20-Oct-2022,879.00,879.00,785.10,874.10,200,55.78
19-Oct-2022,800.00,818.32,800.00,818.32,100,57.09
18-Oct-2022,0.00,0.00,0.00,761.23,0,11.13
17-Oct-2022,750.10,750.10,750.10,750.10,50,-31.31
14-Oct-2022,800.10,800.10,781.41,781.41,100,-58.59
12-Oct-2022,840.00,840.00,840.00,840.00,650,-40.00
10-Oct-2022,898.90,898.90,856.00,880.00,"1,250",0.00
06-Oct-2022,900.00,925.00,880.00,880.00,300,-7.62
05-Oct-2022,924.00,924.00,845.00,887.62,"1,050",-9.38
04-Oct-2022,949.00,949.00,841.00,897.00,"1,500",-1.00
03-Oct-2022,898.00,898.00,825.00,898.00,"1,450",9.00
30-Sep-2022,889.00,889.00,889.00,889.00,50,40.00
29-Sep-2022,800.00,849.00,795.50,849.00,450,-11.00
27-Sep-2022,860.00,860.00,860.00,860.00,100,15.00
26-Sep-2022,844.90,845.00,844.90,845.00,100,55.00
22-Sep-2022,790.00,790.00,790.00,790.00,50,-8.73
19-Sep-2022,798.00,798.73,797.00,798.73,350,55.72
16-Sep-2022,743.01,743.01,743.01,743.01,50,-56.99
15-Sep-2022,800.00,805.00,800.00,800.00,550,0.00
14-Sep-2022,800.00,800.00,800.00,800.00,100,0.00
13-Sep-2022,800.00,800.00,800.00,800.00,100,0.00
12-Sep-2022,800.00,800.00,800.00,800.00,150,0.00
09-Sep-2022,760.00,800.00,760.00,800.00,350,40.00
08-Sep-2022,760.03,760.03,760.00,760.00,100,7.73
06-Sep-2022,731.01,789.00,731.01,752.27,200,-37.72
05-Sep-2022,801.00,801.00,780.00,789.99,200,9.99
02-Sep-2022,743.00,800.00,743.00,780.00,200,-21.50
01-Sep-2022,819.99,819.99,801.50,801.50,150,-18.49
31-Aug-2022,816.00,819.99,816.00,819.99,150,3.99
30-Aug-2022,796.00,825.00,796.00,816.00,150,-24.00
29-Aug-2022,903.00,903.00,840.00,840.00,800,0.00
26-Aug-2022,840.00,849.99,803.25,840.00,250,0.00
25-Aug-2022,845.00,855.00,840.00,840.00,800,-5.00
24-Aug-2022,899.99,899.99,845.00,845.00,100,5.00
23-Aug-2022,840.00,840.00,840.00,840.00,450,-5.00
22-Aug-2022,800.10,850.00,800.10,845.00,350,-10.00
19-Aug-2022,890.00,890.00,850.12,855.00,400,-35.00
16-Aug-2022,875.00,890.00,875.00,890.00,250,-5.00
11-Aug-2022,901.00,901.00,895.00,895.00,150,-6.00
10-Aug-2022,930.00,930.00,901.00,901.00,350,-39.50
05-Aug-2022,940.00,941.00,940.00,940.50,200,0.50
02-Aug-2022,960.00,960.00,950.00,950.00,250,-10.00
01-Aug-2022,950.00,960.00,950.00,960.00,600,10.00
28-Jul-2022,950.00,950.00,950.00,950.00,300,0.00
25-Jul-2022,950.00,950.00,910.00,950.00,300,0.01
22-Jul-2022,901.01,949.99,901.00,949.99,"1,050",-0.01
21-Jul-2022,950.00,950.00,950.00,950.00,100,-15.80
15-Jul-2022,965.80,965.80,965.80,965.80,50,29.80
05-Jul-2022,985.00,985.00,936.00,936.00,100,-49.42
30-Jun-2022,970.00,990.00,970.00,985.42,700,7.92
29-Jun-2022,969.99,990.00,969.99,977.50,440,16.90
28-Jun-2022,945.00,970.00,945.00,960.60,520,21.85
27-Jun-2022,930.00,950.00,930.00,938.75,800,8.75
24-Jun-2022,930.00,930.00,930.00,930.00,60,-25.98
23-Jun-2022,910.00,955.98,910.00,955.98,20,0.00
22-Jun-2022,900.00,956.00,900.00,955.98,800,56.98
21-Jun-2022,898.00,900.00,898.00,899.00,120,-0.50
20-Jun-2022,900.00,900.00,899.00,899.50,40,8.00
17-Jun-2022,900.00,903.77,880.00,891.50,180,-12.27
16-Jun-2022,899.00,905.00,893.93,903.77,420,14.77
15-Jun-2022,811.00,889.99,811.00,889.00,400,19.00
14-Jun-2022,900.00,900.00,863.00,870.00,800,-30.89
13-Jun-2022,929.99,929.99,900.00,900.89,380,-44.11
09-Jun-2022,944.00,945.00,944.00,945.00,60,0.00
08-Jun-2022,939.10,950.00,939.00,945.00,580,-19.38
07-Jun-2022,960.00,964.38,960.00,964.38,20,0.00
06-Jun-2022,999.99,999.99,960.00,964.38,280,-25.62
01-Jun-2022,977.00,990.00,977.00,990.00,20,0.00
31-May-2022,961.00,990.00,961.00,990.00,100,-21.00
30-May-2022,"1,000.00","1,011.00","1,000.00","1,011.00",100,11.00
26-May-2022,"1,018.00","1,018.00","1,000.00","1,000.00",80,0.00
23-May-2022,"1,000.00","1,000.00","1,000.00","1,000.00",60,0.00
19-May-2022,"1,000.00","1,000.00","1,000.00","1,000.00",40,0.00
18-May-2022,"1,000.00","1,000.00","1,000.00","1,000.00",980,0.00
17-May-2022,"1,000.00","1,000.00","1,000.00","1,000.00",20,0.00
16-May-2022,"1,000.00","1,000.00","1,000.00","1,000.00",520,0.00
13-May-2022,"1,000.00","1,000.00","1,000.00","1,000.00",200,0.00
12-May-2022,"1,000.00","1,000.00","1,000.00","1,000.00",20,0.00
11-May-2022,"1,000.00","1,000.00","1,000.00","1,000.00","1,040",0.00
10-May-2022,998.60,"1,000.00",998.60,"1,000.00",520,1.99
09-May-2022,"1,000.00","1,000.00",998.01,998.01,20,0.00
28-Apr-2022,991.01,"1,005.00",991.01,998.01,40,-51.99
27-Apr-2022,"1,040.00","1,050.00","1,040.00","1,050.00","1,920",3.88
26-Apr-2022,"1,040.00","1,050.01","1,010.00","1,046.12","8,660",0.29
25-Apr-2022,"1,010.00","1,050.00","1,005.00","1,045.83",280,40.83
22-Apr-2022,"1,050.01","1,050.01","1,005.00","1,005.00","2,020",-55.00
21-Apr-2022,"1,060.00","1,060.00","1,060.00","1,060.00",520,0.00
20-Apr-2022,"1,075.00","1,075.00","1,060.00","1,060.00",100,-15.00
19-Apr-2022,"1,075.00","1,075.00","1,075.00","1,075.00",500,0.00
18-Apr-2022,"1,070.00","1,080.00","1,070.00","1,075.00",300,5.00
15-Apr-2022,"1,070.00","1,070.00","1,070.00","1,070.00",100,-7.50
14-Apr-2022,"1,059.99","1,095.00","1,059.99","1,077.50",40,17.55
13-Apr-2022,"1,059.97","1,059.97","1,059.94","1,059.95",240,27.95
12-Apr-2022,"1,049.99","1,060.00","1,049.99","1,060.00",420,0.00
11-Apr-2022,"1,049.27","1,060.00","1,049.27","1,060.00",220,10.00
07-Apr-2022,"1,125.00","1,125.00","1,050.00","1,050.00","1,060",0.00
06-Apr-2022,"1,050.00","1,070.00","1,050.00","1,050.00",260,-20.00
04-Apr-2022,"1,060.00","1,060.00","1,060.00","1,060.00",60,-2.00
01-Apr-2022,"1,050.00","1,080.00","1,050.00","1,062.00",200,9.00
31-Mar-2022,"1,019.99","1,080.00","1,019.99","1,053.00",620,39.00
30-Mar-2022,"1,020.00","1,020.00",980.00,"1,014.00",580,-6.00
29-Mar-2022,"1,020.00","1,030.00","1,020.00","1,020.00",240,10.00
28-Mar-2022,"1,020.00","1,020.00","1,010.00","1,010.00",160,-10.00
25-Mar-2022,"1,005.00","1,020.00","1,005.00","1,020.00",140,15.00
24-Mar-2022,998.00,"1,020.00",998.00,"1,005.00",140,7.50
22-Mar-2022,999.99,999.99,997.50,997.50,20,0.00
21-Mar-2022,999.99,999.99,997.50,997.50,20,0.00
18-Mar-2022,"1,000.00","1,004.99",990.00,997.50,60,-2.50
17-Mar-2022,"1,014.99","1,014.99",975.00,"1,000.00",440,6.66
16-Mar-2022,"1,020.00","1,020.00",990.00,993.34,340,-49.16
15-Mar-2022,"1,020.20","1,042.50","1,020.20","1,042.50",80,0.00
14-Mar-2022,"1,030.00","1,045.00","1,030.00","1,042.50",100,12.50
11-Mar-2022,"1,030.00","1,030.00","1,030.00","1,030.00",40,0.00
10-Mar-2022,"1,029.90","1,030.00","1,029.90","1,030.00",80,15.00
09-Mar-2022,"1,015.00","1,015.00","1,015.00","1,015.00",40,-10.52
08-Mar-2022,"1,010.00","1,056.55","1,010.00","1,025.52",60,15.52
07-Mar-2022,"1,000.01","1,030.00","1,000.01","1,010.00",900,-50.00
03-Mar-2022,"1,060.00","1,060.00","1,060.00","1,060.00",40,-10.00
02-Mar-2022,"1,068.00","1,070.00","1,068.00","1,070.00",20,0.00
01-Mar-2022,"1,060.00","1,070.00","1,050.01","1,070.00","1,080",0.00
28-Feb-2022,"1,065.00","1,070.00","1,065.00","1,070.00",20,0.00
25-Feb-2022,"1,017.00","1,070.00","1,017.00","1,070.00",380,53.50
