date,open,high,low,close,volume,change
02-Nov-2022,390.02,391.00,390.00,390.00,"1,700",-3.32
01-Nov-2022,392.51,399.98,388.00,393.32,"8,500",-1.68
31-Oct-2022,395.00,395.00,395.00,395.00,200,0.00
28-Oct-2022,400.00,400.00,395.00,395.00,500,-4.58
27-Oct-2022,392.51,400.00,387.51,399.58,"3,100",1.15
26-Oct-2022,397.51,400.00,375.00,398.43,"8,400",-1.57
24-Oct-2022,401.29,405.00,400.00,400.00,700,1.22
21-Oct-2022,397.50,400.00,390.00,398.78,"4,200",1.22
20-Oct-2022,397.62,397.62,397.51,397.56,400,-2.44
19-Oct-2022,400.00,400.00,400.00,400.00,300,2.00
18-Oct-2022,398.00,398.00,398.00,398.00,100,-5.00
17-Oct-2022,398.99,403.00,398.99,403.00,"1,800",3.89
14-Oct-2022,395.01,400.00,392.00,399.11,"3,600",1.61
13-Oct-2022,395.10,398.90,395.10,397.50,700,-2.49
12-Oct-2022,393.00,399.99,393.00,399.99,400,1.99
11-Oct-2022,400.00,400.00,398.00,398.00,300,-2.00
10-Oct-2022,400.00,400.00,397.51,400.00,"1,000",0.00
07-Oct-2022,400.00,400.00,400.00,400.00,100,-1.11
06-Oct-2022,400.00,404.99,399.00,401.11,"8,100",-2.61
05-Oct-2022,403.00,409.99,400.00,403.72,"5,400",-2.28
04-Oct-2022,408.00,408.00,406.00,406.00,300,-4.00
03-Oct-2022,409.00,411.80,405.05,410.00,"2,200",1.96
30-Sep-2022,400.00,410.00,400.00,408.04,"11,000",6.25
29-Sep-2022,400.01,405.00,390.01,401.79,"3,800",0.56
28-Sep-2022,390.00,412.00,390.00,401.23,"5,600",7.41
26-Sep-2022,394.00,399.00,388.00,393.82,"5,400",3.82
23-Sep-2022,389.00,390.00,387.53,390.00,"1,100",0.50
22-Sep-2022,392.51,392.51,389.00,389.50,"1,300",-4.60
21-Sep-2022,395.01,395.01,394.10,394.10,200,-3.68
20-Sep-2022,395.05,399.99,395.01,397.78,900,-2.22
19-Sep-2022,399.99,400.00,399.99,400.00,700,1.00
16-Sep-2022,399.00,399.00,399.00,399.00,100,3.11
15-Sep-2022,405.00,405.00,395.00,395.89,"8,600",-7.10
14-Sep-2022,395.00,405.00,394.00,402.99,"285,000",9.47
13-Sep-2022,390.00,395.00,387.00,393.52,"2,800",-1.48
12-Sep-2022,392.50,395.00,392.50,395.00,"1,800",-5.00
09-Sep-2022,392.00,400.00,392.00,400.00,"12,500",4.00
07-Sep-2022,396.00,396.00,396.00,396.00,100,-4.37
06-Sep-2022,395.00,403.00,395.00,400.37,"2,800",-3.40
02-Sep-2022,399.00,405.00,396.01,403.77,"10,400",-1.06
01-Sep-2022,400.00,405.00,400.00,404.83,"1,500",2.40
31-Aug-2022,400.00,405.00,395.00,402.43,"3,200",2.43
30-Aug-2022,401.00,401.00,398.00,400.00,"15,900",0.00
29-Aug-2022,382.00,400.00,382.00,400.00,"6,600",4.62
26-Aug-2022,405.00,405.00,386.00,395.38,900,-12.62
25-Aug-2022,405.00,408.00,405.00,408.00,"4,000",-1.77
24-Aug-2022,410.01,410.01,409.00,409.77,"3,000",-7.56
