date,open,high,low,close,volume,change
31-Oct-2022,580.00,600.00,580.00,600.00,100,20.00
24-Oct-2022,0.00,580.00,580.00,580.00,400,0.00
18-Oct-2022,580.00,580.00,580.00,580.00,50,22.08
17-Oct-2022,549.00,557.92,549.00,557.92,100,38.92
13-Oct-2022,515.00,519.00,515.00,519.00,100,4.00
10-Oct-2022,515.00,515.00,479.16,515.00,150,35.84
16-Sep-2022,479.16,479.16,479.16,479.16,100,-38.84
31-Aug-2022,520.00,520.00,518.00,518.00,200,-41.99
18-Aug-2022,532.00,559.99,532.00,559.99,100,-0.01
16-Aug-2022,560.00,560.00,560.00,560.00,100,0.00
03-Aug-2022,550.01,560.00,548.00,560.00,650,-20.00
02-Aug-2022,0.00,580.00,580.00,580.00,200,0.00
19-Jul-2022,580.00,580.00,580.00,580.00,50,-29.00
18-Jul-2022,578.21,609.00,578.21,609.00,100,-16.00
15-Jul-2022,605.00,645.00,605.00,625.00,100,25.00
13-Jul-2022,600.00,600.00,600.00,600.00,50,0.00
07-Jul-2022,600.00,600.00,600.00,600.00,50,-5.00
05-Jul-2022,635.00,635.00,600.00,605.00,200,5.03
04-Jul-2022,599.97,599.97,599.97,599.97,50,36.97
24-Jun-2022,510.00,563.00,510.00,563.00,150,23.00
02-Jun-2022,488.00,540.00,488.00,540.00,100,14.00
30-May-2022,545.00,545.00,526.00,526.00,"1,200",-10.53
27-May-2022,538.00,538.00,536.53,536.53,100,-43.47
26-May-2022,580.00,580.00,580.00,580.00,50,38.87
11-May-2022,552.50,552.50,541.13,541.13,550,-43.87
10-May-2022,585.00,585.00,585.00,585.00,100,-5.00
09-May-2022,590.00,590.00,590.00,590.00,50,-10.00
28-Apr-2022,600.00,600.00,600.00,600.00,100,-7.61
20-Apr-2022,625.00,625.00,600.00,607.61,900,-22.39
19-Apr-2022,630.00,630.00,630.00,630.00,250,-20.00
13-Apr-2022,650.00,650.00,650.00,650.00,100,-21.00
17-Mar-2022,671.00,671.00,671.00,671.00,50,-53.90
11-Mar-2022,724.90,724.90,724.90,724.90,50,49.90
09-Mar-2022,670.00,675.00,670.00,675.00,150,-44.38
08-Mar-2022,0.00,0.00,0.00,719.38,0,-0.52
04-Mar-2022,719.90,719.90,719.90,719.90,50,36.40
23-Feb-2022,650.29,750.30,650.29,683.50,950,-19.51
16-Feb-2022,703.01,703.01,703.01,703.01,100,-56.97
11-Feb-2022,759.98,759.98,759.98,759.98,50,23.77
10-Feb-2022,0.00,736.21,736.21,736.21,50,0.00
07-Feb-2022,0.00,0.00,0.00,736.21,0,-2.68
03-Feb-2022,720.06,738.89,720.00,738.89,550,-11.11
31-Jan-2022,760.00,760.00,750.00,750.00,250,-20.00
24-Jan-2022,741.00,770.00,740.00,770.00,150,-30.00
12-Jan-2022,800.00,800.00,800.00,800.00,150,38.00
05-Jan-2022,762.00,762.00,762.00,762.00,50,-23.00
04-Jan-2022,785.00,785.00,785.00,785.00,50,13.00
03-Jan-2022,772.00,772.00,772.00,772.00,100,-50.00
31-Dec-2021,822.19,822.19,822.00,822.00,100,54.00
