date,open,high,low,close,volume,change
02-Nov-2022,398.99,407.60,396.58,406.17,"225,637",9.60
01-Nov-2022,386.00,399.00,386.00,396.57,"250,434",10.61
31-Oct-2022,384.00,387.88,382.21,385.96,"49,262",2.52
28-Oct-2022,389.81,392.00,382.55,383.44,"148,669",-5.33
27-Oct-2022,384.75,390.50,382.00,388.77,"133,134",5.52
26-Oct-2022,382.80,384.00,378.60,383.25,"115,588",0.28
25-Oct-2022,377.00,385.00,377.00,382.97,"148,568",5.56
24-Oct-2022,379.15,382.00,377.00,377.41,"63,241",0.41
21-Oct-2022,376.80,379.00,369.09,377.00,"137,545",3.37
20-Oct-2022,377.00,377.00,371.41,373.63,"135,801",1.53
19-Oct-2022,370.00,377.95,369.02,372.10,"203,613",3.62
18-Oct-2022,363.00,370.00,363.00,368.48,"103,176",4.78
17-Oct-2022,365.95,368.00,362.85,363.70,"89,922",-0.18
14-Oct-2022,364.00,367.50,360.50,363.88,"68,988",-0.13
13-Oct-2022,363.01,366.00,362.10,364.01,"102,367",-0.12
12-Oct-2022,357.01,368.00,356.50,364.13,"231,538",6.93
11-Oct-2022,358.11,360.37,356.51,357.20,"40,444",-1.86
10-Oct-2022,358.00,365.00,358.00,359.06,"188,948",1.15
07-Oct-2022,362.00,364.40,355.03,357.91,"70,193",-3.08
06-Oct-2022,353.00,362.88,352.99,360.99,"219,593",9.15
05-Oct-2022,350.00,354.00,349.00,351.84,"87,388",3.43
04-Oct-2022,348.10,351.95,347.25,348.41,"74,903",-1.34
03-Oct-2022,350.00,353.00,348.15,349.75,"132,658",0.63
30-Sep-2022,345.00,355.00,344.01,349.12,"311,138",5.43
29-Sep-2022,344.00,346.00,343.00,343.69,"142,650",0.48
28-Sep-2022,347.80,350.00,342.00,343.21,"128,094",-2.63
27-Sep-2022,343.99,349.70,343.00,345.84,"237,649",3.89
26-Sep-2022,349.00,352.00,340.00,341.95,"220,230",-6.52
23-Sep-2022,349.50,354.00,347.50,348.47,"104,089",0.81
22-Sep-2022,353.00,354.99,346.50,347.66,"232,804",-5.15
21-Sep-2022,362.00,364.86,349.50,352.81,"159,094",-9.48
20-Sep-2022,369.00,369.00,360.02,362.29,"124,974",-3.80
19-Sep-2022,365.00,370.45,364.50,366.09,"56,155",2.29
16-Sep-2022,368.01,373.00,361.80,363.80,"196,552",-6.04
15-Sep-2022,374.00,374.00,369.00,369.84,"100,831",-2.92
14-Sep-2022,375.98,375.98,372.00,372.76,"44,609",-1.62
13-Sep-2022,376.45,377.23,373.00,374.38,"94,404",-2.07
12-Sep-2022,379.99,379.99,370.00,376.45,"221,155",5.83
09-Sep-2022,416.00,422.00,412.50,420.62,"1,000,248",8.65
08-Sep-2022,414.00,415.50,411.06,411.97,"181,265",-2.25
07-Sep-2022,416.00,417.80,412.50,414.22,"251,634",-0.76
06-Sep-2022,416.00,418.88,414.50,414.98,"219,076",-1.34
05-Sep-2022,415.00,417.90,414.01,416.32,"68,737",1.50
02-Sep-2022,419.00,419.00,413.13,414.82,"189,448",-3.76
01-Sep-2022,422.00,425.50,418.00,418.58,"151,912",-0.03
31-Aug-2022,425.00,426.95,417.00,418.61,"205,433",-3.88
30-Aug-2022,429.00,431.00,422.00,422.49,"114,041",-3.61
