date,open,high,low,close,volume,change
01-Nov-2022,51.73,52.72,51.50,52.42,"1,445,186",0.88
31-Oct-2022,51.02,51.97,50.80,51.54,"826,521",0.49
28-Oct-2022,53.43,53.49,50.43,51.05,"3,865,082",-2.15
27-Oct-2022,54.48,54.48,52.50,53.20,"3,722,432",-0.98
26-Oct-2022,56.00,56.00,53.50,54.18,"2,631,294",-1.99
25-Oct-2022,56.58,57.20,56.10,56.17,"925,050",-0.52
24-Oct-2022,57.32,57.57,56.60,56.69,"704,227",0.00
21-Oct-2022,56.35,57.00,55.13,56.69,"1,770,367",0.45
20-Oct-2022,56.97,57.40,56.10,56.24,"839,262",-0.35
19-Oct-2022,56.65,57.00,56.20,56.59,"1,198,586",0.20
18-Oct-2022,57.37,57.57,56.00,56.39,"1,194,927",-0.77
17-Oct-2022,58.50,58.89,56.80,57.16,"872,910",-1.33
14-Oct-2022,59.98,59.98,58.90,58.99,"547,095",-0.52
13-Oct-2022,59.50,60.30,59.26,59.51,"1,128,931",0.20
12-Oct-2022,59.23,59.67,58.70,59.31,"1,164,193",0.07
11-Oct-2022,58.81,59.90,58.67,59.24,"1,468,539",0.46
10-Oct-2022,58.97,60.02,58.60,58.78,"1,612,391",0.14
07-Oct-2022,58.80,59.08,58.50,58.64,"816,085",-0.58
06-Oct-2022,58.74,59.36,58.51,59.22,"1,571,950",0.92
05-Oct-2022,59.40,59.94,58.05,58.30,"1,165,225",-1.13
04-Oct-2022,60.55,60.55,59.20,59.43,"918,289",-1.01
03-Oct-2022,61.01,61.39,60.32,60.44,"589,055",-1.01
30-Sep-2022,60.70,62.50,59.90,61.45,"2,274,123",0.13
29-Sep-2022,61.10,61.98,60.21,61.32,"1,286,618",-0.27
28-Sep-2022,61.25,63.30,61.00,61.59,"2,104,958",0.64
27-Sep-2022,58.95,62.90,58.25,60.95,"3,895,101",2.35
26-Sep-2022,58.25,59.05,57.60,58.60,"2,633,626",0.33
23-Sep-2022,60.19,60.25,56.13,58.27,"2,015,962",-1.10
22-Sep-2022,59.30,60.18,57.81,59.37,"2,577,891",-0.55
21-Sep-2022,60.25,60.95,59.00,59.92,"1,601,316",-0.29
20-Sep-2022,65.05,65.50,59.99,60.21,"4,764,205",-4.64
