date,open,high,low,close,volume,change
02-Nov-2022,0.00,0.00,0.00,930.67,0,-16.64
20-Oct-2022,890.00,947.31,890.00,947.31,20,0.00
07-Oct-2022,920.00,947.31,920.00,947.31,20,0.00
06-Oct-2022,947.31,947.31,947.31,947.31,120,-76.81
05-Oct-2022,0.00,0.00,0.00,"1,024.12",0,-55.88
04-Oct-2022,"1,075.00","1,080.00","1,075.00","1,080.00",160,56.50
05-Sep-2022,"1,095.00","1,095.00","1,023.50","1,023.50",20,0.00
01-Sep-2022,950.00,"1,097.00",945.00,"1,023.50",120,2.83
31-Aug-2022,"1,018.00","1,025.00","1,018.00","1,020.67",80,-79.33
24-Aug-2022,"1,110.00","1,110.00","1,100.00","1,100.00",80,-75.00
23-Aug-2022,"1,200.00","1,200.00","1,175.00","1,175.00",140,-95.00
22-Aug-2022,"1,354.00","1,355.00","1,254.00","1,270.00",180,-85.00
18-Aug-2022,"1,240.50","1,380.00","1,240.43","1,355.00",800,14.00
17-Aug-2022,0.00,"1,341.00","1,341.00","1,341.00",20,0.00
16-Aug-2022,"1,341.00","1,341.00","1,341.00","1,341.00",60,-108.00
15-Aug-2022,"1,318.15","1,449.00","1,318.15","1,449.00",420,24.00
10-Aug-2022,"1,425.00","1,425.00","1,425.00","1,425.00",20,-115.00
01-Jun-2022,"1,540.00","1,540.00","1,540.00","1,540.00",100,-4.75
23-May-2022,"1,544.75","1,544.75","1,544.75","1,544.75",100,0.00
22-Apr-2022,"1,544.75","1,544.75","1,544.75","1,544.75",40,-125.25
07-Mar-2022,"1,670.00","1,670.00","1,670.00","1,670.00",100,5.42
03-Mar-2022,0.00,0.00,0.00,"1,664.58",0,-10.42
11-Feb-2022,"1,505.00","1,675.00","1,505.00","1,675.00",40,48.94
03-Feb-2022,"1,627.00","1,627.00","1,626.06","1,626.06",240,-131.84
01-Feb-2022,"1,757.90","1,757.90","1,757.90","1,757.90",20,107.90
27-Jan-2022,"1,650.00","1,650.00","1,650.00","1,650.00",200,41.00
21-Jan-2022,0.00,"1,609.00","1,609.00","1,609.00",200,0.00
10-Jan-2022,"1,609.00","1,609.00","1,609.00","1,609.00",20,112.00
22-Dec-2021,"1,497.00","1,497.00","1,497.00","1,497.00",200,0.76
05-Oct-2021,"1,575.00","1,579.90","1,360.00","1,496.24","1,000",26.24
20-Sep-2021,"1,470.00","1,470.00","1,470.00","1,470.00",50,91.00
10-Sep-2021,"1,379.00","1,379.00","1,379.00","1,379.00",50,95.00
09-Sep-2021,"1,284.00","1,284.00","1,284.00","1,284.00",50,85.00
08-Sep-2021,"1,199.00","1,199.00","1,199.00","1,199.00",50,79.00
06-Sep-2021,"1,124.90","1,124.90","1,120.00","1,120.00",100,70.00
01-Sep-2021,"1,000.90","1,050.00","1,000.90","1,050.00",200,-18.00
27-Aug-2021,"1,068.00","1,068.00","1,068.00","1,068.00",100,-7.00
26-Aug-2021,"1,080.00","1,080.00","1,075.00","1,075.00",200,70.00
25-Aug-2021,999.99,"1,145.00",999.99,"1,005.00",450,-70.00
24-Aug-2021,"1,024.98","1,075.00","1,024.98","1,075.00",700,75.00
23-Aug-2021,999.95,"1,000.00",995.00,"1,000.00",500,68.36
20-Aug-2021,0.00,0.00,0.00,931.64,0,-19.52
16-Aug-2021,0.00,0.00,0.00,951.16,0,-1.84
13-Aug-2021,900.00,953.00,900.00,953.00,300,65.87
10-Aug-2021,0.00,0.00,0.00,887.13,0,-7.35
05-Aug-2021,894.48,894.48,894.48,894.48,100,-72.52
19-Jul-2021,967.00,967.00,967.00,967.00,50,67.00
25-Jun-2021,778.73,900.00,778.73,900.00,150,58.14
22-Jun-2021,841.86,841.86,841.86,841.86,100,-68.25
17-Jun-2021,0.00,0.00,0.00,910.12,0,-30.67
16-Jun-2021,0.00,0.00,0.00,940.79,0,-1.71
15-Jun-2021,0.00,0.00,0.00,942.50,0,-7.50
26-Aug-2020,0.00,0.00,0.00,950.00,0,-10.00
20-Aug-2020,0.00,0.00,0.00,960.00,0,-12.00
13-Jul-2020,0.00,0.00,0.00,972.00,0,-15.61
09-Jul-2020,0.00,0.00,0.00,987.61,0,-2.39
17-Jun-2020,0.00,990.00,990.00,990.00,50,0.00
11-Jun-2020,990.00,990.00,990.00,990.00,100,-6.25
10-Jun-2020,0.00,0.00,0.00,996.25,0,-3.65
08-Jun-2020,0.00,0.00,0.00,999.90,0,-0.05
04-Jun-2020,0.00,0.00,0.00,999.95,0,-0.05
20-May-2020,"1,000.00","1,032.70","1,000.00","1,000.00",250,39.34
19-May-2020,950.00,960.66,950.00,960.66,550,67.02
18-May-2020,893.64,893.64,893.64,893.64,50,-72.45
08-May-2020,0.00,0.00,0.00,966.09,0,-2.91
30-Apr-2020,0.00,0.00,0.00,969.00,0,-19.00
09-Apr-2020,988.00,988.00,988.00,988.00,100,0.00
09-Mar-2020,988.00,988.00,988.00,988.00,50,9.50
06-Mar-2020,978.50,978.50,978.50,978.50,50,53.50
05-Mar-2020,923.36,925.00,923.36,925.00,550,-67.86
02-Mar-2020,0.00,0.00,0.00,992.86,0,-0.68
28-Jan-2020,0.00,0.00,0.00,993.53,0,-2.47
27-Jan-2020,0.00,0.00,0.00,996.00,0,-3.99
22-Jan-2020,999.99,999.99,999.99,999.99,50,12.47
17-Jan-2020,987.52,987.52,987.52,987.52,50,47.02
15-Jan-2020,940.50,940.50,940.50,940.50,50,-49.50
