date,open,high,low,close,volume,change
02-Nov-2022,144.92,148.95,144.00,148.48,"1,026,527",3.66
01-Nov-2022,141.50,146.00,141.50,144.82,"1,442,343",4.56
31-Oct-2022,142.02,142.02,139.71,140.26,"267,747",-1.26
28-Oct-2022,145.05,149.00,141.10,141.52,"1,200,025",-7.01
27-Oct-2022,150.00,151.00,148.00,148.53,"562,211",-1.54
26-Oct-2022,153.00,153.00,149.50,150.07,"653,742",-3.63
25-Oct-2022,153.80,154.79,152.86,153.70,"307,110",0.49
24-Oct-2022,156.00,156.75,153.00,153.21,"495,847",-0.30
21-Oct-2022,155.75,155.75,152.50,153.51,"628,978",-1.80
20-Oct-2022,156.80,157.20,155.00,155.31,"380,608",-0.92
19-Oct-2022,156.69,157.49,155.30,156.23,"683,781",0.52
18-Oct-2022,157.13,158.44,155.45,155.71,"281,434",-1.42
17-Oct-2022,159.90,159.95,157.00,157.13,"603,694",-1.07
14-Oct-2022,169.20,169.21,167.00,168.20,"859,895",-0.17
13-Oct-2022,169.30,171.29,167.80,168.37,"1,580,368",2.07
12-Oct-2022,166.18,168.24,165.70,166.30,"455,644",0.57
11-Oct-2022,167.00,168.00,165.50,165.73,"555,540",-1.02
10-Oct-2022,167.79,169.00,166.30,166.75,"503,136",-1.05
07-Oct-2022,165.70,168.85,165.70,167.80,"1,077,376",1.29
06-Oct-2022,165.20,168.55,164.50,166.51,"875,366",1.66
05-Oct-2022,164.99,165.90,163.90,164.85,"385,860",0.95
04-Oct-2022,165.00,166.25,163.70,163.90,"301,754",-1.68
03-Oct-2022,162.89,166.00,162.60,165.58,"484,645",3.15
30-Sep-2022,164.01,164.70,161.13,162.43,"471,381",-2.03
29-Sep-2022,165.98,165.98,164.00,164.46,"313,764",-1.53
28-Sep-2022,166.31,168.20,165.45,165.99,"585,245",0.03
27-Sep-2022,164.60,168.40,163.49,165.96,"917,363",1.87
26-Sep-2022,159.90,166.18,159.87,164.09,"633,107",3.92
23-Sep-2022,162.00,164.20,159.00,160.17,"595,500",-1.40
22-Sep-2022,161.51,162.00,158.30,161.57,"570,283",-0.71
21-Sep-2022,164.10,164.98,162.00,162.28,"249,317",-2.48
20-Sep-2022,166.95,167.00,163.55,164.76,"501,742",-0.96
19-Sep-2022,168.79,168.79,165.45,165.72,"318,979",-2.37
16-Sep-2022,168.00,169.00,166.30,168.09,"871,073",-0.53
15-Sep-2022,169.99,171.97,168.01,168.62,"1,031,569",-0.77
14-Sep-2022,168.75,169.65,168.50,169.39,"250,702",0.27
13-Sep-2022,169.40,170.25,169.00,169.12,"161,581",-0.19
12-Sep-2022,169.90,170.50,169.00,169.31,"174,474",-0.56
09-Sep-2022,171.45,171.70,169.56,169.87,"429,325",-1.01
08-Sep-2022,173.37,173.37,170.60,170.88,"806,576",-1.33
07-Sep-2022,171.75,173.10,171.35,172.21,"1,227,346",1.98
06-Sep-2022,166.00,170.50,165.00,170.23,"1,232,463",4.78
05-Sep-2022,168.56,168.56,165.10,165.45,"617,771",-3.08
02-Sep-2022,170.94,170.94,167.97,168.53,"393,425",-1.69
01-Sep-2022,170.80,171.90,170.10,170.22,"823,744",-0.09
31-Aug-2022,169.50,171.90,169.11,170.31,"855,002",1.00
30-Aug-2022,173.98,174.49,169.00,169.31,"1,173,481",-1.97
29-Aug-2022,172.03,172.03,168.11,171.28,"1,429,404",-1.47
26-Aug-2022,183.50,184.98,171.00,172.75,"5,340,387",-10.94
25-Aug-2022,186.00,186.75,183.11,183.69,"742,739",-2.22
24-Aug-2022,187.96,188.45,185.75,185.91,"835,222",-0.84
23-Aug-2022,186.00,188.40,185.75,186.75,"1,162,047",1.58
22-Aug-2022,187.00,187.00,184.50,185.17,"1,051,657",-2.28
19-Aug-2022,190.89,191.50,187.00,187.45,"888,910",-1.66
18-Aug-2022,189.00,191.60,188.51,189.11,"480,080",-0.71
17-Aug-2022,190.30,191.10,185.50,189.82,"471,734",-0.01
16-Aug-2022,193.30,194.40,188.50,189.83,"1,024,112",-2.95
15-Aug-2022,193.90,196.50,192.00,192.78,"2,151,190",-0.04
12-Aug-2022,191.99,193.39,190.40,192.82,"2,270,446",3.53
11-Aug-2022,187.50,190.50,186.00,189.29,"1,596,104",1.27
10-Aug-2022,189.80,192.00,187.02,188.02,"2,282,505",0.91
05-Aug-2022,182.00,187.80,181.10,187.11,"3,032,305",6.38
04-Aug-2022,178.99,183.25,178.40,180.73,"2,907,887",4.10
03-Aug-2022,172.75,178.00,172.75,176.63,"1,609,294",4.59
02-Aug-2022,171.25,173.40,169.20,172.04,"593,796",-0.76
01-Aug-2022,174.00,175.49,172.11,172.80,"1,003,391",0.36
29-Jul-2022,173.50,175.75,171.80,172.44,"945,509",-1.19
28-Jul-2022,172.25,175.00,171.00,173.63,"567,548",2.45
27-Jul-2022,171.84,173.45,169.00,171.18,"817,983",-0.91
26-Jul-2022,168.89,173.50,167.55,172.09,"635,020",3.10
25-Jul-2022,167.95,169.20,166.70,168.99,"228,660",-0.94
22-Jul-2022,171.95,171.99,167.10,169.93,"964,305",0.14
21-Jul-2022,174.50,174.50,169.25,169.79,"530,416",-4.13
20-Jul-2022,172.00,175.00,171.79,173.92,"1,457,919",2.13
19-Jul-2022,178.00,179.27,168.00,171.79,"1,812,711",-6.04
18-Jul-2022,179.00,181.50,177.10,177.83,"1,054,104",-4.44
15-Jul-2022,178.00,184.49,176.64,182.27,"3,325,147",4.25
14-Jul-2022,180.50,181.05,177.50,178.02,"1,196,142",2.41
13-Jul-2022,171.91,178.00,171.50,175.61,"1,392,392",3.26
07-Jul-2022,170.00,173.56,168.16,172.35,"827,919",3.00
06-Jul-2022,169.55,170.45,169.16,169.35,"201,924",-0.03
05-Jul-2022,170.50,170.65,169.12,169.38,"221,226",-0.98
04-Jul-2022,172.12,172.35,169.76,170.36,"275,999",-2.06
01-Jul-2022,172.00,174.75,171.84,172.42,"726,129",0.58
30-Jun-2022,172.00,172.80,170.51,171.84,"1,121,110",0.45
29-Jun-2022,172.05,173.49,171.00,171.39,"1,289,624",0.35
28-Jun-2022,175.49,175.49,169.50,171.04,"3,859,720",-2.79
27-Jun-2022,169.49,174.50,168.04,173.83,"1,311,156",5.79
24-Jun-2022,174.90,175.30,162.50,168.04,"2,499,073",-6.89
23-Jun-2022,172.99,176.90,172.70,174.93,"2,754,110",3.11
22-Jun-2022,174.01,174.64,170.83,171.82,"668,478",-1.11
21-Jun-2022,171.33,174.15,168.49,172.93,"1,601,641",1.61
20-Jun-2022,173.79,174.95,169.50,171.32,"1,680,074",-1.60
17-Jun-2022,169.00,175.06,167.00,172.92,"2,473,541",4.07
16-Jun-2022,165.10,169.31,163.70,168.85,"2,318,537",5.00
15-Jun-2022,163.00,165.50,162.50,163.85,"836,831",1.43
14-Jun-2022,160.99,163.48,159.11,162.42,"441,527",1.71
13-Jun-2022,162.51,163.25,158.75,160.71,"681,047",-2.83
10-Jun-2022,161.99,164.60,161.30,163.54,"442,794",1.89
08-Jun-2022,158.54,160.00,157.80,159.73,"302,338",1.08
07-Jun-2022,159.49,160.09,158.16,158.65,"416,370",-0.24
06-Jun-2022,155.50,159.49,155.00,158.89,"873,214",3.26
03-Jun-2022,163.30,164.60,154.00,155.63,"1,787,997",-6.21
02-Jun-2022,161.85,162.00,158.50,161.84,"562,973",-0.02
01-Jun-2022,164.50,164.55,161.55,161.86,"307,252",-2.82
31-May-2022,163.75,165.00,162.51,164.68,"680,641",0.93
30-May-2022,161.50,165.20,161.02,163.75,"943,625",2.19
27-May-2022,165.00,168.60,159.50,161.56,"3,244,966",0.98
26-May-2022,157.00,161.00,156.40,160.58,"1,355,475",3.27
25-May-2022,157.99,158.00,155.60,157.31,"862,618",0.13
24-May-2022,158.50,160.30,157.00,157.18,"523,185",-1.10
23-May-2022,161.29,161.29,157.00,158.28,"673,628",-3.23
20-May-2022,160.40,163.00,160.35,161.51,"904,374",0.89
19-May-2022,161.85,162.00,160.01,160.62,"561,245",-0.69
18-May-2022,160.50,162.10,158.00,161.31,"529,113",1.45
17-May-2022,160.36,162.50,159.02,159.86,"479,913",1.20
16-May-2022,161.01,161.50,157.10,158.66,"806,953",-5.53
13-May-2022,163.50,165.50,162.01,164.19,"640,245",1.26
12-May-2022,160.00,164.00,158.05,162.93,"1,116,794",3.32
11-May-2022,163.00,163.50,155.25,159.61,"800,012",-3.40
10-May-2022,160.08,163.99,160.08,163.01,"906,643",1.88
09-May-2022,169.80,169.80,159.50,161.13,"856,471",-8.51
06-May-2022,170.00,172.90,169.05,169.64,"1,183,234",0.05
28-Apr-2022,168.00,172.90,165.01,169.59,"3,042,107",1.88
27-Apr-2022,168.00,169.00,167.00,167.71,"432,743",-0.27
26-Apr-2022,170.91,170.91,167.70,167.98,"481,493",-2.96
25-Apr-2022,170.50,173.10,170.50,170.94,"1,883,598",3.78
22-Apr-2022,167.00,168.00,165.80,167.16,"358,153",1.67
21-Apr-2022,166.05,168.00,165.00,165.49,"271,186",-1.47
20-Apr-2022,170.50,172.50,166.22,166.96,"492,050",-2.45
19-Apr-2022,171.50,171.50,169.02,169.41,"851,716",-1.86
18-Apr-2022,168.50,174.50,167.70,171.27,"2,852,787",0.22
15-Apr-2022,171.99,172.50,169.10,171.05,"1,473,850",1.67
