date,open,high,low,close,volume,change
02-Nov-2022,6.86,7.10,6.86,6.98,"2,104,000",0.09
01-Nov-2022,6.80,6.94,6.79,6.89,"270,500",0.15
31-Oct-2022,6.73,6.80,6.70,6.74,"211,000",0.10
28-Oct-2022,6.76,6.95,6.60,6.64,"1,039,000",-0.19
27-Oct-2022,6.90,6.97,6.80,6.83,"736,500",0.02
26-Oct-2022,6.96,7.00,6.75,6.81,"996,500",-0.20
25-Oct-2022,6.94,7.37,6.81,7.01,"6,574,500",0.18
24-Oct-2022,7.10,7.10,6.81,6.83,"573,000",-0.05
21-Oct-2022,6.85,7.20,6.80,6.88,"1,132,500",0.07
20-Oct-2022,6.85,6.99,6.80,6.81,"644,500",-0.07
19-Oct-2022,6.89,6.93,6.84,6.88,"355,500",0.07
18-Oct-2022,6.98,6.98,6.79,6.81,"153,500",-0.02
17-Oct-2022,6.86,6.91,6.81,6.83,"139,000",-0.08
14-Oct-2022,7.01,7.05,6.87,6.91,"627,500",-0.06
13-Oct-2022,7.00,7.22,6.87,6.97,"1,381,000",0.02
12-Oct-2022,7.00,7.07,6.94,6.95,"567,500",-0.03
11-Oct-2022,7.09,7.09,6.97,6.98,"188,500",-0.05
10-Oct-2022,7.02,7.12,6.98,7.03,"314,000",0.02
07-Oct-2022,7.10,7.20,7.00,7.01,"550,500",-0.13
06-Oct-2022,7.28,7.28,7.07,7.14,"625,000",0.03
05-Oct-2022,6.98,7.28,6.95,7.11,"1,565,500",0.18
04-Oct-2022,6.90,7.00,6.89,6.93,"544,000",0.14
03-Oct-2022,6.89,6.89,6.77,6.79,"53,500",0.00
30-Sep-2022,6.84,6.85,6.76,6.79,"4,090,000",-0.06
29-Sep-2022,6.95,6.95,6.77,6.85,"450,000",-0.08
28-Sep-2022,6.92,7.08,6.90,6.93,"154,000",0.00
27-Sep-2022,6.90,6.98,6.83,6.93,"96,500",0.08
26-Sep-2022,6.84,6.90,6.72,6.85,"217,500",0.10
23-Sep-2022,6.73,6.94,6.70,6.75,"1,428,500",0.01
22-Sep-2022,6.79,6.80,6.65,6.74,"120,500",-0.05
21-Sep-2022,6.84,6.89,6.72,6.79,"195,500",-0.05
20-Sep-2022,6.96,6.96,6.81,6.84,"180,500",-0.05
