date,open,high,low,close,volume,change
26-Oct-2022,"11,390.00","11,480.00","11,390.00","11,480.00",40,800.00
21-Oct-2022,"10,680.00","10,680.00","10,680.00","10,680.00",20,680.00
20-Oct-2022,"10,000.00","10,000.00","10,000.00","10,000.00",20,-799.33
19-Oct-2022,"11,800.00","11,800.00","10,200.00","10,799.33",80,-200.67
17-Oct-2022,"11,000.00","11,000.00","11,000.00","11,000.00",40,700.00
14-Oct-2022,0.00,0.00,0.00,"10,300.00",0,-40.00
11-Oct-2022,"10,999.00","10,999.00","10,340.00","10,340.00",40,-50.00
10-Oct-2022,"9,600.00","10,390.00","9,600.00","10,390.00",260,40.00
06-Oct-2022,"10,350.00","10,350.00","10,350.00","10,350.00",140,0.00
05-Oct-2022,"9,800.00","10,350.00","9,800.00","10,350.00",60,550.00
04-Oct-2022,"9,750.00","9,800.00","9,750.00","9,800.00",60,0.00
29-Sep-2022,0.00,"9,800.00","9,800.00","9,800.00",20,0.00
27-Sep-2022,"9,800.00","9,800.00","9,800.00","9,800.00",40,66.00
23-Sep-2022,"8,410.00","9,734.00","8,410.00","9,734.00",60,679.00
22-Sep-2022,"9,055.00","9,055.00","9,055.00","9,055.00",40,-595.00
21-Sep-2022,"9,650.00","9,650.00","9,650.00","9,650.00",20,-100.00
16-Sep-2022,"9,750.00","9,750.00","9,750.00","9,750.00",20,-250.00
01-Sep-2022,"10,000.00","10,000.00","10,000.00","10,000.00",20,0.00
30-Aug-2022,"10,000.00","10,000.00","10,000.00","10,000.00",20,50.00
25-Aug-2022,0.00,"10,000.00","10,000.00","10,000.00",20,0.00
22-Aug-2022,"10,000.00","10,000.00","10,000.00","10,000.00",20,339.99
18-Aug-2022,"9,660.01","9,660.01","9,660.01","9,660.01",40,-539.99
17-Aug-2022,"10,300.00","10,300.00","10,200.00","10,200.00",60,-200.00
10-Aug-2022,"10,400.00","10,400.00","10,400.00","10,400.00",20,-683.33
03-Aug-2022,0.00,0.00,0.00,"11,083.33",0,-16.67
27-Jul-2022,"11,400.00","11,450.00","10,900.00","11,100.00",100,110.00
25-Jul-2022,"10,990.00","10,990.00","10,990.00","10,990.00",40,540.00
22-Jul-2022,"9,500.00","10,450.00","9,500.00","10,450.00",60,500.00
21-Jul-2022,"9,950.00","9,950.00","9,950.00","9,950.00",280,0.00
20-Jul-2022,"9,950.00","9,950.00","9,950.00","9,950.00",220,150.00
18-Jul-2022,"9,800.00","9,800.00","9,800.00","9,800.00",20,-150.00
21-Jun-2022,"9,900.00","9,950.00","9,900.00","9,950.00",40,-409.67
20-Jun-2022,"9,801.00","10,589.00","9,800.00","10,359.67",100,459.67
17-Jun-2022,"9,900.00","9,900.00","9,900.00","9,900.00",20,-595.00
16-Jun-2022,"10,500.00","10,500.00","10,490.00","10,495.00",40,695.00
14-Jun-2022,"9,800.00","9,800.00","9,800.00","9,800.00",20,-199.00
09-Jun-2022,"9,888.00","9,999.00","9,888.00","9,999.00",100,44.00
08-Jun-2022,"9,555.00","10,020.00","9,555.00","9,955.00",60,155.00
06-Jun-2022,"9,800.00","9,800.00","9,800.00","9,800.00",20,-155.00
03-Jun-2022,"9,500.00","9,990.00","9,500.00","9,955.00",80,-75.00
02-Jun-2022,0.00,"10,030.00","10,030.00","10,030.00","1,120",0.00
01-Jun-2022,"9,800.00","10,030.00","9,800.00","10,030.00",60,330.00
31-May-2022,"9,800.00","9,800.00","9,700.00","9,700.00",40,-100.00
30-May-2022,"9,800.00","9,800.00","9,800.00","9,800.00",20,-190.00
27-May-2022,"9,990.00","9,990.00","9,700.00","9,990.00",80,390.00
25-May-2022,"9,500.00","9,600.00","9,500.00","9,600.00",40,-200.00
24-May-2022,"9,800.00","9,800.00","9,800.00","9,800.00",20,-100.00
23-May-2022,"9,900.00","9,900.00","9,900.00","9,900.00",40,-90.00
20-May-2022,"9,990.00","9,990.00","9,990.00","9,990.00",20,-10.00
19-May-2022,"10,089.10","10,089.10","9,999.00","10,000.00",180,-89.07
16-May-2022,0.00,0.00,0.00,"10,089.07",0,-660.93
09-May-2022,"10,730.00","10,750.00","10,730.00","10,750.00",40,-850.00
28-Apr-2022,0.00,0.00,0.00,"11,600.00",0,-50.00
26-Apr-2022,0.00,0.00,0.00,"11,750.00",0,-50.00
22-Apr-2022,"11,800.00","11,800.00","11,800.00","11,800.00",20,350.00
18-Apr-2022,"11,350.00","11,500.00","11,350.00","11,450.00",60,100.00
11-Apr-2022,"11,500.00","11,500.00","11,500.00","11,500.00",40,100.00
06-Apr-2022,"11,400.00","11,400.00","11,400.00","11,400.00",20,-600.00
30-Mar-2022,"12,000.00","12,000.00","12,000.00","12,000.00",500,500.00
29-Mar-2022,"11,899.00","11,899.00","11,500.00","11,500.00",40,-490.00
28-Mar-2022,"11,990.00","11,990.00","11,990.00","11,990.00",20,357.00
25-Mar-2022,"11,690.00","11,999.00","11,000.00","11,633.00",80,-57.00
24-Mar-2022,"11,690.00","11,690.00","11,690.00","11,690.00",20,286.67
22-Mar-2022,"11,311.00","11,599.00","11,300.00","11,403.33",60,-296.67
17-Mar-2022,"12,199.00","12,249.00","11,700.00","11,700.00","3,200",300.00
16-Mar-2022,"12,499.00","12,499.00","11,400.00","11,400.00",100,-400.00
15-Mar-2022,"12,699.00","12,699.00","11,800.00","11,800.00",100,-61.00
09-Mar-2022,"12,249.00","12,249.00","11,861.00","11,861.00",40,-138.00
08-Mar-2022,"11,999.00","11,999.00","11,999.00","11,999.00",20,200.00
07-Mar-2022,"11,100.00","11,910.00","11,100.00","11,799.00","1,520",99.00
04-Mar-2022,"11,799.00","11,799.00","11,490.00","11,700.00",860,200.00
03-Mar-2022,"11,300.00","11,699.00","11,300.00","11,500.00",200,200.00
02-Mar-2022,"10,900.00","11,300.00","10,900.00","11,300.00",180,175.00
01-Mar-2022,"10,890.00","11,150.00","10,890.00","11,125.00",320,125.00
28-Feb-2022,"10,500.00","11,000.00","10,500.00","11,000.00",440,233.33
25-Feb-2022,"10,500.00","10,800.00","10,500.00","10,766.67",160,266.67
24-Feb-2022,"10,300.00","10,500.00","10,000.01","10,500.00",600,200.00
23-Feb-2022,"10,398.00","10,398.00","10,100.00","10,300.00",240,101.00
22-Feb-2022,"9,250.00","10,499.00","9,250.00","10,199.00",600,336.47
18-Feb-2022,"9,700.00","10,050.00","9,700.00","9,862.53",100,-37.47
16-Feb-2022,"10,000.01","10,000.01","9,900.00","9,900.00",60,-505.00
14-Feb-2022,"10,401.01","10,410.00","10,400.00","10,405.00",100,-495.00
11-Feb-2022,"10,200.01","10,900.00","10,200.00","10,900.00",300,300.00
10-Feb-2022,"10,100.00","10,900.00","10,100.00","10,600.00","1,900",200.00
09-Feb-2022,"9,750.00","10,400.00","9,750.00","10,400.00","6,100",650.00
31-Jan-2022,"9,750.00","9,750.00","9,750.00","9,750.00",20,150.00
26-Jan-2022,"9,500.00","9,600.00","9,500.00","9,600.00",60,-300.00
14-Jan-2022,"9,900.00","9,900.00","9,900.00","9,900.00",20,50.00
12-Jan-2022,"9,850.00","9,850.00","9,850.00","9,850.00",20,-50.00
07-Jan-2022,"9,900.00","9,900.00","9,900.00","9,900.00",40,599.00
05-Jan-2022,"9,301.00","9,301.00","9,301.00","9,301.00",20,20.00
04-Jan-2022,"9,300.00","9,300.00","9,281.00","9,281.00",40,-119.00
30-Dec-2021,"9,200.00","9,400.00","9,101.00","9,400.00",60,-100.00
28-Dec-2021,"9,500.00","9,500.00","9,500.00","9,500.00",20,0.00
16-Dec-2021,"9,500.00","9,500.00","9,500.00","9,500.00",20,-300.00
15-Dec-2021,"9,800.00","9,800.00","9,800.00","9,800.00",80,0.00
07-Dec-2021,"9,600.00","9,800.00","9,600.00","9,800.00",40,291.00
03-Dec-2021,"9,555.00","9,555.00","9,509.00","9,509.00",40,-266.00
02-Dec-2021,"9,750.00","9,800.00","9,750.00","9,775.00",40,-124.00
30-Nov-2021,"9,950.00","10,000.00","9,500.00","9,737.63",140,237.63
