date,open,high,low,close,volume,change
02-Nov-2022,"1,125.00","1,150.00","1,125.00","1,150.00",280,0.00
31-Oct-2022,"1,126.00","1,150.00","1,125.00","1,150.00",80,-19.98
28-Oct-2022,"1,169.90","1,170.00","1,169.90","1,169.98",120,40.61
27-Oct-2022,"1,100.00","1,187.00","1,100.00","1,129.37","2,380",24.68
26-Oct-2022,"1,018.00","1,130.00","1,018.00","1,104.69","1,340",4.38
25-Oct-2022,"1,060.00","1,109.99","1,060.00","1,100.31",660,0.31
24-Oct-2022,"1,176.00","1,176.00","1,099.99","1,100.00",580,5.70
20-Oct-2022,"1,098.99","1,100.00","1,050.00","1,094.30","2,860",-5.68
19-Oct-2022,"1,099.98","1,099.98","1,059.00","1,099.98",240,40.98
18-Oct-2022,"1,064.99","1,064.99","1,059.00","1,059.00",140,45.40
14-Oct-2022,"1,089.00","1,089.00","1,016.58","1,023.60",220,-75.40
13-Oct-2022,"1,099.99","1,099.99","1,098.00","1,099.00",40,35.00
11-Oct-2022,"1,064.99","1,064.99","1,063.00","1,064.00",40,59.00
10-Oct-2022,"1,005.00","1,005.00","1,005.00","1,005.00",20,0.00
07-Oct-2022,"1,010.00","1,010.10","1,000.00","1,005.00",80,-58.00
06-Oct-2022,"1,089.99","1,089.99","1,063.00","1,063.00",120,-86.00
04-Oct-2022,0.00,"1,149.00","1,149.00","1,149.00",20,0.00
03-Oct-2022,"1,149.00","1,149.00","1,149.00","1,149.00",40,49.00
27-Sep-2022,"1,100.00","1,100.00","1,100.00","1,100.00",100,-4.74
26-Sep-2022,"1,260.00","1,260.00","1,085.95","1,104.74",400,-69.26
23-Sep-2022,"1,150.00","1,174.00","1,150.00","1,174.00",120,74.00
22-Sep-2022,"1,040.10","1,178.90","1,040.10","1,100.00",160,2.97
21-Sep-2022,944.10,"1,097.03",944.10,"1,097.03","1,160",76.53
20-Sep-2022,"1,009.19","1,100.00","1,009.19","1,020.50",180,-70.51
19-Sep-2022,"1,100.00","1,100.00","1,082.01","1,091.01",160,-78.15
16-Sep-2022,"1,036.00","1,200.00","1,036.00","1,169.16","1,600",49.17
15-Sep-2022,"1,018.10","1,119.99","1,018.10","1,119.99",60,20.01
14-Sep-2022,"1,149.50","1,149.50","1,080.00","1,099.98",180,-7.51
13-Sep-2022,987.00,"1,129.98",987.00,"1,107.49",100,41.09
12-Sep-2022,"1,066.40","1,066.40","1,066.40","1,066.40","1,100",74.40
09-Sep-2022,992.00,992.00,992.00,992.00,40,-63.10
08-Sep-2022,"1,027.50","1,130.00","1,027.50","1,055.10",120,-55.40
07-Sep-2022,"1,110.50","1,110.50","1,110.50","1,110.50",40,-79.05
06-Sep-2022,"1,190.00","1,190.00","1,189.55","1,189.55",120,-96.45
05-Sep-2022,"1,334.00","1,334.00","1,190.00","1,286.00",80,29.71
02-Sep-2022,"1,298.00","1,337.83","1,200.00","1,256.29","1,320",11.79
01-Sep-2022,"1,244.50","1,244.50","1,244.50","1,244.50",40,84.51
31-Aug-2022,"1,159.99","1,159.99","1,159.99","1,159.99",40,73.16
30-Aug-2022,937.10,"1,086.83",937.10,"1,086.83",660,75.82
29-Aug-2022,"1,011.01","1,011.01","1,011.01","1,011.01",40,-80.98
26-Aug-2022,978.20,"1,133.98",978.20,"1,091.99",160,34.99
25-Aug-2022,"1,040.10","1,190.00","1,040.10","1,057.00",80,-64.33
24-Aug-2022,"1,051.00","1,121.33","1,051.00","1,121.33",20,0.00
23-Aug-2022,"1,163.68","1,163.68","1,101.00","1,121.33",180,38.83
22-Aug-2022,"1,082.50","1,082.50","1,082.50","1,082.50",200,75.50
19-Aug-2022,"1,007.00","1,007.00","1,007.00","1,007.00",40,-55.50
18-Aug-2022,"1,061.20","1,065.10","1,061.20","1,062.50",60,-74.22
15-Aug-2022,984.00,"1,142.66",984.00,"1,136.72",300,73.78
12-Aug-2022,931.50,"1,062.94",931.50,"1,062.94",80,74.16
11-Aug-2022,876.00,988.78,876.00,988.78,20,44.78
10-Aug-2022,944.00,944.00,944.00,944.00,40,-76.01
05-Aug-2022,"1,020.00","1,020.01","1,020.00","1,020.01",20,0.00
04-Aug-2022,"1,010.00","1,030.01","1,010.00","1,020.01",40,-44.49
03-Aug-2022,919.10,"1,064.99",919.10,"1,064.50",80,71.50
02-Aug-2022,993.00,993.00,993.00,993.00,40,-80.00
01-Aug-2022,"1,073.00","1,073.00","1,073.00","1,073.00",120,0.00
21-Jul-2022,"1,073.00","1,073.00","1,073.00","1,073.00",60,-86.90
19-Jul-2022,"1,159.00","1,159.90","1,159.00","1,159.90",60,0.00
18-Jul-2022,"1,073.00","1,159.90","1,073.00","1,159.90",20,0.00
14-Jul-2022,"1,169.90","1,169.90","1,159.90","1,159.90",20,0.00
13-Jul-2022,0.00,"1,159.90","1,159.90","1,159.90",60,0.00
06-Jul-2022,"1,090.49","1,159.90","1,090.49","1,159.90",600,-19.00
04-Jul-2022,"1,178.90","1,178.90","1,178.90","1,178.90",40,76.40
30-Jun-2022,"1,100.00","1,120.00","1,100.00","1,102.50","2,560",2.50
29-Jun-2022,"1,100.00","1,100.00","1,100.00","1,100.00",500,0.00
24-Jun-2022,"1,100.00","1,100.00","1,100.00","1,100.00","1,120",0.00
21-Jun-2022,"1,100.00","1,100.00","1,099.99","1,100.00",80,-39.99
20-Jun-2022,"1,100.00","1,139.99","1,100.00","1,139.99",640,19.73
17-Jun-2022,"1,130.00","1,130.00","1,120.00","1,120.26","1,540",13.88
16-Jun-2022,"1,100.00","1,149.00","1,063.75","1,106.38",660,-43.61
15-Jun-2022,"1,149.99","1,149.99","1,095.67","1,149.99","1,040",54.32
13-Jun-2022,"1,100.01","1,125.00","1,087.00","1,095.67","1,380",-78.83
09-Jun-2022,"1,150.00","1,174.50","1,150.00","1,174.50",20,0.00
06-Jun-2022,"1,110.11","1,199.00","1,106.00","1,174.50",220,-15.00
03-Jun-2022,"1,040.10","1,189.99","1,036.00","1,189.50",80,69.50
02-Jun-2022,"1,100.00","1,120.00","1,100.00","1,120.00",720,70.00
01-Jun-2022,"1,051.00","1,051.00","1,050.00","1,050.00",540,-24.25
27-May-2022,"1,074.00","1,074.50","1,074.00","1,074.25",40,74.24
26-May-2022,974.50,"1,000.01",974.50,"1,000.01",20,0.00
25-May-2022,"1,000.01","1,000.01","1,000.01","1,000.01",40,-38.69
24-May-2022,960.11,"1,078.00",960.11,"1,038.70",120,34.15
20-May-2022,"1,072.00","1,072.00","1,004.55","1,004.55",20,0.00
19-May-2022,"1,004.58","1,004.58","1,004.55","1,004.55",80,70.05
18-May-2022,934.50,934.50,934.50,934.50,40,-75.70
17-May-2022,"1,011.00","1,011.00","1,010.20","1,010.20",140,-81.80
16-May-2022,"1,092.00","1,092.00","1,092.00","1,092.00",40,-87.99
13-May-2022,"1,064.00","1,179.99","1,064.00","1,179.99",80,29.99
12-May-2022,"1,110.12","1,150.00","1,110.12","1,150.00",800,-50.12
09-May-2022,"1,185.00","1,200.12","1,185.00","1,200.12",20,0.00
28-Apr-2022,"1,180.00","1,230.00","1,180.00","1,200.12",340,15.12
27-Apr-2022,"1,149.99","1,190.00","1,149.99","1,185.00",220,45.15
25-Apr-2022,"1,139.80","1,139.90","1,139.80","1,139.85",40,69.85
20-Apr-2022,"1,176.13","1,176.13","1,035.00","1,070.00",120,-24.08
19-Apr-2022,"1,030.00","1,154.19","1,030.00","1,094.08",300,20.41
18-Apr-2022,"1,010.00","1,073.67","1,010.00","1,073.67",20,0.00
15-Apr-2022,"1,010.00","1,077.00","1,010.00","1,073.67",160,71.17
11-Apr-2022,"1,002.00","1,003.00","1,002.00","1,002.50",40,68.99
05-Apr-2022,980.00,980.00,933.51,933.51,20,0.00
04-Apr-2022,933.00,934.01,933.00,933.51,40,-75.01
