date,open,high,low,close,volume,change
02-Nov-2022,19.90,19.99,19.80,19.98,"17,500",-0.02
01-Nov-2022,20.00,20.00,19.75,20.00,"16,000",0.20
31-Oct-2022,20.00,20.00,19.80,19.80,"46,500",-0.20
28-Oct-2022,19.01,20.05,19.01,20.00,"21,000",0.50
27-Oct-2022,19.75,19.75,19.50,19.50,"19,500",0.30
26-Oct-2022,19.29,19.30,19.20,19.20,"119,500",-0.31
25-Oct-2022,19.77,19.77,19.50,19.51,"62,500",-0.34
24-Oct-2022,20.00,20.00,19.85,19.85,"24,500",0.04
21-Oct-2022,19.81,19.81,19.81,19.81,500,-0.19
20-Oct-2022,19.95,20.00,19.95,20.00,"1,000",0.10
19-Oct-2022,20.00,20.00,19.90,19.90,"55,000",-0.09
18-Oct-2022,20.00,20.00,19.91,19.99,"4,500",-0.01
17-Oct-2022,20.00,20.01,20.00,20.00,"47,000",-0.20
14-Oct-2022,19.95,20.20,19.95,20.20,"1,000",-0.06
13-Oct-2022,20.00,20.45,19.95,20.26,"35,500",0.36
12-Oct-2022,19.99,20.25,19.90,19.90,"35,500",-0.03
11-Oct-2022,20.06,20.06,19.90,19.93,"38,500",-0.10
10-Oct-2022,20.20,20.20,20.01,20.03,"18,000",-0.24
07-Oct-2022,20.35,20.45,20.25,20.27,"15,500",-0.65
05-Oct-2022,20.31,21.00,20.31,20.92,"28,000",0.38
04-Oct-2022,20.99,20.99,20.51,20.54,"7,000",-0.45
03-Oct-2022,20.50,20.99,20.36,20.99,"11,500",0.02
30-Sep-2022,20.01,21.69,19.80,20.97,"169,000",0.56
29-Sep-2022,19.50,21.30,18.75,20.41,"146,000",0.53
28-Sep-2022,19.99,19.99,19.68,19.88,"12,000",0.17
27-Sep-2022,19.82,19.87,19.69,19.71,"49,000",-0.05
26-Sep-2022,19.99,20.20,19.26,19.76,"53,500",-0.23
23-Sep-2022,19.99,19.99,19.99,19.99,"1,000",0.06
22-Sep-2022,19.30,20.00,19.30,19.93,"64,500",0.59
21-Sep-2022,20.51,20.53,19.30,19.34,"443,500",-1.51
20-Sep-2022,21.79,21.79,20.70,20.85,"18,000",-0.14
19-Sep-2022,21.52,21.52,20.80,20.99,"27,500",-0.54
16-Sep-2022,21.07,22.25,21.07,21.53,"9,500",-0.86
15-Sep-2022,22.50,22.50,22.32,22.39,"10,000",-0.56
14-Sep-2022,22.00,23.25,22.00,22.95,"87,500",0.19
13-Sep-2022,22.50,23.24,21.80,22.76,"184,500",-0.07
12-Sep-2022,21.50,23.05,21.26,22.83,"6,331,500",1.38
09-Sep-2022,21.45,21.45,20.96,21.45,"2,000",0.49
08-Sep-2022,20.56,21.26,20.56,20.96,"2,000",0.16
07-Sep-2022,20.75,21.00,20.60,20.80,"68,500",0.16
06-Sep-2022,21.75,21.75,20.40,20.64,"95,000",-0.60
05-Sep-2022,22.81,22.81,22.41,22.74,"47,500",-0.17
02-Sep-2022,22.94,23.00,22.90,22.91,"17,000",-0.01
01-Sep-2022,23.00,23.03,22.90,22.92,"17,000",-0.07
31-Aug-2022,22.95,23.01,22.71,22.99,"24,000",0.43
30-Aug-2022,23.49,23.49,22.51,22.56,"44,500",-0.81
29-Aug-2022,23.24,23.50,22.50,23.37,"46,000",0.48
26-Aug-2022,21.48,22.89,21.48,22.89,"3,104,500",1.59
25-Aug-2022,21.02,21.39,20.50,21.30,"2,583,000",0.05
24-Aug-2022,21.73,21.75,21.25,21.25,"27,500",-0.25
23-Aug-2022,21.61,22.00,21.50,21.50,"71,000",-0.30
22-Aug-2022,21.72,21.99,21.50,21.80,"71,000",-0.07
19-Aug-2022,21.80,22.00,21.75,21.87,"63,500",-0.23
18-Aug-2022,22.00,22.45,22.00,22.10,"41,500",0.03
17-Aug-2022,22.00,22.58,21.95,22.07,"114,000",-0.72
16-Aug-2022,22.90,22.90,22.45,22.79,"12,000",0.08
15-Aug-2022,22.00,22.98,22.00,22.71,"37,500",0.40
12-Aug-2022,22.24,22.49,21.51,22.31,"49,000",0.46
11-Aug-2022,21.75,21.90,21.50,21.85,"39,500",0.01
10-Aug-2022,21.80,22.00,21.60,21.84,"129,000",0.33
05-Aug-2022,21.20,22.00,21.00,21.51,"186,500",0.34
04-Aug-2022,21.00,21.39,21.00,21.17,"21,000",0.00
03-Aug-2022,21.00,21.44,20.91,21.17,"16,000",0.11
02-Aug-2022,21.25,21.25,20.86,21.06,"4,000",-0.18
01-Aug-2022,21.25,21.25,21.01,21.24,"19,000",-0.55
29-Jul-2022,20.75,22.25,20.65,21.79,"15,000",0.54
28-Jul-2022,20.80,21.25,20.80,21.25,"12,000",0.35
27-Jul-2022,20.84,20.90,20.84,20.90,"2,000",0.05
26-Jul-2022,20.85,20.85,20.85,20.85,"1,000",0.75
25-Jul-2022,20.10,20.10,20.10,20.10,"1,500",-0.68
22-Jul-2022,20.01,20.99,20.01,20.78,"10,500",0.44
21-Jul-2022,20.01,20.55,19.80,20.34,"13,000",-0.36
20-Jul-2022,20.70,20.70,20.70,20.70,500,0.22
19-Jul-2022,20.50,20.50,19.96,20.48,"34,500",-0.02
18-Jul-2022,20.15,20.50,20.15,20.50,"7,000",-0.24
15-Jul-2022,20.40,20.80,20.30,20.74,"1,083,000",0.30
14-Jul-2022,20.20,20.48,20.02,20.44,"35,000",0.02
13-Jul-2022,20.50,20.50,20.20,20.42,"31,500",0.04
07-Jul-2022,20.20,20.50,20.20,20.38,"63,500",0.33
06-Jul-2022,19.94,20.10,19.94,20.05,"120,000",0.21
05-Jul-2022,19.42,19.85,19.40,19.84,"16,500",0.24
04-Jul-2022,19.25,19.98,19.25,19.60,"24,000",0.09
01-Jul-2022,19.28,19.60,19.28,19.51,"20,500",0.40
30-Jun-2022,19.32,19.40,19.00,19.11,"135,500",-0.47
29-Jun-2022,20.34,20.34,19.40,19.58,"102,500",-0.37
28-Jun-2022,20.65,20.90,19.90,19.95,"313,500",-0.27
27-Jun-2022,21.35,21.35,20.06,20.22,"295,500",-0.17
24-Jun-2022,21.45,21.75,20.27,20.39,"111,000",-1.20
23-Jun-2022,21.50,21.89,21.39,21.59,"64,500",0.59
22-Jun-2022,21.66,22.00,20.60,21.00,"73,500",-1.10
21-Jun-2022,21.51,22.48,21.50,22.10,"39,500",0.70
20-Jun-2022,21.63,21.75,21.03,21.40,"38,000",-0.25
17-Jun-2022,22.52,23.38,21.63,21.65,"771,500",-1.73
16-Jun-2022,24.00,24.00,23.38,23.38,"155,000",-1.89
15-Jun-2022,26.31,26.31,25.00,25.27,"11,000",-1.73
13-Jun-2022,27.00,27.00,27.00,27.00,"1,000",-1.70
10-Jun-2022,28.70,28.70,28.70,28.70,"2,000",1.70
09-Jun-2022,27.95,27.95,27.00,27.00,"4,000",0.17
08-Jun-2022,27.20,27.20,26.70,26.83,"28,000",-1.17
06-Jun-2022,28.03,28.84,28.00,28.00,"68,000",-2.27
03-Jun-2022,28.55,30.30,28.55,30.27,"25,000",-0.59
