date,open,high,low,close,volume,change
02-Nov-2022,75.55,75.83,72.50,74.73,"192,274",-0.84
01-Nov-2022,75.50,76.75,74.11,75.57,"486,838",1.10
31-Oct-2022,74.20,74.95,73.67,74.47,"161,806",-0.26
28-Oct-2022,77.00,77.95,74.40,74.73,"304,021",-3.49
27-Oct-2022,82.00,82.45,77.50,78.22,"483,594",-3.31
26-Oct-2022,83.53,83.53,80.05,81.53,"329,392",-2.31
25-Oct-2022,84.90,84.90,83.53,83.84,"142,939",-0.29
24-Oct-2022,85.40,85.40,84.00,84.13,"212,381",0.52
21-Oct-2022,83.76,84.80,82.50,83.61,"282,721",0.11
20-Oct-2022,83.90,85.00,83.18,83.50,"898,101",0.32
19-Oct-2022,103.51,104.30,103.05,103.98,"913,412",0.09
18-Oct-2022,103.97,104.50,103.61,103.89,"199,801",0.35
17-Oct-2022,103.10,103.89,103.00,103.54,"188,295",-0.11
14-Oct-2022,104.00,104.45,103.20,103.65,"411,053",-0.17
13-Oct-2022,104.00,104.38,103.50,103.82,"325,492",0.15
12-Oct-2022,103.77,104.68,103.50,103.67,"530,782",-0.10
11-Oct-2022,104.00,104.50,103.60,103.77,"294,921",0.05
10-Oct-2022,102.09,104.75,102.09,103.72,"252,098",0.92
07-Oct-2022,102.95,103.93,102.01,102.80,"354,724",-0.17
06-Oct-2022,101.72,103.35,101.72,102.97,"591,768",1.36
05-Oct-2022,102.58,102.89,101.50,101.61,"266,183",-0.53
04-Oct-2022,104.48,104.70,102.00,102.14,"627,802",-1.57
03-Oct-2022,101.06,105.97,99.90,103.71,"2,621,885",2.05
30-Sep-2022,101.70,103.50,100.20,101.66,"393,774",-0.44
29-Sep-2022,102.87,103.30,101.00,102.10,"267,667",-0.80
28-Sep-2022,102.50,104.95,101.00,102.90,"423,684",0.55
27-Sep-2022,101.00,103.69,100.61,102.35,"469,720",2.71
26-Sep-2022,98.99,100.25,98.25,99.64,"357,793",1.27
23-Sep-2022,99.70,99.80,98.15,98.37,"116,587",-0.45
22-Sep-2022,99.94,100.45,98.00,98.82,"313,909",0.04
21-Sep-2022,99.12,101.25,97.01,98.78,"284,084",-0.33
20-Sep-2022,100.19,100.50,98.89,99.11,"264,440",-0.58
19-Sep-2022,102.70,103.00,99.11,99.69,"394,134",-2.39
16-Sep-2022,103.50,104.20,101.90,102.08,"423,520",-1.34
15-Sep-2022,105.00,105.75,103.00,103.42,"289,160",-1.27
14-Sep-2022,105.70,105.70,104.40,104.69,"232,802",-1.02
13-Sep-2022,105.38,107.70,105.30,105.71,"447,219",0.31
12-Sep-2022,105.50,107.00,104.75,105.40,"333,234",0.68
09-Sep-2022,104.00,105.80,104.00,104.72,"164,906",0.10
08-Sep-2022,104.50,105.00,103.90,104.62,"87,552",0.50
07-Sep-2022,107.00,107.00,104.00,104.12,"124,458",-0.39
06-Sep-2022,104.50,105.25,104.01,104.51,"95,652",-0.35
05-Sep-2022,105.40,106.40,104.57,104.86,"137,861",-1.65
02-Sep-2022,107.10,107.60,106.10,106.51,"103,544",-0.48
01-Sep-2022,108.31,108.80,106.50,106.99,"257,794",-0.38
31-Aug-2022,105.00,109.99,104.70,107.37,"656,814",1.99
30-Aug-2022,108.00,108.50,105.01,105.38,"324,085",-0.97
29-Aug-2022,106.65,108.00,104.80,106.35,"491,356",-1.67
