date,open,high,low,close,volume,change
31-Oct-2022,"1,189.00","1,240.00","1,164.58","1,202.29",60,-56.71
28-Oct-2022,"1,259.00","1,259.00","1,259.00","1,259.00",20,81.46
27-Oct-2022,"1,026.01","1,192.00","1,026.01","1,177.54","1,860",68.69
26-Oct-2022,"1,004.00","1,135.00","1,004.00","1,108.85","1,320",24.45
25-Oct-2022,"1,010.00","1,089.79","1,010.00","1,084.40",660,52.48
24-Oct-2022,"1,018.00","1,090.00",966.00,"1,031.92",740,13.92
21-Oct-2022,"1,018.00","1,018.00","1,018.00","1,018.00",40,-82.00
20-Oct-2022,"1,001.00","1,155.00","1,001.00","1,100.00",140,24.99
19-Oct-2022,"1,075.01","1,075.01","1,075.01","1,075.01",60,-83.35
18-Oct-2022,"1,155.68","1,195.00","1,155.68","1,158.36","1,380",-91.02
17-Oct-2022,0.00,0.00,0.00,"1,259.38",0,-76.52
14-Oct-2022,"1,335.90","1,335.90","1,335.90","1,335.90",20,92.18
12-Oct-2022,0.00,0.00,0.00,"1,243.72",0,-11.87
11-Oct-2022,0.00,0.00,0.00,"1,255.58",0,-11.39
07-Oct-2022,0.00,0.00,0.00,"1,266.98",0,-17.03
06-Oct-2022,0.00,0.00,0.00,"1,284.00",0,-5.00
04-Oct-2022,"1,141.00","1,289.00","1,141.00","1,289.00",140,56.00
03-Oct-2022,"1,233.00","1,233.00","1,233.00","1,233.00",40,84.01
29-Sep-2022,"1,079.00","1,148.99","1,078.53","1,148.99",140,-16.98
28-Sep-2022,"1,349.00","1,349.00","1,165.97","1,165.97",260,-94.53
27-Sep-2022,"1,418.00","1,418.00","1,221.00","1,260.50",80,-59.50
23-Sep-2022,"1,320.00","1,320.00","1,320.00","1,320.00",40,91.50
22-Sep-2022,"1,229.00","1,229.00","1,228.00","1,228.50",80,71.93
21-Sep-2022,996.01,"1,156.57",996.01,"1,156.57",520,80.69
20-Sep-2022,926.10,"1,075.88",926.10,"1,075.88",440,75.06
19-Sep-2022,"1,000.82","1,000.82","1,000.82","1,000.82",140,69.82
16-Sep-2022,931.00,931.00,931.00,931.00,40,-70.00
15-Sep-2022,"1,001.00","1,001.00","1,001.00","1,001.00",40,-78.00
14-Sep-2022,"1,079.00","1,079.00","1,079.00","1,079.00",40,-87.00
13-Sep-2022,"1,166.00","1,166.00","1,166.00","1,166.00",40,-94.00
12-Sep-2022,"1,260.00","1,260.00","1,260.00","1,260.00",40,16.69
02-Sep-2022,"1,239.00","1,260.00","1,239.00","1,243.31","4,520",36.62
22-Aug-2022,"1,198.00","1,212.06","1,198.00","1,206.69","1,260",79.19
19-Aug-2022,"1,042.94","1,127.50","1,042.94","1,127.50",20,0.00
18-Aug-2022,"1,055.00","1,199.99","1,055.00","1,127.50",120,-0.30
12-Aug-2022,975.10,"1,131.97",975.10,"1,127.80",940,74.80
11-Aug-2022,986.00,"1,120.00",986.00,"1,053.00",40,-12.00
28-Jul-2022,"1,135.00","1,135.00","1,000.00","1,065.00",140,-10.00
21-Jul-2022,995.00,"1,075.00",995.00,"1,075.00",20,0.00
14-Jul-2022,"1,075.00","1,075.00","1,075.00","1,075.00",20,0.00
30-Jun-2022,"1,075.00","1,075.00","1,075.00","1,075.00",700,75.00
24-Jun-2022,"1,000.00","1,000.00","1,000.00","1,000.00",50,-27.02
23-Jun-2022,"1,027.02","1,027.02","1,027.02","1,027.02",50,-83.08
22-Jun-2022,"1,110.10","1,110.10","1,110.10","1,110.10",50,-88.90
21-Jun-2022,0.00,0.00,0.00,"1,199.00",0,-35.00
17-Jun-2022,"1,200.00","1,268.00","1,200.00","1,234.00",100,54.10
15-Jun-2022,"1,179.90","1,179.90","1,179.90","1,179.90",50,79.90
14-Jun-2022,0.00,"1,100.00","1,100.00","1,100.00","6,000",0.00
13-Jun-2022,"1,120.00","1,120.00","1,100.00","1,100.00",600,-50.00
09-Jun-2022,"1,150.00","1,150.00","1,150.00","1,150.00",50,50.00
08-Jun-2022,"1,100.00","1,100.00","1,100.00","1,100.00",150,-49.00
06-Jun-2022,"1,149.00","1,149.00","1,149.00","1,149.00",350,50.58
03-Jun-2022,"1,150.00","1,180.00","1,050.00","1,098.42","2,100",-36.58
02-Jun-2022,"1,100.00","1,179.21","1,020.11","1,135.00","2,050",35.01
01-Jun-2022,"1,030.10","1,099.99","1,030.00","1,099.99",250,-0.01
31-May-2022,"1,100.00","1,115.00","1,100.00","1,100.00","2,000",-15.00
30-May-2022,998.88,"1,115.00",998.88,"1,115.00","3,850",35.14
27-May-2022,"1,000.10","1,086.00","1,000.10","1,079.86",700,68.85
25-May-2022,"1,011.01","1,011.01","1,011.01","1,011.01",50,-81.78
20-May-2022,960.11,"1,099.72",960.11,"1,092.79","3,650",69.79
19-May-2022,"1,020.00","1,023.00","1,020.00","1,023.00",800,70.99
18-May-2022,952.01,952.01,952.01,952.01,50,-76.99
17-May-2022,893.00,"1,029.00",893.00,"1,029.00",150,64.11
16-May-2022,844.01,980.00,844.01,964.89,450,52.89
13-May-2022,805.01,912.00,805.01,912.00,300,61.99
12-May-2022,831.01,900.00,831.01,850.01,300,-15.99
11-May-2022,866.00,866.00,866.00,866.00,50,-41.00
10-May-2022,907.00,907.00,907.00,907.00,50,-73.10
09-May-2022,980.10,980.10,980.10,980.10,50,-79.40
28-Apr-2022,"1,059.00","1,060.00","1,059.00","1,059.50",100,65.90
26-Apr-2022,925.20,"1,062.00",925.20,993.60,100,-0.14
25-Apr-2022,989.00,"1,009.42",976.00,993.74,550,54.74
22-Apr-2022,939.00,939.00,939.00,939.00,50,-76.00
20-Apr-2022,900.01,"1,015.00",900.01,"1,015.00",550,47.00
19-Apr-2022,834.10,968.00,834.10,968.00,200,67.00
18-Apr-2022,888.00,"1,000.00",888.00,901.00,200,-58.78
15-Apr-2022,960.99,961.05,940.00,959.78,"8,050",65.78
14-Apr-2022,0.00,894.00,894.00,894.00,"2,000",0.00
13-Apr-2022,950.00,950.00,894.00,894.00,"2,100",10.01
12-Apr-2022,883.99,883.99,883.99,883.99,"2,750",61.35
11-Apr-2022,822.64,822.64,822.64,822.64,500,57.39
08-Apr-2022,765.25,765.25,765.25,765.25,50,-60.35
06-Apr-2022,825.60,825.60,825.60,825.60,500,57.60
05-Apr-2022,768.00,768.00,768.00,768.00,50,-62.00
04-Apr-2022,830.00,830.00,830.00,830.00,50,-66.79
01-Apr-2022,787.00,913.75,787.00,896.79,"1,150",46.79
31-Mar-2022,964.00,964.00,850.00,850.00,"1,000",-48.99
30-Mar-2022,898.99,898.99,898.99,898.99,"1,750",48.99
29-Mar-2022,924.99,924.99,830.01,850.00,"2,850",-11.66
28-Mar-2022,829.10,884.99,829.10,861.66,300,-34.66
25-Mar-2022,995.00,995.00,896.32,896.32,700,-72.67
22-Mar-2022,979.90,979.90,968.99,968.99,100,46.09
21-Mar-2022,922.90,922.90,922.90,922.90,50,63.91
18-Mar-2022,859.99,859.99,858.99,858.99,100,58.74
17-Mar-2022,798.99,806.00,790.00,800.25,850,50.48
16-Mar-2022,0.00,0.00,0.00,749.77,0,29.77
14-Mar-2022,720.00,720.00,720.00,720.00,50,-57.01
11-Mar-2022,777.01,777.01,777.01,777.01,50,-62.99
09-Mar-2022,840.00,880.01,840.00,840.00,"4,050",-40.01
07-Mar-2022,825.00,825.00,823.25,823.25,"1,950",-66.75
21-Feb-2022,962.12,962.12,889.97,890.00,450,-72.12
18-Feb-2022,962.12,962.12,962.12,962.12,"1,000",67.12
14-Feb-2022,984.90,984.90,895.00,895.00,"2,800",-25.38
11-Feb-2022,"1,069.62","1,069.62",920.38,920.38,150,-74.62
09-Feb-2022,999.99,999.99,900.00,995.00,200,40.00
08-Feb-2022,955.00,955.00,955.00,955.00,100,34.86
