date,open,high,low,close,volume,change
02-Nov-2022,131.75,133.89,130.50,131.03,"670,200",-1.63
01-Nov-2022,131.00,133.40,130.75,132.66,"721,700",2.37
31-Oct-2022,129.50,130.90,129.31,130.29,"80,200",0.42
28-Oct-2022,132.98,132.98,129.35,129.87,"316,400",-1.19
27-Oct-2022,133.50,135.50,132.60,134.06,"465,500",0.17
26-Oct-2022,133.25,136.00,131.99,133.89,"1,701,700",-0.15
25-Oct-2022,132.00,135.50,131.52,134.04,"1,170,800",2.56
24-Oct-2022,132.05,134.12,130.01,131.48,"568,300",1.04
21-Oct-2022,131.81,131.81,128.50,130.44,"478,000",-0.16
20-Oct-2022,127.12,132.40,127.05,130.60,"1,163,200",1.14
19-Oct-2022,134.21,135.19,125.55,129.46,"1,310,300",-4.75
18-Oct-2022,134.00,135.60,131.25,134.21,"1,138,900",0.71
17-Oct-2022,135.75,136.00,133.00,133.50,"540,200",-2.19
14-Oct-2022,136.99,138.50,135.05,135.69,"689,200",-0.74
13-Oct-2022,138.50,138.89,135.50,136.43,"692,500",-1.16
12-Oct-2022,134.40,139.71,133.75,137.59,"2,301,100",3.90
11-Oct-2022,132.50,135.85,131.50,133.69,"1,151,500",1.38
10-Oct-2022,130.99,134.00,130.50,132.31,"1,195,900",2.34
07-Oct-2022,127.99,132.69,127.50,129.97,"690,300",1.73
06-Oct-2022,124.50,131.70,124.50,128.24,"2,003,700",4.23
05-Oct-2022,124.50,125.10,123.52,124.01,"884,000",-0.26
04-Oct-2022,125.00,127.55,124.00,124.27,"173,500",-0.84
03-Oct-2022,125.50,127.37,124.51,125.11,"110,100",-0.72
30-Sep-2022,126.49,128.00,125.40,125.83,"149,700",-1.12
29-Sep-2022,124.00,129.38,124.00,126.95,"520,900",2.61
28-Sep-2022,125.30,126.39,124.00,124.34,"51,000",-0.55
27-Sep-2022,126.89,126.89,124.01,124.89,"84,700",-1.13
26-Sep-2022,121.99,126.50,121.99,126.02,"192,100",4.21
23-Sep-2022,124.00,125.00,121.30,121.81,"67,100",-1.92
22-Sep-2022,123.26,124.00,120.00,123.73,"330,000",-0.43
21-Sep-2022,126.98,127.25,123.00,124.16,"266,800",-1.85
20-Sep-2022,124.55,126.95,123.50,126.01,"304,100",0.58
19-Sep-2022,127.08,127.95,124.75,125.43,"138,200",-1.85
16-Sep-2022,129.00,129.00,127.01,127.28,"157,700",-1.19
15-Sep-2022,130.10,130.97,127.33,128.47,"308,000",-1.24
14-Sep-2022,130.00,130.99,129.00,129.71,"240,200",-0.64
13-Sep-2022,130.00,132.28,130.00,130.35,"487,800",0.49
12-Sep-2022,129.10,132.10,129.01,129.86,"620,800",0.75
09-Sep-2022,128.70,130.67,127.52,129.11,"556,900",1.06
08-Sep-2022,130.00,132.55,127.20,128.05,"1,543,300",-1.37
07-Sep-2022,126.00,130.00,126.00,129.42,"1,410,300",3.96
06-Sep-2022,125.00,126.00,124.00,125.46,"530,800",0.33
05-Sep-2022,128.00,128.90,124.88,125.13,"187,500",-2.86
02-Sep-2022,130.50,130.79,127.50,127.99,"455,700",-1.42
01-Sep-2022,129.50,132.50,128.70,129.41,"835,800",0.57
31-Aug-2022,123.99,132.70,123.99,128.84,"2,610,200",5.09
30-Aug-2022,123.98,126.99,122.00,123.75,"1,329,800",1.64
29-Aug-2022,121.01,122.99,119.51,122.11,"621,700",0.24
26-Aug-2022,122.85,122.85,120.20,121.87,"279,400",-0.19
25-Aug-2022,121.00,123.85,119.49,122.06,"863,800",1.46
24-Aug-2022,119.00,120.94,119.00,120.60,"185,700",2.01
23-Aug-2022,119.08,120.00,118.01,118.59,"102,400",-0.25
22-Aug-2022,120.50,120.50,118.00,118.84,"90,700",-0.90
19-Aug-2022,119.67,120.35,119.00,119.74,"106,000",-0.41
18-Aug-2022,122.25,122.25,120.00,120.15,"331,400",-3.11
17-Aug-2022,125.90,128.30,120.50,123.26,"1,067,000",-0.86
16-Aug-2022,127.00,127.49,123.30,124.12,"564,500",-0.92
15-Aug-2022,123.50,130.75,122.00,125.04,"1,683,000",3.12
12-Aug-2022,121.01,123.45,121.00,121.92,"211,000",1.25
11-Aug-2022,121.15,121.75,120.00,120.67,"57,700",-0.84
10-Aug-2022,123.99,124.10,121.11,121.51,"221,200",-1.37
05-Aug-2022,122.00,123.99,121.00,122.88,"355,100",0.62
04-Aug-2022,124.03,126.00,121.50,122.26,"330,000",-1.67
03-Aug-2022,119.99,125.00,119.15,123.93,"302,700",4.93
02-Aug-2022,116.51,119.95,116.51,119.00,"133,600",0.72
01-Aug-2022,118.26,119.21,118.00,118.28,"27,000",-0.63
29-Jul-2022,119.99,120.50,118.50,118.91,"53,700",0.10
28-Jul-2022,120.00,121.10,118.25,118.81,"112,900",-0.94
27-Jul-2022,120.80,121.05,118.50,119.75,"138,000",-0.69
26-Jul-2022,120.00,121.25,119.60,120.44,"38,700",-0.57
25-Jul-2022,121.00,122.50,120.00,121.01,"23,000",0.14
22-Jul-2022,119.01,122.00,119.01,120.87,"143,200",1.14
