date,open,high,low,close,volume,change
01-Nov-2022,444.00,453.49,444.00,451.32,"502,362",7.60
31-Oct-2022,439.98,444.66,436.60,443.72,"204,343",6.76
28-Oct-2022,436.00,445.96,430.49,436.96,"550,309",1.25
27-Oct-2022,435.00,439.00,429.10,435.71,"366,111",2.31
26-Oct-2022,428.90,441.40,427.10,433.40,"577,670",2.43
25-Oct-2022,433.00,433.00,428.01,430.97,"139,459",-2.64
24-Oct-2022,436.00,438.50,430.13,433.61,"163,173",1.84
21-Oct-2022,431.00,434.70,422.00,431.77,"256,394",0.95
20-Oct-2022,441.25,446.80,428.98,430.82,"792,299",-10.50
19-Oct-2022,443.00,444.84,436.10,441.32,"125,664",-0.83
18-Oct-2022,444.44,453.60,441.01,442.15,"855,362",0.27
17-Oct-2022,435.00,445.49,428.00,441.88,"772,974",5.77
14-Oct-2022,445.14,446.00,435.00,436.11,"522,155",-9.03
13-Oct-2022,425.60,449.40,425.60,445.14,"1,616,089",19.93
12-Oct-2022,422.50,433.90,420.00,425.21,"594,110",0.99
11-Oct-2022,423.00,428.40,415.50,424.22,"477,885",4.55
10-Oct-2022,418.00,430.98,418.00,419.67,"635,317",2.53
07-Oct-2022,415.01,440.00,413.10,417.14,"2,864,302",2.23
06-Oct-2022,390.00,415.05,389.99,414.91,"2,152,693",28.81
05-Oct-2022,384.02,388.60,382.50,386.10,"140,313",-0.26
04-Oct-2022,381.26,387.50,381.26,386.36,"184,475",5.48
03-Oct-2022,378.00,385.00,376.10,380.88,"167,721",3.40
30-Sep-2022,371.00,379.00,371.00,377.48,"135,527",3.96
29-Sep-2022,379.00,379.50,370.00,373.52,"229,346",-5.41
28-Sep-2022,386.79,387.00,376.76,378.93,"274,450",-7.09
27-Sep-2022,387.00,389.00,384.02,386.02,"172,560",0.09
26-Sep-2022,380.21,386.50,380.21,385.93,"132,989",1.93
23-Sep-2022,388.90,390.90,381.00,384.00,"163,295",-2.72
22-Sep-2022,382.98,389.00,375.00,386.72,"293,063",3.97
21-Sep-2022,388.00,388.00,381.31,382.75,"99,224",-4.38
20-Sep-2022,392.39,392.39,384.01,387.13,"148,858",-3.02
19-Sep-2022,391.00,394.89,390.00,390.15,"228,286",-0.65
16-Sep-2022,393.50,400.00,389.62,390.80,"337,135",-1.04
15-Sep-2022,392.90,397.35,387.90,391.84,"553,926",1.00
14-Sep-2022,388.75,394.00,387.14,390.84,"389,951",1.71
13-Sep-2022,393.10,395.50,388.00,389.13,"156,135",-5.55
12-Sep-2022,394.90,399.00,393.51,394.68,"138,813",0.48
09-Sep-2022,395.89,397.00,392.00,394.20,"171,098",0.69
08-Sep-2022,394.51,396.50,391.98,393.51,"104,166",-0.40
07-Sep-2022,397.00,399.00,393.00,393.91,"92,284",-2.56
06-Sep-2022,393.89,398.20,388.88,396.47,"245,854",4.36
05-Sep-2022,401.50,402.99,391.12,392.11,"358,516",-9.05
02-Sep-2022,401.93,406.50,400.15,401.16,"470,991",-0.86
01-Sep-2022,399.17,408.80,398.00,402.02,"1,441,556",4.31
31-Aug-2022,392.05,403.00,391.00,397.71,"977,109",3.56
30-Aug-2022,400.00,401.00,391.00,394.15,"971,956",3.72
29-Aug-2022,382.25,394.78,372.00,390.43,"846,475",7.05
26-Aug-2022,389.00,397.90,382.30,383.38,"975,320",-5.69
25-Aug-2022,391.99,393.55,388.00,389.07,"559,118",-2.05
24-Aug-2022,388.00,397.50,382.10,391.12,"1,294,439",10.94
23-Aug-2022,377.00,381.25,372.50,380.18,"701,458",9.62
22-Aug-2022,370.05,374.80,368.00,370.56,"198,859",-4.50
19-Aug-2022,372.00,377.90,368.60,375.06,"229,623",3.27
18-Aug-2022,386.00,387.90,370.00,371.79,"589,751",-11.03
17-Aug-2022,359.00,388.54,359.00,382.82,"770,292",21.38
16-Aug-2022,366.10,368.00,361.00,361.44,"225,265",-4.25
15-Aug-2022,364.00,368.00,360.00,365.69,"561,989",5.03
12-Aug-2022,359.70,364.00,356.50,360.66,"107,832",2.21
11-Aug-2022,366.40,366.40,358.00,358.45,"454,114",-5.67
10-Aug-2022,360.00,368.20,360.00,364.12,"541,466",4.18
05-Aug-2022,360.00,361.01,351.00,359.94,"192,361",0.16
04-Aug-2022,364.99,364.99,358.50,359.78,"221,466",-1.88
03-Aug-2022,357.20,363.99,357.20,361.66,"438,309",4.74
02-Aug-2022,351.00,360.50,351.00,356.92,"248,189",2.20
01-Aug-2022,347.64,360.40,347.64,354.72,"516,470",7.08
29-Jul-2022,350.00,353.99,344.02,347.64,"417,937",-1.74
28-Jul-2022,342.00,365.50,342.00,349.38,"898,903",7.65
27-Jul-2022,336.02,343.48,335.00,341.73,"155,461",5.75
26-Jul-2022,337.72,341.97,335.00,335.98,"155,366",0.43
25-Jul-2022,340.90,340.99,333.00,335.55,"133,115",-5.44
22-Jul-2022,339.99,344.00,330.54,340.99,"355,699",9.12
21-Jul-2022,340.95,341.45,330.04,331.87,"322,693",-6.32
20-Jul-2022,339.00,340.00,335.00,338.19,"155,069",-0.74
19-Jul-2022,341.00,346.50,337.28,338.93,"263,487",-1.73
18-Jul-2022,342.99,344.40,338.00,340.66,"255,219",-7.35
15-Jul-2022,350.00,356.90,346.60,348.01,"475,765",1.63
14-Jul-2022,338.00,349.95,338.00,346.38,"523,692",8.84
13-Jul-2022,331.16,339.90,329.25,337.54,"161,188",6.38
07-Jul-2022,332.09,333.88,329.99,331.16,"142,154",-0.42
