date,open,high,low,close,volume,change
02-Nov-2022,119.24,119.24,114.90,116.11,"5,884,582",-1.96
01-Nov-2022,111.50,118.11,110.51,118.07,"8,166,787",8.20
31-Oct-2022,109.00,111.50,107.30,109.87,"3,473,632",1.35
28-Oct-2022,115.01,116.00,107.30,108.52,"5,774,453",-6.36
27-Oct-2022,110.99,116.99,103.56,114.88,"12,526,647",5.11
26-Oct-2022,114.00,115.50,109.77,109.77,"11,775,168",-8.90
25-Oct-2022,126.71,126.71,118.67,118.67,"5,898,222",-9.62
24-Oct-2022,126.30,130.55,125.27,128.29,"8,755,244",3.91
21-Oct-2022,124.61,126.44,121.22,124.38,"4,524,516",-0.31
20-Oct-2022,126.50,127.20,124.18,124.69,"3,631,439",-0.83
19-Oct-2022,125.40,126.20,123.81,125.52,"3,982,840",0.69
18-Oct-2022,124.00,125.69,122.75,124.83,"5,403,274",2.02
17-Oct-2022,125.05,125.94,121.23,122.81,"4,875,769",-3.13
14-Oct-2022,129.74,135.50,123.00,125.94,"30,656,771",-2.53
13-Oct-2022,122.11,132.20,122.11,128.47,"23,193,388",-1.11
12-Oct-2022,135.01,135.95,129.58,129.58,"7,200,315",-10.50
11-Oct-2022,151.80,152.80,140.08,140.08,"14,415,997",-11.35
10-Oct-2022,145.55,152.40,145.55,151.43,"26,741,235",7.29
07-Oct-2022,145.01,147.00,143.00,144.14,"8,219,594",-3.26
06-Oct-2022,146.49,149.20,143.53,147.40,"23,500,930",3.49
05-Oct-2022,137.50,143.91,137.50,143.91,"21,764,622",10.04
04-Oct-2022,130.10,134.92,129.20,133.87,"15,393,097",4.29
03-Oct-2022,129.99,134.75,127.50,129.58,"15,988,011",0.72
30-Sep-2022,119.98,131.00,117.45,128.86,"30,117,142",5.94
29-Sep-2022,125.32,127.23,121.90,122.92,"7,797,849",-2.38
28-Sep-2022,128.50,129.24,124.12,125.30,"8,742,086",-2.31
27-Sep-2022,129.00,131.58,125.95,127.61,"20,812,702",0.96
26-Sep-2022,118.10,126.90,117.00,126.65,"27,472,049",8.60
23-Sep-2022,121.40,127.40,115.13,118.05,"23,899,182",-1.67
22-Sep-2022,114.45,120.40,113.80,119.72,"17,551,568",5.65
21-Sep-2022,115.20,116.25,113.15,114.07,"11,375,018",-0.57
20-Sep-2022,117.99,118.90,113.55,114.64,"14,315,032",-3.70
19-Sep-2022,118.00,121.00,115.56,118.34,"24,708,500",2.15
16-Sep-2022,110.50,117.73,109.55,116.19,"27,564,200",6.67
15-Sep-2022,104.52,109.91,103.36,109.52,"27,444,657",7.27
14-Sep-2022,96.15,104.00,95.60,102.25,"16,739,828",5.41
13-Sep-2022,97.00,97.70,95.30,96.84,"3,841,449",0.68
12-Sep-2022,94.20,98.26,94.19,96.16,"15,736,311",2.34
09-Sep-2022,90.00,95.29,89.79,93.82,"15,072,100",4.14
08-Sep-2022,88.02,90.49,87.65,89.68,"3,377,270",1.99
07-Sep-2022,88.35,88.85,87.01,87.69,"1,315,713",-0.28
06-Sep-2022,87.77,88.82,86.51,87.97,"2,473,938",0.61
05-Sep-2022,89.65,89.90,87.02,87.36,"1,768,586",-2.22
02-Sep-2022,89.50,90.75,89.10,89.58,"2,542,457",-0.18
01-Sep-2022,90.50,91.30,89.61,89.76,"2,808,790",-0.16
31-Aug-2022,89.11,90.70,88.74,89.92,"2,222,752",0.06
30-Aug-2022,94.90,95.40,89.02,89.86,"5,144,881",-2.48
29-Aug-2022,92.51,93.00,89.27,92.34,"4,151,622",-1.43
26-Aug-2022,97.40,97.40,93.00,93.77,"5,343,021",-2.82
25-Aug-2022,97.89,97.98,96.30,96.59,"3,106,064",-1.13
24-Aug-2022,98.00,99.48,97.11,97.72,"7,808,117",0.10
