date,open,high,low,close,volume,change
01-Nov-2022,107.11,107.99,105.71,107.63,"320,913",0.48
31-Oct-2022,108.01,109.65,106.00,107.15,"418,931",-0.53
28-Oct-2022,112.93,113.50,111.25,111.68,"377,111",-0.62
27-Oct-2022,111.98,112.49,111.75,112.30,"332,851",0.78
26-Oct-2022,112.99,113.00,111.00,111.52,"627,292",-1.47
25-Oct-2022,113.01,113.51,112.75,112.99,"750,672",0.20
24-Oct-2022,113.25,114.28,112.61,112.79,"738,529",0.18
21-Oct-2022,113.50,113.50,112.01,112.61,"482,122",-0.54
20-Oct-2022,113.50,113.50,112.74,113.15,"1,262,681",-0.97
19-Oct-2022,113.13,115.77,113.00,114.12,"1,041,058",1.21
18-Oct-2022,113.00,113.59,112.51,112.91,"692,079",0.59
17-Oct-2022,113.00,113.00,109.10,112.32,"642,979",-0.43
14-Oct-2022,113.88,113.88,112.31,112.75,"1,047,669",0.17
13-Oct-2022,112.85,112.98,112.01,112.58,"242,318",0.36
12-Oct-2022,111.05,112.50,111.00,112.22,"524,351",0.85
11-Oct-2022,113.40,113.40,110.99,111.37,"322,683",-1.57
10-Oct-2022,114.48,114.48,111.80,112.94,"542,174",0.00
07-Oct-2022,111.25,113.50,111.24,112.94,"706,681",-0.09
06-Oct-2022,112.00,113.50,112.00,113.03,"311,331",0.94
05-Oct-2022,112.61,113.90,111.50,112.09,"218,446",-0.86
04-Oct-2022,114.78,114.80,112.60,112.95,"352,972",-1.06
03-Oct-2022,114.10,115.00,113.50,114.01,"287,017",-0.88
30-Sep-2022,113.02,115.00,112.60,114.89,"109,718",1.63
29-Sep-2022,117.95,117.95,112.91,113.26,"748,182",-3.53
28-Sep-2022,117.13,117.95,116.41,116.79,"535,239",0.24
27-Sep-2022,115.00,116.99,114.20,116.55,"374,877",2.13
26-Sep-2022,114.08,116.00,114.00,114.42,"227,437",0.34
23-Sep-2022,116.30,116.30,113.95,114.08,"179,653",-1.37
22-Sep-2022,115.01,116.49,114.49,115.45,"153,523",-0.18
21-Sep-2022,117.24,117.24,115.15,115.63,"89,717",-0.36
20-Sep-2022,118.70,118.70,115.65,115.99,"305,735",-1.27
19-Sep-2022,118.00,118.00,116.06,117.26,"137,683",-0.59
16-Sep-2022,118.00,118.90,116.90,117.85,"1,067,864",0.50
15-Sep-2022,117.02,118.45,116.66,117.35,"204,057",0.48
14-Sep-2022,120.49,120.49,116.51,116.87,"443,454",-3.03
13-Sep-2022,117.00,120.60,117.00,119.90,"1,469,063",3.40
12-Sep-2022,116.48,116.90,115.75,116.50,"181,626",0.64
09-Sep-2022,117.65,117.65,115.50,115.86,"251,759",0.33
08-Sep-2022,115.30,117.29,115.30,115.53,"142,695",-1.25
07-Sep-2022,115.55,117.79,115.55,116.78,"236,620",-0.23
06-Sep-2022,117.50,117.50,115.00,117.01,"390,921",0.29
05-Sep-2022,116.94,117.00,115.60,116.72,"280,910",0.10
02-Sep-2022,117.49,117.49,116.00,116.62,"228,226",-0.27
01-Sep-2022,117.45,117.45,115.00,116.89,"157,730",0.18
31-Aug-2022,117.38,117.80,115.00,116.71,"829,360",0.03
30-Aug-2022,118.01,118.01,116.00,116.68,"838,102",-0.65
29-Aug-2022,116.99,118.00,114.22,117.33,"883,355",0.72
