date,open,high,low,close,volume,change
02-Nov-2022,20.60,20.69,20.16,20.35,"1,748,545",-0.19
01-Nov-2022,19.63,20.69,19.63,20.54,"3,400,517",1.00
31-Oct-2022,19.26,20.10,19.26,19.54,"1,103,146",-0.16
28-Oct-2022,20.20,20.43,19.51,19.70,"1,911,777",-0.71
27-Oct-2022,20.09,20.60,19.96,20.41,"6,449,237",0.32
26-Oct-2022,21.35,21.35,19.99,20.09,"7,996,219",-1.39
25-Oct-2022,21.85,22.00,21.35,21.48,"5,998,616",-0.29
24-Oct-2022,22.41,22.47,21.69,21.77,"3,424,445",-0.26
21-Oct-2022,22.30,22.48,21.35,22.03,"4,315,747",-0.10
20-Oct-2022,22.15,22.60,22.05,22.13,"1,897,707",-0.20
19-Oct-2022,21.90,22.45,21.77,22.33,"2,543,306",0.60
18-Oct-2022,21.99,22.43,21.49,21.73,"4,902,101",-0.25
17-Oct-2022,22.69,22.84,21.90,21.98,"3,837,711",-0.71
14-Oct-2022,23.12,23.33,22.55,22.69,"3,035,143",-0.39
13-Oct-2022,22.79,23.30,22.72,23.08,"2,875,829",0.09
12-Oct-2022,23.15,23.49,22.85,22.99,"2,192,329",-0.37
11-Oct-2022,23.87,24.10,23.01,23.36,"9,916,279",-0.51
10-Oct-2022,22.85,24.10,22.85,23.87,"12,647,656",0.78
07-Oct-2022,23.10,23.20,22.73,23.09,"4,080,384",-0.12
06-Oct-2022,23.20,23.75,23.14,23.21,"7,323,780",0.19
05-Oct-2022,23.50,23.68,22.95,23.02,"5,815,770",-0.52
04-Oct-2022,23.48,23.84,23.38,23.54,"4,822,122",0.07
03-Oct-2022,22.70,23.90,22.45,23.47,"12,356,898",0.91
30-Sep-2022,22.65,22.89,22.35,22.56,"1,999,274",-0.03
29-Sep-2022,22.61,22.95,22.36,22.59,"3,460,294",-0.02
28-Sep-2022,23.33,23.35,22.40,22.61,"5,041,315",-0.47
27-Sep-2022,23.15,23.47,22.81,23.08,"8,175,837",0.02
26-Sep-2022,22.01,23.43,22.01,23.06,"15,389,735",1.26
23-Sep-2022,22.15,22.25,21.65,21.80,"3,502,430",-0.22
22-Sep-2022,21.69,22.20,21.21,22.02,"2,964,104",0.39
21-Sep-2022,21.40,22.04,21.40,21.63,"6,163,133",0.45
20-Sep-2022,21.19,21.38,20.81,21.18,"2,571,821",0.13
19-Sep-2022,21.30,21.39,21.00,21.05,"807,431",-0.11
16-Sep-2022,21.45,21.45,20.94,21.16,"2,811,313",-0.21
15-Sep-2022,21.59,21.99,21.33,21.37,"3,955,936",-0.02
14-Sep-2022,21.53,21.53,21.10,21.39,"2,212,037",-0.14
13-Sep-2022,21.76,22.10,21.48,21.53,"2,957,738",-0.22
12-Sep-2022,21.95,22.03,21.58,21.75,"1,391,489",-0.18
09-Sep-2022,21.76,22.49,21.70,21.93,"2,683,524",0.16
08-Sep-2022,21.80,22.02,21.50,21.77,"2,705,493",0.21
07-Sep-2022,22.20,22.36,21.35,21.56,"3,930,849",-0.59
06-Sep-2022,22.15,22.36,22.04,22.15,"2,805,796",-0.13
05-Sep-2022,22.89,22.99,22.15,22.28,"3,236,831",-0.70
02-Sep-2022,23.25,23.74,22.90,22.98,"4,747,874",-0.49
01-Sep-2022,23.90,23.96,23.31,23.47,"6,727,639",-0.18
31-Aug-2022,22.99,23.80,22.61,23.65,"10,947,147",0.66
30-Aug-2022,23.69,24.05,22.86,22.99,"12,872,099",0.07
29-Aug-2022,22.51,23.15,21.80,22.92,"10,016,632",0.17
26-Aug-2022,22.30,22.99,22.20,22.75,"8,181,814",0.67
25-Aug-2022,21.99,22.26,21.50,22.08,"4,655,186",0.14
24-Aug-2022,22.54,22.54,21.69,21.94,"3,452,500",-0.37
23-Aug-2022,22.33,22.64,22.25,22.31,"3,613,201",0.19
22-Aug-2022,22.80,22.99,21.93,22.12,"10,314,820",-0.80
19-Aug-2022,22.53,23.20,22.53,22.92,"8,919,122",0.04
18-Aug-2022,23.35,23.47,22.75,22.88,"6,801,145",-0.33
17-Aug-2022,23.01,23.39,22.77,23.21,"11,922,149",0.41
16-Aug-2022,22.31,23.52,21.95,22.80,"32,885,671",0.61
15-Aug-2022,20.85,22.37,20.85,22.19,"17,550,374",1.38
12-Aug-2022,20.42,20.90,20.41,20.81,"5,723,554",0.38
11-Aug-2022,20.11,21.19,20.00,20.43,"19,595,177",0.32
10-Aug-2022,19.60,20.24,19.45,20.11,"13,468,117",0.73
05-Aug-2022,19.10,19.60,18.86,19.38,"9,942,536",0.25
04-Aug-2022,19.18,19.35,18.74,19.13,"10,590,244",0.09
03-Aug-2022,18.90,19.77,18.90,19.04,"22,876,385",0.29
02-Aug-2022,18.05,19.03,17.60,18.75,"7,646,540",0.44
01-Aug-2022,18.69,18.96,18.26,18.31,"3,875,259",-0.43
29-Jul-2022,18.11,18.95,18.11,18.74,"13,931,844",0.45
28-Jul-2022,18.14,18.50,17.95,18.29,"8,146,772",0.32
27-Jul-2022,18.40,18.40,17.65,17.97,"3,853,385",-0.25
26-Jul-2022,18.31,18.79,18.10,18.22,"6,096,902",-0.12
25-Jul-2022,17.65,18.52,17.29,18.34,"7,880,110",0.57
22-Jul-2022,16.68,17.97,15.70,17.77,"18,963,448",1.05
21-Jul-2022,18.08,18.18,16.72,16.72,"9,928,305",-1.35
20-Jul-2022,18.45,18.65,17.55,18.07,"6,308,901",-0.47
19-Jul-2022,19.57,19.77,18.38,18.54,"7,425,709",-1.14
18-Jul-2022,19.76,19.84,19.54,19.68,"5,946,085",-0.51
15-Jul-2022,20.51,20.87,20.10,20.19,"8,952,637",-0.36
14-Jul-2022,20.21,20.66,20.12,20.55,"9,106,583",0.43
13-Jul-2022,19.77,20.19,19.63,20.12,"3,663,493",0.21
07-Jul-2022,20.00,20.01,19.80,19.91,"1,364,035",-0.02
06-Jul-2022,20.00,20.14,19.85,19.93,"5,388,891",0.10
05-Jul-2022,19.97,19.97,19.80,19.83,"727,729",0.01
04-Jul-2022,20.06,20.15,19.77,19.82,"1,642,704",-0.20
01-Jul-2022,20.30,20.39,19.95,20.02,"4,893,266",-0.05
30-Jun-2022,20.10,20.29,20.00,20.07,"1,033,685",-0.11
29-Jun-2022,20.31,20.55,20.15,20.18,"2,596,858",-0.10
28-Jun-2022,20.75,20.75,20.10,20.28,"16,586,321",-0.21
27-Jun-2022,20.35,20.75,20.31,20.49,"5,746,295",0.24
24-Jun-2022,21.11,21.22,19.53,20.25,"15,767,764",-0.86
23-Jun-2022,21.45,21.63,21.01,21.11,"15,609,205",-0.28
22-Jun-2022,21.70,22.01,21.30,21.39,"11,478,027",-0.05
21-Jun-2022,20.40,21.56,20.40,21.44,"15,404,407",1.06
20-Jun-2022,20.65,20.83,20.30,20.38,"7,112,409",-0.13
17-Jun-2022,20.19,20.99,20.07,20.51,"10,467,763",0.44
16-Jun-2022,19.95,20.20,19.95,20.07,"2,018,113",-0.03
15-Jun-2022,20.23,20.42,20.06,20.10,"4,374,721",0.05
14-Jun-2022,20.16,20.35,19.76,20.05,"8,158,521",-0.12
13-Jun-2022,20.70,20.70,20.10,20.17,"6,323,913",-0.38
10-Jun-2022,20.70,20.85,20.45,20.55,"3,212,679",-0.17
08-Jun-2022,20.07,20.60,20.05,20.45,"11,814,957",0.38
07-Jun-2022,21.28,21.50,20.00,20.07,"15,484,415",-1.00
06-Jun-2022,21.20,21.55,19.91,21.07,"33,130,512",-0.21
03-Jun-2022,21.97,21.97,21.00,21.28,"3,344,916",-0.58
02-Jun-2022,22.20,22.35,21.60,21.86,"10,962,534",-0.44
01-Jun-2022,22.80,23.25,22.19,22.30,"14,093,692",-0.47
31-May-2022,22.99,23.54,22.41,22.77,"8,014,778",0.03
30-May-2022,22.81,23.09,22.46,22.74,"2,199,860",0.02
27-May-2022,23.30,24.25,22.45,22.72,"12,541,192",-0.54
26-May-2022,22.11,23.45,21.92,23.26,"8,671,623",0.93
25-May-2022,21.30,22.54,21.11,22.33,"9,781,807",0.97
24-May-2022,22.17,22.44,21.12,21.36,"6,753,557",-0.80
23-May-2022,22.08,22.50,21.80,22.16,"2,509,236",-0.26
20-May-2022,22.53,22.90,22.20,22.42,"5,207,243",0.00
19-May-2022,23.02,23.29,22.35,22.42,"6,448,121",-0.70
18-May-2022,21.61,23.30,21.61,23.12,"9,440,557",1.41
17-May-2022,21.50,22.10,21.40,21.71,"5,106,314",0.17
16-May-2022,22.34,22.34,21.10,21.54,"4,268,225",-1.11
13-May-2022,22.55,23.18,21.85,22.65,"8,053,461",0.03
12-May-2022,21.75,22.80,21.07,22.62,"5,524,937",0.90
11-May-2022,23.29,23.29,21.33,21.72,"9,530,747",-1.33
10-May-2022,23.12,23.64,22.71,23.05,"4,918,003",-0.07
09-May-2022,24.25,24.45,22.60,23.12,"9,347,024",-1.19
06-May-2022,23.64,25.15,23.15,24.31,"18,224,981",0.69
28-Apr-2022,24.40,24.40,22.80,23.62,"10,084,367",-0.86
27-Apr-2022,24.65,24.89,24.40,24.48,"2,160,867",-0.16
26-Apr-2022,25.20,25.20,24.58,24.64,"2,613,528",-0.55
25-Apr-2022,25.65,26.31,25.00,25.19,"6,809,319",0.02
22-Apr-2022,24.95,25.39,24.67,25.17,"3,553,883",0.49
21-Apr-2022,25.50,25.60,24.50,24.68,"4,289,180",-0.78
20-Apr-2022,26.11,26.25,25.26,25.46,"2,896,354",-0.60
19-Apr-2022,27.20,27.20,25.80,26.06,"5,530,031",-0.90
18-Apr-2022,27.32,27.88,26.81,26.96,"3,886,025",-0.52
15-Apr-2022,27.70,28.40,27.33,27.48,"7,680,050",-0.33
14-Apr-2022,27.40,28.00,27.30,27.81,"9,241,294",0.27
13-Apr-2022,28.74,29.10,27.23,27.54,"13,809,765",-0.71
12-Apr-2022,27.00,28.63,26.35,28.25,"27,620,885",1.43
11-Apr-2022,26.50,26.82,26.25,26.82,"11,221,664",1.87
