date,open,high,low,close,volume,change
01-Nov-2022,"2,013.11","2,020.00","1,996.66","1,999.42",760,-39.58
28-Oct-2022,"2,050.00","2,050.00","2,030.00","2,039.00",260,-29.18
27-Oct-2022,"2,020.00","2,069.00","2,003.00","2,068.18",240,44.36
26-Oct-2022,"2,020.81","2,060.00","2,020.81","2,023.82",180,-14.18
25-Oct-2022,"2,085.00","2,100.00","2,038.00","2,038.00",360,-24.50
24-Oct-2022,"2,050.00","2,084.98","2,035.00","2,062.50",140,40.19
21-Oct-2022,"2,040.00","2,050.00","2,020.00","2,022.31",160,-17.69
20-Oct-2022,"2,038.00","2,065.00","2,038.00","2,040.00",100,0.00
19-Oct-2022,"2,038.00","2,040.00","2,038.00","2,040.00",40,-15.00
18-Oct-2022,"2,045.00","2,060.00","2,035.00","2,055.00",320,15.50
17-Oct-2022,"2,011.01","2,084.89","2,011.01","2,039.50",160,-46.80
14-Oct-2022,"2,089.22","2,098.80","2,086.30","2,086.30",80,0.30
13-Oct-2022,"2,088.99","2,088.99","2,086.00","2,086.00",40,72.21
12-Oct-2022,"2,046.00","2,080.00","2,000.00","2,013.79","1,460",-46.97
11-Oct-2022,"2,035.00","2,099.97","2,035.00","2,060.76",220,0.77
10-Oct-2022,"2,100.00","2,100.00","2,051.00","2,059.99",280,-40.01
07-Oct-2022,"2,065.00","2,100.00","2,013.00","2,100.00",180,0.00
06-Oct-2022,"2,105.00","2,105.00","2,100.00","2,100.00",420,0.00
05-Oct-2022,"2,100.00","2,115.00","2,098.00","2,100.00",360,-10.00
04-Oct-2022,"2,103.51","2,130.00","2,103.51","2,110.00",80,6.49
03-Oct-2022,"2,103.00","2,103.51","2,102.00","2,103.51",60,-26.49
30-Sep-2022,"2,139.98","2,139.98","2,100.00","2,130.00",220,38.99
29-Sep-2022,"2,082.00","2,100.00","2,082.00","2,091.01",160,-48.99
28-Sep-2022,"2,138.98","2,140.00","2,138.98","2,140.00",160,36.99
27-Sep-2022,"2,144.99","2,144.99","2,100.00","2,103.01",220,-31.99
26-Sep-2022,"2,122.00","2,135.00","2,100.00","2,135.00",260,13.00
23-Sep-2022,"2,122.00","2,122.00","2,122.00","2,122.00",20,-22.98
22-Sep-2022,"2,144.99","2,144.99","2,144.98","2,144.98",60,-0.02
21-Sep-2022,"2,149.00","2,149.00","2,145.00","2,145.00",60,15.00
20-Sep-2022,"2,185.00","2,185.00","2,130.00","2,130.00",120,-5.00
19-Sep-2022,"2,140.00","2,158.98","2,100.00","2,135.00",360,-5.00
16-Sep-2022,"2,167.49","2,168.59","2,139.00","2,140.00","1,400",122.70
15-Sep-2022,"2,378.00","2,378.00","2,340.51","2,347.89",260,-16.62
14-Sep-2022,"2,340.00","2,369.99","2,340.00","2,364.51",120,-2.49
13-Sep-2022,"2,340.00","2,367.00","2,340.00","2,367.00",140,27.00
12-Sep-2022,"2,390.00","2,390.00","2,306.01","2,340.00",280,-29.12
09-Sep-2022,"2,370.00","2,392.93","2,350.01","2,369.12",240,-4.87
08-Sep-2022,"2,385.00","2,385.00","2,373.99","2,373.99",160,-11.01
07-Sep-2022,"2,336.33","2,385.00","2,330.00","2,385.00",80,48.67
06-Sep-2022,"2,310.00","2,339.00","2,300.50","2,336.33",180,-2.67
05-Sep-2022,"2,342.00","2,342.00","2,250.11","2,339.00",240,-56.96
02-Sep-2022,"2,398.87","2,398.87","2,395.96","2,395.96",120,60.56
01-Sep-2022,"2,312.12","2,380.00","2,312.12","2,335.40",420,10.40
31-Aug-2022,"2,333.00","2,333.00","2,325.00","2,325.00",140,-0.38
30-Aug-2022,"2,350.17","2,350.17","2,318.00","2,325.38",720,-54.12
29-Aug-2022,"2,395.00","2,395.00","2,320.00","2,379.50",340,-19.49
26-Aug-2022,"2,399.99","2,399.99","2,398.99","2,398.99",80,23.99
25-Aug-2022,"2,395.00","2,400.00","2,375.00","2,375.00",360,-24.97
24-Aug-2022,"2,400.00","2,400.00","2,395.00","2,399.97",80,-0.03
23-Aug-2022,"2,399.49","2,400.00","2,375.00","2,400.00",160,64.99
22-Aug-2022,"2,335.01","2,335.01","2,335.01","2,335.01",20,-64.99
19-Aug-2022,"2,400.00","2,400.00","2,399.99","2,400.00",100,0.00
18-Aug-2022,"2,388.50","2,400.00","2,388.50","2,400.00",720,25.00
17-Aug-2022,"2,376.00","2,394.00","2,375.00","2,375.00",400,-0.50
16-Aug-2022,"2,397.17","2,424.96","2,375.00","2,375.50",120,-21.67
15-Aug-2022,"2,400.00","2,401.00","2,394.00","2,397.17",780,-2.83
12-Aug-2022,"2,400.00","2,420.00","2,399.99","2,400.00",340,20.00
11-Aug-2022,"2,410.00","2,410.00","2,375.00","2,380.00",240,-3.34
10-Aug-2022,"2,450.00","2,450.00","2,380.00","2,383.34",340,-12.95
05-Aug-2022,"2,399.99","2,400.00","2,360.00","2,396.29",280,6.28
04-Aug-2022,"2,480.00","2,480.00","2,350.00","2,390.01",780,-47.99
03-Aug-2022,"2,315.00","2,450.00","2,315.00","2,438.00",560,127.34
02-Aug-2022,"2,299.00","2,310.66","2,255.00","2,310.66","1,620",161.20
01-Aug-2022,"2,070.00","2,149.46","2,070.00","2,149.46","2,720",149.96
29-Jul-2022,"2,090.00","2,090.00","1,999.00","1,999.50","1,140",-70.50
28-Jul-2022,"2,040.00","2,075.00","2,040.00","2,070.00",680,21.00
27-Jul-2022,"2,049.00","2,049.00","2,049.00","2,049.00",40,20.00
